name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,184.25,4976.72,25795.0,33533.5,92428.14873599999,-9058.251166376751,-15670.001210258555,-50850.27331324721,336.3007931654433,358.9412060501986,835.4473513228145,-107770.02587835432
NVDA-history,47.569,4998.400000000001,74302.778,76300.676,188441.89361279033,-9097.711470610668,-10026.244653163061,51204.254616347636,1304.5187765962976,1325.9129190708416,4794.457190883842,-335289.681647851
META-history,344.47,4874.38,12745.390000000001,27213.13,147967.6790262989,-8871.979601095378,-22262.74057226718,-97057.7287547666,79.46467856229148,101.55936606774239,1044.4395035170069,-338129.80398015777
UBER-history,66.02,4971.400000000001,8846.68,11553.5,255564.35554399062,-9052.87694474536,-11353.266114281418,-128394.79479015141,-4.147663530300505,4.027716251329249,2558.023107250255,-358826.4189825754
SPOT-history,187.94,4905.9,8457.3,16350.78,57911.912694555234,-8929.349932712246,-19264.038971973867,-163920.56121125625,-9.622086318764081,-59.38276303988802,-2160.8399787337903,-297896.13303307374
MSFT-history,370.6,4967.400000000001,18900.600000000002,34465.8,285711.7515264,-9041.287603855517,-22003.97740130507,-198249.99952923445,198.48033973798132,250.87213831571708,1760.7149010984724,-353119.4958737025
NKE-history,104.04,4947.0,7074.72,11444.400000000001,231001.88292218873,-9004.157059281146,-15533.134674527451,-283887.1927264189,-39.00216412535164,-82.65079188452496,-1069.0379988726536,-343350.1421463337
AMD-history,135.32,4995.650000000001,39648.759999999995,45332.2,306868.33924374526,-9092.706127592059,-13346.705806620974,-199765.90323754153,611.6532157458577,640.266916084574,2143.9139252390323,-311816.77135265834
DUOL-history,307.32,4974.28,11370.84,19975.8,36047.4850208168,-7388.322656586101,-12444.150177945274,57953.159588588926,80.06218675695575,151.41185904401695,1889.7336822496065,-95018.21016985523
SNAP-history,15.78,4998.4,13886.4,14549.16,74636.22279168,-9097.711470610668,-10592.207599850299,-259831.38194618255,95.80442800474816,79.16438060478757,-3705.0888115097346,-276599.20251598867
GOOG-history,140.36,4978.6939999999995,13755.28,19650.4,106461.33522038783,-9061.84409260171,-14523.73734169148,-62559.6582985863,94.27042327562792,102.97203761284631,881.7910263575454,-308262.62621317443
LLY-history,617.7,4897.64,27178.800000000003,53122.200000000004,45952.741615513645,-8914.315702409061,-22258.49494040793,15311.67781342824,372.92418996886136,630.1750447070849,1250.896746778895,-31698.55819341018
TSLA-history,238.45,4985.976000000001,59374.049999999996,69388.95,360697.35374999995,-9075.098240914958,-18081.222269884543,-377915.5745931728,1008.8085413785592,1029.0408082613203,-345.33300688115753,-437033.67336942494
DIS-history,91.65,4997.51,4307.55,8156.85,78138.32292864,-9096.091559597364,-16657.006681430463,-235567.35802825005,-95.81854882926424,-170.0878373716203,-3150.1494764314634,-325111.6309235698
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
