Date,Value
2022-07-05,-94010.72770571428
2022-07-06,-94055.49471890749
2022-07-07,-94100.28304972603
2022-07-08,-94145.09270832111
2022-07-11,-94189.9237048489
2022-07-12,-94234.77604947025
2022-07-13,-94279.64975235096
2022-07-14,-94324.54482366158
2022-07-15,-94369.46127357762
2022-07-18,-94414.39911227934
2022-07-19,-94459.35834995184
2022-07-20,-94504.33899678515
2022-07-21,-94549.3410629741
2022-07-22,-94594.36455871837
2022-07-25,-94639.40949422252
2022-07-26,-94684.47587969594
2022-07-27,-94729.56372535297
2022-07-28,-94774.67304141267
2022-07-29,-94819.80383809902
2022-08-01,-94864.95612564098
2022-08-02,-94910.12991427224
2022-08-03,-94955.32521423143
2022-08-04,-95000.54203576203
2022-08-05,-95045.78038911239
2022-08-08,-95091.04028453577
2022-08-09,-95136.32173229032
2022-08-10,-95181.62474263899
2022-08-11,-95226.9493258498
2022-08-12,-95272.29549219544
2022-08-15,-95317.6632519536
2022-08-16,-95363.05261540692
2022-08-17,-95408.46359284283
2022-08-18,-95453.8961945537
2022-08-19,-95499.35043083684
2022-08-22,-95544.82631199437
2022-08-23,-95590.32384833344
2022-08-24,-95635.84305016596
2022-08-25,-95681.3839278089
2022-08-26,-95726.94649158404
2022-08-29,-95772.53075181815
2022-08-30,-95818.13671884283
2022-08-31,-95863.76440299462
2022-09-01,-95909.41381461512
2022-09-02,-95955.08496405062
2022-09-06,-96000.77786165256
2022-09-07,-96046.49251777717
2022-09-08,-96092.22894278562
2022-09-09,-96137.98714704408
2022-09-12,-96183.76714092365
2022-09-13,-96229.56893480028
2022-09-14,-96275.39253905493
2022-09-15,-96321.23796407353
2022-09-16,-96367.1052202469
2022-09-19,-96412.99431797082
2022-09-20,-96458.90526764603
2022-09-21,-96504.83807967824
2022-09-22,-96550.79276447813
2022-09-23,-96596.76933246122
2022-09-26,-96642.76779404808
2022-09-27,-96688.78815966433
2022-09-28,-96734.83043974033
2022-09-29,-96780.89464471165
2022-09-30,-96826.98078501865
2022-10-03,-96873.08887110674
2022-10-04,-96919.21891342632
2022-10-05,-96965.37092243272
2022-10-06,-97011.54490858625
2022-10-07,-97057.74088235226
2022-10-10,-97103.95885420096
2022-10-11,-97150.19883460777
2022-10-12,-97196.4608340528
2022-10-13,-97242.74486302138
2022-10-14,-97289.0509320038
2022-10-17,-97335.37905149523
2022-10-18,-97381.72923199592
2022-10-19,-97428.10148401116
2022-10-20,-97474.49581805117
2022-10-21,-97520.91224463118
2022-10-24,-97567.3507742715
2022-10-25,-97613.81141749735
2022-10-26,-97660.294184839
2022-10-27,-97706.79908683179
2022-10-28,-97753.32613401598
2022-10-31,-97799.87533693697
2022-11-01,-97846.44670614503
2022-11-02,-97893.04025219555
2022-11-03,-97939.65598564896
2022-11-04,-97986.29391707074
2022-11-07,-98032.95405703121
2022-11-08,-98079.63641610602
2022-11-09,-98126.34100487558
2022-11-10,-98173.06783392552
2022-11-11,-98219.81691384644
2022-11-14,-98266.588255234
2022-11-15,-98313.38186868886
2022-11-16,-98360.19776481682
2022-11-17,-98407.03595422863
2022-11-18,-98453.89644754014
2022-11-21,-98500.77925537233
2022-11-22,-98547.68438835107
2022-11-23,-98594.61185710745
2022-11-25,-98641.56167227747
2022-11-28,-98688.53384450238
2022-11-29,-98735.52838442833
2022-11-30,-98782.54530270663
2022-12-01,-98829.58460999363
2022-12-02,-98876.64631695075
2022-12-05,-98923.73043424456
2022-12-06,-98970.83697254657
2022-12-07,-99017.96594253351
2022-12-08,-99065.11735488707
2022-12-09,-99112.29122029417
2022-12-12,-99159.48754944671
2022-12-13,-99206.70635304168
2022-12-14,-99253.94764178121
2022-12-15,-99301.21142637257
2022-12-16,-99348.49771752795
2022-12-19,-99395.80652596486
2022-12-20,-99443.13786240581
2022-12-21,-99490.49173757837
2022-12-22,-99537.86816221532
2022-12-23,-99585.26714705447
2022-12-27,-99632.68870283879
2022-12-28,-99680.13284031635
2022-12-29,-99727.59957024032
2022-12-30,-99775.08890336899
2023-01-03,-99822.6008504658
2023-01-04,-99870.13542229937
2023-01-05,-99917.69262964331
2023-01-06,-99965.27248327648
2023-01-09,-100012.8749939828
2023-01-10,-100060.50017255137
2023-01-11,-100108.14802977639
2023-01-12,-100155.81857645726
2023-01-13,-100203.51182339841
2023-01-17,-100251.22778140957
2023-01-18,-100298.96646130549
2023-01-19,-100346.72787390609
2023-01-20,-100394.51203003652
2023-01-23,-100442.318940527
2023-01-24,-100490.14861621297
2023-01-25,-100538.00106793498
2023-01-26,-100585.87630653875
2023-01-27,-100633.7743428752
2023-01-30,-100681.69518780039
2023-01-31,-100729.63885217553
2023-02-01,-100777.60534686706
2023-02-02,-100825.5946827465
2023-02-03,-100873.60687069068
2023-02-06,-100921.64192158148
2023-02-07,-100969.69984630604
2023-02-08,-101017.78065575665
2023-02-09,-101065.88436083084
2023-02-10,-101114.01097243124
2023-02-13,-101162.16050146571
2023-02-14,-101210.33295884737
2023-02-15,-101258.52835549445
2023-02-16,-101306.74670233039
2023-02-17,-101354.98801028388
2023-02-21,-101403.25229028877
2023-02-22,-101451.53955328415
2023-02-23,-101499.84981021429
2023-02-24,-101548.18307202867
2023-02-27,-101596.539349682
2023-02-28,-101644.91865413426
2023-03-01,-101693.3209963505
2023-03-02,-101741.74638730116
2023-03-03,-101790.19483796178
2023-03-06,-101838.6663593132
2023-03-07,-101887.16096234144
2023-03-08,-101935.6786580378
2023-03-09,-101984.21945739874
2023-03-10,-102032.78337142608
2023-03-13,-102081.37041112674
2023-03-14,-102129.98058751301
2023-03-15,-102178.61391160231
2023-03-16,-102227.27039441734
2023-03-17,-102275.95004698611
2023-03-20,-102324.65288034183
2023-03-21,-102373.37890552296
2023-03-22,-102422.12813357322
2023-03-23,-102470.90057554156
2023-03-24,-102519.69624248229
2023-03-27,-102568.51514545492
2023-03-28,-102617.35729552417
2023-03-29,-102666.22270376013
2023-03-30,-102715.11138123812
2023-03-31,-102764.0233390387
2023-04-03,-102812.95858824775
2023-04-04,-102861.91713995642
2023-04-05,-102910.8990052612
2023-04-06,-102959.9041952637
2023-04-10,-103008.93272107095
2023-04-11,-103057.98459379528
2023-04-12,-103107.0598245542
2023-04-13,-103156.15842447068
2023-04-14,-103205.28040467281
2023-04-17,-103254.42577629408
2023-04-18,-103303.59455047327
2023-04-19,-103352.78673835447
2023-04-20,-103402.00235108702
2023-04-21,-103451.24139982564
2023-04-24,-103500.50389573032
2023-04-25,-103549.78984996636
2023-04-26,-103599.09927370444
2023-04-27,-103648.43217812049
2023-04-28,-103697.78857439579
2023-05-01,-103747.16847371691
2023-05-02,-103796.57188727582
2023-05-03,-103845.99882626976
2023-05-04,-103895.44930190133
2023-05-05,-103944.92332537842
2023-05-08,-103994.42090791435
2023-05-09,-104043.94206072763
2023-05-10,-104093.48679504223
2023-05-11,-104143.0551220875
2023-05-12,-104192.64705309802
2023-05-15,-104242.26259931376
2023-05-16,-104291.90177198013
2023-05-17,-104341.56458234774
2023-05-18,-104391.25104167264
2023-05-19,-104440.96116121631
2023-05-22,-104490.69495224545
2023-05-23,-104540.45242603225
2023-05-24,-104590.23359385415
2023-05-25,-104640.03846699408
2023-05-26,-104689.86705674027
2023-05-30,-104739.71937438636
2023-05-31,-104789.59543123128
2023-06-01,-104839.4952385795
2023-06-02,-104889.41880774072
2023-06-05,-104939.36615003014
2023-06-06,-104989.33727676826
2023-06-07,-105039.332199281
2023-06-08,-105089.3509288997
2023-06-09,-105139.39347696106
2023-06-12,-105189.45985480724
2023-06-13,-105239.55007378574
2023-06-14,-105289.66414524945
2023-06-15,-105339.80208055672
2023-06-16,-105389.96389107127
2023-06-20,-105440.14958816222
