Date,Open,High,Low,Close,Adj. Close,Change,Volume
2020-12-11,146.55000,151.50000,135.10000,139.25000,139.25000,-3.77%,26980830
2020-12-14,135.00000,135.30000,125.16000,130.00000,130.00000,-6.64%,16966089
2020-12-15,126.69000,127.60000,121.50000,124.80000,124.80000,-4.00%,10914432
2020-12-16,125.83000,142.00000,124.91000,137.99000,137.99000,10.57%,20409551
2020-12-17,143.00000,152.45000,142.67000,147.05000,147.05000,6.57%,15054725
2020-12-18,150.45000,159.00000,150.30000,157.30000,157.30000,6.97%,15954235
2020-12-21,155.31000,172.00000,145.11000,163.02000,163.02000,3.64%,17788120
2020-12-22,170.00000,174.97000,161.05000,163.19000,163.19000,0.10%,9886633
2020-12-23,162.81400,168.25000,155.50000,158.01000,158.01000,-3.17%,5852486
2020-12-24,159.16000,162.79000,154.11200,154.84000,154.84000,-2.01%,3621360
2020-12-28,158.60000,163.64000,147.52000,149.00000,149.00000,-3.77%,6205197
2020-12-29,150.00000,151.65100,143.12000,150.00000,150.00000,0.67%,5402266
2020-12-30,151.34000,152.81300,145.60000,148.43000,148.43000,-1.05%,3462445
2020-12-31,146.90000,147.89000,144.51000,146.80000,146.80000,-1.10%,2795813
2021-01-04,150.99000,151.00500,137.00000,139.15000,139.15000,-5.21%,6409884
2021-01-05,138.28000,149.00000,137.25000,148.30000,148.30000,6.58%,5974246
2021-01-06,145.75000,148.35000,141.11000,142.77000,142.77000,-3.73%,4213936
2021-01-07,146.37000,154.42000,145.26100,151.27000,151.27000,5.95%,4482769
2021-01-08,153.45000,155.54000,147.25000,149.77000,149.77000,-0.99%,4615625
2021-01-11,147.99000,150.50000,144.02000,148.13000,148.13000,-1.10%,2801867
2021-01-12,148.08000,163.88000,143.61000,160.80000,160.80000,8.55%,8110792
2021-01-13,160.81000,178.62000,159.35000,169.99000,169.99000,5.72%,12529711
2021-01-14,175.54000,187.42000,174.97500,180.50000,180.50000,6.18%,9926539
2021-01-15,184.58000,185.99500,164.86000,169.27000,169.27000,-6.22%,8575682
2021-01-19,173.00000,178.60000,166.60000,173.69000,173.69000,2.61%,4685415
2021-01-20,176.01000,176.31000,161.00000,161.83000,161.83000,-6.83%,8517416
2021-01-21,164.99000,183.47000,155.33000,180.40000,180.40000,11.48%,17618431
2021-01-22,178.09000,185.30700,175.19000,181.87000,181.87000,0.81%,7136811
2021-01-25,186.05000,192.47000,170.03000,177.53000,177.53000,-2.39%,7472859
2021-01-26,180.00000,193.00000,177.30000,192.74000,192.74000,8.57%,6460904
2021-01-27,187.64000,216.00000,185.50000,201.25000,201.25000,4.42%,11019787
2021-01-28,202.60000,212.84000,187.05000,187.37000,187.37000,-6.90%,7077661
2021-01-29,190.71000,193.50000,179.31000,183.63000,183.63000,-2.00%,4529815
2021-02-01,187.48000,188.82000,179.74000,180.44000,180.44000,-1.74%,3877389
2021-02-02,183.22000,186.47900,177.11000,179.17000,179.17000,-0.70%,4123554
2021-02-03,181.98000,190.90000,180.00000,185.72000,185.72000,3.66%,4168965
2021-02-04,187.07000,195.99000,186.19000,195.80000,195.80000,5.43%,3637039
2021-02-05,197.00000,197.25000,190.25000,195.31000,195.31000,-0.25%,2869659
2021-02-08,199.93000,201.96000,191.50000,200.43000,200.43000,2.62%,3492593
2021-02-09,199.20300,209.22000,196.16000,199.88000,199.88000,-0.27%,4594786
2021-02-10,205.48000,214.71600,202.09700,211.66000,211.66000,5.89%,5198126
2021-02-11,213.50000,219.94000,207.00000,216.84000,216.84000,2.45%,3595183
2021-02-12,214.45800,216.94000,209.00000,212.68000,212.68000,-1.92%,3041744
2021-02-16,216.24000,218.78000,209.09000,209.86000,209.86000,-1.33%,3487929
2021-02-17,207.05000,208.76500,196.02000,201.96000,201.96000,-3.76%,3969207
2021-02-18,199.01000,200.36000,192.17000,198.04000,198.04000,-1.94%,2791419
2021-02-19,203.95000,205.55000,200.18000,201.07000,201.07000,1.53%,2605751
2021-02-22,200.70000,205.00000,193.50000,195.34000,195.34000,-2.85%,3653945
2021-02-23,189.00000,191.67000,175.00000,187.59000,187.59000,-3.97%,5902404
2021-02-24,190.98000,208.14500,189.00000,200.20000,200.20000,6.72%,5983538
2021-02-25,197.41000,199.80000,180.00000,182.06000,182.06000,-9.06%,11269246
2021-02-26,194.18000,214.10000,185.75000,206.35000,206.35000,13.34%,19198441
2021-03-01,195.82000,199.69000,192.62000,196.42000,196.42000,-4.81%,15798527
2021-03-02,195.63000,200.00000,188.50000,189.90000,189.90000,-3.32%,9144947
2021-03-03,186.97000,188.48000,178.80000,180.40000,180.40000,-5.00%,10592934
2021-03-04,178.64000,183.90000,170.87000,180.23000,180.23000,-0.09%,9993671
2021-03-05,182.52000,183.50000,161.90000,179.81000,179.81000,-0.23%,8788544
2021-03-08,179.99200,186.40000,177.03000,180.81000,180.81000,0.56%,4988473
2021-03-09,184.99000,189.46000,180.72000,183.11000,183.11000,1.27%,6079925
2021-03-10,184.57000,191.00000,181.55000,183.79000,183.79000,0.37%,6145645
2021-03-11,189.90000,201.00000,188.50000,197.87000,197.87000,7.66%,6031244
2021-03-12,196.27000,208.70000,192.20000,206.74000,206.74000,4.48%,5556463
2021-03-15,209.53800,213.74000,203.81000,209.99000,209.99000,1.57%,4337470
2021-03-16,209.11000,215.49000,198.18000,200.01000,200.01000,-4.75%,4605572
2021-03-17,195.63000,203.46000,194.44000,201.36000,201.36000,0.67%,3781866
2021-03-18,196.80000,199.90000,190.68000,191.45000,191.45000,-4.92%,3729507
2021-03-19,193.01000,196.49000,187.81000,194.39000,194.39000,1.54%,4444583
2021-03-22,196.85000,203.30000,194.71000,195.00000,195.00000,0.31%,3740448
2021-03-23,195.50000,196.75000,185.74000,187.14000,187.14000,-4.03%,3460590
2021-03-24,189.00000,189.78000,178.51000,178.85000,178.85000,-4.43%,3756097
2021-03-25,173.10000,179.54000,170.50000,176.16000,176.16000,-1.50%,5264100
2021-03-26,178.41600,181.00000,168.00000,174.40000,174.40000,-1.00%,3562912
2021-03-29,175.36000,185.46000,173.50000,182.50000,182.50000,4.64%,4508821
2021-03-30,182.35000,185.23000,178.38000,183.10000,183.10000,0.33%,2903262
2021-03-31,185.43000,192.27500,185.13000,187.94000,187.94000,2.64%,3079510
2021-04-01,192.50000,193.99000,185.37000,188.24000,188.24000,0.16%,2921447
2021-04-05,191.66000,192.10000,185.81000,186.69000,186.69000,-0.82%,2591425
2021-04-06,188.70000,194.48000,187.52000,190.03000,190.03000,1.79%,3565634
