Date,Open,High,Low,Close,Adj. Close,Change,Volume
1983-03-22,8.72000,8.97000,8.50000,8.50000,8.49800,-5.56%,328000
1983-03-23,8.50000,8.81300,8.47000,8.72000,8.71800,2.59%,427200
1983-03-24,8.72000,8.78300,8.65800,8.78300,8.78000,0.72%,393200
1983-03-25,8.90800,9.06300,8.75000,8.87500,8.87300,1.05%,210400
1983-03-28,8.84500,9.03300,8.65800,8.68800,8.68500,-2.11%,494800
1983-03-29,8.59500,8.84500,8.34500,8.43800,8.43500,-2.88%,778000
1983-03-30,8.65800,8.81300,8.47000,8.75000,8.74800,3.70%,417200
1983-03-31,9.00000,9.56300,8.31300,8.37500,8.37300,-4.29%,642400
1983-04-04,8.25000,8.34500,8.00000,8.28300,8.28000,-1.10%,772000
1983-04-05,8.25000,8.47000,8.15800,8.15800,8.15500,-1.51%,603600
1983-04-06,7.96800,8.06300,7.81300,7.87500,7.87300,-3.47%,1021200
1983-04-07,7.84300,7.93800,7.75000,7.93800,7.93500,0.80%,885600
1983-04-08,8.03300,8.15800,7.87500,8.15800,8.15500,2.77%,499200
1983-04-11,8.28300,8.47000,8.22000,8.40800,8.40500,3.06%,713600
1983-04-12,8.40800,8.53300,8.37500,8.43800,8.43500,0.36%,716000
1983-04-13,8.84500,9.18800,8.56300,8.97000,8.96800,6.30%,1886000
1983-04-14,9.03300,9.43800,9.03300,9.43800,9.43500,5.22%,1116800
1983-04-15,9.43800,9.53300,9.34500,9.40800,9.40500,-0.32%,783600
1983-04-18,9.36800,9.47000,9.18800,9.25000,9.24700,-1.68%,762800
1983-04-19,9.18800,9.25000,9.00000,9.09500,9.09300,-1.68%,350400
1983-04-20,9.37500,9.62500,9.12500,9.62500,9.62200,5.83%,992000
1983-04-21,9.50000,9.72000,9.47000,9.47000,9.46700,-1.61%,512000
1983-04-22,9.40800,9.40800,9.22000,9.25000,9.24700,-2.32%,367600
1983-04-25,9.06300,9.31300,8.81300,8.87500,8.87300,-4.05%,664400
1983-04-26,9.15800,9.43800,8.87500,9.43800,9.43500,6.34%,3200
1983-04-27,9.40800,9.53300,9.25000,9.37500,9.37200,-0.67%,364000
1983-04-28,9.34500,9.43800,9.25000,9.31300,9.31000,-0.66%,266800
1983-04-29,9.40800,9.50000,9.31300,9.50000,9.49700,2.01%,217200
1983-05-02,9.40800,9.50000,9.28300,9.37500,9.37200,-1.32%,541200
1983-05-03,9.37500,9.90800,9.37500,9.84500,9.84200,5.01%,496000
1983-05-04,10.22000,10.50000,9.93800,10.47000,10.46700,6.35%,980400
1983-05-05,10.84500,11.06300,10.62500,10.97000,10.96700,4.78%,1366400
1983-05-06,11.00000,11.59500,10.93800,11.47000,11.46700,4.56%,775600
1983-05-09,11.25000,11.37500,11.15800,11.31300,11.30900,-1.37%,804800
1983-05-10,11.31300,11.43800,11.31300,11.43800,11.43400,1.10%,870800
1983-05-11,11.37500,11.43800,11.25000,11.28300,11.27900,-1.36%,370800
1983-05-12,11.25000,11.28300,10.87500,10.97000,10.96700,-2.77%,385200
1983-05-13,10.97000,11.59500,10.97000,11.53300,11.52900,5.13%,390400
1983-05-16,11.40800,11.47000,11.25000,11.31300,11.30900,-1.91%,588000
1983-05-17,11.37500,11.47000,11.25000,11.31300,11.30900,,324400
1983-05-18,11.25000,11.47000,11.25000,11.34500,11.34200,0.28%,433200
1983-05-19,11.28300,11.37500,11.12500,11.18800,11.18400,-1.38%,392800
1983-05-20,11.37500,11.75000,11.37500,11.75000,11.74700,5.02%,617200
1983-05-23,11.97000,12.00000,11.72000,11.97000,11.96700,1.87%,452000
1983-05-24,12.12500,12.65800,12.06300,12.59500,12.59200,5.22%,967200
1983-05-25,12.97000,13.25000,12.87500,13.09500,13.09100,3.97%,1001200
1983-05-26,13.09500,13.09500,12.43800,12.50000,12.49700,-4.54%,944400
1983-05-27,12.53300,12.59500,12.31300,12.40800,12.40400,-0.74%,317200
1983-05-31,12.12500,12.22000,12.09500,12.12500,12.12200,-2.28%,523600
1983-06-01,12.15800,12.62500,12.15800,12.62500,12.62200,4.12%,830800
1983-06-02,12.72000,13.12500,12.53300,13.09500,13.09100,3.72%,608000
1983-06-03,13.12500,13.50000,13.09500,13.40800,13.40400,2.39%,537200
1983-06-06,13.37500,13.65800,13.28300,13.62500,13.62100,1.62%,552000
1983-06-07,13.56300,13.62500,13.22000,13.22000,13.21600,-2.97%,438800
1983-06-08,13.06300,13.28300,13.03300,13.18800,13.18400,-0.24%,452800
1983-06-09,13.18800,13.25000,12.97000,13.09500,13.09100,-0.71%,252800
1983-06-10,13.12500,13.25000,13.06300,13.06300,13.05900,-0.24%,76800
1983-06-13,13.12500,13.15800,12.75000,12.90800,12.90400,-1.19%,209200
1983-06-14,12.84500,12.93800,12.65800,12.65800,12.65400,-1.94%,204000
1983-06-15,12.65800,13.06300,12.59500,13.06300,13.05900,3.20%,304800
1983-06-16,13.25000,13.81300,13.25000,13.65800,13.65400,4.55%,292400
1983-06-17,13.68800,13.78300,13.53300,13.65800,13.65400,,109200
1983-06-20,13.62500,13.65800,13.40800,13.47000,13.46600,-1.38%,178800
1983-06-21,13.50000,13.56300,13.09500,13.50000,13.49600,0.22%,333600
1983-06-22,14.72000,14.81300,14.59500,14.65800,14.65300,8.58%,1033600
1983-06-23,14.75000,16.65500,14.68800,15.81300,15.80800,7.88%,1108400
1983-06-24,15.87500,16.06300,15.50000,16.06300,16.05800,1.58%,683200
1983-06-27,16.06300,16.21800,15.37500,16.12500,16.12100,0.39%,584800
1983-06-28,16.12500,16.62500,15.25000,15.25000,15.24600,-5.43%,1028400
1983-06-29,15.56300,15.87500,15.25000,15.84500,15.84100,3.90%,1016800
1983-06-30,15.93800,16.21800,15.90800,16.12500,16.12100,1.77%,618400
1983-07-01,16.18800,16.18800,15.90800,16.15500,16.15100,0.19%,177600
1983-07-05,15.93800,15.93800,15.47000,15.78300,15.77800,-2.30%,486000
1983-07-06,15.72000,15.93800,15.65800,15.90800,15.90300,0.79%,338000
1983-07-07,15.90800,16.18800,15.78300,16.06300,16.05800,0.97%,284800
1983-07-08,16.06300,16.12500,15.87500,15.87500,15.87100,-1.17%,504000
1983-07-11,15.81300,16.21800,15.81300,16.21800,16.21300,2.16%,459600
1983-07-12,16.28000,16.40500,15.81300,15.90800,15.90300,-1.91%,347200
1983-07-13,15.68800,15.75000,14.78300,15.43800,15.43300,-2.95%,536400
1983-07-14,15.43800,15.48500,14.72000,14.75000,14.74600,-4.46%,760800
1983-07-15,14.75000,14.81300,14.25000,14.43800,14.43400,-2.12%,417200
1983-07-18,14.31300,14.31300,13.93800,14.03300,14.02900,-2.81%,562800
1983-07-19,14.18800,14.81300,14.18800,14.72000,14.71600,4.90%,430400
1983-07-20,15.06300,15.75000,15.00000,15.75000,15.74600,7.00%,392400
1983-07-21,16.50000,17.43800,16.40500,16.96800,16.96300,7.73%,1458800
1983-07-22,16.51500,16.90500,16.12500,16.28000,16.27600,-4.05%,471200
1983-07-25,16.15500,16.46800,16.12500,16.46800,16.46300,1.15%,290400
1983-07-26,16.46800,16.84300,16.40500,16.56300,16.55800,0.58%,506000
1983-07-27,16.65500,16.68800,15.84500,15.97000,15.96600,-3.58%,432000
1983-07-28,15.90800,15.93800,14.78300,14.84500,14.84100,-7.04%,357200
1983-07-29,14.59500,14.87500,14.53300,14.87500,14.87100,0.20%,572400
1983-08-01,14.75000,15.22000,14.75000,15.00000,14.99600,0.84%,740000
1983-08-02,15.00000,15.12500,14.65800,14.65800,14.65300,-2.28%,240000
1983-08-03,14.68800,14.78300,14.37500,14.50000,14.49600,-1.08%,613200
1983-08-04,14.56300,14.56300,13.93800,14.18800,14.18400,-2.15%,332400
1983-08-05,14.25000,14.40800,14.00000,14.18800,14.18400,,398000
1983-08-08,14.09500,14.09500,13.87500,14.00000,13.99600,-1.33%,229600
1983-08-09,13.87500,13.93800,13.03300,13.37500,13.37100,-4.46%,1116400
1983-08-10,13.37500,13.62500,13.15800,13.40800,13.40400,0.25%,683200
1983-08-11,13.53300,14.06300,13.53300,14.00000,13.99600,4.42%,605600
1983-08-12,14.09500,14.34500,14.09500,14.18800,14.18400,1.34%,264800
1983-08-15,14.25000,14.53300,14.25000,14.28300,14.27900,0.67%,402000
1983-08-16,14.34500,14.34500,13.31300,13.47000,13.46600,-5.69%,1088400
1983-08-17,13.50000,13.59500,13.28300,13.53300,13.52900,0.47%,333200
1983-08-18,13.56300,13.62500,13.31300,13.31300,13.30900,-1.63%,190800
1983-08-19,13.31300,13.68800,13.00000,13.68800,13.68400,2.82%,409600
1983-08-22,13.93800,14.09500,12.84500,12.97000,12.96600,-5.25%,598000
1983-08-23,13.12500,13.93500,13.12500,13.75000,13.74600,6.01%,684400
1983-08-24,13.87500,14.43500,13.31000,13.50000,13.49600,-1.82%,580400
1983-08-25,13.62500,14.00000,13.31000,13.68500,13.68100,1.37%,332200
1983-08-26,13.87500,14.81000,13.75000,14.62500,14.62100,6.87%,475400
1983-08-29,14.37500,15.37500,14.12500,15.37500,15.37100,5.13%,617800
1983-08-30,15.37500,15.62500,15.06000,15.31000,15.30600,-0.42%,558600
1983-08-31,15.25000,15.87500,15.12500,15.87500,15.87100,3.69%,608800
1983-09-01,16.00000,16.00000,15.25000,15.43500,15.43100,-2.77%,453600
1983-09-02,15.43500,16.00000,15.43500,16.00000,15.99600,3.66%,442200
1983-09-06,16.50000,16.94000,16.25000,16.44000,16.43500,2.75%,876400
1983-09-07,16.44000,16.50000,15.81000,16.00000,15.99600,-2.68%,587600
1983-09-08,16.00000,16.37500,15.62500,16.00000,15.99600,,555200
1983-09-09,16.06500,16.06500,15.00000,15.18500,15.18100,-5.09%,607800
1983-09-12,15.87500,15.87500,14.56000,14.62500,14.62100,-3.69%,669600
1983-09-13,14.50000,14.75000,14.00000,14.68500,14.68100,0.41%,940600
1983-09-14,14.43500,14.68500,14.25000,14.37500,14.37100,-2.11%,495400
1983-09-15,14.37500,15.12500,14.00000,14.87500,14.87100,3.48%,684800
1983-09-16,14.81000,15.56000,14.81000,15.25000,15.24600,2.52%,389800
1983-09-19,15.43500,16.19000,15.31000,16.00000,15.99600,4.92%,412200
1983-09-20,16.00000,16.37500,15.68500,15.75000,15.74600,-1.56%,465200
1983-09-21,15.75000,15.87500,15.62500,15.75000,15.74600,,466000
1983-09-22,15.81000,16.25000,15.75000,16.12500,16.12100,2.38%,1002600
1983-09-23,16.06500,16.06500,14.81000,15.37500,15.37100,-4.65%,743600
1983-09-26,15.56000,15.56000,14.62500,15.00000,14.99600,-2.44%,939600
1983-09-27,14.93500,15.31000,14.87500,15.06000,15.05600,0.40%,846800
1983-09-28,15.06000,15.93500,15.06000,15.87500,15.87100,5.41%,651600
1983-09-29,16.12500,16.37500,15.31000,15.31000,15.30600,-3.56%,638200
1983-09-30,15.50000,15.56000,14.50000,14.50000,14.49600,-5.29%,540600
1983-10-03,14.62500,15.00000,14.56000,15.00000,14.99600,3.45%,454000
1983-10-04,15.18500,15.50000,14.75000,15.43500,15.43100,2.90%,801000
1983-10-05,15.37500,15.56000,15.37500,15.56000,15.55600,0.81%,873000
1983-10-06,15.68500,16.12500,15.62500,16.06500,16.06100,3.25%,620400
1983-10-07,16.31500,16.31500,16.31500,16.31500,16.31100,1.56%,1584000
1983-10-10,16.12500,16.81500,16.06500,16.81500,16.81000,3.06%,819400
1983-10-11,16.31500,16.62500,15.81000,15.81000,15.80600,-5.98%,748000
