Date,Open,High,Low,Close,Adj. Close,Change,Volume
1962-01-03,0.19114,0.19438,0.19114,0.19371,0.13845,1.34%,389370
1962-01-04,0.19371,0.19438,0.19243,0.19371,0.13845,,467127
1962-01-05,0.19371,0.19499,0.19309,0.19438,0.13893,0.35%,467127
1962-01-08,0.19438,0.19694,0.18986,0.19371,0.13845,-0.34%,623031
1962-01-09,0.19371,0.19756,0.19243,0.19756,0.14121,1.99%,311418
1962-01-10,0.19756,0.20079,0.19756,0.19946,0.14256,0.96%,330906
1962-01-11,0.19946,0.20654,0.19884,0.20525,0.14671,2.90%,992913
1962-01-12,0.20525,0.20592,0.19627,0.19884,0.14212,-3.12%,992913
1962-01-15,0.19884,0.20012,0.19756,0.19884,0.14212,,311418
1962-01-16,0.19756,0.19756,0.19243,0.19371,0.13845,-2.58%,175197
1962-01-17,0.19371,0.19371,0.18729,0.18729,0.13387,-3.31%,194685
1962-01-18,0.18858,0.19243,0.18858,0.19114,0.13662,2.06%,155709
1962-01-19,0.19243,0.19499,0.19243,0.19499,0.13937,2.01%,214173
1962-01-22,0.19627,0.19822,0.19627,0.19822,0.14168,1.66%,175197
1962-01-23,0.19822,0.20269,0.19627,0.19756,0.14121,-0.33%,584055
1962-01-24,0.19756,0.19756,0.19243,0.19499,0.13937,-1.30%,175197
1962-01-25,0.19499,0.19561,0.19243,0.19243,0.13754,-1.31%,77757
1962-01-26,0.19243,0.19499,0.19114,0.19114,0.13662,-0.67%,175197
1962-01-29,0.19114,0.19371,0.19114,0.19114,0.13662,,116733
1962-01-30,0.19114,0.19309,0.18986,0.19243,0.13754,0.67%,330906
1962-01-31,0.19243,0.19309,0.19114,0.19243,0.13754,,155709
1962-02-01,0.19243,0.19822,0.19243,0.19499,0.13937,1.33%,623031
1962-02-02,0.19499,0.19756,0.19499,0.19499,0.13937,,311418
1962-02-05,0.19499,0.19694,0.19499,0.19499,0.13937,,194685
1962-02-06,0.19499,0.19627,0.19371,0.19371,0.13845,-0.66%,116733
1962-02-07,0.19499,0.19756,0.19499,0.19627,0.14029,1.32%,700788
1962-02-08,0.19884,0.20330,0.19884,0.20141,0.14396,2.62%,1031889
