Date,Open,High,Low,Close,Adj. Close,Change,Volume
2014-03-28,28.06000,28.32100,27.93400,28.00000,27.93000,0.28%,822000
2014-03-31,28.34500,28.35000,27.84700,27.84900,27.78000,-0.54%,216000
2014-04-01,27.93600,28.42300,27.93600,28.35800,28.28800,1.83%,158000
2014-04-02,28.25500,30.24200,28.11000,28.35000,28.28000,-0.03%,2934000
2014-04-03,28.49300,29.36400,28.20700,28.48700,28.41700,0.48%,101704000
2014-04-04,28.73200,28.88900,27.15000,27.15700,27.09000,-4.67%,127038000
2014-04-07,27.03700,27.42400,26.35700,26.90800,26.84100,-0.92%,87792000
2014-04-08,27.13000,27.75000,27.08100,27.74500,27.67700,3.11%,62852000
2014-04-09,27.98100,28.26900,27.64800,28.20700,28.13700,1.67%,66434000
2014-04-10,28.25000,28.25000,26.99500,27.04800,26.98100,-4.11%,80516000
2014-04-11,26.62700,27.00000,26.32700,26.53000,26.46500,-1.92%,78282000
2014-04-14,26.91300,27.20500,26.47800,26.62600,26.56000,0.36%,51360000
2014-04-15,26.84100,26.92300,25.92300,26.82200,26.75600,0.74%,76890000
2014-04-16,27.15000,27.85000,27.00000,27.82700,27.75800,3.75%,97598000
2014-04-17,27.44000,27.47500,26.55700,26.80500,26.73900,-3.67%,135818000
2014-04-21,26.80500,26.83500,26.28000,26.43100,26.36600,-1.40%,51194000
2014-04-22,26.43200,26.86200,26.37600,26.74000,26.67500,1.17%,47178000
2014-04-23,26.69000,26.69400,26.31300,26.34700,26.28200,-1.47%,40934000
2014-04-24,26.50400,26.58300,26.10600,26.25800,26.19300,-0.34%,37560000
2014-04-25,26.12600,26.23500,25.77100,25.80900,25.74500,-1.71%,41892000
2014-04-28,25.85900,25.93000,25.14000,25.85700,25.79400,0.19%,66528000
2014-04-29,25.84500,26.47300,25.81600,26.38500,26.32000,2.04%,53834000
2014-04-30,26.38000,26.40000,26.12600,26.33300,26.26800,-0.20%,34928000
2014-05-01,26.35600,26.64600,26.19400,26.56800,26.50200,0.89%,38006000
2014-05-02,26.68800,26.70000,26.28100,26.39600,26.33100,-0.65%,33678000
2014-05-05,26.24100,26.44500,26.06600,26.39000,26.32500,-0.02%,20426000
2014-05-06,26.26200,26.34100,25.75300,25.75700,25.69400,-2.40%,33688000
2014-05-07,25.78900,25.83400,25.16500,25.49800,25.43500,-1.01%,64310000
2014-05-08,25.42300,25.86200,25.32200,25.55000,25.48700,0.20%,40316000
2014-05-09,25.53800,25.99500,25.21000,25.93700,25.87300,1.51%,48656000
2014-05-12,26.17600,26.51000,25.95000,26.49600,26.43100,2.16%,38146000
2014-05-13,26.54500,26.80400,26.47600,26.65500,26.58900,0.60%,32978000
2014-05-14,26.65000,26.65000,26.26400,26.33300,26.26800,-1.21%,23770000
2014-05-15,26.28500,26.29400,25.87100,25.99900,25.93500,-1.27%,33994000
2014-05-16,26.06900,26.09000,25.77200,26.03200,25.96700,0.13%,29624000
2014-05-19,25.98500,26.48900,25.87900,26.44300,26.37800,1.58%,25486000
2014-05-20,26.48700,26.81200,26.31500,26.48900,26.42300,0.17%,35598000
2014-05-21,26.64500,26.95900,26.59500,26.94700,26.88100,1.73%,23860000
2014-05-22,27.05700,27.38000,27.03900,27.25300,27.18600,1.14%,32228000
2014-05-23,27.36300,27.68200,27.18500,27.63500,27.56700,1.40%,38538000
2014-05-27,27.80000,28.30000,27.71800,28.29800,28.22800,2.40%,41968000
2014-05-28,28.22900,28.39200,28.05000,28.08400,28.01500,-0.76%,32950000
2014-05-29,28.16800,28.20000,27.93600,28.00400,27.93500,-0.28%,27008000
2014-05-30,28.04000,28.06800,27.79500,27.99500,27.92500,-0.03%,35326000
2014-06-02,28.03500,28.04500,27.28700,27.69600,27.62800,-1.07%,28622000
2014-06-03,27.55000,27.61700,27.12700,27.24700,27.18000,-1.62%,37230000
2014-06-04,27.07500,27.43100,26.93800,27.23300,27.16600,-0.05%,36230000
2014-06-05,27.32000,27.74800,27.22300,27.69500,27.62700,1.70%,33690000
2014-06-06,27.90300,27.90300,27.44600,27.81700,27.74800,0.44%,34640000
2014-06-09,27.85700,28.14500,27.80200,28.10600,28.03700,1.04%,29270000
2014-06-10,28.02600,28.18000,27.89500,28.02700,27.95800,-0.28%,26960000
2014-06-11,27.90000,27.99400,27.75100,27.94200,27.87300,-0.30%,21942000
2014-06-12,27.86500,27.90000,27.42300,27.56800,27.50000,-1.34%,29090000
2014-06-13,27.61300,27.61500,27.27800,27.58800,27.52000,0.07%,24344000
2014-06-16,27.46300,27.48100,27.07600,27.21400,27.14700,-1.36%,33958000
2014-06-17,27.21000,27.26600,26.96700,27.15100,27.08400,-0.23%,28812000
2014-06-18,27.24300,27.67800,27.20000,27.66900,27.60000,1.91%,34740000
2014-06-19,27.71200,27.75000,27.42600,27.74500,27.67700,0.27%,49002000
2014-06-20,27.84300,27.87900,27.52000,27.81800,27.74900,0.26%,89920000
2014-06-23,27.75800,28.25000,27.71300,28.24800,28.17800,1.55%,30652000
2014-06-24,28.26000,28.63200,28.05100,28.23100,28.16100,-0.06%,44022000
2014-06-25,28.26300,28.99800,28.26100,28.93200,28.86100,2.48%,39280000
2014-06-26,29.05000,29.12300,28.59300,28.80000,28.72900,-0.46%,34744000
2014-06-27,28.85900,28.99400,28.69000,28.86200,28.79100,0.22%,44616000
2014-06-30,28.93300,28.97900,28.73800,28.76400,28.69300,-0.34%,26204000
2014-07-01,28.91600,29.22000,28.83300,29.13300,29.06200,1.28%,28880000
2014-07-02,29.16800,29.27200,29.02000,29.11700,29.04500,-0.05%,21070000
2014-07-03,29.16800,29.25100,29.04600,29.23700,29.16400,0.41%,14244000
2014-07-07,29.18800,29.32100,28.98000,29.11300,29.04100,-0.42%,21234000
2014-07-08,28.88300,28.97600,28.30700,28.55500,28.48400,-1.92%,38086000
2014-07-09,28.57900,28.83600,28.46900,28.80400,28.73300,0.87%,22274000
2014-07-10,28.29500,28.83000,28.25100,28.55500,28.48500,-0.86%,27060000
2014-07-11,28.59500,29.04300,28.57100,28.95900,28.88800,1.41%,32346000
2014-07-14,29.13000,29.26100,28.90200,29.24400,29.17100,0.98%,36980000
2014-07-15,29.28700,29.29000,28.82800,29.23900,29.16700,-0.02%,32372000
2014-07-16,29.40000,29.42000,29.11000,29.13300,29.06100,-0.36%,27866000
2014-07-17,28.97600,29.05000,28.43100,28.68600,28.61600,-1.53%,60166000
2014-07-18,29.65000,29.84000,29.10000,29.75400,29.68100,3.72%,80064000
2014-07-21,29.58800,29.72000,29.26200,29.47400,29.40100,-0.94%,41130000
2014-07-22,29.53600,29.98200,29.53000,29.73700,29.66400,0.89%,33890000
2014-07-23,29.66200,29.89300,29.62500,29.79900,29.72600,0.21%,24596000
2014-07-24,29.82300,29.97500,29.58900,29.66800,29.59400,-0.44%,20646000
2014-07-25,29.52000,29.59300,29.35100,29.45100,29.37800,-0.73%,18598000
2014-07-28,29.40400,29.62500,29.23800,29.53000,29.45700,0.27%,19682000
2014-07-29,29.43800,29.48500,29.17600,29.28100,29.20800,-0.84%,26924000
2014-07-30,29.32700,29.47500,29.20000,29.37100,29.29900,0.31%,20274000
2014-07-31,29.03000,29.18200,28.50000,28.58000,28.51000,-2.69%,41940000
2014-08-01,28.52000,28.79800,28.14300,28.30400,28.23400,-0.97%,38998000
2014-08-04,28.45200,28.76800,28.20500,28.65800,28.58700,1.25%,28468000
2014-08-05,28.50200,28.59900,28.13100,28.25400,28.18400,-1.41%,30940000
2014-08-06,28.08900,28.53500,28.00000,28.31900,28.24900,0.23%,26614000
2014-08-07,28.40000,28.49500,28.05500,28.16800,28.09900,-0.53%,22158000
2014-08-08,28.17800,28.51300,28.01800,28.43800,28.36800,0.96%,29814000
2014-08-11,28.50000,28.52500,28.30000,28.39400,28.32400,-0.15%,24228000
2014-08-12,28.22600,28.29500,28.04400,28.13700,28.06700,-0.91%,30756000
2014-08-13,28.36500,28.75000,28.28800,28.73900,28.66800,2.14%,28758000
2014-08-14,28.80900,28.89500,28.54400,28.73200,28.66200,-0.02%,19656000
2014-08-15,28.89300,28.96900,28.52600,28.67400,28.60300,-0.20%,30300000
2014-08-18,28.80600,29.22600,28.80000,29.10800,29.03600,1.51%,25612000
2014-08-19,29.25000,29.36700,29.20000,29.34300,29.27100,0.81%,19520000
2014-08-20,29.29400,29.33500,29.12900,29.22500,29.15200,-0.40%,20678000
2014-08-21,29.19100,29.22500,29.05700,29.16900,29.09700,-0.19%,18246000
2014-08-22,29.18000,29.26200,29.03200,29.12800,29.05600,-0.14%,15738000
2014-08-25,29.23600,29.25000,28.95000,29.01000,28.93800,-0.41%,27154000
2014-08-26,29.06300,29.09000,28.82900,28.89300,28.82200,-0.40%,32704000
2014-08-27,28.86400,28.92500,28.50500,28.55000,28.48000,-1.19%,33974000
2014-08-28,28.47800,28.66300,28.35500,28.46000,28.39000,-0.32%,25788000
2014-08-29,28.56700,28.60200,28.35300,28.58000,28.51000,0.42%,21616000
2014-09-02,28.59300,28.89200,28.56000,28.86700,28.79500,1.00%,31482000
2014-09-03,29.00000,29.15000,28.75000,28.89700,28.82600,0.10%,24236000
2014-09-04,29.00000,29.30000,28.96100,29.09900,29.02700,0.70%,29084000
2014-09-05,29.19900,29.32700,29.09800,29.30400,29.23200,0.70%,32558000
2014-09-08,29.33000,29.58900,29.31500,29.48600,29.41300,0.62%,28542000
2014-09-09,29.44500,29.45000,29.00000,29.05100,28.97900,-1.48%,25674000
2014-09-10,29.07500,29.17500,28.84700,29.15500,29.08300,0.36%,19494000
2014-09-11,29.01800,29.09100,28.81300,29.06800,28.99600,-0.30%,24354000
2014-09-12,29.05000,29.08200,28.72300,28.78100,28.71000,-0.99%,31946000
2014-09-15,28.64700,28.74800,28.41100,28.65500,28.58400,-0.44%,31864000
2014-09-16,28.63800,29.07500,28.63300,28.99800,28.92600,1.20%,29526000
2014-09-17,29.00100,29.37600,28.93900,29.23900,29.16600,0.83%,33764000
2014-09-18,29.35000,29.47700,29.25000,29.46400,29.39100,0.77%,28812000
2014-09-19,29.57500,29.82400,29.47500,29.80400,29.73100,1.15%,74528000
2014-09-22,29.69100,29.69700,29.17300,29.36900,29.29600,-1.46%,33698000
2014-09-23,29.34300,29.34300,29.05000,29.05700,28.98500,-1.06%,29348000
2014-09-24,29.07300,29.48200,29.02600,29.40000,29.32700,1.18%,34421700
2014-09-25,29.37700,29.39900,28.70900,28.75300,28.68200,-2.20%,38312860
2014-09-26,28.80300,28.96300,28.73300,28.85500,28.78400,0.35%,28796140
2014-09-29,28.58800,28.91000,28.55900,28.81800,28.74700,-0.13%,25624080
2014-09-30,28.84700,28.99300,28.64300,28.86800,28.79700,0.17%,32368740
2014-10-01,28.80100,28.87900,28.35100,28.41400,28.34300,-1.57%,28900540
2014-10-02,28.36500,28.59500,28.16600,28.50400,28.43400,0.32%,23506140
2014-10-03,28.65200,28.86100,28.62500,28.76400,28.69300,0.91%,22772720
2014-10-06,28.94000,29.05000,28.72200,28.86800,28.79600,0.36%,24226400
2014-10-07,28.72000,28.76400,28.18700,28.18700,28.11800,-2.36%,38128540
2014-10-08,28.27900,28.69400,27.87500,28.62500,28.55400,1.55%,39757760
2014-10-09,28.55900,28.57500,27.95300,28.04400,27.97500,-2.03%,50393860
2014-10-10,27.88600,28.25600,27.20200,27.22500,27.15700,-2.92%,61572680
2014-10-13,27.25000,27.47500,26.65500,26.66100,26.59500,-2.07%,51573520
2014-10-14,26.94500,27.36000,26.65800,26.89700,26.83100,0.89%,44344600
2014-10-15,26.55100,26.64000,25.91500,26.50200,26.43600,-1.47%,74250720
2014-10-16,25.95000,26.47200,25.75000,26.22600,26.16100,-1.04%,73968460
2014-10-17,26.36300,26.54900,25.42600,25.55900,25.49500,-2.54%,110613480
2014-10-20,25.47300,26.08800,25.40500,26.04200,25.97800,1.89%,52110100
2014-10-21,26.26000,26.33900,25.95600,26.32700,26.26200,1.09%,46650620
2014-10-22,26.49500,26.99000,26.44000,26.63600,26.57000,1.17%,58343660
2014-10-23,26.96600,27.36100,26.79300,27.19900,27.13200,2.11%,46905920
2014-10-24,27.21800,27.24400,26.78900,26.98900,26.92200,-0.77%,39440940
2014-10-27,26.85100,27.22000,26.85100,27.03900,26.97200,0.19%,23699460
2014-10-28,27.15000,27.44900,27.08100,27.44500,27.37700,1.50%,25467440
2014-10-29,27.50000,27.71000,27.34900,27.46700,27.39900,0.08%,35342140
2014-10-30,27.44800,27.64000,27.17600,27.51500,27.44800,0.17%,29033340
2014-10-31,27.96800,27.97900,27.73800,27.95400,27.88500,1.60%,40657740
2014-11-03,27.77500,27.89500,27.66200,27.76100,27.69300,-0.69%,27570220
2014-11-04,27.65000,27.77500,27.46500,27.70600,27.63700,-0.20%,24815220
2014-11-05,27.84000,27.84000,27.20200,27.29600,27.22900,-1.48%,40534800
2014-11-06,27.27500,27.34400,27.04900,27.10200,27.03500,-0.71%,26592080
2014-11-07,27.31100,27.31100,26.93400,27.05100,26.98400,-0.19%,32585180
2014-11-10,27.07300,27.48000,27.05100,27.37500,27.30700,1.20%,22630920
2014-11-11,27.42500,27.59700,27.31500,27.51400,27.44700,0.51%,19297320
2014-11-12,27.52000,27.52300,27.25800,27.36500,27.29800,-0.54%,22531880
2014-11-13,27.49000,27.49000,27.17400,27.26900,27.20200,-0.35%,26714380
2014-11-14,27.33400,27.33400,27.10700,27.22000,27.15300,-0.18%,25719820
2014-11-17,27.17900,27.19000,26.70300,26.82500,26.75900,-1.45%,34425640
2014-11-18,26.87500,27.09700,26.70800,26.75200,26.68600,-0.27%,39153280
2014-11-19,26.75000,26.91200,26.50400,26.85000,26.78300,0.37%,27768800
2014-11-20,26.56300,26.75600,26.55400,26.74200,26.67600,-0.40%,31182620
2014-11-21,27.08100,27.10700,26.82800,26.87500,26.80900,0.50%,44364980
2014-11-24,26.88300,27.13500,26.78100,26.96400,26.89700,0.33%,34033640
2014-11-25,26.95000,27.19900,26.93000,27.05400,26.98700,0.33%,35699340
2014-11-26,27.04400,27.07700,26.85200,27.01900,26.95200,-0.13%,30390060
2014-11-28,27.03100,27.10000,26.83000,27.09200,27.02500,0.27%,22904620
2014-12-01,26.94500,27.07100,26.59300,26.69000,26.62400,-1.48%,42191980
2014-12-02,26.67600,26.77500,26.49000,26.68800,26.62200,-0.01%,30449620
2014-12-03,26.57200,26.80000,26.46300,26.56600,26.50100,-0.46%,25585760
2014-12-04,26.55800,26.86700,26.43000,26.86500,26.79900,1.13%,27844160
2014-12-05,26.55000,26.64500,26.21400,26.26300,26.19800,-2.24%,51172980
2014-12-08,26.35700,26.55000,26.19000,26.34900,26.28400,0.33%,46542540
2014-12-09,26.10700,26.71000,26.02500,26.66900,26.60300,1.21%,37425360
2014-12-10,26.65400,26.81700,26.27800,26.30300,26.23800,-1.37%,34336700
2014-12-11,26.39000,26.69600,26.35500,26.41700,26.35200,0.43%,32219280
2014-12-12,26.17600,26.42500,25.93300,25.93300,25.86900,-1.83%,39782340
2014-12-15,26.13700,26.15500,25.66400,25.69000,25.62700,-0.94%,56255720
2014-12-16,25.57800,25.65200,24.45000,24.77000,24.70800,-3.58%,79067420
2014-12-17,24.85000,25.35000,24.84100,25.24500,25.18200,1.92%,57505620
2014-12-18,25.64800,25.69400,25.23500,25.55500,25.49200,1.23%,58374600
2014-12-19,25.57500,25.88600,25.34600,25.81800,25.75400,1.03%,73602960
2014-12-22,25.80400,26.32300,25.80400,26.24400,26.17900,1.65%,54471980
2014-12-23,26.35000,26.72800,26.31500,26.53000,26.46400,1.09%,43831340
2014-12-24,26.52600,26.58800,26.35100,26.43800,26.37300,-0.35%,14080700
2014-12-26,26.43800,26.71300,26.36500,26.70200,26.63600,1.00%,20754540
2014-12-29,26.61000,26.77400,26.50100,26.51700,26.45100,-0.69%,45522080
2014-12-30,26.40500,26.55700,26.35700,26.52100,26.45600,0.02%,17478460
2014-12-31,26.56300,26.63000,26.29000,26.32000,26.25500,-0.76%,27436380
2015-01-02,26.45000,26.56300,26.20500,26.24000,26.17600,-0.30%,28933240
2015-01-05,26.16300,26.21700,25.65300,25.69400,25.63000,-2.08%,41084760
2015-01-06,25.75000,25.80900,25.05300,25.09800,25.03600,-2.32%,57839000
2015-01-07,25.35000,25.36200,24.98200,25.05500,24.99300,-0.17%,41187320
2015-01-08,24.90000,25.17400,24.55000,25.13400,25.07200,0.32%,66887900
2015-01-09,25.23800,25.24600,24.74000,24.80900,24.74700,-1.29%,41099120
2015-01-12,24.74700,24.79900,24.37800,24.62800,24.56700,-0.73%,46408920
2015-01-13,24.94200,25.14900,24.62000,24.80900,24.74800,0.73%,47313740
2015-01-14,24.73200,25.16200,24.65000,25.04400,24.98200,0.95%,44592760
2015-01-15,25.27900,25.28400,24.88800,25.09000,25.02800,0.18%,54227100
2015-01-16,25.00100,25.41000,25.00000,25.40400,25.34100,1.25%,45840860
2015-01-20,25.55000,25.62500,25.30100,25.34500,25.28300,-0.23%,44518440
2015-01-21,25.36300,25.96400,25.31000,25.90200,25.83800,2.20%,45249100
2015-01-22,26.07400,26.81700,25.98500,26.72000,26.65400,3.16%,53391160
2015-01-23,26.78000,27.10900,26.65000,26.99800,26.93100,1.04%,45509700
2015-01-26,26.92600,26.95000,26.48400,26.76100,26.69500,-0.88%,30790480
2015-01-27,26.49900,26.53500,25.91000,25.93200,25.86800,-3.10%,37976880
2015-01-28,26.13900,26.15000,25.50000,25.50000,25.43700,-1.67%,33584600
2015-01-29,25.55000,25.55400,25.06000,25.53300,25.47000,0.13%,83498480
2015-01-30,25.79300,26.99400,25.77600,26.72600,26.66000,4.67%,111819540
2015-02-02,26.58700,26.65000,25.92800,26.42400,26.35900,-1.13%,56839520
2015-02-03,26.40000,26.67000,26.16300,26.46200,26.39700,0.14%,40661700
2015-02-04,26.46200,26.63400,26.06300,26.13800,26.07400,-1.22%,33182500
2015-02-05,26.19000,26.42500,26.10500,26.37900,26.31400,0.92%,36893740
2015-02-06,26.38200,26.86000,26.32100,26.55000,26.48500,0.65%,35173000
2015-02-09,26.40000,26.60000,26.30100,26.39200,26.32600,-0.60%,25285520
2015-02-10,26.46500,26.88500,26.34600,26.84700,26.78100,1.72%,34901520
2015-02-11,26.76500,26.92300,26.66900,26.79900,26.73200,-0.18%,27479400
2015-02-12,26.86300,27.24100,26.73400,27.14600,27.08000,1.29%,32316480
2015-02-13,27.16800,27.49600,27.15700,27.45000,27.38300,1.12%,37902520
2015-02-17,27.34200,27.50000,27.05500,27.14200,27.07500,-1.12%,32248780
2015-02-18,27.07000,27.27500,26.87600,26.98500,26.91800,-0.58%,28981780
2015-02-19,26.90200,27.15600,26.90100,27.14400,27.07700,0.59%,19749560
2015-02-20,27.15700,27.18800,26.79000,26.94800,26.88100,-0.72%,28824240
2015-02-23,26.80300,26.82200,26.47000,26.59500,26.53000,-1.31%,29078140
2015-02-24,26.50000,26.83900,26.41300,26.80500,26.73800,0.79%,20047860
2015-02-25,26.79500,27.31100,26.77200,27.19400,27.12600,1.45%,36420820
2015-02-26,27.16100,27.80700,27.07500,27.77400,27.70600,2.13%,46104380
2015-02-27,27.71200,28.23600,27.64500,27.92000,27.85100,0.53%,48071060
2015-03-02,28.02700,28.60700,27.93800,28.56700,28.49700,2.32%,42475920
2015-03-03,28.52300,28.77000,28.32600,28.68200,28.61100,0.40%,34001680
2015-03-04,28.59400,28.85600,28.40100,28.66900,28.59800,-0.05%,37433880
2015-03-05,28.75100,28.89600,28.67000,28.76700,28.69600,0.34%,27716360
2015-03-06,28.74400,28.83400,28.33800,28.38400,28.31400,-1.33%,33091220
2015-03-09,28.34300,28.51400,28.17700,28.44300,28.37200,0.21%,21186720
2015-03-10,28.21300,28.24300,27.73700,27.75100,27.68200,-2.43%,35747140
2015-03-11,27.75700,27.90700,27.53400,27.55900,27.49100,-0.69%,36315260
2015-03-12,27.67600,27.81900,27.52300,27.77600,27.70700,0.79%,27715440
2015-03-13,27.67500,27.92000,27.21100,27.36600,27.29900,-1.48%,33977440
2015-03-16,27.54800,27.84300,27.30000,27.72600,27.65700,1.32%,32729860
2015-03-17,27.58600,27.69000,27.40000,27.54200,27.47400,-0.66%,36011400
2015-03-18,27.62500,27.98900,27.35000,27.97500,27.90600,1.57%,42574280
2015-03-19,27.97000,28.04000,27.80700,27.90000,27.83100,-0.27%,23880980
2015-03-20,28.08300,28.08600,27.95200,28.01800,27.94900,0.42%,52193800
2015-03-23,28.02100,28.11800,27.79200,27.94000,27.87200,-0.28%,32786120
2015-03-24,28.12800,28.73000,28.06100,28.51000,28.43900,2.04%,51524680
