Date,Open,High,Low,Close,Adj. Close,Change,Volume
1972-06-02,4.05500,4.09400,4.05500,4.09400,1.48000,1.16%,640000
1972-06-05,4.08600,4.08600,4.02400,4.03900,1.46000,-1.34%,464000
1972-06-06,4.03900,4.03900,4.00000,4.00000,1.44600,-0.97%,796800
1972-06-07,4.00000,4.05500,3.99300,4.04700,1.46300,1.17%,584000
1972-06-08,4.04700,4.06300,3.99300,4.00000,1.44600,-1.16%,726400
1972-06-09,4.00800,4.05500,4.00800,4.04700,1.46300,1.17%,296000
1972-06-12,4.04700,4.07800,4.01600,4.03900,1.46000,-0.20%,473600
1972-06-13,4.04700,4.09400,4.04700,4.07800,1.47500,0.97%,478400
1972-06-14,4.09400,4.18000,4.09400,4.16400,1.50600,2.11%,795200
1972-06-15,4.18800,4.23400,4.18800,4.18800,1.51400,0.58%,836800
1972-06-16,4.18800,4.19500,4.12500,4.14100,1.49700,-1.12%,267200
1972-06-19,4.14100,4.16400,4.06300,4.10900,1.48600,-0.77%,1001600
1972-06-20,4.12500,4.16400,4.12500,4.16400,1.50600,1.34%,345600
1972-06-21,4.16400,4.18000,4.11800,4.12500,1.49200,-0.94%,556800
1972-06-22,4.12500,4.16400,4.10900,4.15600,1.50300,0.75%,321600
1972-06-23,4.15600,4.18000,4.15600,4.17200,1.50900,0.38%,212800
1972-06-26,4.17200,4.21900,4.13300,4.21900,1.52600,1.13%,278400
1972-06-27,4.21900,4.24300,4.17200,4.19500,1.51700,-0.57%,268800
1972-06-28,4.18000,4.18000,4.10900,4.12500,1.49200,-1.67%,433600
1972-06-29,4.12500,4.14900,4.10100,4.10100,1.48300,-0.58%,313600
1972-06-30,4.10900,4.17200,4.10900,4.15600,1.50300,1.34%,404800
1972-07-03,4.15600,4.21100,4.14900,4.20300,1.52000,1.13%,240000
1972-07-05,4.23400,4.28100,4.23400,4.25000,1.53700,1.12%,734400
1972-07-06,4.30500,4.35100,4.30500,4.32800,1.56500,1.84%,809600
1972-07-07,4.33600,4.43000,4.33600,4.43000,1.60200,2.36%,595200
1972-07-10,4.43000,4.43800,4.37500,4.38300,1.58500,-1.06%,316800
1972-07-11,4.38300,4.43000,4.38300,4.39900,1.59100,0.37%,232000
1972-07-12,4.40600,4.47600,4.40600,4.43800,1.60500,0.89%,1132800
1972-07-13,4.43800,4.48400,4.39100,4.43800,1.60500,,790400
1972-07-14,4.44500,4.53100,4.44500,4.51600,1.63300,1.76%,950400
1972-07-17,4.51600,4.51600,4.43800,4.43800,1.60500,-1.73%,187200
