Date,Open,High,Low,Close,Adj. Close,Change,Volume
2012-05-21,36.53000,36.66000,33.00000,34.03000,33.92800,-10.99%,168192700
2012-05-22,32.61000,33.59000,30.94000,31.00000,30.90700,-8.90%,101786600
2012-05-23,31.37000,32.50000,31.36000,32.00000,31.90400,3.23%,73600000
2012-05-24,32.95000,33.21000,31.77000,33.03000,32.93100,3.22%,50237200
2012-05-25,32.90000,32.95000,31.11000,31.91000,31.81500,-3.39%,37149800
2012-05-29,31.48000,31.69000,28.65000,28.84000,28.75400,-9.62%,78063400
2012-05-30,28.69500,29.55000,27.86000,28.19000,28.10600,-2.25%,57267900
2012-05-31,28.54500,29.67000,26.83000,29.60000,29.51100,5.00%,111639200
2012-06-01,28.89200,29.15000,27.39000,27.72000,27.63700,-6.35%,41855500
2012-06-04,27.20000,27.65000,26.44000,26.90000,26.82000,-2.96%,35230300
2012-06-05,26.70000,27.76000,25.75000,25.86900,25.79200,-3.83%,42473400
2012-06-06,26.07000,27.17000,25.52000,26.81000,26.73000,3.64%,61489200
2012-06-07,27.00000,27.35000,26.15000,26.31000,26.23100,-1.86%,26159500
2012-06-08,26.55000,27.76000,26.44000,27.10000,27.01900,3.00%,38034000
2012-06-11,27.18000,28.07000,26.83500,27.00500,26.92400,-0.35%,28219600
2012-06-12,27.48000,27.77000,26.96000,27.40000,27.31800,1.46%,15816800
2012-06-13,27.66000,28.10000,27.10000,27.27000,27.18800,-0.47%,17102800
2012-06-14,27.65000,28.32000,27.38000,28.29000,28.20500,3.74%,16855000
2012-06-15,28.50500,30.10000,28.35000,30.01400,29.92400,6.09%,43563800
2012-06-18,29.95500,32.08000,29.41000,31.41000,31.31600,4.65%,42978900
2012-06-19,31.53500,32.18000,30.70000,31.91100,31.81600,1.60%,30849000
2012-06-20,31.92000,31.92900,31.15000,31.60000,31.50500,-0.97%,15553600
2012-06-21,31.67000,32.50000,31.51000,31.84000,31.74500,0.76%,21875300
2012-06-22,32.41000,33.45000,32.06000,33.05000,32.95100,3.80%,74834000
2012-06-25,32.86000,33.02000,31.55000,32.06000,31.96400,-3.00%,24352900
2012-06-26,32.69000,33.44000,32.50000,33.10000,33.00100,3.24%,24858700
2012-06-27,32.46000,32.90000,31.90000,32.23000,32.13400,-2.63%,28568000
2012-06-28,31.96000,32.19000,30.90000,31.36000,31.26600,-2.70%,17713300
2012-06-29,31.92000,31.99000,30.76000,31.09500,31.00200,-0.85%,19526900
2012-07-02,31.25000,31.73000,30.55000,30.77100,30.67900,-1.04%,14122000
2012-07-03,30.91000,31.44000,30.80000,31.20000,31.10700,1.39%,8763600
2012-07-05,31.32000,31.62500,31.02000,31.47000,31.37600,0.87%,10032100
2012-07-06,31.44000,31.90000,31.26000,31.73000,31.63500,0.83%,10945600
2012-07-09,32.10000,32.88000,31.99000,32.17000,32.07400,1.39%,17785200
2012-07-10,32.43000,32.48000,31.16000,31.47000,31.37600,-2.18%,14269500
2012-07-11,31.48000,31.56000,30.55000,30.97000,30.87700,-1.59%,13030300
2012-07-12,30.70000,31.40000,30.60000,30.81000,30.71800,-0.52%,11300700
2012-07-13,31.04000,31.07000,30.56000,30.72000,30.62800,-0.29%,8108300
2012-07-16,30.50000,30.50000,28.21000,28.24500,28.16100,-8.06%,24672100
2012-07-17,28.48000,28.59000,27.15000,28.09000,28.00600,-0.55%,30438600
2012-07-18,28.31000,29.29000,28.15000,29.11000,29.02300,3.63%,16841800
2012-07-19,29.41000,29.50000,28.63000,29.00000,28.91300,-0.38%,13685100
2012-07-20,29.00000,29.47000,28.72000,28.76000,28.67400,-0.83%,11869100
2012-07-23,28.12000,29.00000,28.01000,28.75000,28.66400,-0.03%,12390700
2012-07-24,28.82000,29.45000,28.10000,28.45000,28.36500,-1.04%,11539800
2012-07-25,28.39000,29.49000,28.08000,29.34000,29.25200,3.13%,17230200
2012-07-26,27.75000,28.23000,26.73000,26.84500,26.76500,-8.50%,64597400
2012-07-27,23.19000,24.54000,22.28000,23.70500,23.63400,-11.70%,123102300
2012-07-30,23.99500,24.04000,23.03000,23.15000,23.08100,-2.34%,29285900
2012-07-31,23.37000,23.37000,21.61000,21.71000,21.64500,-6.22%,56179400
2012-08-01,21.50000,21.58000,20.84000,20.88000,20.81800,-3.82%,44604400
2012-08-02,20.77000,20.84000,19.82000,20.04000,19.98000,-4.02%,56374500
2012-08-03,20.36000,22.16000,19.90000,21.09000,21.02700,5.24%,80647000
2012-08-06,21.39000,22.15000,21.30000,21.92000,21.85400,3.94%,27778900
2012-08-07,22.20000,22.45000,20.50000,20.72000,20.65800,-5.47%,36782900
2012-08-08,20.71000,21.15000,20.22000,20.72000,20.65800,,29537400
2012-08-09,20.75000,21.17000,20.61000,21.01000,20.94700,1.40%,15610700
2012-08-10,21.41000,21.82000,21.13000,21.80700,21.74200,3.79%,25794700
2012-08-13,22.15000,22.45000,21.40000,21.60000,21.53500,-0.95%,24973100
2012-08-14,21.41000,21.60000,20.25000,20.38000,20.31900,-5.65%,39308800
2012-08-15,20.64000,21.41000,20.40000,21.20000,21.13700,4.02%,47861100
2012-08-16,20.44000,20.48000,19.69000,19.87000,19.81100,-6.27%,157565300
2012-08-17,20.00500,20.08000,19.00000,19.05000,18.99300,-4.13%,129293400
2012-08-20,19.05000,20.13000,18.75000,20.01100,19.95100,5.04%,101186600
2012-08-21,19.58000,19.98000,19.09000,19.15900,19.10200,-4.26%,70640600
2012-08-22,19.36000,19.53000,18.96000,19.43900,19.38100,1.46%,49892200
2012-08-23,19.50000,19.73000,19.36000,19.44000,19.38200,0.01%,32813700
2012-08-24,19.52000,19.68000,19.25000,19.40900,19.35100,-0.16%,29622200
2012-08-27,19.49000,19.53000,19.10000,19.15000,19.09300,-1.33%,20704000
2012-08-28,19.10000,19.38000,18.95000,19.34000,19.28200,0.99%,25417000
2012-08-29,19.32000,19.38000,19.07000,19.10000,19.04300,-1.24%,16124700
2012-08-30,19.27000,19.45000,19.06000,19.08900,19.03100,-0.06%,30647500
2012-08-31,18.68000,18.70000,18.03000,18.05800,18.00400,-5.40%,58764200
2012-09-04,18.08000,18.27000,17.55000,17.72900,17.67600,-1.82%,46622400
2012-09-05,18.27000,18.75000,18.18000,18.58000,18.52400,4.80%,60781800
2012-09-06,18.74000,19.26200,18.72000,18.96000,18.90300,2.05%,46066500
2012-09-07,19.10000,19.42000,18.78000,18.98000,18.92300,0.11%,36371700
2012-09-10,19.06000,19.20000,18.55000,18.81000,18.75400,-0.90%,24797800
2012-09-11,18.92000,19.58100,18.85000,19.43000,19.37200,3.30%,50508200
2012-09-12,20.76000,21.16000,20.28000,20.93100,20.86800,7.73%,121584000
2012-09-13,20.95500,21.48000,20.61000,20.71300,20.65100,-1.04%,65041600
2012-09-14,21.13000,22.08000,20.90000,22.00000,21.93400,6.21%,72819800
2012-09-17,22.67000,22.75000,21.50000,21.52000,21.45600,-2.18%,50667600
2012-09-18,21.60000,21.98000,21.37000,21.87000,21.80500,1.63%,36760500
