Date,Open,High,Low,Close,Adj. Close,Change,Volume
2002-05-24,1.21400,1.22500,1.19700,1.21000,1.21000,1.17%,11104811
2002-05-28,1.21400,1.23200,1.15700,1.15700,1.15700,-4.38%,6609406
2002-05-29,1.16400,1.16400,1.08600,1.10400,1.10400,-4.58%,6757806
2002-05-30,1.10800,1.10800,1.07100,1.07100,1.07100,-2.99%,10154210
2002-05-31,1.07900,1.07900,1.07100,1.07600,1.07600,0.47%,8464408
2002-06-03,1.08000,1.14900,1.07600,1.12900,1.12900,4.93%,3151403
2002-06-04,1.13600,1.14000,1.11100,1.11800,1.11800,-0.97%,3105203
2002-06-05,1.11100,1.15900,1.10700,1.14700,1.14700,2.59%,1531601
2002-06-06,1.15000,1.23200,1.14900,1.18200,1.18200,3.05%,2305802
2002-06-07,1.17800,1.17800,1.10400,1.11900,1.11900,-5.33%,1369201
2002-06-10,1.13500,1.17500,1.13500,1.15600,1.15600,3.31%,484400
2002-06-11,1.15600,1.18900,1.12900,1.15400,1.15400,-0.17%,1003801
2002-06-12,1.15400,1.18200,1.08900,1.09300,1.09300,-5.29%,1799001
2002-06-13,1.10400,1.12200,1.08000,1.08300,1.08300,-0.91%,2567602
2002-06-14,1.08200,1.08600,0.98000,0.98643,0.98643,-8.92%,4783804
2002-06-17,1.01400,1.05900,0.91786,0.92214,0.92214,-6.52%,4855204
2002-06-18,0.93857,0.93928,0.84214,0.91071,0.91071,-1.24%,10808010
2002-06-19,0.91143,0.99643,0.89286,0.95143,0.95143,4.47%,5482405
2002-06-20,0.97143,1.04000,0.95000,0.95714,0.95714,0.60%,6111006
2002-06-21,0.98214,0.98928,0.94786,0.97928,0.97928,2.31%,2346402
2002-06-24,0.97928,1.01400,0.95714,0.97857,0.97857,-0.07%,2567602
2002-06-25,0.98857,1.00700,0.94714,0.96428,0.96428,-1.46%,3941003
2002-06-26,0.96357,0.99643,0.92143,0.98857,0.98857,2.52%,2924602
2002-06-27,1.00900,1.01900,0.94357,0.94357,0.94357,-4.55%,3817803
2002-06-28,0.96071,1.01400,0.96071,0.99928,0.99928,5.90%,9234409
2002-07-01,1.00000,1.04600,0.99286,1.02800,1.02800,2.87%,4585004
2002-07-02,1.05400,1.19600,1.03900,1.17300,1.17300,14.11%,9020209
2002-07-03,1.17900,1.21400,1.11800,1.21400,1.21400,3.50%,4957404
2002-07-05,1.21400,1.29900,1.21400,1.27600,1.27600,5.11%,2003402
2002-07-08,1.25200,1.25200,1.16800,1.17600,1.17600,-7.84%,1953001
2002-07-09,1.17500,1.19600,1.11400,1.16100,1.16100,-1.28%,2935802
2002-07-10,1.16100,1.17900,1.13200,1.16400,1.16400,0.26%,1554001
2002-07-11,1.15400,1.27900,1.13300,1.26900,1.26900,9.02%,2529802
2002-07-12,1.27900,1.28000,1.20700,1.20800,1.20800,-4.81%,2837802
2002-07-15,1.24300,1.24900,1.07600,1.14300,1.14300,-5.38%,4239204
2002-07-16,1.15300,1.15700,1.10400,1.12600,1.12600,-1.49%,1941801
2002-07-17,1.14500,1.16400,1.07600,1.08900,1.08900,-3.29%,1261401
2002-07-18,1.11700,1.16600,1.11100,1.14900,1.14900,5.51%,2899402
2002-07-19,1.15300,1.16100,1.12200,1.16000,1.16000,0.96%,1792001
2002-07-22,1.13600,1.17900,1.11600,1.17100,1.17100,0.95%,1993601
2002-07-23,1.17600,1.21400,1.13100,1.14600,1.14600,-2.13%,1577801
2002-07-24,1.14600,1.15900,1.07400,1.11400,1.11400,-2.79%,3355803
2002-07-25,1.12500,1.12800,1.03500,1.03600,1.03600,-7.00%,4755804
2002-07-26,1.05000,1.05900,0.85000,0.87143,0.87143,-15.89%,7046207
2002-07-29,0.89643,0.92428,0.85000,0.87643,0.87643,0.57%,3260603
2002-07-30,0.89357,0.94286,0.89357,0.91428,0.91428,4.32%,3777203
2002-07-31,0.92857,0.96000,0.90571,0.95357,0.95357,4.30%,3333403
2002-08-01,0.95000,0.96000,0.87786,0.89143,0.89143,-6.52%,4529004
2002-08-02,0.88643,0.88786,0.70643,0.77786,0.77786,-12.74%,6655606
2002-08-05,0.77857,0.81286,0.76071,0.77500,0.77500,-0.37%,3808003
2002-08-06,0.79571,0.80357,0.74286,0.76071,0.76071,-1.84%,3217203
2002-08-07,0.76071,0.79357,0.74286,0.79357,0.79357,4.32%,2758002
2002-08-08,0.79643,0.80357,0.75071,0.79643,0.79643,0.36%,2283402
2002-08-09,0.79857,0.82143,0.77857,0.78714,0.78714,-1.17%,1500801
2002-08-12,0.80286,0.80714,0.75357,0.75714,0.75714,-3.81%,2130802
