Date,Open,High,Low,Close,Adj. Close,Change,Volume
1980-12-15,0.15234,0.15422,0.15234,0.15234,0.09652,3.94%,3321600
1980-12-16,0.15234,0.15234,0.14844,0.14844,0.09405,-2.56%,3315200
1980-12-17,0.14656,0.14656,0.14266,0.14266,0.09039,-3.89%,2336000
1980-12-18,0.14656,0.15031,0.14656,0.14656,0.09286,2.73%,5625600
1980-12-19,0.15234,0.15422,0.15234,0.15234,0.09652,3.94%,5017600
1980-12-22,0.15234,0.15625,0.15234,0.15234,0.09652,,928000
1980-12-23,0.15625,0.16016,0.15625,0.15625,0.09900,2.57%,2848000
1980-12-24,0.16219,0.16594,0.16219,0.16219,0.10276,3.80%,1222400
1980-12-26,0.16406,0.16797,0.16406,0.16406,0.10395,1.15%,729600
1980-12-29,0.16406,0.16594,0.16219,0.16219,0.10276,-1.14%,870400
1980-12-30,0.16594,0.16797,0.16594,0.16594,0.10514,2.31%,2182400
1980-12-31,0.16594,0.16797,0.16406,0.16406,0.10395,-1.13%,1459200
1981-01-02,0.16797,0.17188,0.16797,0.16797,0.10642,2.38%,787200
1981-01-05,0.17484,0.17781,0.17484,0.17484,0.11078,4.09%,2912000
1981-01-06,0.17578,0.17781,0.17578,0.17578,0.11137,0.54%,3475200
1981-01-07,0.16797,0.16797,0.16594,0.16594,0.10514,-5.60%,4403200
1981-01-08,0.16406,0.16406,0.16219,0.16219,0.10276,-2.26%,1651200
1981-01-09,0.16219,0.16406,0.16016,0.16016,0.10147,-1.25%,1235200
1981-01-12,0.16219,0.16594,0.16219,0.16219,0.10276,1.27%,1676800
1981-01-13,0.16594,0.16984,0.16594,0.16594,0.10514,2.31%,2233600
1981-01-14,0.17188,0.17578,0.17188,0.17188,0.10890,3.58%,3961600
1981-01-15,0.17188,0.17391,0.17188,0.17188,0.10890,,1260800
1981-01-16,0.17188,0.17578,0.17188,0.17188,0.10890,,1664000
1981-01-19,0.17188,0.17391,0.17188,0.17188,0.10890,,2016000
1981-01-20,0.16984,0.16984,0.16594,0.16594,0.10514,-3.46%,1753600
1981-01-21,0.16594,0.16797,0.16406,0.16406,0.10395,-1.13%,492800
1981-01-22,0.16219,0.16219,0.15625,0.15625,0.09900,-4.76%,659200
1981-01-23,0.16016,0.16406,0.16016,0.16016,0.10147,2.50%,691200
1981-01-26,0.16016,0.16016,0.15625,0.15625,0.09900,-2.44%,563200
1981-01-27,0.15625,0.15828,0.15625,0.15625,0.09900,,428800
1981-01-28,0.15625,0.15828,0.15625,0.15625,0.09900,,582400
1981-01-29,0.15625,0.16016,0.15625,0.15625,0.09900,,1260800
1981-01-30,0.15422,0.15422,0.15031,0.15031,0.09524,-3.80%,416000
1981-02-02,0.15031,0.15031,0.14656,0.14656,0.09286,-2.49%,1030400
1981-02-03,0.14656,0.15031,0.14656,0.14656,0.09286,,569600
1981-02-04,0.14656,0.15031,0.14656,0.14656,0.09286,,1030400
1981-02-05,0.15031,0.15234,0.15031,0.15031,0.09524,2.56%,1939200
1981-02-06,0.15031,0.15422,0.15031,0.15031,0.09524,,608000
1981-02-09,0.15031,0.15234,0.14656,0.14656,0.09286,-2.49%,569600
1981-02-10,0.14656,0.15031,0.14656,0.14656,0.09286,,1088000
1981-02-11,0.14656,0.14844,0.14266,0.14266,0.09039,-2.66%,627200
1981-02-12,0.14266,0.14844,0.14266,0.14266,0.09039,,108800
1981-02-13,0.14266,0.14656,0.14063,0.14063,0.08910,-1.42%,460800
1981-02-17,0.14063,0.14453,0.14063,0.14063,0.08910,,403200
1981-02-18,0.14453,0.14844,0.14453,0.14453,0.09157,2.77%,1100800
1981-02-19,0.14844,0.15234,0.14844,0.14844,0.09405,2.71%,940800
1981-02-20,0.14844,0.15234,0.14656,0.14656,0.09286,-1.27%,768000
1981-02-23,0.14656,0.15031,0.14656,0.14656,0.09286,,268800
1981-02-24,0.14844,0.15422,0.14844,0.14844,0.09405,1.28%,1004800
1981-02-25,0.14844,0.15234,0.14844,0.14844,0.09405,,268800
1981-02-26,0.15031,0.15422,0.15031,0.15031,0.09524,1.26%,422400
1981-02-27,0.15031,0.15625,0.15031,0.15031,0.09524,,377600
1981-03-02,0.15031,0.15625,0.15031,0.15031,0.09524,,448000
1981-03-03,0.15422,0.15828,0.15422,0.15422,0.09771,2.60%,1900800
1981-03-04,0.15422,0.15625,0.15422,0.15422,0.09771,,1254400
