Date,Open,High,Low,Close,Adj. Close,Change,Volume
1999-01-25,0.04427,0.04583,0.04102,0.04531,0.04156,10.46%,510479744
1999-01-26,0.04583,0.04675,0.04115,0.04179,0.03833,-7.77%,343199828
1999-01-27,0.04194,0.04298,0.03958,0.04167,0.03822,-0.29%,244367877
1999-01-28,0.04167,0.04194,0.04127,0.04154,0.03810,-0.31%,227519886
1999-01-29,0.04154,0.04167,0.03958,0.03958,0.03631,-4.72%,244031877
1999-02-01,0.03958,0.04063,0.03958,0.04038,0.03703,2.02%,154703922
1999-02-02,0.03958,0.04063,0.03606,0.03725,0.03417,-7.75%,264095867
1999-02-03,0.03673,0.03854,0.03646,0.03802,0.03487,2.07%,75119962
1999-02-04,0.03854,0.04115,0.03802,0.04010,0.03679,5.47%,181919909
1999-02-05,0.04075,0.04167,0.03971,0.04127,0.03786,2.92%,136847931
1999-02-08,0.04154,0.04167,0.03985,0.03985,0.03656,-3.44%,154079922
1999-02-09,0.04063,0.04090,0.03777,0.03829,0.03512,-3.91%,86975956
1999-02-10,0.03829,0.03933,0.03725,0.03790,0.03476,-1.02%,148223925
1999-02-11,0.03802,0.04271,0.03802,0.04115,0.03774,8.58%,132239933
1999-02-12,0.04167,0.04375,0.04167,0.04350,0.03990,5.71%,109727945
1999-02-16,0.04427,0.04610,0.03933,0.04375,0.04013,0.57%,211007894
1999-02-17,0.04271,0.04323,0.04063,0.04142,0.03799,-5.33%,67727966
1999-02-18,0.04271,0.04323,0.04090,0.04206,0.03858,1.55%,70703964
1999-02-19,0.04167,0.04427,0.04115,0.04350,0.03990,3.42%,75359962
1999-02-22,0.04427,0.04479,0.04142,0.04375,0.04013,0.57%,205247897
1999-02-23,0.04479,0.04675,0.04219,0.04583,0.04204,4.75%,138095930
1999-02-24,0.05260,0.05469,0.04831,0.04948,0.04538,7.96%,612767693
1999-02-25,0.05156,0.05313,0.04715,0.04792,0.04395,-3.15%,149135925
1999-02-26,0.04844,0.05000,0.04531,0.04571,0.04193,-4.61%,172607913
1999-03-01,0.04688,0.04792,0.04375,0.04596,0.04216,0.55%,92159953
1999-03-02,0.04583,0.04610,0.04479,0.04558,0.04181,-0.83%,55247972
1999-03-03,0.04583,0.04583,0.04219,0.04246,0.03894,-6.85%,61391969
1999-03-04,0.04454,0.04479,0.04115,0.04154,0.03810,-2.17%,57359971
1999-03-05,0.04194,0.04402,0.04194,0.04388,0.04024,5.63%,78767960
1999-03-08,0.04271,0.04583,0.04194,0.04454,0.04086,1.50%,75887962
1999-03-09,0.04440,0.04663,0.04440,0.04596,0.04216,3.19%,143183928
1999-03-10,0.04663,0.04663,0.04454,0.04519,0.04145,-1.68%,235343882
1999-03-11,0.04440,0.04519,0.04323,0.04323,0.03965,-4.34%,54287972
1999-03-12,0.04350,0.04350,0.04167,0.04246,0.03894,-1.78%,90767954
1999-03-15,0.04350,0.04479,0.04323,0.04427,0.04061,4.26%,108815945
1999-03-16,0.04454,0.04506,0.04246,0.04283,0.03929,-3.25%,79151960
1999-03-17,0.04323,0.04402,0.04206,0.04310,0.03954,0.63%,51359974
1999-03-18,0.04323,0.04427,0.04219,0.04363,0.04001,1.23%,46319976
1999-03-19,0.04350,0.04506,0.04350,0.04375,0.04013,0.28%,105311947
1999-03-22,0.04467,0.04479,0.04246,0.04246,0.03894,-2.95%,36671981
1999-03-23,0.04271,0.04271,0.03906,0.03985,0.03656,-6.15%,163967918
