Date,Open,High,Low,Close,Adj. Close,Change,Volume
2017-03-03,26.39000,29.44000,26.06000,27.09000,27.09000,10.66%,148227379
2017-03-06,28.17000,28.25000,23.77000,23.77000,23.77000,-12.26%,72938848
2017-03-07,22.21000,22.50000,20.64000,21.44000,21.44000,-9.80%,71899652
2017-03-08,22.03000,23.43000,21.31000,22.81000,22.81000,6.39%,49834423
2017-03-09,23.17000,23.68000,22.51000,22.71000,22.71000,-0.44%,25803174
2017-03-10,23.36000,23.40000,22.00000,22.07000,22.07000,-2.82%,18337600
2017-03-13,22.05000,22.15000,20.96000,21.09000,21.09000,-4.44%,20605862
2017-03-14,20.90000,20.98000,20.15000,20.58000,20.58000,-2.42%,20033167
2017-03-15,20.08000,21.40000,20.05000,20.77000,20.77000,0.92%,24985920
2017-03-16,20.65000,20.69000,19.75000,19.89000,19.89000,-4.24%,25630157
2017-03-17,19.80000,19.85000,18.90000,19.54000,19.54000,-1.76%,34251973
2017-03-20,19.94000,20.43000,19.72000,19.93000,19.93000,2.00%,21016038
2017-03-21,20.04000,20.54000,19.55000,20.38000,20.38000,2.26%,20080142
2017-03-22,20.65000,22.25000,20.52000,21.82000,21.82000,7.07%,47599301
2017-03-23,22.69000,23.30000,22.22000,23.13000,23.13000,6.00%,40645418
2017-03-24,23.05000,23.10000,22.34000,22.74000,22.74000,-1.69%,17263232
2017-03-27,23.09000,24.40000,22.60000,23.83000,23.83000,4.79%,48398210
2017-03-28,23.31000,23.36000,22.17000,22.21000,22.21000,-6.80%,49889866
2017-03-29,21.77000,22.71000,21.33000,22.55000,22.55000,1.53%,31475593
2017-03-30,22.55000,22.85000,22.00000,22.23000,22.23000,-1.42%,17094311
2017-03-31,22.05000,22.62000,22.00000,22.53000,22.53000,1.35%,15087074
2017-04-03,22.70000,22.90000,22.11000,22.35000,22.35000,-0.80%,12521294
2017-04-04,22.21000,22.67000,21.88000,22.14000,22.14000,-0.94%,16313506
2017-04-05,22.15000,22.22000,20.67000,20.70000,20.70000,-6.50%,26099307
2017-04-06,20.76000,20.76000,20.03000,20.57000,20.57000,-0.63%,21933897
2017-04-07,20.68000,21.08000,20.60000,20.82000,20.82000,1.22%,10574747
2017-04-10,21.09000,21.27000,20.70000,20.97000,20.97000,0.72%,8629845
2017-04-11,21.01000,21.20000,20.34000,20.70000,20.70000,-1.29%,13310727
2017-04-12,20.70000,20.83000,20.18000,20.22000,20.22000,-2.32%,9362568
2017-04-13,20.20000,20.37000,19.81000,20.19000,20.19000,-0.15%,13600361
2017-04-17,20.09000,20.21000,19.80000,19.94000,19.94000,-1.24%,11714666
2017-04-18,19.83000,20.89000,19.73000,20.55000,20.55000,3.06%,15974661
