Date,Open,High,Low,Close,Adj. Close,Change,Volume
2019-05-13,38.79000,39.24000,36.08000,37.10000,37.10000,-10.75%,79442420
2019-05-14,38.31000,39.96000,36.85000,39.96000,39.96000,7.71%,46661147
2019-05-15,39.37000,41.88000,38.95000,41.29000,41.29000,3.33%,36086065
2019-05-16,41.48000,44.06000,41.25000,43.00000,43.00000,4.14%,38115524
2019-05-17,41.98000,43.29000,41.27000,41.91000,41.91000,-2.53%,20225687
2019-05-20,41.19000,41.68000,39.46000,41.59000,41.59000,-0.76%,29222330
2019-05-21,42.00000,42.24000,41.25000,41.50000,41.50000,-0.22%,10802851
2019-05-22,41.05000,41.28000,40.50000,41.25000,41.25000,-0.60%,9089469
2019-05-23,40.80000,41.09000,40.02000,40.47000,40.47000,-1.89%,11119870
2019-05-24,41.28000,41.51000,40.50000,41.51000,41.51000,2.57%,8786751
2019-05-28,41.70000,41.80000,40.60000,40.95000,40.95000,-1.35%,13391605
2019-05-29,40.52000,40.71000,39.14700,39.94000,39.94000,-2.47%,14060447
2019-05-30,40.07000,40.38000,39.50000,39.80000,39.80000,-0.35%,26451864
2019-05-31,41.15000,41.57000,39.41000,40.41000,40.41000,1.53%,23209848
2019-06-03,40.74400,41.85000,40.24000,41.25000,41.25000,2.08%,16605261
2019-06-04,42.56000,42.88000,40.70000,42.75000,42.75000,3.64%,23432141
2019-06-05,42.87000,45.66000,42.50000,45.00000,45.00000,5.26%,28609604
2019-06-06,45.00000,45.75000,44.28000,44.92000,44.92000,-0.18%,16403691
2019-06-07,44.92000,45.67000,44.13000,44.16000,44.16000,-1.69%,12654670
2019-06-10,44.02000,44.59000,42.53000,42.61000,42.61000,-3.51%,11618701
2019-06-11,43.22000,43.65000,41.80000,42.45000,42.45000,-0.38%,9095044
2019-06-12,42.52000,42.65000,41.71000,42.17000,42.17000,-0.66%,5965250
2019-06-13,43.05000,44.35000,42.80000,44.31000,44.31000,5.07%,10178935
2019-06-14,44.75000,44.80000,43.11000,43.23000,43.23000,-2.44%,7902223
2019-06-17,43.28000,44.07900,42.93000,43.78000,43.78000,1.27%,6557589
2019-06-18,44.30000,44.89000,43.75000,43.86000,43.86000,0.18%,7313602
2019-06-19,44.46000,45.50000,43.95000,44.86000,44.86000,2.28%,10331520
2019-06-20,45.03000,45.29000,43.51000,43.86000,43.86000,-2.23%,9567367
2019-06-21,43.85000,44.14000,43.38000,44.00000,44.00000,0.32%,4973987
2019-06-24,44.00000,44.07000,42.82000,43.09000,43.09000,-2.07%,5985052
2019-06-25,43.28000,43.79000,42.44300,43.09000,43.09000,,5755107
2019-06-26,43.25000,43.40000,42.36000,42.50000,42.50000,-1.37%,8109056
2019-06-27,43.35000,45.30000,43.20000,45.13000,45.13000,6.19%,20155079
2019-06-28,45.10000,47.08000,45.08000,46.38000,46.38000,2.77%,28657002
2019-07-01,46.98000,47.04000,44.06000,44.27000,44.27000,-4.55%,17739998
2019-07-02,44.55000,44.68000,43.75000,44.00000,44.00000,-0.61%,11881274
2019-07-03,44.00000,44.46000,43.79000,44.23000,44.23000,0.52%,3380003
2019-07-05,44.31000,44.55000,43.01000,43.53000,43.53000,-1.58%,8239452
2019-07-08,43.59000,43.85000,42.75000,42.95000,42.95000,-1.33%,9304101
2019-07-09,43.18000,44.23000,42.98000,44.20000,44.20000,2.91%,5251564
2019-07-10,44.48000,44.80000,43.56000,43.70000,43.70000,-1.13%,9746505
2019-07-11,44.10000,44.29000,43.31000,43.99000,43.99000,0.66%,8050856
2019-07-12,44.16000,44.24000,43.39000,43.99000,43.99000,,8760526
2019-07-15,44.20000,44.70000,43.97000,44.53000,44.53000,1.23%,5811160
2019-07-16,44.60000,44.98000,44.02000,44.13000,44.13000,-0.90%,5613321
2019-07-17,44.06000,44.35000,43.52000,43.62000,43.62000,-1.16%,5854149
2019-07-18,43.50000,43.85000,43.19000,43.71000,43.71000,0.21%,4123615
2019-07-19,43.90000,44.08600,43.16000,43.18000,43.18000,-1.21%,4021018
2019-07-22,43.25000,43.72000,43.01000,43.69000,43.69000,1.18%,3822276
2019-07-23,43.75000,44.31000,43.11000,43.36000,43.36000,-0.76%,5110090
2019-07-24,43.36000,43.87000,43.36000,43.76000,43.76000,0.92%,3775677
2019-07-25,43.72000,43.96000,43.21000,43.40000,43.40000,-0.82%,4411991
2019-07-26,43.42000,44.96000,43.39000,44.52000,44.52000,2.58%,7598828
2019-07-29,45.00000,45.62700,43.12000,43.88000,43.88000,-1.44%,8652204
2019-07-30,43.71000,43.74000,42.49000,42.59000,42.59000,-2.94%,7686342
2019-07-31,42.60000,42.98000,41.84000,42.14000,42.14000,-1.06%,5970774
2019-08-01,42.14000,42.53600,41.00000,41.31000,41.31000,-1.97%,7349740
2019-08-02,41.03000,41.06000,39.95000,40.40000,40.40000,-2.20%,8225677
2019-08-05,39.35000,39.42000,38.43300,39.05000,39.05000,-3.34%,9799269
2019-08-06,39.68000,40.80800,38.36000,39.15000,39.15000,0.26%,8570273
2019-08-07,39.06000,39.99000,38.32000,39.70000,39.70000,1.40%,8896039
2019-08-08,41.98000,43.00000,41.25000,42.97000,42.97000,8.24%,29610463
2019-08-09,39.56000,40.68000,38.71000,40.05000,40.05000,-6.80%,35138775
2019-08-12,39.83000,39.95000,37.00000,37.00000,37.00000,-7.62%,25890804
2019-08-13,37.00000,37.46000,36.12000,36.45000,36.45000,-1.49%,19031422
2019-08-14,36.00000,36.30000,33.36000,33.96000,33.96000,-6.83%,24481636
2019-08-15,34.52000,34.55000,32.92000,33.22000,33.22000,-2.18%,13265793
2019-08-16,33.46000,35.48000,33.40000,35.23000,35.23000,6.05%,13883152
2019-08-19,35.53000,35.80000,34.37000,34.61000,34.61000,-1.76%,10853126
2019-08-20,34.48000,36.07000,34.39000,35.29000,35.29000,1.96%,10766387
2019-08-21,35.50000,35.83000,34.75000,34.91000,34.91000,-1.08%,7949074
2019-08-22,34.80000,34.91000,33.52000,34.00000,34.00000,-2.61%,8516485
2019-08-23,33.65000,34.23000,33.12000,33.43000,33.43000,-1.68%,8186706
2019-08-26,33.67000,33.83000,33.06000,33.31000,33.31000,-0.36%,5669714
2019-08-27,33.69000,34.24000,32.98000,33.11000,33.11000,-0.60%,6596129
2019-08-28,32.56000,33.05000,32.26000,32.59000,32.59000,-1.57%,6251800
2019-08-29,32.90000,33.30000,32.60000,32.76000,32.76000,0.52%,5811175
2019-08-30,33.00000,33.13000,32.04000,32.57000,32.57000,-0.58%,6634224
2019-09-03,32.10000,32.53000,30.66500,30.70000,30.70000,-5.74%,12180380
2019-09-04,30.91000,32.36000,30.85000,31.99000,31.99000,4.20%,10361778
2019-09-05,32.33000,33.03000,32.25000,32.51000,32.51000,1.63%,7936141
2019-09-06,32.71000,32.74000,31.41000,31.86000,31.86000,-2.00%,7029647
2019-09-09,32.05000,32.39000,31.46000,32.24000,32.24000,1.19%,7442584
2019-09-10,32.00000,33.74000,31.65000,33.51000,33.51000,3.94%,10801078
2019-09-11,33.38000,35.14000,33.02000,34.00000,34.00000,1.46%,14686189
2019-09-12,34.14000,34.48600,33.33000,34.07000,34.07000,0.21%,7732741
2019-09-13,34.25000,34.43500,32.94000,33.25000,33.25000,-2.41%,9424110
2019-09-16,33.60000,34.80000,33.47000,34.43000,34.43000,3.55%,7957773
2019-09-17,34.75000,34.75000,33.55000,34.29000,34.29000,-0.41%,5587663
2019-09-18,34.35000,34.89000,33.75000,34.26000,34.26000,-0.09%,6624182
2019-09-19,34.20000,34.64000,33.68000,33.82000,33.82000,-1.28%,6883131
2019-09-20,33.98000,34.21700,32.50000,32.60000,32.60000,-3.61%,12019322
2019-09-23,32.52000,33.01000,32.06000,33.00000,33.00000,1.23%,5518477
2019-09-24,33.00000,33.14500,31.01000,31.30000,31.30000,-5.15%,10619428
2019-09-25,31.27000,31.72000,30.76000,31.68000,31.68000,1.21%,7877219
2019-09-26,31.72000,32.13000,31.13000,31.57000,31.57000,-0.35%,6061897
2019-09-27,31.71000,31.90000,30.13000,30.29000,30.29000,-4.05%,11872338
2019-09-30,30.40000,30.73500,30.17000,30.47000,30.47000,0.59%,5016791
2019-10-01,30.37000,30.51000,28.65000,29.15000,29.15000,-4.33%,13432250
2019-10-02,28.67000,29.55000,28.31000,29.00000,29.00000,-0.51%,9367609
2019-10-03,28.97000,29.88000,28.52000,29.72000,29.72000,2.48%,9459343
2019-10-04,29.90000,30.18000,28.90000,29.67000,29.67000,-0.17%,8632493
2019-10-07,30.60000,30.75000,29.83000,30.37000,30.37000,2.36%,10144841
2019-10-08,30.01000,30.15000,29.17000,29.28000,29.28000,-3.59%,7792658
2019-10-09,29.62000,29.62000,28.81000,29.07000,29.07000,-0.72%,7127738
2019-10-10,29.21000,29.28000,28.58000,28.87000,28.87000,-0.69%,7776421
2019-10-11,28.95000,30.40000,28.94000,30.13000,30.13000,4.36%,10292793
2019-10-14,30.22000,31.54000,29.81900,31.12000,31.12000,3.29%,7965440
2019-10-15,31.20000,32.17000,31.19500,32.00000,32.00000,2.83%,7903860
2019-10-16,31.80000,32.38000,31.43800,31.87000,31.87000,-0.41%,7799878
2019-10-17,31.80000,32.93000,31.45000,32.62000,32.62000,2.35%,7238010
2019-10-18,32.55000,32.66000,31.27000,32.06000,32.06000,-1.72%,8073092
2019-10-21,31.95000,32.28300,31.18500,31.41000,31.41000,-2.03%,7226900
2019-10-22,31.41000,33.89000,30.22000,32.53000,32.53000,3.57%,19242183
2019-10-23,32.87000,33.27000,32.17000,33.05000,33.05000,1.60%,6833480
2019-10-24,33.00000,33.42000,32.51000,33.28000,33.28000,0.70%,6789028
2019-10-25,33.20000,33.48000,32.61000,32.71000,32.71000,-1.71%,8102136
2019-10-28,32.90000,33.35500,32.50000,33.22000,33.22000,1.56%,7586889
2019-10-29,32.37000,32.92000,31.81500,32.42000,32.42000,-2.41%,9338079
2019-10-30,32.51000,33.80000,32.11000,33.75000,33.75000,4.10%,10837750
2019-10-31,33.23000,33.36000,31.26000,31.50000,31.50000,-6.67%,16124616
2019-11-01,31.45000,31.70000,30.74100,31.37000,31.37000,-0.41%,10449315
2019-11-04,31.45000,31.75000,30.12000,31.08000,31.08000,-0.92%,31914952
2019-11-05,29.13000,29.30000,27.97000,28.02000,28.02000,-9.85%,52114741
2019-11-06,26.06000,27.55000,25.58000,26.94000,26.94000,-3.85%,133538940
2019-11-07,26.80000,27.42000,26.45000,27.38000,27.38000,1.63%,65927562
2019-11-08,27.48000,27.62000,26.91500,27.01000,27.01000,-1.35%,45253607
2019-11-11,27.03000,27.21000,26.23000,27.14000,27.14000,0.48%,41402436
2019-11-12,27.38000,27.66000,26.66000,26.70000,26.70000,-1.62%,37070405
2019-11-13,26.47000,26.82000,26.14000,26.71000,26.71000,0.04%,34502521
2019-11-14,26.80000,26.86000,25.66500,25.99000,25.99000,-2.70%,28001419
2019-11-15,26.18000,26.80000,25.95500,26.79000,26.79000,3.08%,41368595
2019-11-18,26.80000,27.00000,26.30000,26.75000,26.75000,-0.15%,37295414
2019-11-19,26.77000,27.22000,26.61000,27.05000,27.05000,1.12%,34097549
2019-11-20,27.06000,28.40000,26.94500,28.03000,28.03000,3.62%,54015857
2019-11-21,28.67000,29.60000,28.50000,29.46000,29.46000,5.10%,54604950
2019-11-22,29.84000,30.13000,29.21000,29.56000,29.56000,0.34%,44372625
2019-11-25,28.69000,29.60000,28.38000,29.11000,29.11000,-1.52%,37476153
2019-11-26,29.49000,30.15000,29.36000,29.53000,29.53000,1.44%,29625401
2019-11-27,29.42000,29.59000,28.88000,29.49000,29.49000,-0.14%,22421386
2019-11-29,29.41000,29.85000,29.25000,29.60000,29.60000,0.37%,8115145
2019-12-02,29.32000,29.52500,28.70000,28.98000,28.98000,-2.09%,17410719
2019-12-03,28.20000,29.33000,28.15000,29.02000,29.02000,0.14%,25386704
2019-12-04,29.10000,29.20000,28.70000,29.06000,29.06000,0.14%,22523220
2019-12-05,28.94000,28.99000,28.18000,28.65000,28.65000,-1.41%,22502931
2019-12-06,28.40000,28.92500,27.80000,27.86000,27.86000,-2.76%,33130395
2019-12-09,27.96000,28.36000,27.68000,27.68000,27.68000,-0.65%,20977226
2019-12-10,27.73000,27.99300,27.60500,27.89000,27.89000,0.76%,23602339
2019-12-11,27.99000,28.54500,27.85000,28.42000,28.42000,1.90%,23234481
2019-12-12,28.29000,28.75000,28.19000,28.69000,28.69000,0.95%,23569671
2019-12-13,28.58000,28.84000,28.27000,28.49000,28.49000,-0.70%,25431469
2019-12-16,29.11000,30.13000,29.10000,30.05000,30.05000,5.48%,57368662
