Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,137.77,141.61,136.93,141.56,139.664,0.0189,73429641,,,-4954.6,35.0,-4954.6,35.0,-4954.6,35.0
2022-07-06,141.355,144.12,141.08,142.92,141.006,0.0096,74064254,,,-4956.959333333334,35.0,-4956.959333333334,35.0,-4956.959333333334,35.0
2022-07-07,143.29,146.55,143.28,146.35,144.39,0.024,66253709,,,-4959.319790158731,35.0,-4959.319790158731,35.0,-4959.319790158731,35.0
2022-07-08,145.265,147.55,145.0,147.04,145.071,0.0047,64547798,,,-4961.681371011187,35.0,-4961.681371011187,35.0,-4961.681371011187,35.0
2022-07-11,145.67,146.64,143.78,144.87,142.93,-0.0148,63305113,,,-4964.044076425955,35.0,-4964.044076425955,35.0,-4964.044076425955,35.0
2022-07-12,145.76,148.45,145.05,145.86,143.907,0.0068,77588759,,,-4966.407906938539,35.0,-4966.407906938539,35.0,-4966.407906938539,35.0
2022-07-13,142.99,146.45,142.12,145.49,143.542,-0.0025,71185560,,,-4968.7728630847005,35.0,-4968.7728630847005,35.0,-4968.7728630847005,35.0
2022-07-14,144.08,148.95,143.25,148.47,146.482,0.0205,78140744,,,-4971.138945400455,35.0,-4971.138945400455,35.0,-4971.138945400455,35.0
2022-07-15,149.78,150.86,148.2,150.17,148.159,0.0115,76259931,,,-4973.506154422074,35.0,-5123.676154422074,36.0,-4973.506154422074,35.0
2022-07-18,150.74,151.57,146.7,147.07,145.1,-0.0206,81420868,,,-4975.874490686085,35.0,-5126.116000209894,36.0,-4975.874490686085,35.0
2022-07-19,147.92,151.23,146.91,151.0,148.978,0.0267,82982367,,,-4978.243954729269,35.0,-5128.557007829042,36.0,-4978.243954729269,35.0
2022-07-20,151.12,153.72,150.37,153.04,150.99,0.0135,64823413,,,-4980.614547088664,35.0,-5130.99917783277,36.0,-4980.614547088664,35.0
2022-07-21,154.5,155.57,151.94,155.35,153.27,0.0151,65086636,,,-4982.9862683015635,35.0,-5133.442510774596,36.0,-4982.9862683015635,35.0
2022-07-22,155.39,156.28,153.41,154.09,152.026,-0.0081,66675408,,,-4985.359118905517,35.0,-5135.887007208298,36.0,-4985.359118905517,35.0
2022-07-25,154.01,155.04,152.28,152.95,150.902,-0.0074,53623945,,,-4987.733099438329,35.0,-5138.3326676879215,36.0,-4987.733099438329,35.0
2022-07-26,152.265,153.085,150.8,151.6,149.57,-0.0088,55138691,,,-4990.108210438062,35.0,-5140.779492767773,36.0,-4990.108210438062,35.0
2022-07-27,152.58,157.33,152.16,156.79,154.69,0.0342,78620688,,,-4992.484452443033,35.0,-5143.227483002424,36.0,-4992.484452443033,35.0
2022-07-28,156.98,157.64,154.41,157.35,155.243,0.0036,81378731,,,-4994.861825991815,35.0,-5145.676638946711,36.0,-4994.861825991815,35.0
2022-07-29,161.24,163.63,159.5,162.51,160.334,0.0328,101786860,,,-4997.240331623239,35.0,-5148.126961155734,36.0,-4997.240331623239,35.0
2022-08-01,161.01,163.59,160.89,161.51,159.347,-0.0062,67829379,,,-4999.619969876393,35.0,-5150.578450184856,36.0,-4999.619969876393,35.0
2022-08-02,160.1,162.41,159.63,160.01,157.867,-0.0093,59907025,,,-5002.00074129062,35.0,-5153.031106589706,36.0,-5002.00074129062,35.0
2022-08-03,160.84,166.59,160.75,166.13,163.905,0.0382,82507488,,,-5004.38264640552,35.0,-5155.484930926177,36.0,-5004.38264640552,35.0
2022-08-04,166.005,167.19,164.43,165.81,163.589,-0.0019,55474144,,,-5006.765685760951,35.0,-5157.939923750428,36.0,-5006.765685760951,35.0
2022-08-05,163.21,165.85,163.0,165.35,163.363,-0.0028,56696985,,,-5009.149859897027,35.0,-5160.3960856188805,36.0,-5009.149859897027,35.0
2022-08-08,166.37,167.81,164.2,164.87,162.888,-0.0029,60362338,,,-5011.5351693541215,35.0,-5162.853417088223,36.0,-5011.5351693541215,35.0
2022-08-09,164.02,165.82,163.25,164.92,162.938,0.0003,63135503,,,-5013.921614672861,35.0,-5165.311918715408,36.0,-5013.921614672861,35.0
2022-08-10,167.68,169.34,166.9,169.24,167.206,0.0262,70170540,,,-5016.309196394134,35.0,-5167.7715910576535,36.0,-5016.309196394134,35.0
2022-08-11,170.06,170.99,168.19,168.49,166.465,-0.0044,57149159,,,-5018.697915059084,35.0,-5170.232434672443,36.0,-5018.697915059084,35.0
2022-08-12,169.82,172.17,169.4,172.1,170.031,0.0214,68039382,,,-5021.087771209112,35.0,-5172.694450117525,36.0,-5021.087771209112,35.0
2022-08-15,171.52,173.39,171.345,173.19,171.108,0.0063,54091694,,,-5023.478765385878,35.0,-5348.347637950914,37.0,-5023.478765385878,35.0
2022-08-16,172.78,173.71,171.662,173.03,170.95,-0.0009,56377050,,,-5025.8708981313,35.0,-5350.894470159462,37.0,-5025.8708981313,35.0
2022-08-17,172.77,176.15,172.57,174.55,172.452,0.0088,79542037,,,-5028.264169987553,35.0,-5353.442515145252,37.0,-5028.264169987553,35.0
2022-08-18,173.75,174.9,173.12,174.15,172.057,-0.0023,62290075,,,-5030.658581497071,35.0,-5355.991773485798,37.0,-5030.658581497071,35.0
2022-08-19,173.03,173.74,171.31,171.52,169.458,-0.0151,70346295,,,-5033.054133202546,35.0,-5358.542245758887,37.0,-5033.054133202546,35.0
2022-08-22,169.69,169.86,167.135,167.57,165.556,-0.023,69026809,,,-5035.450825646928,35.0,-5361.093932542582,37.0,-5035.450825646928,35.0
2022-08-23,167.08,168.71,166.65,167.23,165.22,-0.002,54147079,,,-5037.848659373427,35.0,-5363.646834415221,37.0,-5037.848659373427,35.0
2022-08-24,167.32,168.11,166.245,167.53,165.516,0.0018,53841524,,,-5040.247634925509,35.0,-5366.2009519554185,37.0,-5040.247634925509,35.0
2022-08-25,168.78,170.14,168.35,170.03,167.986,0.0149,51218209,,,-5042.647752846902,35.0,-5368.756285742064,37.0,-5042.647752846902,35.0
2022-08-26,170.57,171.05,163.56,163.62,161.653,-0.0377,78960980,,,-5045.0490136815915,35.0,-5371.312836354323,37.0,-5045.0490136815915,35.0
2022-08-29,161.145,162.9,159.82,161.38,159.44,-0.0137,72724452,,,-5047.451417973821,35.0,-5373.870604371635,37.0,-5047.451417973821,35.0
2022-08-30,162.13,162.56,157.72,158.91,157.0,-0.0153,77906197,,,-5049.854966268094,35.0,-5376.429590373717,37.0,-5049.854966268094,35.0
2022-08-31,160.305,160.58,157.14,157.22,155.33,-0.0106,87991091,,,-5052.259659109174,35.0,-5378.989794940561,37.0,-5052.259659109174,35.0
2022-09-01,156.64,158.42,154.67,157.96,156.061,0.0047,74229896,,,-5054.665497042083,35.0,-5381.5512186524375,37.0,-5054.665497042083,35.0
2022-09-02,159.75,160.362,154.965,155.81,153.937,-0.0136,76957768,,,-5057.072480612103,35.0,-5384.113862089891,37.0,-5057.072480612103,35.0
2022-09-06,156.47,157.09,153.69,154.53,152.673,-0.0082,73295539,,,-5059.480610364776,35.0,-5386.677725833743,37.0,-5059.480610364776,35.0
2022-09-07,154.825,156.67,153.61,155.96,154.085,0.0093,87449574,,,-5061.889886845902,35.0,-5389.242810465093,37.0,-5061.889886845902,35.0
2022-09-08,154.64,156.36,152.68,154.46,152.603,-0.0096,84923847,,,-5064.300310601543,35.0,-5391.809116565314,37.0,-5064.300310601543,35.0
2022-09-09,155.47,157.82,154.75,157.37,155.478,0.0188,68081006,,,-5066.71188217802,35.0,-5394.37664471606,37.0,-5066.71188217802,35.0
2022-09-12,159.59,164.26,159.3,163.43,161.466,0.0385,104955962,,,-5069.124602121914,35.0,-5396.945395499258,37.0,-5069.124602121914,35.0
2022-09-13,159.9,160.54,153.37,153.84,151.991,-0.0587,122656614,,,-5071.538470980067,35.0,-5399.515369497115,37.0,-5071.538470980067,35.0
2022-09-14,154.785,157.1,153.611,155.31,153.443,0.0096,87965409,,,-5073.953489299582,35.0,-5402.086567292114,37.0,-5073.953489299582,35.0
