Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,88.88,96.01,86.75,95.94,95.94,4.96%,7653996,,,-4988.88,52.0,-4988.88,52.0,-4988.88,52.0
2022-07-06,95.29,96.17,91.8,92.88,92.88,-3.19%,5702961,,,-4991.255657142858,52.0,-4991.255657142858,52.0,-4991.255657142858,52.0
2022-07-07,93.66,97.55,92.16,97.5,97.5,4.97%,7480538,,,-4993.632445551021,52.0,-4993.632445551021,52.0,-4993.632445551021,52.0
2022-07-08,96.23,98.12,93.242,97.35,97.35,-0.15%,5669474,,,-4996.010365763188,52.0,-4996.010365763188,52.0,-4996.010365763188,52.0
2022-07-11,96.0,97.09,93.27,95.1,95.1,-2.31%,6043682,,,-4998.389418318314,52.0,-4998.389418318314,52.0,-4998.389418318314,52.0
2022-07-12,95.3,97.686,93.32,96.55,96.55,1.52%,4170185,,,-5000.769603755608,52.0,-5000.769603755608,52.0,-5000.769603755608,52.0
2022-07-13,93.75,96.589,91.61,95.64,95.64,-0.94%,6967800,,,-5003.150922614539,52.0,-5003.150922614539,52.0,-5003.150922614539,52.0
2022-07-14,94.28,94.58,90.17,91.05,91.05,-4.80%,8334633,,,-5005.533375434831,52.0,-5005.533375434831,52.0,-5005.533375434831,52.0
2022-07-15,92.55,95.65,90.66,94.66,94.66,3.96%,7497187,,,-5007.916962756467,52.0,-5102.576962756467,53.0,-5007.916962756467,52.0
2022-07-18,96.78,101.88,95.98,97.67,97.67,3.18%,7171484,,,-5010.301685119684,52.0,-5105.00676131016,53.0,-5010.301685119684,52.0
2022-07-19,99.7,102.71,98.76,102.2,102.2,4.64%,5603808,,,-5012.68754306498,52.0,-5107.437716910784,53.0,-5012.68754306498,52.0
2022-07-20,103.11,108.92,102.75,107.73,107.73,5.41%,6834133,,,-5015.074537133106,52.0,-5109.869830109313,53.0,-5015.074537133106,52.0
2022-07-21,106.98,108.5,104.41,108.14,108.14,0.38%,4284851,,,-5017.462667865074,52.0,-5112.303101456984,53.0,-5017.462667865074,52.0
2022-07-22,108.31,110.1,102.93,103.97,103.97,-3.86%,4243932,,,-5019.851935802152,52.0,-5114.737531505297,53.0,-5019.851935802152,52.0
2022-07-25,103.78,105.26,101.479,104.95,104.95,0.94%,3142931,,,-5022.242341485868,52.0,-5117.173120806014,53.0,-5022.242341485868,52.0
2022-07-26,102.38,103.63,101.1,101.91,101.91,-2.90%,4190993,,,-5024.6338854580035,52.0,-5119.609869911159,53.0,-5024.6338854580035,52.0
2022-07-27,105.79,107.985,104.06,107.36,107.36,5.35%,5362726,,,-5027.026568260602,52.0,-5122.0477793730215,53.0,-5027.026568260602,52.0
2022-07-28,108.17,110.06,104.68,108.84,108.84,1.38%,4471883,,,-5029.420390435965,52.0,-5124.486849744151,53.0,-5029.420390435965,52.0
2022-07-29,108.195,111.16,107.11,110.98,110.98,1.97%,4637779,,,-5031.815352526649,52.0,-5126.9270815773625,53.0,-5031.815352526649,52.0
