Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,71.98,75.21,71.6,75.2,75.2,2.08%,95685751,,,-4963.2,66.0,-4963.2,66.0,-4963.2,66.0
2022-07-06,75.17,76.28,73.55,75.35,75.35,0.20%,85458857,,,-4965.563428571429,66.0,-4965.563428571429,66.0,-4965.563428571429,66.0
2022-07-07,77.195,79.99,76.9,79.3,79.3,5.24%,83640945,,,-4967.927982585034,66.0,-4967.927982585034,66.0,-4967.927982585034,66.0
2022-07-08,78.31,80.47,77.4,79.35,79.35,0.06%,83405931,,,-4970.293662576742,66.0,-4970.293662576742,66.0,-4970.293662576742,66.0
2022-07-11,77.845,78.29,75.842,76.95,76.95,-3.02%,76247536,,,-4972.660469082731,66.0,-4972.660469082731,66.0,-4972.660469082731,66.0
2022-07-12,76.98,77.44,74.43,76.36,76.36,-0.77%,77873214,,,-4975.0284026394365,66.0,-4975.0284026394365,66.0,-4975.0284026394365,66.0
2022-07-13,74.94,79.11,74.48,77.52,77.52,1.52%,79354976,,,-4977.397463783551,66.0,-4977.397463783551,66.0,-4977.397463783551,66.0
2022-07-14,78.23,79.25,76.0,78.6,78.6,1.39%,83493646,,,-4979.767653052019,66.0,-4979.767653052019,66.0,-4979.767653052019,66.0
2022-07-15,79.36,81.2,77.9,81.11,81.11,3.19%,76050597,,,-4982.138970982044,66.0,-5063.248970982044,67.0,-4982.138970982044,66.0
2022-07-18,82.21,84.47,80.94,81.43,81.43,0.39%,90464334,,,-4984.511418111083,66.0,-5065.660041920607,67.0,-4984.511418111083,66.0
2022-07-19,82.76,86.41,82.19,85.88,85.88,5.46%,85047506,,,-4986.88499497685,66.0,-5068.072260988189,67.0,-4986.88499497685,66.0
2022-07-20,85.39,89.92,85.08,89.43,89.43,4.13%,88348558,,,-4989.259702117315,66.0,-5070.485628731516,67.0,-4989.259702117315,66.0
2022-07-21,89.6,91.58,88.22,91.09,91.09,1.86%,90449338,,,-4991.635540070704,66.0,-5072.900145697578,67.0,-4991.635540070704,66.0
2022-07-22,90.2,90.69,87.04,88.1,88.1,-3.28%,76989702,,,-4994.0125093755,66.0,-5075.315812433625,67.0,-4994.0125093755,66.0
2022-07-25,86.57,87.6,85.12,87.54,87.54,-0.64%,70083006,,,-4996.39061057044,66.0,-5077.732629487165,67.0,-4996.39061057044,66.0
2022-07-26,87.0,87.749,84.71,85.25,85.25,-2.62%,69180367,,,-4998.769844194521,66.0,-5080.150597405968,67.0,-4998.769844194521,66.0
2022-07-27,86.94,90.62,86.29,89.82,89.82,5.36%,78301564,,,-5001.150210786995,66.0,-5082.569716738067,67.0,-5001.150210786995,66.0
2022-07-28,90.415,92.22,88.591,91.67,91.67,2.06%,79009185,,,-5003.53171088737,66.0,-5084.989988031752,67.0,-5003.53171088737,66.0
2022-07-29,90.7,94.81,90.56,94.47,94.47,3.05%,76630707,,,-5005.914345035411,66.0,-5087.4114118355765,67.0,-5005.914345035411,66.0
2022-08-01,95.59,98.39,93.96,96.78,96.78,2.45%,96477499,,,-5008.298113771142,66.0,-5089.833988698355,67.0,-5008.298113771142,66.0
2022-08-02,95.71,100.915,95.36,99.29,99.29,2.59%,116734097,,,-5010.683017634843,66.0,-5092.2577191691635,67.0,-5010.683017634843,66.0
2022-08-03,94.83,98.769,93.62,98.09,98.09,-1.21%,131142046,,,-5013.06905716705,66.0,-5094.68260379734,67.0,-5013.06905716705,66.0
2022-08-04,97.5,104.59,97.26,103.91,103.91,5.93%,125855773,,,-5015.456232908558,66.0,-5097.108643132481,67.0,-5015.456232908558,66.0
2022-08-05,101.05,103.86,100.98,102.31,102.31,-1.54%,93859876,,,-5017.8445454004195,66.0,-5099.535837724449,67.0,-5017.8445454004195,66.0
2022-08-08,100.06,101.8,97.99,100.07,100.07,-2.19%,92692592,,,-5020.233995183943,66.0,-5101.964188123366,67.0,-5020.233995183943,66.0
2022-08-09,97.95,98.046,93.67,95.54,95.54,-4.53%,89473663,,,-5022.624582800698,66.0,-5104.3936948796145,67.0,-5022.624582800698,66.0
2022-08-10,98.45,99.35,95.61,99.05,99.05,3.67%,83416119,,,-5025.0163087925075,66.0,-5106.824358543843,67.0,-5025.0163087925075,66.0
