Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,92.21,99.815,91.22,99.25,99.25,4.41%,767192,,,-4962.5,50.0,-4962.5,50.0,-4962.5,50.0
2022-07-06,99.0,101.61,96.505,96.95,96.95,-2.32%,769156,,,-4964.863095238095,50.0,-4964.863095238095,50.0,-4964.863095238095,50.0
2022-07-07,99.0,106.29,97.23,106.29,106.29,9.63%,563047,,,-4967.227315759637,50.0,-4967.227315759637,50.0,-4967.227315759637,50.0
2022-07-08,104.05,113.36,102.56,110.09,110.09,3.58%,786638,,,-4969.5926621004755,50.0,-4969.5926621004755,50.0,-4969.5926621004755,50.0
2022-07-11,103.15,105.05,94.29,94.3,94.3,-14.34%,1120641,,,-4971.959134796713,50.0,-4971.959134796713,50.0,-4971.959134796713,50.0
2022-07-12,95.01,98.7,90.9,95.86,95.86,1.65%,423652,,,-4974.326734384712,50.0,-4974.326734384712,50.0,-4974.326734384712,50.0
2022-07-13,90.17,98.97,89.8,94.6,94.6,-1.31%,356392,,,-4976.695461401086,50.0,-4976.695461401086,50.0,-4976.695461401086,50.0
2022-07-14,94.4,94.53,88.98,93.87,93.87,-0.77%,337713,,,-4979.0653163827055,50.0,-4979.0653163827055,50.0,-4979.0653163827055,50.0
2022-07-15,96.0,99.68,93.14,99.4,99.4,5.89%,305406,,,-4981.4362998666975,50.0,-5080.836299866697,51.0,-4981.4362998666975,50.0
2022-07-18,100.21,105.98,94.88,95.41,95.41,-4.01%,660244,,,-4983.808412390444,50.0,-5083.255745723776,51.0,-4983.808412390444,50.0
2022-07-19,95.14,98.63,93.2,93.85,93.85,-1.64%,401001,,,-4986.181654491582,50.0,-5085.676343697931,51.0,-4986.181654491582,50.0
2022-07-20,96.33,102.72,96.33,99.0,99.0,5.49%,475329,,,-4988.556026708006,50.0,-5088.098094337787,51.0,-4988.556026708006,50.0
2022-07-21,98.75,101.046,97.47,100.79,100.79,1.81%,251163,,,-4990.931529577867,50.0,-5090.5209981922335,51.0,-4990.931529577867,50.0
2022-07-22,99.96,101.91,94.19,95.45,95.45,-5.30%,155556,,,-4993.308163639571,50.0,-5092.94505581042,51.0,-4993.308163639571,50.0
2022-07-25,95.61,97.545,92.99,96.5,96.5,1.10%,256186,,,-4995.68592943178,50.0,-5095.370267741759,51.0,-4995.68592943178,50.0
