Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,107.515,114.053,106.25,113.887,113.606,4.41%,36429380,,,-4897.141,43.0,-4897.141,43.0,-4897.141,43.0
2022-07-06,114.092,116.352,112.251,115.214,114.929,1.17%,28852680,,,-4899.472971904762,43.0,-4899.472971904762,43.0,-4899.472971904762,43.0
2022-07-07,116.008,119.862,115.534,119.306,119.012,3.55%,32183940,,,-4901.806054272335,43.0,-4901.806054272335,43.0,-4901.806054272335,43.0
2022-07-08,117.55,120.435,117.514,120.169,119.872,0.72%,29082200,,,-4904.1402476315125,43.0,-4904.1402476315125,43.0,-4904.1402476315125,43.0
2022-07-11,118.65,118.795,116.235,116.523,116.235,-3.03%,26830460,,,-4906.475552511337,43.0,-4906.475552511337,43.0,-4906.475552511337,43.0
2022-07-12,116.839,117.849,114.615,114.849,114.566,-1.44%,24970160,,,-4908.811969441104,43.0,-4908.811969441104,43.0,-4908.811969441104,43.0
2022-07-13,112.639,115.157,111.823,112.187,111.91,-2.32%,38958860,,,-4911.149498950362,43.0,-4911.149498950362,43.0,-4911.149498950362,43.0
2022-07-14,110.826,111.988,109.326,111.44,111.165,-0.67%,32365540,,,-4913.48814156891,43.0,-4913.48814156891,43.0,-4913.48814156891,43.0
2022-07-15,112.963,114.001,111.822,112.767,112.489,1.19%,34330760,,,-4915.8278978268,43.0,-5028.5948978268,44.0,-4915.8278978268,43.0
2022-07-18,113.44,114.8,109.3,109.91,109.639,-2.53%,33247345,,,-4918.168768254336,43.0,-5030.989466825765,44.0,-4918.168768254336,43.0
2022-07-19,111.73,114.81,110.5,114.62,114.337,4.29%,30992331,,,-4920.5107533820765,43.0,-5033.385176095682,44.0,-4920.5107533820765,43.0
2022-07-20,114.06,116.33,113.26,114.7,114.417,0.07%,26780088,,,-4922.853853740829,43.0,-5035.782026179538,44.0,-4922.853853740829,43.0
2022-07-21,115.09,115.21,111.91,115.04,114.756,0.30%,27267848,,,-4925.198069861658,43.0,-5038.180017620575,44.0,-4925.198069861658,43.0
2022-07-22,111.81,113.18,107.6,108.36,108.093,-5.81%,44455304,,,-4927.543402275878,43.0,-5040.5791509622995,44.0,-4927.543402275878,43.0
2022-07-25,108.88,110.58,107.01,108.21,107.943,-0.14%,28289942,,,-4929.889851515057,43.0,-5042.979426748472,44.0,-4929.889851515057,43.0
2022-07-26,107.43,107.74,104.76,105.44,105.18,-2.56%,36626630,,,-4932.237418111016,43.0,-5045.380845523115,44.0,-4932.237418111016,43.0
2022-07-27,109.6,114.4,108.42,113.6,113.32,7.74%,41474618,,,-4934.586102595831,43.0,-5047.783407830507,44.0,-4934.586102595831,43.0
2022-07-28,112.8,114.7,111.851,114.59,114.308,0.87%,23303844,,,-4936.935905501829,43.0,-5050.187114215188,44.0,-4936.935905501829,43.0
2022-07-29,113.4,116.9,113.23,116.64,116.352,1.79%,31336183,,,-4939.286827361592,43.0,-5052.591965221956,44.0,-4939.286827361592,43.0
2022-08-01,115.53,117.12,114.69,115.48,115.195,-0.99%,22856202,,,-4941.638868707955,43.0,-5054.997961395871,44.0,-4941.638868707955,43.0
