Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,158.14,168.25,157.02,168.19,167.687,5.10%,28664799,,,-4877.51,29.0,-4877.51,29.0,-4877.51,29.0
2022-07-06,168.2,171.59,165.46,169.77,169.262,0.94%,23085921,,,-4879.832623809524,29.0,-4879.832623809524,29.0,-4879.832623809524,29.0
2022-07-07,169.45,172.72,167.78,172.19,171.675,1.43%,24083368,,,-4882.156353630386,29.0,-4882.156353630386,29.0,-4882.156353630386,29.0
2022-07-08,169.98,172.4,168.15,170.88,170.369,-0.76%,19249243,,,-4884.4811899892575,29.0,-4884.4811899892575,29.0,-4884.4811899892575,29.0
2022-07-11,167.065,167.49,161.91,162.88,162.393,-4.68%,21905133,,,-4886.807133413062,29.0,-4886.807133413062,29.0,-4886.807133413062,29.0
2022-07-12,164.8,165.911,162.1,163.27,162.782,0.24%,16639659,,,-4889.134184428973,29.0,-4889.134184428973,29.0,-4889.134184428973,29.0
2022-07-13,160.16,164.98,159.613,163.49,163.001,0.13%,16555138,,,-4891.462343564415,29.0,-4891.462343564415,29.0,-4891.462343564415,29.0
2022-07-14,161.22,162.59,157.28,158.05,157.577,-3.33%,23765168,,,-4893.791611347065,29.0,-4893.791611347065,29.0,-4893.791611347065,29.0
2022-07-15,160.54,164.98,159.82,164.7,164.207,4.21%,23342807,,,-4896.121988304849,29.0,-5060.821988304849,30.0,-4896.121988304849,29.0
2022-07-18,166.75,171.685,165.64,167.23,166.73,1.54%,23574337,,,-4898.453474965946,29.0,-5063.231903537375,30.0,-4898.453474965946,29.0
2022-07-19,170.37,176.49,169.51,175.78,175.254,5.11%,25933679,,,-4900.786071858787,29.0,-5065.642966348583,30.0,-4900.786071858787,29.0
2022-07-20,177.485,183.6,176.7,183.09,182.542,4.16%,24784274,,,-4903.119779512053,29.0,-5068.055177284939,30.0,-4903.119779512053,29.0
2022-07-21,180.63,183.85,178.87,183.17,182.622,0.04%,27195815,,,-4905.4545984546785,29.0,-5070.4685368931705,30.0,-4905.4545984546785,29.0
2022-07-22,173.07,175.6,168.41,169.27,168.764,-7.59%,42583916,,,-4907.7905292158475,29.0,-5072.883045720262,30.0,-4907.7905292158475,29.0
