Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,3.501,3.501,3.501,3.501,3.346,,90,,,-4999.428,1428.0,-4999.428,1428.0,-4999.428,1428.0
2022-07-06,3.45,3.455,3.45,3.455,3.302,-1.31%,3540,,,-5001.80868,1428.0,-5001.80868,1428.0,-5001.80868,1428.0
2022-07-07,3.455,3.455,3.455,3.455,3.302,,540,,,-5004.190493657143,1428.0,-5004.190493657143,1428.0,-5004.190493657143,1428.0
2022-07-08,3.594,3.594,3.594,3.594,3.435,4.02%,1000,,,-5006.573441511266,1428.0,-5006.573441511266,1428.0,-5006.573441511266,1428.0
2022-07-11,3.594,3.594,3.594,3.594,3.435,,620,,,-5008.957524102461,1428.0,-5008.957524102461,1428.0,-5008.957524102461,1428.0
2022-07-12,3.594,3.594,3.594,3.594,3.435,,140,,,-5011.3427419710815,1428.0,-5011.3427419710815,1428.0,-5011.3427419710815,1428.0
2022-07-13,3.575,3.575,3.571,3.571,3.413,-0.64%,3400,,,-5013.729095657734,1428.0,-5013.729095657734,1428.0,-5013.729095657734,1428.0
2022-07-14,3.581,3.581,3.581,3.581,3.422,0.28%,5600,,,-5016.116585703286,1428.0,-5016.116585703286,1428.0,-5016.116585703286,1428.0
2022-07-15,3.581,3.581,3.581,3.581,3.422,,60,,,-5018.505212648859,1428.0,-5022.086212648859,1429.0,-5018.505212648859,1428.0
2022-07-18,3.585,3.585,3.585,3.585,3.426,0.11%,5500,,,-5020.894977035835,1428.0,-5024.47768227393,1429.0,-5020.894977035835,1428.0
2022-07-19,3.585,3.585,3.585,3.585,3.426,,8200,,,-5023.285879405852,1428.0,-5026.870290694061,1429.0,-5023.285879405852,1428.0
2022-07-20,3.628,3.628,3.628,3.628,3.467,1.20%,1190,,,-5025.677920300807,1428.0,-5029.264038451534,1429.0,-5025.677920300807,1428.0
2022-07-21,3.628,3.628,3.628,3.628,3.467,,50,,,-5028.071100262855,1428.0,-5031.658926088892,1429.0,-5028.071100262855,1428.0
2022-07-22,3.628,3.628,3.628,3.628,3.467,,0,,,-5030.465419834409,1428.0,-5034.0549541489345,1429.0,-5030.465419834409,1428.0
2022-07-25,3.628,3.628,3.59,3.617,3.457,-0.30%,4650,,,-5032.8608795581395,1428.0,-5036.452123174719,1429.0,-5032.8608795581395,1428.0
2022-07-26,3.617,3.617,3.617,3.617,3.457,,510,,,-5035.257479976976,1428.0,-5038.850433709565,1429.0,-5035.257479976976,1428.0
2022-07-27,3.617,3.617,3.617,3.617,3.457,,0,,,-5037.655221634108,1428.0,-5041.249886297045,1429.0,-5037.655221634108,1428.0
2022-07-28,3.694,3.694,3.694,3.694,3.53,2.13%,2470,,,-5040.054105072982,1428.0,-5043.650481480996,1429.0,-5040.054105072982,1428.0
2022-07-29,3.67,3.67,3.67,3.67,3.507,-0.65%,1030,,,-5042.454130837302,1428.0,-5046.0522198055105,1429.0,-5042.454130837302,1428.0
2022-08-01,3.67,3.67,3.67,3.67,3.507,,100,,,-5044.8552994710335,1428.0,-5048.455101814941,1429.0,-5044.8552994710335,1428.0
2022-08-02,3.7,3.7,3.7,3.7,3.536,0.82%,3000,,,-5047.257611518401,1428.0,-5050.859128053901,1429.0,-5047.257611518401,1428.0
2022-08-03,3.7,3.7,3.7,3.7,3.536,,40,,,-5049.661067523886,1428.0,-5053.26429906726,1429.0,-5049.661067523886,1428.0
2022-08-04,3.684,3.684,3.684,3.684,3.521,-0.43%,1500,,,-5052.065668032231,1428.0,-5055.6706154001495,1429.0,-5052.065668032231,1428.0
2022-08-05,3.5,3.5,3.466,3.466,3.312,-5.92%,12210,,,-5054.471413588437,1428.0,-5058.078077597959,1429.0,-5054.471413588437,1428.0
2022-08-08,3.466,3.466,3.466,3.466,3.312,,200,,,-5056.878304737765,1428.0,-5060.486686206339,1429.0,-5056.878304737765,1428.0
2022-08-09,3.466,3.466,3.466,3.466,3.312,,140,,,-5059.286342025735,1428.0,-5062.8964417711995,1429.0,-5059.286342025735,1428.0
2022-08-10,3.475,3.475,3.475,3.475,3.321,0.26%,1500,,,-5061.695525998129,1428.0,-5065.3073448387095,1429.0,-5061.695525998129,1428.0
2022-08-11,3.599,3.599,3.599,3.599,3.439,3.57%,3000,,,-5064.105857200985,1428.0,-5067.7193959553,1429.0,-5064.105857200985,1428.0
2022-08-12,3.599,3.599,3.599,3.599,3.439,,0,,,-5066.517336180605,1428.0,-5070.132595667659,1429.0,-5066.517336180605,1428.0
2022-08-15,3.599,3.599,3.599,3.599,3.439,,0,,,-5068.929963483548,1428.0,-5076.145944522739,1430.0,-5068.929963483548,1428.0
2022-08-16,3.599,3.599,3.599,3.599,3.439,,1070,,,-5071.343739656635,1428.0,-5078.563156877274,1430.0,-5071.343739656635,1428.0
