Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,256.16,262.98,254.74,262.85,257.865,1.26%,22971634,,,-4994.150000000001,19.0,-4994.150000000001,19.0,-4994.150000000001,19.0
2022-07-06,263.75,267.99,262.4,266.21,261.161,1.28%,23824419,,,-4996.528166666667,19.0,-4996.528166666667,19.0,-4996.528166666667,19.0
2022-07-07,265.12,269.055,265.02,268.4,263.31,0.82%,20859874,,,-4998.907465793651,19.0,-4998.907465793651,19.0,-4998.907465793651,19.0
2022-07-08,264.79,268.1,263.285,267.66,262.584,-0.28%,19658751,,,-5001.28789792022,19.0,-5001.28789792022,19.0,-5001.28789792022,19.0
2022-07-11,265.65,266.53,262.18,264.51,259.493,-1.18%,19519108,,,-5003.669463585896,19.0,-5003.669463585896,19.0,-5003.669463585896,19.0
2022-07-12,265.88,265.94,252.04,253.67,248.859,-4.10%,35868450,,,-5006.052163330461,19.0,-5006.052163330461,19.0,-5006.052163330461,19.0
2022-07-13,250.19,253.55,248.11,252.72,247.927,-0.37%,29497423,,,-5008.435997693951,19.0,-5008.435997693951,19.0,-5008.435997693951,19.0
2022-07-14,250.57,255.137,245.94,254.08,249.261,0.54%,25102823,,,-5010.820967216663,19.0,-5010.820967216663,19.0,-5010.820967216663,19.0
2022-07-15,255.72,260.37,254.773,256.72,251.851,1.04%,29774050,,,-5013.207072439147,19.0,-5269.927072439147,20.0,-5013.207072439147,19.0
2022-07-18,259.75,260.84,253.3,254.25,249.428,-0.96%,20975034,,,-5015.594313902213,19.0,-5272.436561521261,20.0,-5015.594313902213,19.0
2022-07-19,257.575,259.72,253.68,259.53,254.608,2.08%,25012562,,,-5017.9826921469285,19.0,-5274.947245598176,20.0,-5017.9826921469285,19.0
2022-07-20,259.9,264.87,258.91,262.27,257.296,1.06%,22788282,,,-5020.372207714618,19.0,-5277.459125238937,20.0,-5020.372207714618,19.0
2022-07-21,259.79,264.89,257.03,264.84,259.817,0.98%,22404675,,,-5022.762861146863,19.0,-5279.972201012861,20.0,-5022.762861146863,19.0
2022-07-22,265.24,265.33,259.07,260.36,255.422,-1.69%,21881290,,,-5025.154652985504,19.0,-5282.486473489534,20.0,-5025.154652985504,19.0
2022-07-25,260.995,261.5,256.81,258.83,253.921,-0.59%,21055998,,,-5027.54758377264,19.0,-5285.001943238814,20.0,-5027.54758377264,19.0
2022-07-26,259.86,259.88,249.57,251.9,247.123,-2.68%,39347957,,,-5029.941654050627,19.0,-5287.518610830833,20.0,-5029.941654050627,19.0
2022-07-27,261.16,270.05,258.85,268.74,263.643,6.69%,45994049,,,-5032.33686436208,19.0,-5290.0364768359905,20.0,-5032.33686436208,19.0
2022-07-28,269.75,277.84,267.87,276.41,271.168,2.85%,33459327,,,-5034.733215249871,19.0,-5292.55554182496,20.0,-5034.733215249871,19.0
2022-07-29,277.7,282.0,276.63,280.74,275.416,1.57%,32152752,,,-5037.130707257133,19.0,-5295.075806368686,20.0,-5037.130707257133,19.0
2022-08-01,277.82,281.28,275.84,278.01,272.737,-0.97%,21539580,,,-5039.529340927255,19.0,-5297.597271038386,20.0,-5039.529340927255,19.0
2022-08-02,276.0,277.89,272.38,274.82,269.608,-1.15%,22754184,,,-5041.929116803887,19.0,-5300.1199364055465,20.0,-5041.929116803887,19.0
2022-08-03,276.76,283.5,276.61,282.47,277.113,2.78%,23518874,,,-5044.330035430937,19.0,-5302.64380304193,20.0,-5044.330035430937,19.0
2022-08-04,281.8,283.8,280.168,283.65,278.27,0.42%,18098668,,,-5046.73209735257,19.0,-5305.16887151957,20.0,-5046.73209735257,19.0
2022-08-05,279.15,283.65,278.68,282.91,277.544,-0.26%,16774606,,,-5049.135303113214,19.0,-5307.695142410769,20.0,-5049.135303113214,19.0
2022-08-08,284.05,285.92,279.32,280.32,275.004,-0.92%,18757818,,,-5051.539653257553,19.0,-5310.222616288108,20.0,-5051.539653257553,19.0
2022-08-09,279.64,283.08,277.61,282.3,276.946,0.71%,23405238,,,-5053.945148330533,19.0,-5312.7512937244355,20.0,-5053.945148330533,19.0
2022-08-10,288.17,289.81,286.94,289.16,283.676,2.43%,24687845,,,-5056.351788877357,19.0,-5315.281175292876,20.0,-5056.351788877357,19.0
2022-08-11,290.85,291.21,286.51,287.02,281.577,-0.74%,20065938,,,-5058.759575443489,19.0,-5317.812261566824,20.0,-5058.759575443489,19.0
2022-08-12,288.48,291.91,286.94,291.91,286.374,1.70%,22619675,,,-5061.168508574652,19.0,-5320.344553119951,20.0,-5061.168508574652,19.0
2022-08-15,291.0,294.18,290.11,293.47,287.904,0.53%,18085654,,,-5063.57858881683,19.0,-5616.3480505262,21.0,-5063.57858881683,19.0
2022-08-16,291.99,294.04,290.42,292.71,287.159,-0.26%,18102882,,,-5065.989816716266,19.0,-5619.022501978831,21.0,-5065.989816716266,19.0
2022-08-17,289.74,293.35,289.47,291.32,286.403,-0.47%,18253358,,,-5068.402192819464,19.0,-5621.698226979774,21.0,-5068.402192819464,19.0
2022-08-18,290.189,291.91,289.08,290.17,285.273,-0.39%,17186192,,,-5070.8157176731875,19.0,-5624.375226135478,21.0,-5070.8157176731875,19.0
2022-08-19,288.9,289.25,285.56,286.15,281.32,-1.39%,20570033,,,-5073.230391824461,19.0,-5627.053500052686,21.0,-5073.230391824461,19.0
2022-08-22,282.08,282.46,277.22,277.75,273.062,-2.94%,25061070,,,-5075.646215820568,19.0,-5629.733049338425,21.0,-5075.646215820568,19.0
2022-08-23,276.44,278.86,275.4,276.44,271.774,-0.47%,17527409,,,-5078.063190209054,19.0,-5632.413874600015,21.0,-5078.063190209054,19.0
2022-08-24,275.41,277.23,275.11,275.79,271.135,-0.24%,18137019,,,-5080.481315537724,19.0,-5635.095976445063,21.0,-5080.481315537724,19.0
2022-08-25,277.33,279.02,274.52,278.85,274.144,1.11%,16583407,,,-5082.9005923546465,19.0,-5637.779355481465,21.0,-5082.9005923546465,19.0
2022-08-26,279.08,280.34,267.98,268.09,263.565,-3.86%,27549307,,,-5085.3210212081485,19.0,-5640.464012317409,21.0,-5085.3210212081485,19.0
2022-08-29,265.85,267.4,263.85,265.23,260.754,-1.07%,20121371,,,-5087.742602646819,19.0,-5643.149947561369,21.0,-5087.742602646819,19.0
2022-08-30,266.67,267.05,260.66,262.97,258.532,-0.85%,22767071,,,-5090.165337219508,19.0,-5645.837161822113,21.0,-5090.165337219508,19.0
2022-08-31,265.39,267.11,261.33,261.47,257.057,-0.57%,24791834,,,-5092.589225475326,19.0,-5648.525655708695,21.0,-5092.589225475326,19.0
2022-09-01,258.87,260.89,255.41,260.4,256.005,-0.41%,23263431,,,-5095.014267963647,19.0,-5651.215429830461,21.0,-5095.014267963647,19.0
2022-09-02,261.695,264.74,254.47,256.06,251.738,-1.67%,22855380,,,-5097.440465234106,19.0,-5653.906484797048,21.0,-5097.440465234106,19.0
2022-09-06,256.2,257.83,251.94,253.25,248.976,-1.10%,21283869,,,-5099.867817836599,19.0,-5656.598821218379,21.0,-5099.867817836599,19.0
2022-09-07,254.7,258.83,253.22,258.09,253.734,1.91%,24126700,,,-5102.296326321283,19.0,-5659.292439704674,21.0,-5102.296326321283,19.0
2022-09-08,257.51,260.43,254.79,258.52,254.157,0.17%,20319911,,,-5104.725991238579,19.0,-5661.987340866438,21.0,-5104.725991238579,19.0
2022-09-09,260.5,265.23,260.29,264.46,259.997,2.30%,22093190,,,-5107.156813139169,19.0,-5664.68352531447,21.0,-5107.156813139169,19.0
2022-09-12,265.78,267.45,265.16,266.65,262.15,0.83%,18747690,,,-5109.588792573997,19.0,-5667.380993659858,21.0,-5109.588792573997,19.0
2022-09-13,258.84,260.4,251.59,251.99,247.737,-5.50%,33353318,,,-5112.021930094271,19.0,-5670.079746513982,21.0,-5112.021930094271,19.0
2022-09-14,253.53,254.23,249.86,252.22,247.963,0.09%,23912954,,,-5114.456226251458,19.0,-5672.779784488513,21.0,-5114.456226251458,19.0
2022-09-15,249.77,251.4,244.02,245.38,241.239,-2.71%,31530948,,,-5116.8916815972925,19.0,-5920.861108195412,22.0,-5116.8916815972925,19.0
2022-09-16,244.26,245.3,242.063,244.74,240.609,-0.26%,39791768,,,-5119.328296683768,19.0,-5923.680565865981,22.0,-5119.328296683768,19.0
2022-09-19,242.465,245.14,240.85,244.52,240.393,-0.09%,26826931,,,-5121.766072063141,19.0,-5926.5013661354415,22.0,-5121.766072063141,19.0
2022-09-20,242.065,243.51,239.64,242.45,238.358,-0.85%,26660299,,,-5124.205008287933,19.0,-5929.323509643125,22.0,-5124.205008287933,19.0
2022-09-21,244.27,247.66,238.9,238.95,234.917,-1.44%,28625557,,,-5126.645105910928,19.0,-5932.14699702867,22.0,-5126.645105910928,19.0
2022-09-22,237.87,243.86,237.57,240.98,236.913,0.85%,30927092,,,-5129.086365485171,19.0,-5934.971828932017,22.0,-5129.086365485171,19.0
2022-09-23,239.54,241.13,235.2,237.92,233.904,-1.27%,34176048,,,-5131.528787563973,19.0,-5937.798005993413,22.0,-5131.528787563973,19.0
2022-09-26,237.045,241.45,236.9,237.45,233.442,-0.20%,27694190,,,-5133.972372700909,19.0,-5940.62552885341,22.0,-5133.972372700909,19.0
2022-09-27,239.98,241.8,234.5,236.41,232.42,-0.44%,27018732,,,-5136.417121449814,19.0,-5943.454398152864,22.0,-5136.417121449814,19.0
2022-09-28,236.81,242.33,234.73,241.07,237.001,1.97%,29029679,,,-5138.86303436479,19.0,-5946.284614532937,22.0,-5138.86303436479,19.0
2022-09-29,238.89,239.95,234.41,237.5,233.492,-1.48%,27484233,,,-5141.310112000202,19.0,-5949.116178635095,22.0,-5141.310112000202,19.0
2022-09-30,238.29,240.54,232.73,232.9,228.969,-1.94%,35694832,,,-5143.7583549106785,19.0,-5951.949091101112,22.0,-5143.7583549106785,19.0
2022-10-03,235.41,241.61,234.66,240.74,236.677,3.37%,28880357,,,-5146.207763651112,19.0,-5954.783352573065,22.0,-5146.207763651112,19.0
2022-10-04,245.09,250.36,244.975,248.88,244.679,3.38%,34888416,,,-5148.6583387766605,19.0,-5957.618963693338,22.0,-5148.6583387766605,19.0
2022-10-05,245.99,250.58,244.1,249.2,244.994,0.13%,20347136,,,-5151.1100808427445,19.0,-5960.45592510462,22.0,-5151.1100808427445,19.0
2022-10-06,247.93,250.34,246.08,246.79,242.625,-0.97%,20239886,,,-5153.56299040505,19.0,-5963.294237449908,22.0,-5153.56299040505,19.0
2022-10-07,240.902,241.32,233.17,234.24,230.287,-5.09%,37769602,,,-5156.017068019529,19.0,-5966.133901372503,22.0,-5156.017068019529,19.0
2022-10-10,233.05,234.559,226.73,229.25,225.381,-2.13%,29743608,,,-5158.472314242395,19.0,-5968.974917516013,22.0,-5158.472314242395,19.0
2022-10-11,227.62,229.06,224.11,225.41,221.606,-1.68%,30473954,,,-5160.92872963013,19.0,-5971.817286524354,22.0,-5160.92872963013,19.0
2022-10-12,225.4,227.86,223.96,225.75,221.94,0.15%,21903937,,,-5163.386314739478,19.0,-5974.661009041747,22.0,-5163.386314739478,19.0
2022-10-13,219.85,236.1,219.13,234.24,230.287,3.76%,42551818,,,-5165.845070127449,19.0,-5977.506085712719,22.0,-5165.845070127449,19.0
2022-10-14,235.54,237.24,228.34,228.56,224.702,-2.42%,30198588,,,-5168.304996351319,19.0,-5980.352517182107,22.0,-5168.304996351319,19.0
2022-10-17,235.82,238.96,235.135,237.53,233.521,3.92%,28142268,,,-5170.766093968628,19.0,-5983.20030409505,22.0,-5170.766093968628,19.0
2022-10-18,243.24,243.93,235.37,238.5,234.475,0.41%,26329591,,,-5173.228363537185,19.0,-5986.049447097001,22.0,-5173.228363537185,19.0
2022-10-19,237.04,239.61,234.29,236.48,232.489,-0.85%,19985698,,,-5175.69180561506,19.0,-5988.899946833713,22.0,-5175.69180561506,19.0
2022-10-20,235.77,241.31,234.87,236.15,232.164,-0.14%,21811015,,,-5178.156420760591,19.0,-5991.751803951253,22.0,-5178.156420760591,19.0
2022-10-21,234.74,243.0,234.5,242.12,238.034,2.53%,26299733,,,-5180.622209532381,19.0,-5994.605019095992,22.0,-5180.622209532381,19.0
2022-10-24,243.76,247.84,241.295,247.25,243.077,2.12%,24911212,,,-5183.089172489301,19.0,-5997.459592914609,22.0,-5183.089172489301,19.0
