Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,176.28,185.92,172.68,185.88,185.88,3.30%,7339023,,,-4832.88,26.0,-4832.88,26.0,-4832.88,26.0
2022-07-06,185.2,186.22,180.82,184.06,184.06,-0.98%,5753385,,,-4835.181371428572,26.0,-4835.181371428572,26.0,-4835.181371428572,26.0
2022-07-07,184.27,190.21,183.5,189.27,189.27,2.83%,6334545,,,-4837.4838387483,26.0,-4837.4838387483,26.0,-4837.4838387483,26.0
2022-07-08,186.02,189.91,182.75,186.975,186.975,-1.21%,5835680,,,-4839.787402481037,26.0,-4839.787402481037,26.0,-4839.787402481037,26.0
2022-07-11,184.73,184.99,176.89,177.34,177.34,-5.15%,6048447,,,-4842.092063148885,26.0,-4842.092063148885,26.0,-4842.092063148885,26.0
2022-07-12,177.33,179.784,173.42,174.45,174.45,-1.63%,6845264,,,-4844.397821274194,26.0,-4844.397821274194,26.0,-4844.397821274194,26.0
2022-07-13,170.5,179.18,169.702,176.56,176.56,1.21%,12734421,,,-4846.704677379563,26.0,-4846.704677379563,26.0,-4846.704677379563,26.0
2022-07-14,175.56,177.52,171.82,174.78,174.78,-1.01%,9039457,,,-4849.012631987839,26.0,-4849.012631987839,26.0,-4849.012631987839,26.0
2022-07-15,175.58,189.22,174.56,189.11,189.11,8.20%,16319116,,,-4851.321685622119,26.0,-5040.4316856221185,27.0,-4851.321685622119,26.0
2022-07-18,192.5,199.67,189.8,190.92,190.92,0.96%,16322845,,,-4853.631838805748,26.0,-5042.831891186701,27.0,-4853.631838805748,26.0
2022-07-19,193.02,201.97,188.4,201.63,201.63,5.61%,28178716,,,-4855.943092062322,26.0,-5045.233239706314,27.0,-4855.943092062322,26.0
2022-07-20,208.17,216.97,200.1,216.44,216.44,7.35%,53920266,,,-4858.2554459156845,26.0,-5047.635731725221,27.0,-4858.2554459156845,26.0
2022-07-21,214.3,224.32,211.5,223.88,223.88,3.44%,23430117,,,-4860.56890088993,26.0,-5050.039367787947,27.0,-4860.56890088993,26.0
2022-07-22,222.38,229.35,218.44,220.44,220.44,-1.54%,17805452,,,-4862.8834575094015,26.0,-5052.444148439275,27.0,-4862.8834575094015,26.0
2022-07-25,221.31,225.23,216.35,218.51,218.51,-0.88%,10935247,,,-4865.1991162986915,26.0,-5054.850074224246,27.0,-4865.1991162986915,26.0
2022-07-26,216.66,219.39,211.64,213.91,213.91,-2.11%,9508532,,,-4867.515877782644,26.0,-5057.257145688162,27.0,-4867.515877782644,26.0
2022-07-27,216.48,227.78,214.58,226.75,226.75,6.00%,10508385,,,-4869.833742486349,26.0,-5059.665363376585,27.0,-4869.833742486349,26.0
2022-07-28,224.6,228.1,219.67,226.02,226.02,-0.32%,8972738,,,-4872.152710935153,26.0,-5062.0747278353365,27.0,-4872.152710935153,26.0
2022-07-29,223.29,230.75,222.4,224.9,224.9,-0.50%,9064937,,,-4874.472783654645,26.0,-5064.485239610496,27.0,-4874.472783654645,26.0
2022-08-01,223.095,228.39,221.0,226.21,226.21,0.58%,5525044,,,-4876.7939611706715,26.0,-5066.896899248406,27.0,-4876.7939611706715,26.0
2022-08-02,222.76,228.2,220.88,221.42,221.42,-2.12%,6361327,,,-4879.116244009324,26.0,-5069.309707295667,27.0,-4879.116244009324,26.0
2022-08-03,224.79,228.1,222.42,226.73,226.73,2.40%,6400701,,,-4881.439632696947,26.0,-5071.723664299141,27.0,-4881.439632696947,26.0
2022-08-04,227.68,232.07,225.05,229.91,229.91,1.40%,7142741,,,-4883.764127760136,26.0,-5074.13877080595,27.0,-4883.764127760136,26.0
2022-08-05,225.3,228.62,222.87,226.78,226.78,-1.36%,5539733,,,-4886.089729725736,26.0,-5076.555027363477,27.0,-4886.089729725736,26.0
2022-08-08,227.49,241.96,226.41,233.49,233.49,2.96%,10997409,,,-4888.416439120843,26.0,-5078.9724345193645,27.0,-4888.416439120843,26.0
2022-08-09,231.62,232.2,224.65,229.94,229.94,-1.52%,6181194,,,-4890.744256472805,26.0,-5081.390992821516,27.0,-4890.744256472805,26.0
2022-08-10,236.99,244.54,236.596,244.11,244.11,6.16%,9254760,,,-4893.073182309221,26.0,-5083.8107028180975,27.0,-4893.073182309221,26.0
2022-08-11,244.68,251.62,241.51,242.7,242.7,-0.58%,8780062,,,-4895.403217157939,26.0,-5086.231565057535,27.0,-4895.403217157939,26.0
2022-08-12,244.81,249.41,243.76,249.3,249.3,2.72%,6098531,,,-4897.734361547062,26.0,-5088.653580088515,27.0,-4897.734361547062,26.0
2022-08-15,248.11,251.99,247.51,249.11,249.11,-0.08%,6527391,,,-4900.066616004941,26.0,-5340.186748459985,28.0,-4900.066616004941,26.0
2022-08-16,247.16,249.29,244.03,245.69,245.69,-1.37%,5136806,,,-4902.399981060182,26.0,-5342.729694530681,28.0,-4902.399981060182,26.0
2022-08-17,241.18,244.24,237.56,241.15,241.15,-1.85%,5627224,,,-4904.734457241639,26.0,-5345.273851528076,28.0,-4904.734457241639,26.0
2022-08-18,241.96,246.479,239.28,245.17,245.17,1.67%,5280387,,,-4907.070045078421,26.0,-5347.819220028804,28.0,-4907.070045078421,26.0
