Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,100.45,104.38,100.11,104.32,101.185,0.031,9951963,,,-4903.04,47.0,-4903.04,47.0,-4903.04,47.0
2022-07-06,104.89,105.72,103.45,104.23,101.098,-0.0009,6432881,,,-4905.374780952381,47.0,-4905.374780952381,47.0,-4905.374780952381,47.0
2022-07-07,105.65,108.28,105.27,108.13,104.881,0.0374,7633944,,,-4907.710673705215,47.0,-4907.710673705215,47.0,-4907.710673705215,47.0
2022-07-08,106.58,108.612,106.51,107.93,104.687,-0.0018,5938841,,,-4910.047678787932,47.0,-4910.047678787932,47.0,-4910.047678787932,47.0
2022-07-11,106.6,107.09,104.87,105.11,101.951,-0.0261,4936666,,,-4912.385796730213,47.0,-4912.385796730213,47.0,-4912.385796730213,47.0
2022-07-12,105.01,105.86,103.15,103.76,100.642,-0.0128,6017439,,,-4914.725028061989,47.0,-4914.725028061989,47.0,-4914.725028061989,47.0
2022-07-13,101.94,105.88,101.56,105.11,101.951,0.013,5299449,,,-4917.065373313448,47.0,-4917.065373313448,47.0,-4917.065373313448,47.0
2022-07-14,103.11,103.8,101.85,103.22,100.118,-0.018,6951305,,,-4919.406833015026,47.0,-4919.406833015026,47.0,-4919.406833015026,47.0
2022-07-15,104.76,105.615,103.935,104.7,101.554,0.0143,7862046,,,-4921.7494076974135,47.0,-5026.449407697413,48.0,-4921.7494076974135,47.0
2022-07-18,106.19,106.68,103.68,103.94,100.817,-0.0073,6834758,,,-4924.093097891555,47.0,-5028.842955034412,48.0,-4924.093097891555,47.0
2022-07-19,105.6,109.58,105.43,109.19,105.909,0.0505,8973853,,,-4926.437904128646,47.0,-5031.2376421558565,48.0,-4926.437904128646,47.0
2022-07-20,109.22,111.63,108.87,111.11,107.771,0.0176,5884576,,,-4928.783826940135,47.0,-5033.633469604502,48.0,-4928.783826940135,47.0
2022-07-21,110.37,111.67,110.07,111.62,108.266,0.0046,4291350,,,-4931.130866857726,47.0,-5036.030437923361,48.0,-4931.130866857726,47.0
2022-07-22,111.93,111.93,108.75,109.12,105.841,-0.0224,6039269,,,-4933.479024413372,47.0,-5038.428547655706,48.0,-4933.479024413372,47.0
2022-07-25,109.61,109.61,107.68,109.28,105.996,0.0015,5079527,,,-4935.828300139283,47.0,-5040.827799345066,48.0,-4935.828300139283,47.0
2022-07-26,107.48,107.93,104.57,105.2,102.039,-0.0373,8459456,,,-4938.1786945679205,47.0,-5043.22819353523,48.0,-4938.1786945679205,47.0
2022-07-27,106.3,108.38,105.75,107.86,104.619,0.0253,7437032,,,-4940.530208232,47.0,-5045.629730770247,48.0,-4940.530208232,47.0
2022-07-28,109.43,112.4,108.03,112.23,108.857,0.0405,6773540,,,-4942.882841664492,47.0,-5048.032411594423,48.0,-4942.882841664492,47.0
2022-07-29,112.76,115.205,111.5,114.92,111.467,0.024,7559983,,,-4945.236595398618,47.0,-5050.436236552326,48.0,-4945.236595398618,47.0
2022-08-01,114.0,115.545,113.25,114.3,110.865,-0.0054,4802882,,,-4947.591469967856,47.0,-5052.841206188779,48.0,-4947.591469967856,47.0
