Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,14.175,14.971,14.055,14.964,14.946,3.04%,652207610,,,-4997.976000000001,334.0,-4997.976000000001,334.0,-4997.976000000001,334.0
2022-07-06,15.01,15.319,14.789,15.13,15.111,1.11%,529065860,,,-5000.355988571429,334.0,-5000.355988571429,334.0,-5000.355988571429,334.0
2022-07-07,15.456,15.945,15.389,15.858,15.839,4.81%,492902760,,,-5002.737110470749,334.0,-5002.737110470749,334.0,-5002.737110470749,334.0
2022-07-08,15.43,16.037,15.389,15.838,15.819,-0.13%,467971760,,,-5005.11936623764,334.0,-5005.11936623764,334.0,-5005.11936623764,334.0
2022-07-11,15.526,15.527,15.038,15.152,15.133,-4.33%,438388730,,,-5007.502756412039,334.0,-5007.502756412039,334.0,-5007.502756412039,334.0
2022-07-12,15.268,15.431,14.877,15.082,15.064,-0.46%,458483100,,,-5009.88728153414,334.0,-5009.88728153414,334.0,-5009.88728153414,334.0
2022-07-13,14.59,15.375,14.465,15.164,15.145,0.54%,521918340,,,-5012.272942144395,334.0,-5012.272942144395,334.0,-5012.272942144395,334.0
2022-07-14,15.108,15.473,14.728,15.372,15.353,1.37%,456234840,,,-5014.659738783511,334.0,-5014.659738783511,334.0,-5014.659738783511,334.0
2022-07-15,15.659,15.782,15.445,15.762,15.743,2.54%,385935470,,,-5017.047671992455,334.0,-5032.809671992455,335.0,-5017.047671992455,334.0
2022-07-18,16.302,16.897,16.002,16.101,16.081,2.15%,670517450,,,-5019.436742312452,334.0,-5035.206248026737,335.0,-5019.436742312452,334.0
2022-07-19,16.486,17.11,16.172,16.992,16.971,5.53%,702366080,,,-5021.826950284982,334.0,-5037.603965287702,335.0,-5021.826950284982,334.0
2022-07-20,16.947,17.932,16.801,17.807,17.785,4.80%,760537790,,,-5024.218296451784,334.0,-5040.002824318791,335.0,-5024.218296451784,334.0
2022-07-21,17.885,18.144,17.545,18.05,18.028,1.36%,557049280,,,-5026.610781354857,334.0,-5042.402825663705,335.0,-5026.610781354857,334.0
2022-07-22,17.893,17.967,17.137,17.319,17.298,-4.05%,536670880,,,-5029.004405536454,334.0,-5044.8039698664015,335.0,-5029.004405536454,334.0
2022-07-25,17.019,17.124,16.649,17.024,17.003,-1.70%,480747510,,,-5031.3991695390905,334.0,-5047.2062574711,335.0,-5031.3991695390905,334.0
2022-07-26,16.889,16.919,16.478,16.533,16.513,-2.88%,397864910,,,-5033.795073905538,334.0,-5049.609689022277,335.0,-5033.795073905538,334.0
2022-07-27,17.032,17.936,16.913,17.79,17.768,7.60%,569776230,,,-5036.192119178826,334.0,-5052.0142650646685,335.0,-5036.192119178826,334.0
2022-07-28,17.975,18.14,17.44,17.984,17.962,1.09%,474646280,,,-5038.590305902245,334.0,-5054.419986143271,335.0,-5038.590305902245,334.0
2022-07-29,17.813,18.244,17.692,18.163,18.141,1.00%,435460420,,,-5040.989634619341,334.0,-5056.826852803339,335.0,-5040.989634619341,334.0
2022-08-01,18.182,18.846,17.99,18.441,18.418,1.53%,476469040,,,-5043.390105873921,334.0,-5059.234865590388,335.0,-5043.390105873921,334.0
2022-08-02,18.122,18.938,18.092,18.526,18.503,0.46%,489526920,,,-5045.791720210052,334.0,-5061.644025050193,335.0,-5045.791720210052,334.0
2022-08-03,18.184,18.968,18.137,18.893,18.87,1.98%,418145570,,,-5048.194478172057,334.0,-5064.054331728788,335.0,-5048.194478172057,334.0
2022-08-04,18.849,19.274,18.76,19.215,19.191,1.70%,409652270,,,-5050.598380304519,334.0,-5066.465786172469,335.0,-5050.598380304519,334.0
2022-08-05,18.81,19.229,18.666,18.989,18.966,-1.18%,386068290,,,-5053.003427152284,334.0,-5068.878388927789,335.0,-5053.003427152284,334.0
2022-08-08,17.502,18.239,17.242,17.793,17.771,-6.30%,983783180,,,-5055.409619260451,334.0,-5071.292140541565,335.0,-5055.409619260451,334.0
2022-08-09,17.252,17.447,16.724,17.086,17.065,-3.97%,668262650,,,-5057.816957174385,334.0,-5073.7070415608705,335.0,-5057.816957174385,334.0
