Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,78.02,79.55,77.36,79.52,75.06,0.33%,8089606,,,-4930.24,62.0,-4930.24,62.0,-4930.24,62.0
2022-07-06,79.83,80.475,78.175,78.86,74.437,-0.83%,4652815,,,-4932.587733333333,62.0,-4932.587733333333,62.0,-4932.587733333333,62.0
2022-07-07,78.81,79.65,78.37,79.24,74.796,0.48%,5395567,,,-4934.93658463492,62.0,-4934.93658463492,62.0,-4934.93658463492,62.0
2022-07-08,78.69,79.63,78.27,79.28,74.834,0.05%,3927101,,,-4937.286554437127,62.0,-4937.286554437127,62.0,-4937.286554437127,62.0
2022-07-11,78.85,79.049,77.43,77.9,73.531,-1.74%,5351589,,,-4939.637643272573,62.0,-4939.637643272573,62.0,-4939.637643272573,62.0
2022-07-12,78.36,79.44,77.38,77.76,73.399,-0.18%,5393394,,,-4941.989851674131,62.0,-4941.989851674131,62.0,-4941.989851674131,62.0
2022-07-13,75.986,78.54,75.73,77.92,73.55,0.21%,3897457,,,-4944.343180174928,62.0,-4944.343180174928,62.0,-4944.343180174928,62.0
2022-07-14,77.09,78.37,76.81,78.2,73.814,0.36%,4504473,,,-4946.697629308345,62.0,-4946.697629308345,62.0,-4946.697629308345,62.0
2022-07-15,78.615,80.21,78.615,79.62,75.155,1.82%,5584130,,,-4949.053199608016,62.0,-5028.673199608016,63.0,-4949.053199608016,62.0
2022-07-18,80.03,81.665,80.0,80.23,75.73,0.77%,6768756,,,-4951.409891607829,62.0,-5031.067805893544,63.0,-4951.409891607829,62.0
2022-07-19,81.11,82.67,80.91,82.55,77.92,2.89%,5949201,,,-4953.767705841929,62.0,-5033.463552467779,63.0,-4953.767705841929,62.0
2022-07-20,82.48,83.469,81.887,83.27,78.6,0.87%,6850639,,,-4956.126642844711,62.0,-5035.860439873716,63.0,-4956.126642844711,62.0
2022-07-21,82.95,83.61,82.652,83.54,78.855,0.32%,7695295,,,-4958.486703150827,62.0,-5038.258468654609,63.0,-4958.486703150827,62.0
2022-07-22,84.16,84.43,82.84,83.59,78.902,0.06%,6283617,,,-4960.847887295185,62.0,-5040.657639353968,63.0,-4960.847887295185,62.0
2022-07-25,83.59,83.7,81.035,81.5,76.929,-2.50%,5861107,,,-4963.210195812944,62.0,-5043.057952515565,63.0,-4963.210195812944,62.0
2022-07-26,81.215,81.42,80.0,80.31,75.806,-1.46%,6587009,,,-4965.573629239522,62.0,-5045.4594086834295,63.0,-4965.573629239522,62.0
2022-07-27,81.23,83.405,81.121,82.96,78.307,3.30%,6372575,,,-4967.938188110588,62.0,-5047.86200840185,63.0,-4967.938188110588,62.0
2022-07-28,83.19,84.89,82.82,84.67,79.921,2.06%,5594602,,,-4970.303872962069,62.0,-5050.265752215375,63.0,-4970.303872962069,62.0
2022-07-29,84.6,84.98,83.93,84.78,80.025,0.13%,5802700,,,-4972.670684330146,62.0,-5052.670640668811,63.0,-4972.670684330146,62.0
2022-08-01,84.19,85.59,84.03,84.91,80.148,0.15%,7313697,,,-4975.038622751256,62.0,-5055.0766743072245,63.0,-4975.038622751256,62.0
2022-08-02,84.7,85.144,83.62,83.71,79.015,-1.41%,7254737,,,-4977.40768876209,62.0,-5057.483853675943,63.0,-4977.40768876209,62.0
2022-08-03,86.01,87.965,83.91,87.27,82.376,4.25%,12915674,,,-4979.777882899596,62.0,-5059.89217932055,63.0,-4979.777882899596,62.0
2022-08-04,87.21,88.275,86.57,86.88,82.008,-0.45%,7086693,,,-4982.149205700977,62.0,-5062.301651786893,63.0,-4982.149205700977,62.0
2022-08-05,85.76,86.15,84.92,85.73,80.922,-1.32%,4835081,,,-4984.521657703692,62.0,-5064.712271621077,63.0,-4984.521657703692,62.0
2022-08-08,86.15,86.86,85.42,85.72,80.913,-0.01%,4885102,,,-4986.895239445455,62.0,-5067.124039369468,63.0,-4986.895239445455,62.0
2022-08-09,85.74,85.83,84.46,84.84,80.082,-1.03%,3498395,,,-4989.269951464239,62.0,-5069.536955578691,63.0,-4989.269951464239,62.0
2022-08-10,86.5,86.9,86.09,86.49,81.639,1.94%,5072324,,,-4991.64579429827,62.0,-5071.951020795634,63.0,-4991.64579429827,62.0
2022-08-11,86.94,87.55,86.5,87.27,82.838,0.90%,5595696,,,-4994.022768486031,62.0,-5074.366235567441,63.0,-4994.022768486031,62.0
2022-08-12,87.305,88.395,87.19,88.31,83.825,1.19%,5153974,,,-4996.400874566262,62.0,-5076.782600441521,63.0,-4996.400874566262,62.0
2022-08-15,88.11,89.25,88.01,89.16,84.632,0.96%,5600991,,,-4998.780113077961,62.0,-5168.360115965541,64.0,-4998.780113077961,62.0
