Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,12.97,14.4,12.657,14.38,14.38,9.19%,28853186,,,-4989.860000000001,347.0,-4989.860000000001,347.0,-4989.860000000001,347.0
2022-07-06,14.35,14.61,14.06,14.28,14.28,-0.70%,23266266,,,-4992.2361238095245,347.0,-4992.2361238095245,347.0,-4992.2361238095245,347.0
2022-07-07,14.4,15.115,14.28,15.1,15.1,5.74%,25460942,,,-4994.613379106577,347.0,-4994.613379106577,347.0,-4994.613379106577,347.0
2022-07-08,14.75,15.3,14.61,14.96,14.96,-0.93%,21290728,,,-4996.991766429961,347.0,-4996.991766429961,347.0,-4996.991766429961,347.0
2022-07-11,14.59,14.84,14.0,14.06,14.06,-6.02%,21539726,,,-4999.3712863187375,347.0,-4999.3712863187375,347.0,-4999.3712863187375,347.0
2022-07-12,14.24,14.59,13.76,14.04,14.04,-0.14%,24850912,,,-5001.751939312223,347.0,-5001.751939312223,347.0,-5001.751939312223,347.0
2022-07-13,13.74,14.245,13.42,13.83,13.83,-1.50%,24333666,,,-5004.133725949991,347.0,-5004.133725949991,347.0,-5004.133725949991,347.0
2022-07-14,13.79,13.87,13.15,13.17,13.17,-4.77%,24256668,,,-5006.516646771872,347.0,-5006.516646771872,347.0,-5006.516646771872,347.0
2022-07-15,13.5,14.09,13.45,13.65,13.65,3.64%,38346822,,,-5008.900702317954,347.0,-5022.550702317953,348.0,-5008.900702317954,347.0
2022-07-18,13.87,14.545,13.8,13.92,13.92,1.98%,44254873,,,-5011.285893128582,347.0,-5024.942393128581,348.0,-5011.285893128582,347.0
2022-07-19,13.97,14.22,13.46,14.15,14.15,1.65%,34902354,,,-5013.672219744358,347.0,-5027.335222839594,348.0,-5013.672219744358,347.0
2022-07-20,14.52,15.64,14.41,15.51,15.51,9.61%,47768366,,,-5016.059682706141,347.0,-5029.729191993328,348.0,-5016.059682706141,347.0
2022-07-21,15.54,16.545,15.47,16.35,16.35,5.42%,116754651,,,-5018.4482825550485,347.0,-5032.124301132372,348.0,-5018.4482825550485,347.0
2022-07-22,11.1,11.11,9.91,9.96,9.96,-39.08%,330993902,,,-5020.838019832456,347.0,-5034.520550799578,348.0,-5020.838019832456,347.0
2022-07-25,9.73,10.13,9.66,9.95,9.95,-0.10%,137819174,,,-5023.228895079995,347.0,-5036.917941538054,348.0,-5023.228895079995,347.0
2022-07-26,9.78,9.93,9.63,9.63,9.63,-3.22%,94591194,,,-5025.620908839556,347.0,-5039.316473891167,348.0,-5025.620908839556,347.0
2022-07-27,9.71,9.84,9.38,9.55,9.55,-0.83%,120729262,,,-5028.014061653289,347.0,-5041.716148402544,348.0,-5028.014061653289,347.0
2022-07-28,9.55,9.92,9.34,9.67,9.67,1.26%,97531247,,,-5030.4083540636,347.0,-5044.116965616069,348.0,-5030.4083540636,347.0
2022-07-29,9.67,9.93,9.47,9.88,9.88,2.17%,74531443,,,-5032.803786613154,347.0,-5046.518926075886,348.0,-5032.803786613154,347.0
2022-08-01,9.81,9.82,9.5,9.54,9.54,-3.44%,50125564,,,-5035.200359844875,347.0,-5048.922030326398,348.0,-5035.200359844875,347.0
2022-08-02,9.55,10.13,9.51,9.87,9.87,3.46%,66355619,,,-5037.598074301944,347.0,-5051.326278912268,348.0,-5037.598074301944,347.0
2022-08-03,9.92,10.49,9.92,10.32,10.32,4.56%,61691372,,,-5039.996930527802,347.0,-5053.731672378417,348.0,-5039.996930527802,347.0
2022-08-04,10.33,10.56,10.1,10.25,10.25,-0.68%,48277994,,,-5042.396929066148,347.0,-5056.138211270026,348.0,-5042.396929066148,347.0
2022-08-05,10.08,10.35,9.98,10.18,10.18,-0.68%,37576023,,,-5044.798070460942,347.0,-5058.545896132535,348.0,-5044.798070460942,347.0
2022-08-08,10.25,10.8,10.17,10.41,10.41,2.26%,49276029,,,-5047.200355256399,347.0,-5060.954727511646,348.0,-5047.200355256399,347.0
2022-08-09,10.24,10.295,10.02,10.16,10.16,-2.40%,33603602,,,-5049.603783996998,347.0,-5063.364705953318,348.0,-5049.603783996998,347.0
2022-08-10,10.46,10.87,10.4,10.57,10.57,4.04%,50989838,,,-5052.0083572274725,347.0,-5065.775832003772,348.0,-5052.0083572274725,347.0
2022-08-11,10.84,11.8,10.82,11.11,11.11,5.11%,67195966,,,-5054.4140754928185,347.0,-5068.188106209488,348.0,-5054.4140754928185,347.0
2022-08-12,11.31,11.64,11.13,11.62,11.62,4.59%,40840880,,,-5056.820939338291,347.0,-5070.601529117207,348.0,-5056.820939338291,347.0
2022-08-15,11.61,12.388,11.56,12.24,12.24,5.34%,63880269,,,-5059.228949309405,347.0,-5085.25610127393,349.0,-5059.228949309405,347.0
2022-08-16,12.4,12.73,12.0,12.61,12.61,3.02%,67364862,,,-5061.6381059519335,347.0,-5087.677651798346,349.0,-5061.6381059519335,347.0
2022-08-17,12.25,12.32,11.64,12.09,12.09,-4.12%,69571330,,,-5064.0484098119105,347.0,-5090.1003554420595,349.0,-5064.0484098119105,347.0
2022-08-18,12.02,12.78,11.83,12.56,12.56,3.89%,62750425,,,-5066.45986143563,347.0,-5092.524212754175,349.0,-5066.45986143563,347.0
2022-08-19,12.2,12.255,11.51,11.56,11.56,-7.96%,46400993,,,-5068.872461369647,347.0,-5094.949224284058,349.0,-5068.872461369647,347.0
2022-08-22,11.04,11.35,10.89,11.01,11.01,-4.76%,41173220,,,-5071.286210160775,347.0,-5097.375390581336,349.0,-5071.286210160775,347.0
2022-08-23,11.025,11.16,10.54,10.6,10.6,-3.72%,34913739,,,-5073.70110835609,347.0,-5099.802712195899,349.0,-5073.70110835609,347.0
2022-08-24,10.68,11.02,10.63,10.86,10.86,2.45%,27794619,,,-5076.117156502926,347.0,-5102.231189677897,349.0,-5076.117156502926,347.0
2022-08-25,11.03,11.24,10.8,11.21,11.21,3.22%,31252692,,,-5078.53435514888,347.0,-5104.660823577744,349.0,-5078.53435514888,347.0
2022-08-26,11.23,11.34,10.56,10.67,10.67,-4.82%,35219519,,,-5080.952704841809,347.0,-5107.091614446114,349.0,-5080.952704841809,347.0
2022-08-29,10.485,10.825,10.27,10.27,10.27,-3.75%,29193597,,,-5083.372206129829,347.0,-5109.523562833946,349.0,-5083.372206129829,347.0
2022-08-30,10.43,10.59,9.85,10.01,10.01,-2.53%,59438159,,,-5085.792859561319,347.0,-5111.956669292438,349.0,-5085.792859561319,347.0
2022-08-31,11.25,11.6,10.2,10.88,10.88,8.69%,199520675,,,-5088.21466568492,347.0,-5114.390934373054,349.0,-5088.21466568492,347.0
2022-09-01,10.94,11.67,10.78,11.64,11.64,6.99%,80012360,,,-5090.637625049531,347.0,-5116.826358627517,349.0,-5090.637625049531,347.0
2022-09-02,11.75,11.78,11.18,11.22,11.22,-3.61%,45734924,,,-5093.0617382043165,347.0,-5119.262942607816,349.0,-5093.0617382043165,347.0
2022-09-06,11.27,11.28,10.67,10.77,10.77,-4.01%,37313818,,,-5095.487005698699,347.0,-5121.7006868662,349.0,-5095.487005698699,347.0
2022-09-07,10.82,11.66,10.7,11.46,11.46,6.41%,59443031,,,-5097.9134280823655,347.0,-5124.139591955184,349.0,-5097.9134280823655,347.0
2022-09-08,11.32,12.68,11.31,12.53,12.53,9.34%,84685247,,,-5100.341005905262,347.0,-5126.579658427544,349.0,-5100.341005905262,347.0
2022-09-09,12.45,12.91,12.36,12.65,12.65,0.96%,54653533,,,-5102.769739717598,347.0,-5129.020886836319,349.0,-5102.769739717598,347.0
2022-09-12,12.69,12.94,12.44,12.65,12.65,,32375101,,,-5105.199630069845,347.0,-5131.463277734812,349.0,-5105.199630069845,347.0
