Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,223.0,233.147,216.167,233.067,233.067,2.55%,84779112,,,-4894.407,21.0,-4894.407,21.0,-4894.407,21.0
2022-07-06,230.78,234.563,227.187,231.733,231.733,-0.57%,71853630,,,-4896.73767,21.0,-4896.73767,21.0,-4896.73767,21.0
2022-07-07,233.92,245.362,232.21,244.543,244.543,5.53%,81930690,,,-4899.0694498428575,21.0,-4899.0694498428575,21.0,-4899.0694498428575,21.0
2022-07-08,242.333,254.98,241.161,250.763,250.763,2.54%,101854086,,,-4901.402340057069,21.0,-4901.402340057069,21.0,-4901.402340057069,21.0
2022-07-11,252.103,253.063,233.627,234.343,234.343,-6.55%,99509220,,,-4903.736341171381,21.0,-4903.736341171381,21.0,-4903.736341171381,21.0
2022-07-12,236.847,239.773,228.368,233.07,233.07,-0.54%,87930960,,,-4906.071453714796,21.0,-4906.071453714796,21.0,-4906.071453714796,21.0
2022-07-13,225.5,242.06,225.033,237.04,237.04,1.70%,97954497,,,-4908.407678216565,21.0,-4908.407678216565,21.0,-4908.407678216565,21.0
2022-07-14,234.897,238.653,229.333,238.313,238.313,0.54%,78557499,,,-4910.745015206192,21.0,-4910.745015206192,21.0,-4910.745015206192,21.0
2022-07-15,240.0,243.623,236.89,240.067,240.067,0.74%,69683019,,,-4913.083465213433,21.0,-5153.150465213433,22.0,-4913.083465213433,21.0
2022-07-18,244.937,250.517,239.603,240.547,240.547,0.20%,82537428,,,-4915.423028768296,21.0,-5155.604346387344,22.0,-4915.423028768296,21.0
2022-07-19,245.0,247.14,236.977,245.53,245.53,2.07%,80890110,,,-4917.763706401042,21.0,-5158.0593960761,22.0,-4917.763706401042,21.0
2022-07-20,246.783,250.663,243.483,247.5,247.5,0.80%,88864089,,,-4920.105498642186,21.0,-5160.515614836136,22.0,-4920.105498642186,21.0
2022-07-21,255.107,273.267,254.867,271.707,271.707,9.78%,142032177,,,-4922.448406022491,21.0,-5162.973003224153,22.0,-4922.448406022491,21.0
2022-07-22,276.22,280.787,270.713,272.243,272.243,0.20%,103472847,,,-4924.792429072978,21.0,-5165.431561797117,22.0,-4924.792429072978,21.0
2022-07-25,272.217,274.147,267.4,268.433,268.433,-1.40%,64073505,,,-4927.137568324917,21.0,-5167.891291112259,22.0,-4927.137568324917,21.0
2022-07-26,266.513,267.31,256.263,258.86,258.86,-3.57%,66820758,,,-4929.483824309834,21.0,-5170.352191727075,22.0,-4929.483824309834,21.0
2022-07-27,263.81,275.926,261.79,274.82,274.82,6.17%,88109988,,,-4931.831197559505,21.0,-5172.814264199325,22.0,-4931.831197559505,21.0
2022-07-28,280.067,283.3,272.8,280.9,280.9,2.21%,84722991,,,-4934.179688605962,21.0,-5175.277509087039,22.0,-4934.179688605962,21.0
2022-07-29,280.7,298.32,279.1,297.15,297.15,5.78%,95312883,,,-4936.5292979814885,21.0,-5177.741926948509,22.0,-4936.5292979814885,21.0
2022-08-01,301.275,311.878,295.0,297.277,297.277,0.04%,117042888,,,-4938.880026218622,21.0,-5180.207518342294,22.0,-4938.880026218622,21.0
2022-08-02,294.003,307.833,292.667,300.587,300.587,1.11%,95577468,,,-4941.231873850155,21.0,-5182.6742838272185,22.0,-4941.231873850155,21.0
2022-08-03,305.0,309.55,301.15,307.397,307.397,2.27%,80091105,,,-4943.5848414091315,21.0,-5185.142223962374,22.0,-4943.5848414091315,21.0
2022-08-04,311.0,313.607,305.0,308.633,308.633,0.40%,72256317,,,-4945.93892942885,21.0,-5187.611339307118,22.0,-4945.93892942885,21.0
2022-08-05,302.67,304.607,285.545,288.17,288.17,-6.63%,113172897,,,-4948.294138442864,21.0,-5190.081630421074,22.0,-4948.294138442864,21.0
2022-08-08,295.0,305.2,289.085,290.423,290.423,0.78%,99365274,,,-4950.65046898498,21.0,-5192.553097864132,22.0,-4950.65046898498,21.0
2022-08-09,290.293,292.397,279.353,283.333,283.333,-2.44%,86244681,,,-4953.007921589258,21.0,-5195.025742196448,22.0,-4953.007921589258,21.0
2022-08-10,297.067,297.51,283.37,294.357,294.357,3.89%,94918872,,,-4955.366496790015,21.0,-5197.4995639784465,22.0,-4955.366496790015,21.0
2022-08-11,296.513,298.237,285.833,286.63,286.63,-2.63%,70155045,,,-4957.72619512182,21.0,-5199.974563770817,22.0,-4957.72619512182,21.0
2022-08-12,289.415,300.16,285.033,300.03,300.03,4.68%,79657287,,,-4960.0870171194965,21.0,-5202.450742134518,22.0,-4960.0870171194965,21.0
2022-08-15,301.787,313.133,301.23,309.32,309.32,3.10%,89359167,,,-4962.448963318125,21.0,-5514.248099630772,23.0,-4962.448963318125,21.0
2022-08-16,311.667,314.667,302.883,306.563,306.563,-0.89%,88136322,,,-4964.812034253038,21.0,-5516.873932059168,23.0,-4964.812034253038,21.0
2022-08-17,303.397,309.657,300.033,303.997,303.997,-0.84%,68765970,,,-4967.176230459825,21.0,-5519.501014883957,23.0,-4967.176230459825,21.0
2022-08-18,306.0,306.5,301.853,302.87,302.87,-0.37%,47500536,,,-4969.541552474329,21.0,-5522.129348700569,23.0,-4969.541552474329,21.0
2022-08-19,299.0,300.36,292.5,296.667,296.667,-2.05%,61395387,,,-4971.90800083265,21.0,-5524.758934104711,23.0,-4971.90800083265,21.0
2022-08-22,291.913,292.4,286.297,289.913,289.913,-2.28%,55843347,,,-4974.275576071142,21.0,-5527.38977169238,23.0,-4974.275576071142,21.0
2022-08-23,291.453,298.827,287.923,296.453,296.453,2.26%,63985044,,,-4976.644278726413,21.0,-5530.0218620598525,23.0,-4976.644278726413,21.0
2022-08-24,297.563,303.647,296.5,297.097,297.097,0.22%,57259716,,,-4979.01410933533,21.0,-5532.6552058036905,23.0,-4979.01410933533,21.0
2022-08-25,302.36,302.96,291.6,296.07,296.07,-0.35%,52827378,,,-4981.385068435014,21.0,-5535.28980352074,23.0,-4981.385068435014,21.0
2022-08-26,297.43,302.0,287.47,288.09,288.09,-2.70%,57163947,,,-4983.75715656284,21.0,-5537.925655808131,23.0,-4983.75715656284,21.0
2022-08-29,282.83,287.74,280.7,284.82,284.82,-1.14%,41548729,,,-4986.1303742564405,21.0,-5540.562763263278,23.0,-4986.1303742564405,21.0
2022-08-30,287.865,288.48,272.65,277.7,277.7,-2.50%,50541759,,,-4988.504722053705,21.0,-5543.201126483879,23.0,-4988.504722053705,21.0
2022-08-31,280.62,281.25,271.81,275.61,275.61,-0.75%,52107337,,,-4990.880200492778,21.0,-5545.840746067919,23.0,-4990.880200492778,21.0
2022-09-01,272.575,277.58,266.15,277.16,277.16,0.56%,54287024,,,-4993.2568101120605,21.0,-5548.481622613665,23.0,-4993.2568101120605,21.0
2022-09-02,281.065,282.35,269.08,270.21,270.21,-2.51%,50890090,,,-4995.634551450209,21.0,-5551.123756719672,23.0,-4995.634551450209,21.0
2022-09-06,272.675,275.99,265.74,274.42,274.42,1.56%,55605247,,,-4998.013425046138,21.0,-5553.767148984777,23.0,-4998.013425046138,21.0
2022-09-07,273.1,283.84,272.27,283.7,283.7,3.38%,50028916,,,-5000.393431439017,21.0,-5556.4118000081035,23.0,-5000.393431439017,21.0
2022-09-08,281.3,289.5,279.76,289.26,289.26,1.96%,53713124,,,-5002.774571168274,21.0,-5559.05771038906,23.0,-5002.774571168274,21.0
2022-09-09,291.67,299.85,291.245,299.68,299.68,3.60%,54470854,,,-5005.156844773592,21.0,-5561.70488072734,23.0,-5005.156844773592,21.0
2022-09-12,300.72,305.49,300.4,304.42,304.42,1.58%,48674604,,,-5007.540252794913,21.0,-5564.353311622925,23.0,-5007.540252794913,21.0
2022-09-13,292.9,297.4,290.4,292.13,292.13,-4.04%,68229619,,,-5009.924795772434,21.0,-5567.003003676078,23.0,-5009.924795772434,21.0
2022-09-14,292.24,306.0,291.64,302.61,302.61,3.59%,72628653,,,-5012.310474246611,21.0,-5569.653957487352,23.0,-5012.310474246611,21.0
2022-09-15,301.825,309.12,300.725,303.75,303.75,0.38%,64795523,,,-5014.697288758157,21.0,-5876.056173657585,24.0,-5014.697288758157,21.0
2022-09-16,299.605,303.71,295.601,303.35,303.35,-0.13%,87087786,,,-5017.085239848042,21.0,-5878.854295645041,24.0,-5017.085239848042,21.0
2022-09-19,300.09,309.84,297.8,309.07,309.07,1.89%,60231156,,,-5019.474328057493,21.0,-5881.6537500715385,24.0,-5019.474328057493,21.0
2022-09-20,306.91,313.33,305.58,308.73,308.73,-0.11%,61642783,,,-5021.864553927997,21.0,-5884.4545375715725,24.0,-5021.864553927997,21.0
2022-09-21,308.29,313.8,300.63,300.8,300.8,-2.57%,62555656,,,-5024.255918001296,21.0,-5887.25665877994,24.0,-5024.255918001296,21.0
2022-09-22,299.86,301.29,285.82,288.59,288.59,-4.06%,70107683,,,-5026.6484208193915,21.0,-5890.06011433174,24.0,-5026.6484208193915,21.0
2022-09-23,283.09,284.5,272.82,275.33,275.33,-4.59%,63748362,,,-5029.042062924544,21.0,-5892.864904862374,24.0,-5029.042062924544,21.0
2022-09-26,271.83,284.09,270.31,276.01,276.01,0.25%,58076913,,,-5031.4368448592695,21.0,-5895.671031007546,24.0,-5031.4368448592695,21.0
2022-09-27,283.84,288.67,277.51,282.94,282.94,2.51%,61925185,,,-5033.832767166346,21.0,-5898.478493403264,24.0,-5033.832767166346,21.0
2022-09-28,283.08,289.0,277.57,287.81,287.81,1.72%,54664809,,,-5036.229830388806,21.0,-5901.287292685837,24.0,-5036.229830388806,21.0
2022-09-29,282.76,283.65,265.78,268.21,268.21,-6.81%,77620642,,,-5038.6280350699435,21.0,-5904.097429491878,24.0,-5038.6280350699435,21.0
2022-09-30,266.145,275.57,262.47,265.25,265.25,-1.10%,67726598,,,-5041.02738175331,21.0,-5906.9089044583025,24.0,-5041.02738175331,21.0
2022-10-03,254.5,255.16,241.01,242.4,242.4,-8.61%,98363541,,,-5043.427870982716,21.0,-5909.72171822233,24.0,-5043.427870982716,21.0
2022-10-04,250.52,257.5,242.01,249.44,249.44,2.90%,109578535,,,-5045.829503302231,21.0,-5912.5358714214835,24.0,-5045.829503302231,21.0
2022-10-05,245.01,246.67,233.27,240.81,240.81,-3.46%,86982673,,,-5048.2322792561845,21.0,-5915.351364693589,24.0,-5048.2322792561845,21.0
2022-10-06,239.44,244.58,235.35,238.13,238.13,-1.11%,69298437,,,-5050.636199389163,21.0,-5918.168198676776,24.0,-5050.636199389163,21.0
2022-10-07,233.935,234.572,222.02,223.07,223.07,-6.32%,83916800,,,-5053.041264246015,21.0,-5920.98637400948,24.0,-5053.041264246015,21.0
2022-10-10,223.93,226.99,218.358,222.96,222.96,-0.05%,67925018,,,-5055.4474743718465,21.0,-5923.805891330437,24.0,-5055.4474743718465,21.0
2022-10-11,220.945,225.75,215.0,216.5,216.5,-2.90%,77013202,,,-5057.854830312023,21.0,-5926.626751278689,24.0,-5057.854830312023,21.0
2022-10-12,215.33,219.3,211.51,217.24,217.24,0.34%,66860699,,,-5060.263332612172,21.0,-5929.448954493583,24.0,-5060.263332612172,21.0
2022-10-13,208.3,222.99,206.22,221.72,221.72,2.06%,91483045,,,-5062.672981818178,21.0,-5932.272501614771,24.0,-5062.672981818178,21.0
2022-10-14,224.01,226.26,204.16,204.99,204.99,-7.55%,94124511,,,-5065.083778476187,21.0,-5935.097393282206,24.0,-5065.083778476187,21.0
2022-10-17,210.04,221.86,209.45,219.35,219.35,7.01%,79428810,,,-5067.495723132604,21.0,-5937.92363013615,24.0,-5067.495723132604,21.0
2022-10-18,229.5,229.82,217.25,220.19,220.19,0.38%,75891905,,,-5069.908816334096,21.0,-5940.751212817167,24.0,-5069.908816334096,21.0
2022-10-19,219.8,222.93,217.78,222.04,222.04,0.84%,66571479,,,-5072.323058627589,21.0,-5943.5801419661275,24.0,-5072.323058627589,21.0
2022-10-20,208.28,215.55,202.0,207.28,207.28,-6.65%,117798062,,,-5074.738450560269,21.0,-5946.410418224206,24.0,-5074.738450560269,21.0
2022-10-21,206.415,214.66,203.8,214.44,214.44,3.45%,75713754,,,-5077.154992679583,21.0,-5949.242042232884,24.0,-5077.154992679583,21.0
