Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,21.17,22.55,20.83,22.52,22.52,5.53%,24515795,,,-4999.44,222.0,-4999.44,222.0,-4999.44,222.0
2022-07-06,21.5,22.08,21.32,21.5,21.5,-4.53%,32689429,,,-5001.820685714285,222.0,-5001.820685714285,222.0,-5001.820685714285,222.0
2022-07-07,21.64,22.759,21.61,22.74,22.74,5.77%,23121886,,,-5004.202505088435,222.0,-5004.202505088435,222.0,-5004.202505088435,222.0
2022-07-08,22.43,22.96,21.832,22.34,22.34,-1.76%,20231300,,,-5006.585458662286,222.0,-5006.585458662286,222.0,-5006.585458662286,222.0
2022-07-11,21.95,22.25,21.14,21.19,21.19,-5.15%,17562117,,,-5008.969546975935,222.0,-5008.969546975935,222.0,-5008.969546975935,222.0
2022-07-12,21.28,21.78,20.975,21.57,21.57,1.79%,17373535,,,-5011.354770569734,222.0,-5011.354770569734,222.0,-5011.354770569734,222.0
2022-07-13,20.93,21.61,20.72,21.5,21.5,-0.32%,18994916,,,-5013.741129984291,222.0,-5013.741129984291,222.0,-5013.741129984291,222.0
2022-07-14,21.25,21.465,20.591,20.65,20.65,-3.95%,31561675,,,-5016.128625760473,222.0,-5016.128625760473,222.0,-5016.128625760473,222.0
2022-07-15,21.0,21.78,20.765,21.67,21.67,4.94%,24503631,,,-5018.517258439407,222.0,-5040.187258439407,223.0,-5018.517258439407,222.0
2022-07-18,22.17,23.2,22.11,22.58,22.58,4.20%,30935860,,,-5020.907028562473,222.0,-5042.587347610092,223.0,-5020.907028562473,222.0
2022-07-19,22.75,23.08,22.19,22.67,22.67,0.40%,23148938,,,-5023.2979366713125,222.0,-5044.988579680383,223.0,-5023.2979366713125,222.0
2022-07-20,22.89,24.22,22.805,24.12,24.12,6.40%,27844618,,,-5025.689983307822,222.0,-5047.390955194516,223.0,-5025.689983307822,222.0
2022-07-21,24.02,24.25,23.6,24.23,24.23,0.46%,18425364,,,-5028.0831690141595,222.0,-5049.79447469699,223.0,-5028.0831690141595,222.0
2022-07-22,24.33,24.81,23.085,23.3,23.3,-3.84%,20209442,,,-5030.4774943327375,222.0,-5052.19913873256,223.0,-5030.4774943327375,222.0
2022-07-25,23.27,23.54,22.63,23.35,23.35,0.21%,12923042,,,-5032.872959806229,222.0,-5054.604947846242,223.0,-5032.872959806229,222.0
2022-07-26,23.15,23.15,22.45,22.55,22.55,-3.43%,24402801,,,-5035.269565977565,222.0,-5057.011902583312,223.0,-5035.269565977565,222.0
