name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,225.0,4954.6,7875.0,12600.0,7875.0,-6583.289119793361,-10927.847501321801,-6583.289119793361,26.070941755270628,33.7494953917208,26.070941755270628,-6583.289119793361
NVDA-history,141.98,4997.976000000001,47421.32,50402.899999999994,47421.32,-6640.923792392584,-8003.686906311775,-6640.923792392584,815.9382159419616,848.3276649125208,815.9382159419616,-6640.923792392584
INTC-history,24.35,4989.84,3311.6000000000004,3822.9500000000003,7451.1,-6630.113305112342,-7440.496939486059,-10742.452755539636,-66.5054050853803,-72.49825524437775,-65.96108804169344,-10742.452755539636
META-history,554.08,4877.51,16068.320000000002,27704.000000000004,16068.320000000002,-6480.857892601475,-14273.39143139958,-6480.857892601475,196.56468377099227,275.35788893514155,196.56468377099227,-6480.857892601475
UBER-history,73.25,4999.44,16261.5,17799.75,16261.5,-6642.86904231618,-7875.705505897865,-6642.86904231618,192.39416730041407,198.50312223173265,192.39416730041407,-6642.86904231618
NFLX-history,823.96,4832.88,21422.96,38726.12,21422.96,-6421.557001829986,-17325.129207882088,-6421.557001829986,310.4029687923146,442.82065336027205,310.4029687923146,-6421.557001829986
SPOT-history,458.32,4927.01,21541.04,31165.76,21541.04,-6546.629662558646,-11265.401128104282,-6546.629662558646,304.330828178578,403.9033586677461,304.330828178578,-6546.629662558646
MSFT-history,415.0,4994.150000000001,7885.0,16600.0,7885.0,-6635.840099627809,-14860.90819242613,-6635.840099627809,25.01246258867257,34.82257856840243,25.01246258867257,-6635.840099627809
NKE-history,76.66,4903.04,3603.02,5212.88,5404.53,-6514.780181227875,-9025.934921094815,-8697.800817221598,-59.38683309187515,-77.76919872354324,-67.16793697831545,-8697.800817221598
AMD-history,134.9,4963.2,8903.4,11736.300000000001,8903.4,-6594.716134371776,-9503.327683900312,-6594.716134371776,46.516035332612496,44.99057696848181,46.516035332612496,-6594.716134371776
DUOL-history,307.32,4962.5,15366.0,21819.72,15366.0,-6593.786028533989,-10484.608381050655,-6593.786028533989,176.7700548406249,228.41534748512538,176.7700548406249,-6593.786028533989
SNAP-history,10.6,4989.860000000001,3678.2,3900.7999999999997,3678.2,-6630.139879564861,-6910.9885568878835,-6630.139879564861,-59.15877158006159,-60.32611249389529,-59.15877158006159,-6630.139879564861
GOOG-history,173.89,4897.141,7477.2699999999995,11128.96,7477.2699999999995,-6506.942046460648,-9704.679139197406,-6506.942046460648,19.814172259678685,29.08392592336209,19.814172259678685,-6506.942046460648
MHVYF-history,15.3,4999.428,21848.4,22169.7,21848.4,-6642.853097644662,-6803.976623914395,-6642.853097644662,304.1457323188841,307.3496283191919,304.1457323188841,-6642.853097644662
LLY-history,746.2,4907.7,11193.0,26863.2,11193.0,-6520.972028662237,-20057.032617770194,-6520.972028662237,95.19791289886838,138.683444021228,95.19791289886838,-6520.972028662237
TSLA-history,320.72,4894.407,6735.120000000001,13470.240000000002,10102.68,-6503.30931880281,-11979.009657675608,-8219.170481519892,4.736236303952473,30.468049394429066,38.482895241039586,-8219.170481519892
DIS-history,115.08,4956.18,5869.08,8285.76,13865.7015,-6585.388501541494,-9011.0478303324,-11651.904241700984,-14.452834673912054,-14.634009062067953,44.66741035029024,-16682.067757701876
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
SBUX-history,98.42,4930.24,6102.04,8168.860000000001,13729.59,-6550.921436638665,-8841.289659548584,-13012.365648566862,-9.104656905924763,-13.638882884982943,14.547453094233518,-13012.365648566862
ABNB-history,132.5,4988.88,6890.0,9672.5,10335.0,-6628.837731391969,-9753.530794985372,-9674.163988995955,5.234887762544517,-1.624228183186853,13.246179723786597,-9674.163988995955
