name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,192.46,4965.839999999999,20785.68,28676.54,73659.2535,-9034.146234872866,-14818.666501161939,-42173.8138852164,236.64745068562692,279.0640354670723,634.0405573837178,-71007.12510676979
NVDA-history,42.413,4997.3240000000005,35796.572,37535.505,65266.435491862496,-9091.42376698402,-9817.106968194792,25199.30424001151,534.3889696368692,554.6648172462943,1810.283658451483,-96401.68066414363
INTC-history,33.62,4996.47,3395.62,4774.04,293712.83991210937,-9089.87012029288,-11839.935157096304,-380579.0864921078,-113.96546202204516,-141.41774406923898,-1738.5523495587568,-380579.0864921078
META-history,286.02,4818.25,7150.5,18877.32,59864.768085937496,-8765.64188459077,-20987.19441838098,-43228.37369281579,-33.5213383404923,-43.78922676035862,345.27877119538647,-60628.663749957166
UBER-history,66.02,4971.400000000001,8846.68,11553.5,29408.794932284607,-9052.87694474536,-11353.266114281418,38040.279152612144,-4.147663530300505,4.027716251329249,1356.7420462022114,-158479.42440412636
NFLX-history,441.44,4686.24,5297.28,23396.32,12514.824,-8525.481580500114,-30831.036112224545,-16049.381517187516,-68.88681716045518,-158.6499221598669,-75.42416771628247,-20544.04579278907
SPOT-history,160.56,4891.14,4656.24,11239.2,8489.53323225,-8898.247630861237,-18851.887117990387,-24906.430751942833,-86.72840341640674,-155.64238844094396,-335.6456269845646,-46014.49603001889
MSFT-history,337.99,4952.5,16899.5,30757.09,26616.7125,-9009.877327543367,-20437.246200986618,-17820.246054863976,159.30585911068417,208.3764522768982,177.61668743333723,-27498.64193614108
NKE-history,109.11,4958.2,7092.15,11565.66,53856.0140625,-9020.247100540222,-15152.931459334592,-61982.1652848427,-38.887037645521005,-72.35027750664742,-163.8931713594187,-61982.1652848427
AMD-history,115.82,4995.0,38568.06,43316.68,60744.6945,-9087.19581041475,-12757.239131162016,-24494.476681928747,590.207491282988,611.8006179947545,725.7300864478728,-47986.13024059198
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,12.02,4997.0,4567.599999999999,5060.42,34685.2125,-9090.834327255763,-10498.327974108946,-114468.17736797115,-90.5189979438816,-108.82345355431151,-1596.6172677200548,-114468.17736797115
GOOG-history,120.56,4963.05,10850.4,15793.36,17089.38,-9029.070503879651,-13947.645339490316,-14400.847541842559,36.697786565123224,37.189120813001765,54.17097265104003,-21793.380098376314
MHVYF-history,4.7,4999.2480000000005,6570.6,6758.6,11979.908049375004,-9030.20709173219,-9213.749483954634,-8633.15974099111,-49.199541445677234,-49.11037587962497,66.94503470089688,-21184.652048278393
LLY-history,461.42,4931.070000000001,26300.940000000002,45219.16,39451.41,-8970.89061959196,-19902.768262482794,-13632.385984019751,351.4460224739871,513.4056449719271,523.5988135633899,-13632.385984019751
TSLA-history,279.82,4994.484,67436.62,78909.24,112067.91,-9086.257073069768,-16705.979224537674,-21564.137793622867,1168.2961228213007,1245.4391840170542,1812.0745247432392,-21564.137793622867
DIS-history,90.5,4993.92,4344.0,8054.5,49480.875,-9085.23101132063,-16460.463936448225,-88748.20738084186,-94.94006734830813,-168.32396066513328,-786.3027918116803,-88748.20738084186
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
SBUX-history,99.15,4974.54,10113.300000000001,14178.45,17561.11336875,-9049.973783131245,-13983.518980208415,-13244.893916947853,21.375367709753185,3.918573773486305,86.76620253937345,-47377.96892364035
ABNB-history,132.5,4873.75,4637.5,9142.5,6956.25,-7800.812299219948,-14030.627597615188,-9850.551126453394,-64.90509975316641,-100.2950007204963,-59.385506569959354,-9850.551126453394
