name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,225.0,4953.539,11925.0,20250.0,18781.875,-8362.748303046501,-16012.93742113349,-11224.236818865445,71.91326639304746,85.53606984554901,152.57047902791427,-15800.217601451188
NVDA-history,141.98,4998.212,72125.84,77379.09999999999,119278.10789999999,-8438.166918897092,-10245.579039171347,6053.149093861395,1274.209118802942,1343.1507299175912,2507.5218296835224,-24886.339349127484
INTC-history,24.35,4941.82,2021.0500000000002,2922.0,17766.474234960937,-8342.963852502446,-10449.011355464134,-37681.46469279009,-127.92683368682887,-152.31253577556717,-402.9889890329708,-63960.85166822616
META-history,554.08,4805.6,11081.6,31582.56,20204.631090000003,-8112.992195099329,-22750.243803283756,-1002.3549510881297,61.7739263546835,183.79216324114043,399.581241445644,-31114.343921596483
UBER-history,73.25,4975.56,11207.25,13917.5,22528.1803025918,-8399.924972167555,-10670.031198819335,34298.73007093631,56.42229272348127,65.2684080019267,1142.120894402401,-76835.69212402673
NFLX-history,823.96,4938.1,8239.6,38726.12,13626.238500000001,-8336.68361050026,-31520.160703868332,-11599.334733434316,-1.9660114315275097,145.92574666636298,41.04622762936524,-16879.763828808507
SPOT-history,458.32,4944.94,8708.08,25665.92,16670.9429231625,-8348.231152246224,-18967.144831889214,-1851.2964925317758,7.277112518125111,135.46726892764693,299.69314957574255,-29511.600797703595
MSFT-history,415.0,4846.099999999999,9545.0,24900.0,15785.043749999999,-8181.36579754265,-22702.5554149301,-9252.42100353106,28.138796196061776,45.34459844142509,134.80164970737167,-20454.926926354303
NKE-history,76.66,4997.5,3833.0,6669.42,43660.265625,-8436.96489408378,-14287.492408385971,-62555.41676520631,-92.12536056195657,-152.43766700122003,-378.0920688385455,-62555.41676520631
AMD-history,134.9,4966.2,12545.7,17537.0,19759.4775,-8384.123072936236,-13626.51101534791,-11034.452513016362,83.7980131098982,78.7420761276648,175.68815164479156,-16217.21855517739
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,10.6,4988.46,2257.7999999999997,2650.0,18002.427187499998,-8421.703230723606,-9854.099159980204,-33344.82367147826,-123.56324859222299,-144.4152936974578,-307.55777301969476,-39958.79628674716
GOOG-history,173.89,4935.8099999999995,11476.74,17910.67,20925.0737994375,-8332.817547547282,-14270.070203754567,-6401.998219898534,63.69618061580001,73.75891284805192,294.2389512468869,-54080.375223079805
MHVYF-history,15.3,4998.6720000000005,31946.4,32512.5,31946.4,-8438.943507961863,-8667.896915964146,-8438.943507961863,470.274034624359,477.0187578628054,470.274034624359,-8438.943507961863
LLY-history,746.2,4839.8099999999995,21639.800000000003,49249.200000000004,21639.800000000003,-8170.746786200193,-26860.637211966412,-8170.746786200193,278.29714831366954,462.591770917321,278.29714831366954,-8170.746786200193
TSLA-history,320.72,4937.705999999999,17318.88,29185.520000000004,40915.85400000001,-8336.018445083895,-19447.517060802536,-20451.24125070247,181.92378312755167,197.21714778477028,414.4558778772479,-35405.51921435162
DIS-history,115.08,4920.490000000001,4948.44,9206.4,59184.11559374999,-8306.953755215658,-14534.654761251364,-54357.58205043886,-68.25567687802754,-108.28707631254943,98.09050609413151,-75476.9719875698
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
SBUX-history,98.42,4979.04,6495.72,10137.26,77689.82615625001,-8405.800037266403,-13133.164399349052,-79248.65610686466,-38.362415993171425,-60.170321976707406,-31.307841483792924,-79248.65610686466
ABNB-history,132.5,4873.75,4637.5,9142.5,10956.09375,-7800.812299219948,-14030.627597615188,-13729.603440271074,-64.90509975316641,-100.2950007204963,-56.90709803069657,-13729.603440271074
