name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,225.0,4953.539,11925.0,20250.0,11925.0,-8362.748303046501,-16012.93742113349,-8362.748303046501,71.91326639304746,85.53606984554901,71.91326639304746,-8362.748303046501
NVDA-history,141.98,4998.212,72125.84,77379.09999999999,119278.10789999999,-8438.166918897092,-10245.579039171347,6490.702944395911,1274.209118802942,1343.1507299175912,2516.2760371988197,-24521.890516068175
INTC-history,24.35,4941.82,2021.0500000000002,2922.0,7896.21077109375,-8342.963852502446,-10449.011355464134,-21040.03143067504,-127.92683368682887,-152.31253577556717,-265.97125471144824,-32205.69377982141
META-history,554.08,4805.6,11081.6,31582.56,21214.862644499997,-8112.992195099329,-22750.243803283756,11704.362280407091,61.7739263546835,183.79216324114043,685.0179982709149,-40974.823247505716
UBER-history,73.25,4975.56,11207.25,13917.5,21455.40981199218,-8399.924972167555,-10670.031198819335,10033.00918809181,56.42229272348127,65.2684080019267,632.8618085217339,-55726.69476770408
NFLX-history,823.96,4938.1,8239.6,38726.12,13626.238500000001,-8336.68361050026,-31520.160703868332,-11351.789127859414,-1.9660114315275097,145.92574666636298,46.059200343058805,-16672.297259803912
SPOT-history,458.32,4944.94,8708.08,25665.92,16670.9429231625,-8348.231152246224,-18967.144831889214,-5183.4335426293665,7.277112518125111,135.46726892764693,232.30836735194228,-32294.95486218299
MSFT-history,415.0,4846.099999999999,9545.0,24900.0,15033.375,-8181.36579754265,-22702.5554149301,-10737.57485155101,28.138796196061776,45.34459844142509,88.6444800653926,-13800.256752847707
NKE-history,76.66,4997.5,3833.0,6669.42,29106.84375,-8436.96489408378,-14287.492408385971,-46908.23190178768,-92.12536056195657,-152.43766700122003,-356.20586596873795,-46908.23190178768
AMD-history,134.9,4966.2,12545.7,17537.0,19759.4775,-8384.123072936236,-13626.51101534791,-10807.328365975702,83.7980131098982,78.7420761276648,180.26155076364824,-16027.048252522989
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,10.6,4988.46,2257.7999999999997,2650.0,12001.618125,-8421.703230723606,-9854.099159980204,-25922.48524611668,-123.56324859222299,-144.4152936974578,-279.061416170856,-29928.3990286002
GOOG-history,173.89,4935.8099999999995,11476.74,17910.67,20925.0737994375,-8332.817547547282,-14270.070203754567,-5248.787624642786,63.69618061580001,73.75891284805192,317.60311225097234,-53112.03369294939
MHVYF-history,15.3,4998.6720000000005,31946.4,32512.5,31946.4,-8438.943507961863,-8667.896915964146,-8438.943507961863,470.274034624359,477.0187578628054,470.274034624359,-8438.943507961863
LLY-history,746.2,4839.8099999999995,21639.800000000003,49249.200000000004,21639.800000000003,-8170.746786200193,-26860.637211966412,-8170.746786200193,278.29714831366954,462.591770917321,278.29714831366954,-8170.746786200193
TSLA-history,320.72,4937.705999999999,17318.88,29185.520000000004,61373.78100000001,-8336.018445083895,-19447.517060802536,-28700.339756342335,181.92378312755167,197.21714778477028,661.7129744796,-51139.27020059412
DIS-history,115.08,4920.490000000001,4948.44,9206.4,39456.0770625,-8306.953755215658,-14534.654761251364,-42225.408412362354,-68.25567687802754,-108.28707631254943,-56.281617275156606,-55850.067834072746
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
SBUX-history,98.42,4979.04,6495.72,10137.26,51793.217437499996,-8405.800037266403,-13133.164399349052,-50913.730597167036,-38.362415993171425,-60.170321976707406,17.663783386615897,-50913.730597167036
ABNB-history,132.5,4873.75,4637.5,9142.5,7669.265625,-7800.812299219948,-14030.627597615188,-8245.958139651939,-64.90509975316641,-100.2950007204963,-11.83262405030908,-15837.509333784794
