Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-01-03,74.288,75.145,74.125,74.358,72.09,-0.97%,146535512,,,-7435.8,100,-7435.8,100,-7435.8,100.0
2020-01-06,73.448,74.99,73.188,74.95,72.664,0.80%,118578576,,,-7439.340857142857,100,-7439.340857142857,100,-7435.8,100.0
2020-01-07,74.96,75.225,74.37,74.598,72.322,-0.47%,111510620,,,-7442.883400408164,100,-7442.883400408164,100,-7435.8,100.0
2020-01-08,74.29,76.11,74.29,75.798,73.486,1.61%,132363784,,,-7446.427630598834,100,-7446.427630598834,100,-7435.8,100.0
2020-01-09,76.81,77.608,76.55,77.408,75.047,2.12%,170486168,,,-7449.973548518167,100,-7449.973548518167,100,-7435.8,100.0
2020-01-10,77.65,78.168,77.063,77.583,75.216,0.23%,140869088,,,-7453.521154969842,100,-7453.521154969842,100,-7435.8,100.0
2020-01-13,77.91,79.268,77.788,79.24,76.823,2.14%,120114968,,,-7457.070450757923,100,-7457.070450757923,100,-7435.8,100.0
2020-01-14,79.175,79.393,78.043,78.17,75.786,-1.35%,162613828,,,-7460.621436686855,100,-7460.621436686855,100,-7435.8,100.0
2020-01-15,77.963,78.875,77.388,77.835,75.461,-0.43%,121923528,,,-7464.174113561468,100,-7542.009113561468,101,-7435.8,100.0
2020-01-16,78.398,78.925,78.023,78.81,76.406,1.25%,108829016,,,-7467.728482186973,100,-7545.600546472689,101,-7435.8,100.0
2020-01-17,79.068,79.685,78.75,79.683,77.252,1.11%,137816468,,,-7471.284543368967,100,-7549.193689590056,101,-7435.8,100.0
2020-01-21,79.298,79.755,79.0,79.143,76.729,-0.68%,108940156,,,-7474.842297913428,100,-7552.7885437279565,101,-7435.8,100.0
2020-01-22,79.645,79.998,79.328,79.425,77.002,0.36%,101832460,,,-7478.4017466267205,100,-7556.38510970116,101,-7435.8,100.0
2020-01-23,79.48,79.89,78.913,79.808,77.373,0.48%,104471972,,,-7481.962890315591,100,-7559.9833883248275,101,-7435.8,100.0
2020-01-24,80.063,80.833,79.38,79.578,77.15,-0.29%,146537520,,,-7485.525729787169,100,-7563.583380414506,101,-7435.8,100.0
2020-01-27,77.515,77.943,76.22,77.238,74.882,-2.94%,161940020,,,-7489.090265848973,100,-7567.185086786132,101,-7435.8,100.0
2020-01-28,78.15,79.6,78.048,79.423,77.0,2.83%,162233944,,,-7492.656499308901,100,-7570.788508256031,101,-7435.8,100.0
2020-01-29,81.113,81.963,80.345,81.085,78.612,2.09%,216599712,,,-7496.224430975239,100,-7574.393645640915,101,-7435.8,100.0
2020-01-30,80.135,81.023,79.688,80.968,78.498,-0.14%,126743232,,,-7499.794061656656,100,-7578.000499757886,101,-7435.8,100.0
2020-01-31,80.233,80.67,77.073,77.378,75.017,-4.43%,199588384,,,-7503.365392162206,100,-7581.609071424437,101,-7435.8,100.0
2020-02-03,76.075,78.373,75.555,77.165,74.811,-0.28%,173985604,,,-7506.938423301332,100,-7585.219361458449,101,-7435.8,100.0
2020-02-04,78.828,79.91,78.408,79.713,77.281,3.30%,136616536,,,-7510.513155883856,100,-7588.831370678192,101,-7435.8,100.0
2020-02-05,80.88,81.19,79.738,80.363,77.911,0.82%,118826872,,,-7514.089590719991,100,-7592.445099902325,101,-7435.8,100.0
2020-02-06,80.643,81.305,80.065,81.303,78.823,1.17%,105425540,,,-7517.667728620334,100,-7596.060549949897,101,-7435.8,100.0
2020-02-07,80.593,80.85,79.5,80.008,77.754,-1.59%,117684048,,,-7521.247570395867,100,-7599.67772164035,101,-7435.8,100.0
2020-02-10,78.545,80.388,78.463,80.388,78.123,0.47%,109348860,,,-7524.829116857961,100,-7603.296615793512,101,-7435.8,100.0
2020-02-11,80.9,80.975,79.678,79.903,77.652,-0.60%,94323120,,,-7528.412368818369,100,-7606.917233229604,101,-7435.8,100.0
2020-02-12,80.368,81.805,80.368,81.8,79.496,2.37%,113730292,,,-7531.997327089235,100,-7610.539574769237,101,-7435.8,100.0
2020-02-13,81.048,81.555,80.838,81.218,78.93,-0.71%,94747568,,,-7535.583992483087,100,-7614.163641233413,101,-7435.8,100.0
2020-02-14,81.185,81.495,80.713,81.238,78.949,0.02%,80113788,,,-7539.172365812841,100,-7617.789433443524,101,-7435.8,100.0
2020-02-18,78.84,79.938,78.653,79.75,77.504,-1.83%,152762180,,,-7542.7624478918,100,-7621.416952221354,101,-7435.8,100.0
2020-02-19,80.0,81.143,80.0,80.905,78.626,1.45%,93983964,,,-7546.354239533653,100,-7625.046198389079,101,-7435.8,100.0
2020-02-20,80.658,81.163,79.553,80.075,77.819,-1.03%,100565956,,,-7549.947741552478,100,-7628.677172769264,101,-7435.8,100.0
2020-02-21,79.655,80.113,77.625,78.263,76.058,-2.26%,129705660,,,-7553.542954762741,100,-7632.309876184869,101,-7435.8,100.0
2020-02-24,74.315,76.045,72.308,74.545,72.445,-4.75%,222195312,,,-7557.139879979294,100,-7635.9443094592425,101,-7435.8,100.0
2020-02-25,75.238,75.633,71.533,72.02,69.991,-3.39%,230673456,,,-7560.73851801738,100,-7639.5804734161275,101,-7435.8,100.0
2020-02-26,71.633,74.47,71.625,73.163,71.102,1.59%,198713724,,,-7564.338869692626,100,-7643.218368879659,101,-7435.8,100.0
2020-02-27,70.275,71.5,68.24,68.38,66.454,-6.54%,320605524,,,-7567.9409358210505,100,-7646.857996674363,101,-7435.8,100.0
2020-02-28,64.315,69.603,64.093,68.34,66.415,-0.06%,426884920,,,-7571.544717219061,100,-7650.49935762516,101,-7435.8,100.0
2020-03-02,70.57,75.36,69.43,74.703,72.598,9.31%,341397356,,,-7575.150214703451,100,-7654.142452557362,101,-7435.8,100.0
2020-03-03,75.918,76.0,71.45,72.33,70.293,-3.18%,319475408,,,-7578.757429091404,100,-7657.787282296675,101,-7435.8,100.0
2020-03-04,74.11,75.85,73.283,75.685,73.553,4.64%,219178272,,,-7582.366361200496,100,-7661.433847669197,101,-7435.8,100.0
2020-03-05,73.88,74.888,72.853,73.23,71.167,-3.24%,187572876,,,-7585.977011848687,100,-7665.082149501421,101,-7435.8,100.0
