Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-01-03,146.4,147.9,146.05,146.5,145.356,-0.0115,7320163,,,-14650.0,100,-14650.0,100,-14650.0,100.0
2020-01-06,145.54,146.03,144.31,145.65,144.513,-0.0058,8257580,,,-14656.97619047619,100,-14656.97619047619,100,-14650.0,100.0
2020-01-07,145.99,146.87,145.42,145.7,144.563,0.0003,6908064,,,-14663.955702947846,100,-14663.955702947846,100,-14650.0,100.0
2020-01-08,145.49,146.13,144.82,145.4,144.265,-0.0021,6984160,,,-14670.938538996868,100,-14670.938538996868,100,-14650.0,100.0
2020-01-09,146.47,146.63,144.61,144.83,143.699,-0.0039,6664102,,,-14677.924700205915,100,-14677.924700205915,100,-14650.0,100.0
2020-01-10,145.3,145.5,144.26,144.62,143.491,-0.0014,5152527,,,-14684.914188158393,100,-14684.914188158393,100,-14650.0,100.0
2020-01-13,144.75,144.75,143.36,143.88,142.757,-0.0051,9921293,,,-14691.907004438468,100,-14691.907004438468,100,-14650.0,100.0
2020-01-14,143.41,146.72,142.29,145.2,144.066,0.0092,14838554,,,-14698.903150631058,100,-14698.903150631058,100,-14650.0,100.0
2020-01-15,145.71,145.71,143.93,144.32,143.193,-0.0061,6808745,,,-14705.902628321835,100,-14850.222628321835,101,-14650.0,100.0
2020-01-16,145.09,145.43,144.44,145.12,143.987,0.0055,6944167,,,-14712.905439097227,100,-14857.29416290675,101,-14650.0,100.0
2020-01-17,145.54,145.64,144.01,144.33,143.203,-0.0054,10350186,,,-14719.911584544416,100,-14864.369064889086,101,-14650.0,100.0
2020-01-21,144.24,144.59,143.01,143.56,142.439,-0.0053,9247131,,,-14726.921066251341,100,-14871.447335872366,101,-14650.0,100.0
2020-01-22,144.45,144.79,143.54,144.01,142.886,0.0031,7548409,,,-14733.933885806699,100,-14878.528977460877,101,-14650.0,100.0
2020-01-23,143.6,143.61,140.65,142.2,141.09,-0.0126,11077968,,,-14740.95004479994,100,-14885.613991259668,101,-14650.0,100.0
2020-01-24,141.4,142.25,139.2,140.08,138.986,-0.0149,13069594,,,-14747.969544821273,100,-14892.702378874554,101,-14650.0,100.0
2020-01-27,135.86,137.73,135.0,135.9,134.839,-0.0298,12811584,,,-14754.992387461665,100,-14899.794141912113,101,-14650.0,100.0
2020-01-28,136.5,138.93,135.86,138.37,137.29,0.0182,10382604,,,-14762.018574312837,100,-14906.88928197969,101,-14650.0,100.0
2020-01-29,138.6,138.68,135.79,136.06,134.998,-0.0167,9381904,,,-14769.048106967271,100,-14913.987800685394,101,-14650.0,100.0
2020-01-30,135.09,137.85,134.83,137.81,136.734,0.0129,11833700,,,-14776.080987018207,100,-14921.089699638102,101,-14650.0,100.0
2020-01-31,138.4,138.67,137.06,138.31,137.23,0.0036,12356927,,,-14783.117216059645,100,-14928.194980447453,101,-14650.0,100.0
2020-02-03,139.79,141.82,139.75,141.32,140.217,0.0218,12620320,,,-14790.15679568634,100,-14935.303644723857,101,-14650.0,100.0
2020-02-04,145.49,145.59,143.25,144.73,143.6,0.0241,23389682,,,-14797.19972749381,100,-14942.415694078487,101,-14650.0,100.0
2020-02-05,146.6,147.3,138.57,141.37,140.266,-0.0232,27816970,,,-14804.246013078331,100,-14949.531130123287,101,-14650.0,100.0
2020-02-06,141.92,143.95,141.22,142.7,141.586,0.0094,9499655,,,-14811.29565403694,100,-14956.649954470964,101,-14650.0,100.0
2020-02-07,141.89,141.99,140.12,141.02,139.919,-0.0118,10939238,,,-14818.348651967433,100,-14963.772168734999,101,-14650.0,100.0
2020-02-10,141.03,142.59,140.46,142.59,141.477,0.0111,8148315,,,-14825.40500846837,100,-14970.897774529634,101,-14650.0,100.0
