Date,Open,High,Low,Close,Adj. Close,Change,Volume
2021-07-29,137.00000,139.00000,132.00000,134.44000,134.44000,-3.29%,693874
2021-07-30,135.18000,141.40000,128.50000,140.25000,140.25000,4.32%,617792
2021-08-02,140.00000,147.25000,134.72000,143.80000,143.80000,2.53%,586661
2021-08-03,143.16000,146.99000,138.01000,139.86000,139.86000,-2.74%,740097
2021-08-04,136.47000,142.34500,135.90000,141.50000,141.50000,1.17%,475890
2021-08-05,139.01000,152.84000,137.01000,146.00000,146.00000,3.18%,724944
2021-08-06,140.10000,141.86000,132.40000,134.38000,134.38000,-7.96%,425188
2021-08-09,135.00000,138.53000,135.00000,138.25000,138.25000,2.88%,353739
2021-08-10,138.60000,141.50000,138.60000,140.00000,140.00000,1.27%,233674
2021-08-11,140.50000,142.97000,135.40000,135.96000,135.96000,-2.89%,324805
2021-08-12,135.50000,137.21000,130.16000,133.80000,133.80000,-1.59%,365432
2021-08-13,134.00000,137.78900,131.74000,136.63000,136.63000,2.12%,156183
2021-08-16,137.11000,137.99000,133.36500,135.00000,135.00000,-1.19%,171438
2021-08-17,135.39000,136.13000,132.20000,133.48000,133.48000,-1.13%,245279
2021-08-18,133.40000,133.97000,129.14000,131.50000,131.50000,-1.48%,341757
2021-08-19,130.78000,131.00000,125.10000,126.16000,126.16000,-4.06%,303141
2021-08-20,126.50000,127.40000,125.01000,126.03000,126.03000,-0.10%,132046
2021-08-23,125.26000,126.00000,123.00000,124.01000,124.01000,-1.60%,151922
2021-08-24,123.69000,130.62000,123.69000,127.16000,127.16000,2.54%,226091
2021-08-25,127.28000,130.58000,126.29000,127.33000,127.33000,0.13%,113375
2021-08-26,127.43000,128.00000,119.68000,120.00000,120.00000,-5.76%,250818
2021-08-27,119.80000,120.77500,118.54500,120.10000,120.10000,0.08%,188407
2021-08-30,121.04000,128.80000,119.40000,128.70000,128.70000,7.16%,221748
2021-08-31,127.16000,130.81000,125.40000,129.56000,129.56000,0.67%,209065
2021-09-01,130.00000,137.72000,128.94000,137.48000,137.48000,6.11%,139226
2021-09-02,138.17000,152.77000,136.60100,152.09000,152.09000,10.63%,400190
2021-09-03,149.00000,163.84000,146.56100,163.06000,163.06000,7.21%,316140
2021-09-07,164.83000,164.83000,158.02000,163.38000,163.38000,0.20%,226251
2021-09-08,163.38000,163.58000,153.66000,158.11000,158.11000,-3.23%,230643
2021-09-09,156.73000,170.58000,155.01500,169.75000,169.75000,7.36%,205939
2021-09-10,171.97000,181.27000,170.49000,173.37000,173.37000,2.13%,332463
2021-09-13,174.45000,174.65500,158.22000,158.71000,158.71000,-8.46%,279674
2021-09-14,159.00000,166.46000,159.00000,160.09000,160.09000,0.87%,310362
2021-09-15,161.33000,164.16000,158.60000,160.29000,160.29000,0.12%,303654
2021-09-16,158.57000,185.85000,158.00000,185.00000,185.00000,15.42%,437427
2021-09-17,185.20000,191.50000,183.05000,184.98000,184.98000,-0.01%,697706
2021-09-20,178.00000,183.50000,174.60000,181.70000,181.70000,-1.77%,410162
2021-09-21,183.79000,202.04000,181.90000,200.21000,200.21000,10.19%,340875
2021-09-22,201.65000,204.99500,200.25000,201.86000,201.86000,0.82%,301716
2021-09-23,202.21000,203.61700,198.12000,202.69000,202.69000,0.41%,102941
2021-09-24,202.23000,204.36100,198.51000,199.37000,199.37000,-1.64%,104275
2021-09-27,199.99000,201.94000,188.11000,189.38000,189.38000,-5.01%,115101
2021-09-28,184.24000,186.84000,171.46000,171.73000,171.73000,-9.32%,178279
2021-09-29,176.44000,176.44000,167.24000,168.89000,168.89000,-1.65%,127901
2021-09-30,167.23000,171.60600,162.54000,166.36000,166.36000,-1.50%,105221
2021-10-01,167.01000,171.45000,158.40000,160.58000,160.58000,-3.47%,176385
2021-10-04,159.01000,159.15700,147.11000,150.87000,150.87000,-6.05%,205684
2021-10-05,152.30000,156.01900,142.51000,144.85000,144.85000,-3.99%,200593
2021-10-06,144.47000,144.47000,136.07000,141.45000,141.45000,-2.35%,421849
2021-10-07,143.97000,160.86000,143.97000,156.86000,156.86000,10.89%,270932
2021-10-08,157.34000,168.60000,157.34000,166.52000,166.52000,6.16%,276174
2021-10-11,168.73000,169.80000,162.18000,165.00000,165.00000,-0.91%,211437
2021-10-12,166.31000,170.74000,162.36000,170.74000,170.74000,3.48%,222452
2021-10-13,172.05000,181.79000,171.68000,180.00000,180.00000,5.42%,134058
2021-10-14,182.71000,186.77000,167.68000,168.59000,168.59000,-6.34%,144364
2021-10-15,169.27000,173.86000,154.34000,156.70000,156.70000,-7.05%,136402
2021-10-18,157.14000,164.81000,153.03000,157.34000,157.34000,0.41%,163648
2021-10-19,157.51000,168.95500,157.50000,165.69000,165.69000,5.31%,155387
2021-10-20,165.75000,167.41500,155.16000,157.91000,157.91000,-4.70%,126271
2021-10-21,157.37000,179.96500,154.00500,178.14000,178.14000,12.81%,374355
2021-10-22,178.50000,183.90500,176.23000,178.26000,178.26000,0.07%,224416
2021-10-25,178.26000,191.82000,174.17500,187.48000,187.48000,5.17%,198151
2021-10-26,189.37000,190.83500,183.31000,188.05000,188.05000,0.30%,100068
2021-10-27,188.05000,190.00000,173.70000,175.29000,175.29000,-6.79%,104718
2021-10-28,176.06000,182.30600,171.01000,172.83000,172.83000,-1.40%,123434
2021-10-29,172.72000,183.37000,172.72000,173.69000,173.69000,0.50%,395593
2021-11-01,174.77000,175.04000,168.43000,175.04000,175.04000,0.78%,75106
2021-11-02,174.63000,174.63000,163.48000,166.24000,166.24000,-5.03%,156280
2021-11-03,168.21000,175.00000,165.57000,169.12000,169.12000,1.73%,130887
2021-11-04,170.58000,175.01000,158.02000,158.59000,158.59000,-6.23%,164079
2021-11-05,160.23000,167.32900,152.72000,153.73000,153.73000,-3.06%,204592
2021-11-08,153.85000,157.34500,150.51000,155.35000,155.35000,1.05%,138988
2021-11-09,153.89000,157.25000,146.29000,146.73000,146.73000,-5.55%,178078
2021-11-10,146.90000,151.76500,140.08000,148.06000,148.06000,0.91%,228964
2021-11-11,174.10000,174.65000,148.51000,151.51000,151.51000,2.33%,394613
2021-11-12,152.50000,155.27000,145.53000,155.02000,155.02000,2.32%,346517
2021-11-15,147.96000,151.05000,137.69500,140.48000,140.48000,-9.38%,1683830
2021-11-16,138.96000,141.83000,135.13000,138.93000,138.93000,-1.10%,384051
2021-11-17,136.69000,145.00000,136.69000,141.28000,141.28000,1.69%,798150
2021-11-18,138.50000,139.12000,135.01000,135.04000,135.04000,-4.42%,504409
2021-11-19,132.95000,136.58000,132.41000,135.96000,135.96000,0.68%,441090
2021-11-22,135.90000,135.90000,129.07000,133.17000,133.17000,-2.05%,1403103
2021-11-23,133.78000,137.39500,131.50000,135.82000,135.82000,1.99%,735776
2021-11-24,135.42000,135.42000,118.96000,119.81000,119.81000,-11.79%,513612
2021-11-26,118.71000,124.90000,116.55000,122.58000,122.58000,2.31%,247047
2021-11-29,123.86000,124.05000,118.95000,119.37000,119.37000,-2.62%,377964
2021-11-30,117.91000,119.74500,109.47000,110.19000,110.19000,-7.69%,852487
2021-12-01,112.62000,116.46000,102.99500,104.19000,104.19000,-5.45%,364382
2021-12-02,106.24000,112.85000,103.04000,109.71000,109.71000,5.30%,241945
2021-12-03,110.78000,110.78000,104.55000,109.06000,109.06000,-0.59%,1115789
2021-12-06,107.28000,107.28000,98.00000,101.57000,101.57000,-6.87%,1106093
2021-12-07,105.57000,113.10000,105.17500,109.97000,109.97000,8.27%,342124
2021-12-08,110.15000,110.73000,107.37000,108.58000,108.58000,-1.26%,969749
2021-12-09,108.35000,108.45000,99.14000,99.46000,99.46000,-8.40%,532544
2021-12-10,99.96000,101.97000,94.60500,95.69000,95.69000,-3.79%,367769
2021-12-13,94.80000,99.65500,94.61000,97.08000,97.08000,1.45%,459996
2021-12-14,95.82000,101.94000,95.01000,100.57000,100.57000,3.59%,529926
2021-12-15,100.04000,101.94000,96.58500,101.70000,101.70000,1.12%,339151
2021-12-16,103.14000,107.14500,102.03500,102.92000,102.92000,1.20%,621555
2021-12-17,100.62000,105.23000,94.50500,104.54000,104.54000,1.57%,398816
2021-12-20,103.04000,105.65000,101.01000,103.00000,103.00000,-1.47%,426223
2021-12-21,102.76000,106.78000,102.76000,106.20000,106.20000,3.11%,438388
2021-12-22,106.36000,108.26000,102.67000,105.03000,105.03000,-1.10%,266422
2021-12-23,105.97000,109.62000,103.00000,108.96000,108.96000,3.74%,291504
2021-12-27,108.08000,111.64500,106.60000,110.25000,110.25000,1.18%,252569
2021-12-28,109.83000,109.83000,106.96000,108.11000,108.11000,-1.94%,247027
2021-12-29,108.10000,108.10000,100.34000,102.38000,102.38000,-5.30%,271439
2021-12-30,102.09000,114.00000,101.10000,110.58000,110.58000,8.01%,251974
2021-12-31,110.28000,111.92000,105.55000,106.11000,106.11000,-4.04%,283162
2022-01-03,106.40000,108.12000,103.87500,105.07000,105.07000,-0.98%,303673
2022-01-04,106.00000,108.91500,102.92500,105.86000,105.86000,0.75%,368815
2022-01-05,105.34000,106.31000,95.57000,97.49000,97.49000,-7.91%,482203
2022-01-06,96.64000,101.98000,93.73000,100.97000,100.97000,3.57%,243351
2022-01-07,102.00000,104.54000,99.04600,102.19000,102.19000,1.21%,263190
2022-01-10,100.00000,102.81000,97.72000,102.24000,102.24000,0.05%,293020
2022-01-11,101.90000,106.67000,101.90000,104.31000,104.31000,2.02%,186259
2022-01-12,105.62000,106.00000,101.98000,103.02000,103.02000,-1.24%,352534
2022-01-13,101.21000,102.02500,90.43400,91.83000,91.83000,-10.86%,471301
2022-01-14,90.78000,92.81000,89.98000,92.63000,92.63000,0.87%,202107
2022-01-18,92.33000,92.42000,86.10000,86.30000,86.30000,-6.83%,338917
2022-01-19,86.50000,90.83000,85.00000,87.70000,87.70000,1.62%,256797
2022-01-20,89.60000,94.83000,89.33000,89.93000,89.93000,2.54%,340018
2022-01-21,89.93000,91.06000,85.00000,85.71000,85.71000,-4.69%,210071
2022-01-24,85.00000,89.25000,78.05000,89.00000,89.00000,3.84%,832446
2022-01-25,87.00000,92.80000,85.26000,89.51000,89.51000,0.57%,357861
2022-01-26,92.49000,97.75000,90.75000,91.87000,91.87000,2.64%,391883
2022-01-27,93.18000,93.21000,85.27000,86.88000,86.88000,-5.43%,346597
2022-01-28,86.98000,93.78000,82.51000,91.83000,91.83000,5.70%,347316
2022-01-31,92.00000,101.19500,92.00000,100.01000,100.01000,8.91%,461216
2022-02-01,100.00000,100.39000,96.17000,99.85000,99.85000,-0.16%,282738
2022-02-02,100.20000,100.34000,91.54000,93.82000,93.82000,-6.04%,397245
2022-02-03,92.51000,93.25000,83.09500,84.53000,84.53000,-9.90%,634049
2022-02-04,84.20000,92.69000,84.00000,91.48000,91.48000,8.22%,502652
2022-02-07,91.55000,96.15000,90.23000,94.24000,94.24000,3.02%,359524
2022-02-08,94.11000,99.10000,93.67000,98.28000,98.28000,4.29%,138963
2022-02-09,99.55000,102.15000,97.98000,101.54000,101.54000,3.32%,258971
2022-02-10,98.21000,102.43000,95.81000,96.41000,96.41000,-5.05%,189469
2022-02-11,96.32000,100.57000,93.38000,94.00000,94.00000,-2.50%,315355
2022-02-14,93.35000,96.79000,91.63000,95.16000,95.16000,1.23%,227710
2022-02-15,97.53000,102.19000,95.71000,101.67000,101.67000,6.84%,195442
2022-02-16,99.26000,100.60000,92.93000,93.63000,93.63000,-7.91%,366873
2022-02-17,92.60000,96.97000,92.40500,93.00000,93.00000,-0.67%,226318
2022-02-18,92.19000,94.67000,88.26500,91.00000,91.00000,-2.15%,179887
2022-02-22,89.47000,93.24600,83.60000,85.19000,85.19000,-6.38%,422658
2022-02-23,87.51000,88.32000,83.17000,84.25000,84.25000,-1.10%,242803
2022-02-24,81.23000,87.11000,80.23000,85.76000,85.76000,1.79%,528084
2022-02-25,87.45000,88.57000,82.18000,87.96000,87.96000,2.57%,315788
2022-02-28,87.20000,89.56000,84.68500,86.29000,86.29000,-1.90%,573348
2022-03-01,86.74000,88.44000,83.05000,83.33000,83.33000,-3.43%,310633
2022-03-02,83.50000,83.50000,74.28000,76.97000,76.97000,-7.63%,598416
2022-03-03,76.47000,76.80000,70.66800,71.38000,71.38000,-7.26%,499710
2022-03-04,72.00000,82.00000,71.26000,74.68000,74.68000,4.62%,796165
2022-03-07,74.70000,85.62000,74.00000,79.03000,79.03000,5.82%,935975
2022-03-08,75.30000,82.90000,71.63500,79.99000,79.99000,1.21%,1163075
2022-03-09,81.50000,83.97000,79.35000,80.09000,80.09000,0.13%,600613
2022-03-10,77.53000,82.12000,77.49000,80.50000,80.50000,0.51%,274734
2022-03-11,80.84000,81.00000,76.42000,76.70000,76.70000,-4.72%,223160
2022-03-14,75.17000,75.17000,66.29000,66.99000,66.99000,-12.66%,357457
2022-03-15,67.89000,69.57000,64.81000,68.11000,68.11000,1.67%,343274
2022-03-16,70.88000,78.78000,70.07000,78.59000,78.59000,15.39%,473865
2022-03-17,78.28000,82.15000,77.69000,81.29000,81.29000,3.44%,586755
2022-03-18,80.94000,91.60000,79.55000,88.68000,88.68000,9.09%,778680
2022-03-21,93.19000,93.29000,85.46000,89.63000,89.63000,1.07%,445981
2022-03-22,89.63000,97.88000,88.03000,94.52000,94.52000,5.46%,630195
2022-03-23,92.69000,101.49000,90.40000,96.41000,96.41000,2.00%,472550
2022-03-24,97.40000,100.82800,96.05000,100.39000,100.39000,4.13%,999747
