Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2021-07-29,137.0,139.0,132.0,134.44,134.44,-3.29%,693874,,,-13444.0,100.0,-13444.0,100.0,-13444.0,100.0
2021-07-30,135.18,141.4,128.5,140.25,140.25,4.32%,617792,,,-13450.401904761904,100.0,-13450.401904761904,100.0,-13450.401904761904,100.0
2021-08-02,140.0,147.25,134.72,143.8,143.8,2.53%,586661,,,-13456.806858049886,100.0,-13456.806858049886,100.0,-13456.806858049886,100.0
2021-08-03,143.16,146.99,138.01,139.86,139.86,-2.74%,740097,,,-13463.214861315624,100.0,-13463.214861315624,100.0,-13463.214861315624,100.0
2021-08-04,136.47,142.345,135.9,141.5,141.5,1.17%,475890,,,-13469.62591601149,100.0,-13469.62591601149,100.0,-13469.62591601149,100.0
2021-08-05,139.01,152.84,137.01,146.0,146.0,3.18%,724944,,,-13476.040023590544,100.0,-13476.040023590544,100.0,-13476.040023590544,100.0
2021-08-06,140.1,141.86,132.4,134.38,134.38,-7.96%,425188,,,-13482.457185506539,100.0,-13482.457185506539,100.0,-13482.457185506539,100.0
2021-08-09,135.0,138.53,135.0,138.25,138.25,2.88%,353739,,,-13488.877403213923,100.0,-13488.877403213923,100.0,-13488.877403213923,100.0
2021-08-10,138.6,141.5,138.6,140.0,140.0,1.27%,233674,,,-13495.300678167834,100.0,-13495.300678167834,100.0,-13495.300678167834,100.0
2021-08-11,140.5,142.97,135.4,135.96,135.96,-2.89%,324805,,,-13501.727011824105,100.0,-13501.727011824105,100.0,-13501.727011824105,100.0
2021-08-12,135.5,137.21,130.16,133.8,133.8,-1.59%,365432,,,-13508.15640563926,100.0,-13508.15640563926,100.0,-13508.15640563926,100.0
2021-08-13,134.0,137.789,131.74,136.63,136.63,2.12%,156183,,,-13514.588861070517,100.0,-13514.588861070517,100.0,-13514.588861070517,100.0
2021-08-16,137.11,137.99,133.365,135.0,135.0,-1.19%,171438,,,-13521.024379575789,100.0,-13521.024379575789,100.0,-13521.024379575789,100.0
2021-08-17,135.39,136.13,132.2,133.48,133.48,-1.13%,245279,,,-13527.462962613681,100.0,-13527.462962613681,100.0,-13527.462962613681,100.0
2021-08-18,133.4,133.97,129.14,131.5,131.5,-1.48%,341757,,,-13533.904611643497,100.0,-13533.904611643497,100.0,-13533.904611643497,100.0
2021-08-19,130.78,131.0,125.1,126.16,126.16,-4.06%,303141,,,-13540.349328125232,100.0,-13540.349328125232,100.0,-13540.349328125232,100.0
2021-08-20,126.5,127.4,125.01,126.03,126.03,-0.10%,132046,,,-13546.797113519577,100.0,-13546.797113519577,100.0,-13546.797113519577,100.0
2021-08-23,125.26,126.0,123.0,124.01,124.01,-1.60%,151922,,,-13553.247969287919,100.0,-13553.247969287919,100.0,-13553.247969287919,100.0
2021-08-24,123.69,130.62,123.69,127.16,127.16,2.54%,226091,,,-13559.701896892342,100.0,-13559.701896892342,100.0,-13559.701896892342,100.0
2021-08-25,127.28,130.58,126.29,127.33,127.33,0.13%,113375,,,-13566.158897795623,100.0,-13566.158897795623,100.0,-13566.158897795623,100.0
2021-08-26,127.43,128.0,119.68,120.0,120.0,-5.76%,250818,,,-13572.61897346124,100.0,-13572.61897346124,100.0,-13572.61897346124,100.0
2021-08-27,119.8,120.775,118.545,120.1,120.1,0.08%,188407,,,-13579.082125353365,100.0,-13579.082125353365,100.0,-13579.082125353365,100.0
2021-08-30,121.04,128.8,119.4,128.7,128.7,7.16%,221748,,,-13585.548354936867,100.0,-13585.548354936867,100.0,-13585.548354936867,100.0
2021-08-31,127.16,130.81,125.4,129.56,129.56,0.67%,209065,,,-13592.017663677314,100.0,-13592.017663677314,100.0,-13592.017663677314,100.0
2021-09-01,130.0,137.72,128.94,137.48,137.48,6.11%,139226,,,-13598.49005304097,100.0,-13598.49005304097,100.0,-13598.49005304097,100.0
2021-09-02,138.17,152.77,136.601,152.09,152.09,10.63%,400190,,,-13604.965524494799,100.0,-13604.965524494799,100.0,-13604.965524494799,100.0
2021-09-03,149.0,163.84,146.561,163.06,163.06,7.21%,316140,,,-13611.444079506464,100.0,-13611.444079506464,100.0,-13611.444079506464,100.0
2021-09-07,164.83,164.83,158.02,163.38,163.38,0.20%,226251,,,-13617.925719544324,100.0,-13617.925719544324,100.0,-13617.925719544324,100.0
2021-09-08,163.38,163.58,153.66,158.11,158.11,-3.23%,230643,,,-13624.41044607744,100.0,-13624.41044607744,100.0,-13624.41044607744,100.0
2021-09-09,156.73,170.58,155.015,169.75,169.75,7.36%,205939,,,-13630.898260575572,100.0,-13630.898260575572,100.0,-13630.898260575572,100.0
2021-09-10,171.97,181.27,170.49,173.37,173.37,2.13%,332463,,,-13637.389164509179,100.0,-13637.389164509179,100.0,-13637.389164509179,100.0
2021-09-13,174.45,174.655,158.22,158.71,158.71,-8.46%,279674,,,-13643.883159349421,100.0,-13643.883159349421,100.0,-13643.883159349421,100.0
