Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-01-03,67.393,68.625,67.277,68.033,67.865,-0.49%,23740120,,,-6803.3,100,-6803.3,100,-6803.3,100.0
2020-01-06,67.5,69.825,67.5,69.711,69.539,2.47%,34662980,,,-6806.539666666667,100,-6806.539666666667,100,-6803.3,100.0
2020-01-07,69.897,70.15,69.519,69.667,69.495,-0.06%,30233860,,,-6809.780876031746,100,-6809.780876031746,100,-6803.3,100.0
2020-01-08,69.604,70.579,69.542,70.216,70.043,0.79%,30583540,,,-6813.023628829856,100,-6813.023628829856,100,-6803.3,100.0
2020-01-09,71.029,71.367,70.514,70.992,70.816,1.11%,30053280,,,-6816.267925795965,100,-6816.267925795965,100,-6803.3,100.0
2020-01-10,71.378,71.746,70.917,71.487,71.31,0.70%,36431320,,,-6819.513767665392,100,-6819.513767665392,100,-6803.3,100.0
2020-01-13,71.807,72.026,71.301,71.962,71.784,0.66%,27565720,,,-6822.761155173805,100,-6822.761155173805,100,-6803.3,100.0
2020-01-14,71.951,72.09,71.419,71.544,71.368,-0.58%,31209060,,,-6826.01008905722,100,-6826.01008905722,100,-6803.3,100.0
2020-01-15,71.511,72.07,71.511,71.96,71.783,0.58%,25653700,,,-6829.26057005201,100,-6901.22057005201,101,-6803.3,100.0
2020-01-16,72.372,72.6,72.046,72.585,72.406,0.87%,23473760,,,-6832.512598894892,100,-6904.506865561559,101,-6803.3,100.0
2020-01-17,73.146,74.065,72.911,74.02,73.837,1.98%,47924300,,,-6835.766176322937,100,-6907.794725973731,101,-6803.3,100.0
2020-01-21,73.956,74.593,73.56,74.22,74.037,0.27%,40176600,,,-6839.021303073567,100,-6911.084152033719,101,-6803.3,100.0
2020-01-22,74.55,75.161,74.247,74.298,74.114,0.11%,32216920,,,-6842.277979884554,100,-6914.375144487069,101,-6803.3,100.0
2020-01-23,74.382,74.776,74.105,74.333,74.149,0.05%,27027080,,,-6845.536207494023,100,-6917.667704079681,101,-6803.3,100.0
2020-01-24,74.679,74.775,73.263,73.336,73.155,-1.34%,35692880,,,-6848.795986640449,100,-6920.961831557815,101,-6803.3,100.0
2020-01-27,71.55,71.904,71.06,71.695,71.518,-2.24%,35104020,,,-6852.057318062659,100,-6924.25752766808,101,-6803.3,100.0
2020-01-28,72.15,72.8,71.624,72.628,72.449,1.30%,31548440,,,-6855.320202499832,100,-6927.554793157446,101,-6803.3,100.0
2020-01-29,72.94,73.272,72.337,72.932,72.752,0.42%,21573340,,,-6858.584640691498,100,-6930.853628773235,101,-6803.3,100.0
2020-01-30,71.998,72.864,71.82,72.792,72.613,-0.19%,26788420,,,-6861.850633377541,100,-6934.154035263127,101,-6803.3,100.0
2020-01-31,73.445,73.507,71.427,71.712,71.535,-1.48%,48344280,,,-6865.118181298198,100,-6937.456013375157,101,-6803.3,100.0
2020-02-03,73.1,74.5,72.95,74.297,74.114,3.60%,61104320,,,-6868.387285194054,100,-6940.759563857717,101,-6803.3,100.0
2020-02-04,72.854,73.475,71.315,72.354,72.175,-2.62%,78659080,,,-6871.657945806051,100,-6944.064687459554,101,-6803.3,100.0
2020-02-05,73.121,73.192,71.528,72.412,72.233,0.08%,39723140,,,-6874.930163875483,100,-6947.371384929773,101,-6803.3,100.0
2020-02-06,72.517,74.1,72.479,73.812,73.63,1.93%,33587680,,,-6878.203940143995,100,-6950.679657017835,101,-6803.3,100.0
2020-02-07,73.365,74.292,73.318,73.962,73.779,0.20%,23445400,,,-6881.479275353588,100,-6953.989504473558,101,-6803.3,100.0
2020-02-10,73.716,75.475,73.716,75.434,75.248,1.99%,28397520,,,-6884.756170246613,100,-6957.300928047116,101,-6803.3,100.0
2020-02-11,75.59,76.482,75.282,75.44,75.254,0.01%,26892660,,,-6888.034625565778,100,-6960.613928489043,101,-6803.3,100.0
2020-02-12,75.724,76.035,75.405,75.914,75.726,0.63%,23351300,,,-6891.3146420541425,100,-6963.928506550228,101,-6803.3,100.0
2020-02-13,75.635,76.359,75.23,75.733,75.546,-0.24%,18594600,,,-6894.596220455121,100,-6967.244662981919,101,-6803.3,100.0
2020-02-14,75.78,76.037,75.367,76.037,75.85,0.40%,23956720,,,-6897.8793615124805,100,-6970.56239853572,101,-6803.3,100.0
2020-02-18,75.75,76.582,75.63,75.984,75.796,-0.07%,22422800,,,-6901.1640659703435,100,-6973.881713963594,101,-6803.3,100.0
2020-02-19,76.254,76.605,76.07,76.335,76.146,0.46%,18985360,,,-6904.450334573186,100,-6977.202610017863,101,-6803.3,100.0
2020-02-20,76.1,76.482,75.341,75.908,75.72,-0.56%,21931040,,,-6907.73816806584,100,-6980.525087451205,101,-6803.3,100.0
2020-02-21,75.402,75.611,74.022,74.256,74.072,-2.18%,34645460,,,-6911.0275671934905,100,-6983.849147016658,101,-6803.3,100.0
2020-02-24,71.306,71.849,70.57,71.08,70.904,-4.28%,57341060,,,-6914.318532701678,100,-6987.174789467618,101,-6803.3,100.0
2020-02-25,71.65,71.907,69.12,69.423,69.251,-2.33%,49565560,,,-6917.6110653362975,100,-6990.502015557841,101,-6803.3,100.0
2020-02-26,69.807,70.785,68.95,69.659,69.487,0.34%,44080740,,,-6920.9051658436,100,-6993.830826041441,101,-6803.3,100.0
2020-02-27,68.103,68.585,65.859,65.905,65.742,-5.39%,59566000,,,-6924.200834970192,100,-6997.161221672889,101,-6803.3,100.0
2020-02-28,63.875,67.057,63.55,66.967,66.801,1.61%,75812360,,,-6927.498073463034,100,-7000.493203207019,101,-6803.3,100.0
2020-03-02,67.581,69.544,66.341,69.456,69.284,3.72%,48629360,,,-6930.796882069445,100,-7003.826771399023,101,-6803.3,100.0
2020-03-03,69.971,70.508,66.6,67.07,66.904,-3.44%,48046520,,,-6934.097261537097,100,-7007.161927004451,101,-6803.3,100.0
2020-03-04,67.962,69.405,67.155,69.326,69.155,3.36%,38266300,,,-6937.39921261402,100,-7010.498670779215,101,-6803.3,100.0
2020-03-05,67.51,67.946,65.255,65.952,65.789,-4.87%,51225760,,,-6940.702736048598,100,-7013.837003479586,101,-6803.3,100.0
2020-03-06,63.853,65.311,63.052,64.921,64.76,-1.56%,53212560,,,-6944.007832589574,100,-7017.176925862195,101,-6803.3,100.0
2020-03-09,60.265,62.738,60.0,60.778,60.628,-6.38%,67307300,,,-6947.314502986045,100,-7020.518438684035,101,-6803.3,100.0
2020-03-10,63.0,64.058,60.939,64.02,63.862,5.33%,52227460,,,-6950.622747987467,100,-7023.861542702456,101,-6803.3,100.0
2020-03-11,62.485,63.048,59.804,60.771,60.621,-5.07%,52224580,,,-6953.932568343652,100,-7027.206238675171,101,-6803.3,100.0
2020-03-12,56.3,59.693,55.665,55.746,55.608,-8.27%,84534960,,,-6957.2439648047675,100,-7030.552527360254,101,-6803.3,100.0
2020-03-13,58.95,60.988,55.857,60.987,60.836,9.40%,74002500,,,-6960.556938121341,100,-7033.90040951614,101,-6803.3,100.0
2020-03-16,54.8,57.613,53.722,54.216,54.083,-11.10%,85047300,,,-6963.871489044256,100,-7037.249885901624,101,-6803.3,100.0
2020-03-17,54.655,56.543,52.801,55.99,55.852,3.27%,77229780,,,-6967.187618324753,100,-7040.600957275863,101,-6803.3,100.0
2020-03-18,52.826,55.325,51.864,54.84,54.705,-2.05%,84668700,,,-6970.505326714431,100,-7043.953624398376,101,-6803.3,100.0
2020-03-19,54.652,57.899,53.005,55.765,55.627,1.69%,73022120,,,-6973.824614965248,100,-7047.307888029041,101,-6803.3,100.0
2020-03-20,56.786,57.2,53.275,53.616,53.484,-3.85%,72035000,,,-6977.145483829517,100,-7050.663748928103,101,-6803.3,100.0
2020-03-23,53.066,53.566,50.677,52.831,52.701,-1.46%,80882740,,,-6980.467934059911,100,-7054.0212078561635,101,-6803.3,100.0
2020-03-24,55.189,56.75,54.531,56.723,56.583,7.37%,66889000,,,-6983.791966409463,100,-7057.38026557419,101,-6803.3,100.0
2020-03-25,56.324,57.445,54.301,55.125,54.989,-2.82%,81630560,,,-6987.117581631564,100,-7060.740922843511,101,-6803.3,100.0
2020-03-26,55.59,58.499,54.677,58.088,57.944,5.38%,71475100,,,-6990.444780479959,100,-7064.103180425817,101,-6803.3,100.0
2020-03-27,56.284,57.534,55.296,55.536,55.399,-4.39%,64169900,,,-6993.773563708759,100,-7067.4670390831625,101,-6803.3,100.0
2020-03-30,56.252,57.582,54.824,57.341,57.2,3.25%,51481220,,,-6997.103932072429,100,-7070.832499577964,101,-6803.3,100.0
2020-03-31,57.365,58.765,56.907,58.14,57.997,1.39%,49759660,,,-7000.435886325798,100,-7074.199562673001,101,-6803.3,100.0
2020-04-01,56.1,56.485,54.873,55.281,55.145,-4.92%,46883460,,,-7003.769427224048,100,-7077.568229131417,101,-6803.3,100.0
2020-04-02,54.913,56.343,54.82,56.042,55.904,1.38%,39297620,,,-7007.104555522726,100,-7080.938499716718,101,-6803.3,100.0
2020-04-03,55.951,56.177,53.991,54.894,54.759,-2.05%,46268000,,,-7010.4412719777365,100,-7084.310375192774,101,-6803.3,100.0
2020-04-06,56.9,59.733,56.547,59.346,59.2,8.11%,53294460,,,-7013.779577345345,100,-7087.683856323818,101,-6803.3,100.0
2020-04-07,61.05,61.25,59.112,59.326,59.179,-0.03%,47746580,,,-7017.119472382176,100,-7091.058943874448,101,-6803.3,100.0
2020-04-08,60.325,60.954,59.408,60.514,60.365,2.00%,39502700,,,-7020.4609578452155,100,-7094.435638609627,101,-6803.3,100.0
2020-04-09,61.204,61.278,59.837,60.573,60.423,0.10%,43508420,,,-7023.804034491808,100,-7097.813941294679,101,-6803.3,100.0
2020-04-13,60.459,61.026,59.38,60.878,60.728,0.50%,34796560,,,-7027.148703079662,100,-7101.193852695296,101,-6803.3,100.0
2020-04-14,62.254,64.104,61.847,63.462,63.305,4.24%,49407060,,,-7030.494964366842,100,-7104.575373577532,101,-6803.3,100.0
2020-04-15,62.28,64.023,62.02,63.124,62.968,-0.53%,33434060,,,-7033.842819111779,100,-7171.082504707807,102,-6803.3,100.0
2020-04-16,63.705,63.95,62.131,63.174,63.018,0.08%,50361980,,,-7037.1922680732605,100,-7174.497305900525,102,-6803.3,100.0
2020-04-17,64.242,64.722,63.562,64.163,64.004,1.57%,38980840,,,-7040.543312010438,100,-7177.913733189049,102,-6803.3,100.0
2020-04-20,63.55,64.08,63.068,63.33,63.174,-1.30%,33909760,,,-7043.895951682824,100,-7181.33178734771,102,-6803.3,100.0
2020-04-21,62.35,62.713,60.486,60.817,60.667,-3.97%,43060060,,,-7047.250187850292,100,-7184.751469151209,102,-6803.3,100.0
2020-04-22,62.277,64.281,62.1,63.161,63.005,3.85%,41862800,,,-7050.606021273077,100,-7188.172779374614,102,-6803.3,100.0
2020-04-23,63.578,64.666,63.284,63.816,63.658,1.04%,31324060,,,-7053.963452711779,100,-7191.595718793364,102,-6803.3,100.0
2020-04-24,63.059,64.02,62.473,63.966,63.808,0.24%,32807880,,,-7057.322482927356,100,-7195.020288183266,102,-6803.3,100.0
2020-04-27,64.8,64.808,63.45,63.794,63.637,-0.27%,32011260,,,-7060.683112681131,100,-7198.4464883204955,102,-6803.3,100.0
2020-04-28,64.397,64.403,61.61,61.684,61.531,-3.31%,59026180,,,-7064.045342734789,100,-7201.874319981601,102,-6803.3,100.0
2020-04-29,67.073,68.0,66.267,67.074,66.909,8.74%,75872600,,,-7067.409173850378,100,-7205.3037839434965,102,-6803.3,100.0
2020-04-30,66.244,67.641,66.125,67.433,67.267,0.54%,53378120,,,-7070.774606790306,100,-7208.734880983469,102,-6803.3,100.0
2020-05-01,66.425,67.604,65.55,66.03,65.868,-2.08%,41452780,,,-7074.14164231735,100,-7212.167611879176,102,-6803.3,100.0
2020-05-04,65.412,66.383,64.95,66.34,66.176,0.47%,30080340,,,-7077.5102811946435,100,-7215.601977408642,102,-6803.3,100.0
2020-05-05,66.896,68.697,66.873,67.556,67.389,1.83%,33030660,,,-7080.880524185689,100,-7219.037978350265,102,-6803.3,100.0
2020-05-06,68.085,68.556,67.364,67.365,67.199,-0.28%,24308460,,,-7084.252372054349,100,-7222.475615482813,102,-6803.3,100.0
2020-05-07,68.297,68.88,67.764,68.628,68.459,1.87%,27995180,,,-7087.625825564851,100,-7225.914889585424,102,-6803.3,100.0
2020-05-08,69.157,69.938,68.774,69.419,69.247,1.15%,27761360,,,-7091.000885481786,100,-7229.355801437608,102,-6803.3,100.0
2020-05-11,68.914,70.827,68.858,70.163,69.99,1.07%,28242320,,,-7094.37755257011,100,-7232.798351819245,102,-6803.3,100.0
2020-05-12,70.356,70.75,68.739,68.787,68.617,-1.96%,27812000,,,-7097.755827595143,100,-7236.242541510587,102,-6803.3,100.0
2020-05-13,68.852,69.274,66.42,67.467,67.3,-1.92%,36251700,,,-7101.1357113225695,100,-7239.688371292259,102,-6803.3,100.0
2020-05-14,66.751,67.871,66.196,67.807,67.639,0.50%,32061540,,,-7104.517204518437,100,-7243.135841945255,102,-6803.3,100.0
2020-05-15,67.5,68.724,66.95,68.66,68.49,1.26%,34154940,,,-7107.90030794916,100,-7315.244954250943,103,-6803.3,100.0
2020-05-18,68.088,69.616,67.713,69.197,69.026,0.78%,36479280,,,-7111.285022381517,100,-7318.728404229158,103,-6803.3,100.0
2020-05-19,69.35,69.6,68.674,68.674,68.505,-0.76%,25612980,,,-7114.67134858265,100,-7322.213512993077,103,-6803.3,100.0
2020-05-20,69.479,70.521,69.363,70.336,70.163,2.42%,33107500,,,-7118.05928732007,100,-7325.700281332597,103,-6803.3,100.0
2020-05-21,70.4,70.775,69.673,70.14,69.967,-0.28%,27560400,,,-7121.448839361651,100,-7329.188710037994,103,-6803.3,100.0
2020-05-22,69.836,70.638,69.592,70.521,70.347,0.54%,26188160,,,-7124.840005475633,100,-7332.678799899916,103,-6803.3,100.0
2020-05-26,71.864,72.05,70.607,70.851,70.676,0.47%,41212860,,,-7128.232786430622,100,-7336.170551709392,103,-6803.3,100.0
2020-05-27,70.863,71.087,69.565,70.892,70.717,0.06%,33722840,,,-7131.627182995589,100,-7339.663966257825,103,-6803.3,100.0
2020-05-28,69.843,72.042,69.8,70.837,70.662,-0.08%,33879520,,,-7135.0231959398725,100,-7343.159044336996,103,-6803.3,100.0
2020-05-29,70.847,71.629,70.667,71.446,71.27,0.86%,36761180,,,-7138.420826033177,100,-7346.655786739061,103,-6803.3,100.0
2020-06-01,70.92,71.898,70.9,71.591,71.415,0.20%,24342800,,,-7141.820074045574,100,-7350.1541942565555,103,-6803.3,100.0
2020-06-02,71.528,71.98,70.941,71.961,71.784,0.52%,25562560,,,-7145.2209407475,100,-7353.654267682392,103,-6803.3,100.0
2020-06-03,71.915,72.328,71.489,71.819,71.642,-0.20%,25123720,,,-7148.623426909761,100,-7357.15600780986,103,-6803.3,100.0
2020-06-04,71.52,71.948,70.237,70.609,70.435,-1.68%,29685440,,,-7152.027533303528,100,-7360.659415432627,103,-6803.3,100.0
2020-06-05,70.659,72.253,70.3,71.92,71.742,1.86%,34704880,,,-7155.433260700339,100,-7364.164491344737,103,-6803.3,100.0
2020-06-08,71.117,72.4,71.117,72.331,72.152,0.57%,28083560,,,-7158.840609872101,100,-7367.671236340616,103,-6803.3,100.0
2020-06-09,72.268,73.4,72.161,72.808,72.629,0.66%,28184980,,,-7162.249581591087,100,-7371.179651215064,103,-6803.3,100.0
2020-06-10,72.977,73.713,72.814,73.292,73.112,0.66%,30503060,,,-7165.66017662994,100,-7374.689736763262,103,-6803.3,100.0
2020-06-11,72.124,72.724,70.1,70.192,70.019,-4.23%,39826640,,,-7169.072395761668,100,-7378.201493780768,103,-6803.3,100.0
2020-06-12,71.425,71.85,69.301,70.659,70.485,0.67%,38927340,,,-7172.48623975965,100,-7381.7149230635205,103,-6803.3,100.0
2020-06-15,69.54,71.24,69.396,70.992,70.817,0.47%,30121920,,,-7175.901709397631,100,-7456.222025407837,104,-6803.3,100.0
2020-06-16,72.261,72.751,71.295,72.136,71.958,1.61%,34232280,,,-7179.318805449725,100,-7459.772607324698,104,-6803.3,100.0
2020-06-17,72.358,73.0,71.569,72.556,72.377,0.58%,30992300,,,-7182.737528690415,100,-7463.324879994852,104,-6803.3,100.0
2020-06-18,72.458,72.571,71.351,71.798,71.621,-1.04%,31638320,,,-7186.157879894554,100,-7466.878844223422,104,-6803.3,100.0
2020-06-19,72.2,72.39,71.068,71.586,71.41,-0.30%,63157500,,,-7189.57985983736,100,-7470.434500815909,104,-6803.3,100.0
2020-06-22,71.45,72.638,71.161,72.593,72.414,1.41%,30848800,,,-7193.0034692944255,100,-7473.9918505782025,104,-6803.3,100.0
2020-06-23,72.782,73.797,72.262,73.221,73.04,0.87%,28595280,,,-7196.428709041708,100,-7477.550894316573,104,-6803.3,100.0
