Date,Open,High,Low,Close,Adj. Close,Change,Volume
1980-03-18,0.32552,0.32813,0.32292,0.32292,0.18005,-0.80%,17068800
1980-03-19,0.33073,0.33594,0.33073,0.33073,0.18441,2.42%,18508800
1980-03-20,0.33073,0.33464,0.32943,0.32943,0.18368,-0.39%,11174400
1980-03-21,0.32292,0.32292,0.31771,0.31771,0.17715,-3.56%,12172800
1980-03-24,0.31641,0.31641,0.31120,0.31120,0.17352,-2.05%,8966400
1980-03-25,0.31250,0.31771,0.31250,0.31250,0.17424,0.42%,11347200
1980-03-26,0.31250,0.31510,0.30990,0.30990,0.17279,-0.83%,16262400
1980-03-27,0.30469,0.30469,0.29948,0.29948,0.16698,-3.36%,26918400
1980-03-28,0.31120,0.31641,0.31120,0.31120,0.17352,3.91%,20102400
1980-03-31,0.32161,0.32682,0.32161,0.32161,0.17932,3.35%,9004800
1980-04-01,0.32292,0.32813,0.32292,0.32292,0.18005,0.41%,8179200
1980-04-02,0.32552,0.33073,0.32552,0.32552,0.18150,0.81%,12556800
1980-04-03,0.32422,0.32422,0.31901,0.31901,0.17787,-2.00%,6988800
1980-04-07,0.31641,0.31641,0.31120,0.31120,0.17352,-2.45%,13478400
1980-04-08,0.31250,0.31771,0.31250,0.31250,0.17424,0.42%,29184000
1980-04-09,0.31120,0.31120,0.30599,0.30599,0.17061,-2.08%,11558400
1980-04-10,0.30599,0.30990,0.30469,0.30469,0.16989,-0.42%,14784000
1980-04-11,0.30469,0.30990,0.30469,0.30469,0.16989,,9523200
1980-04-14,0.30729,0.31250,0.30729,0.30729,0.17134,0.85%,8025600
1980-04-15,0.30729,0.30859,0.30339,0.30339,0.16916,-1.27%,10598400
1980-04-16,0.29688,0.29688,0.29167,0.29167,0.16263,-3.86%,10752000
1980-04-17,0.29167,0.29167,0.28646,0.28646,0.15972,-1.79%,17702400
1980-04-18,0.29036,0.29557,0.29036,0.29036,0.16190,1.36%,18739200
1980-04-21,0.29036,0.29297,0.28776,0.28776,0.16045,-0.90%,9043200
1980-04-22,0.30078,0.30599,0.30078,0.30078,0.16771,4.52%,20428800
1980-04-23,0.31901,0.32422,0.31901,0.31901,0.17787,6.06%,14822400
1980-04-24,0.32031,0.32552,0.32031,0.32031,0.17860,0.41%,8832000
1980-04-25,0.32031,0.32031,0.31510,0.31510,0.17569,-1.63%,7104000
1980-04-28,0.31510,0.31771,0.31250,0.31250,0.17424,-0.83%,6931200
1980-04-29,0.31510,0.32031,0.31510,0.31510,0.17569,0.83%,6297600
1980-04-30,0.31901,0.32422,0.31901,0.31901,0.17787,1.24%,7065600
1980-05-01,0.32031,0.32552,0.32031,0.32031,0.17860,0.41%,7008000
1980-05-02,0.32552,0.33073,0.32552,0.32552,0.18150,1.63%,5510400
1980-05-05,0.32943,0.33464,0.32943,0.32943,0.18368,1.20%,3513600
1980-05-06,0.32943,0.33333,0.32813,0.32813,0.18295,-0.39%,6988800
1980-05-07,0.32813,0.33333,0.32813,0.32813,0.18295,,6393600
1980-05-08,0.32813,0.32943,0.32422,0.32422,0.18078,-1.19%,7468800
1980-05-09,0.32813,0.33333,0.32813,0.32813,0.18295,1.21%,16684800
1980-05-12,0.32813,0.33203,0.32682,0.32682,0.18223,-0.40%,8582400
1980-05-13,0.33333,0.33854,0.33333,0.33333,0.18586,1.99%,7372800
1980-05-14,0.33854,0.34375,0.33854,0.33854,0.18876,1.56%,4742400
1980-05-15,0.34115,0.34635,0.34115,0.34115,0.19021,0.77%,8102400
1980-05-16,0.34505,0.35026,0.34505,0.34505,0.19239,1.14%,4838400
1980-05-19,0.34635,0.35156,0.34635,0.34635,0.19312,0.38%,8640000
1980-05-20,0.34635,0.34766,0.34245,0.34245,0.19094,-1.13%,21811200
1980-05-21,0.33984,0.33984,0.33464,0.33464,0.18658,-2.28%,10540800
1980-05-22,0.33464,0.33594,0.33073,0.33073,0.18441,-1.17%,5318400
1980-05-23,0.34245,0.34766,0.34245,0.34245,0.19094,3.54%,29779200
1980-05-27,0.34245,0.34635,0.34115,0.34115,0.19021,-0.38%,8332800
1980-05-28,0.34896,0.35417,0.34896,0.34896,0.19457,2.29%,6700800
1980-05-29,0.34896,0.35417,0.34896,0.34896,0.19457,,7660800
1980-05-30,0.35417,0.35938,0.35417,0.35417,0.19747,1.49%,5721600
1980-06-02,0.35547,0.36068,0.35547,0.35547,0.19820,0.37%,6355200
1980-06-03,0.35156,0.35156,0.34635,0.34635,0.19312,-2.57%,15244800
1980-06-04,0.35156,0.35677,0.35156,0.35156,0.19602,1.50%,7680000
1980-06-05,0.35156,0.35677,0.35156,0.35156,0.19602,,6470400
1980-06-06,0.35156,0.35417,0.34896,0.34896,0.19457,-0.74%,28723200
1980-06-09,0.34896,0.35156,0.34635,0.34635,0.19312,-0.75%,7545600
1980-06-10,0.35026,0.35547,0.35026,0.35026,0.19530,1.13%,17280000
1980-06-11,0.35417,0.35938,0.35417,0.35417,0.19747,1.12%,3206400
1980-06-12,0.35417,0.35417,0.34896,0.34896,0.19457,-1.47%,10809600
1980-06-13,0.34896,0.35417,0.34896,0.34896,0.19457,,3590400
1980-06-16,0.34896,0.35417,0.34896,0.34896,0.19457,,7987200
1980-06-17,0.34896,0.35286,0.34766,0.34766,0.19384,-0.37%,12864000
1980-06-18,0.34766,0.35026,0.34505,0.34505,0.19239,-0.75%,8064000
1980-06-19,0.34375,0.34375,0.33854,0.33854,0.18876,-1.89%,13689600
1980-06-20,0.33984,0.34505,0.33984,0.33984,0.18949,0.38%,7027200
1980-06-23,0.33984,0.34505,0.33984,0.33984,0.18949,,9888000
1980-06-24,0.33984,0.34505,0.33984,0.33984,0.18949,,9676800
1980-06-25,0.34375,0.34896,0.34375,0.34375,0.19167,1.15%,15494400
1980-06-26,0.34375,0.34896,0.34375,0.34375,0.19167,,10156800
1980-06-27,0.34505,0.35026,0.34505,0.34505,0.19239,0.38%,6912000
1980-06-30,0.34505,0.34766,0.34245,0.34245,0.19094,-0.75%,5337600
1980-07-01,0.34766,0.35286,0.34766,0.34766,0.19384,1.52%,9811200
1980-07-02,0.35026,0.35547,0.35026,0.35026,0.19530,0.75%,6585600
1980-07-03,0.35286,0.35807,0.35286,0.35286,0.19675,0.74%,4550400
1980-07-07,0.36589,0.36849,0.36589,0.36589,0.20401,3.69%,19545600
1980-07-08,0.37370,0.37630,0.37370,0.37370,0.20837,2.13%,13190400
1980-07-09,0.37370,0.37500,0.37370,0.37370,0.20837,,9388800
1980-07-10,0.37891,0.38021,0.37891,0.37891,0.21127,1.39%,14092800
1980-07-11,0.37891,0.38021,0.37760,0.37760,0.21054,-0.35%,9888000
1980-07-14,0.38151,0.38411,0.38151,0.38151,0.21272,1.04%,15052800
1980-07-15,0.39323,0.39453,0.39323,0.39323,0.21926,3.07%,20678400
1980-07-16,0.39974,0.40104,0.39974,0.39974,0.22289,1.66%,11692800
1980-07-17,0.40885,0.41146,0.40885,0.40885,0.22797,2.28%,15456000
1980-07-18,0.41927,0.42057,0.41927,0.41927,0.23378,2.55%,12576000
1980-07-21,0.41927,0.42057,0.41927,0.41927,0.23378,,14208000
1980-07-22,0.41667,0.41667,0.41406,0.41406,0.23087,-1.24%,14150400
1980-07-23,0.41146,0.41146,0.41016,0.41016,0.22869,-0.94%,8371200
1980-07-24,0.40885,0.40885,0.40755,0.40755,0.22724,-0.64%,11616000
1980-07-25,0.40495,0.40495,0.40365,0.40365,0.22506,-0.96%,22156800
1980-07-28,0.40755,0.41016,0.40755,0.40755,0.22724,0.97%,7372800
1980-07-29,0.42578,0.42839,0.42578,0.42578,0.23741,4.47%,11424000
1980-07-30,0.43880,0.44010,0.43880,0.43880,0.24467,3.06%,12614400
1980-07-31,0.44141,0.44401,0.44141,0.44141,0.24612,0.59%,24384000
1980-08-01,0.43880,0.43880,0.43490,0.43490,0.24249,-1.47%,9523200
1980-08-04,0.44141,0.44531,0.44141,0.44141,0.24612,1.50%,5721600
