Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2021-01-04,222.53,223.0,214.81,217.69,210.835,-2.13%,37130139,,,-21769.0,100.0,-21769.0,100.0,-21769.0,100.0
2021-01-05,217.26,218.52,215.7,217.9,211.039,0.10%,23822953,,,-21779.36619047619,100.0,-21779.36619047619,100.0,-21779.36619047619,100.0
2021-01-06,212.17,216.49,211.94,212.25,205.567,-2.59%,35930653,,,-21789.73731723356,100.0,-21789.73731723356,100.0,-21789.73731723356,100.0
2021-01-07,214.04,219.34,213.71,218.29,211.416,2.85%,27694480,,,-21800.11338262272,100.0,-21800.11338262272,100.0,-21800.11338262272,100.0
2021-01-08,218.68,220.58,217.026,219.62,212.704,0.61%,22956206,,,-21810.494388995397,100.0,-21810.494388995397,100.0,-21810.494388995397,100.0
2021-01-11,218.47,218.91,216.73,217.49,210.642,-0.97%,23047029,,,-21820.880338704443,100.0,-21820.880338704443,100.0,-21820.880338704443,100.0
2021-01-12,216.5,217.1,213.32,214.93,208.162,-1.18%,23148341,,,-21831.271234103824,100.0,-21831.271234103824,100.0,-21831.271234103824,100.0
2021-01-13,214.02,216.76,213.927,216.34,209.528,0.66%,20087080,,,-21841.667077548635,100.0,-21841.667077548635,100.0,-21841.667077548635,100.0
2021-01-14,215.91,217.46,212.74,213.02,206.312,-1.53%,29346737,,,-21852.067871395087,100.0,-21852.067871395087,100.0,-21852.067871395087,100.0
2021-01-15,213.52,214.51,212.03,212.65,205.954,-0.17%,31746512,,,-21862.473618000513,100.0,-22075.123618000514,101.0,-21862.473618000513,100.0
2021-01-19,213.75,216.98,212.63,216.44,209.625,1.78%,30480859,,,-21872.88431972337,100.0,-22085.635581628132,101.0,-21872.88431972337,100.0
2021-01-20,217.7,225.79,217.291,224.34,217.276,3.65%,37777260,,,-21883.299978923238,100.0,-22096.152550952716,101.0,-21883.299978923238,100.0
2021-01-21,224.7,226.3,222.42,224.97,217.886,0.28%,30749553,,,-21893.72059796082,100.0,-22106.674528357933,101.0,-21893.72059796082,100.0
2021-01-22,227.08,230.07,225.8,225.95,218.835,0.44%,30172663,,,-21904.146179197942,100.0,-22117.20151622858,101.0,-21904.146179197942,100.0
2021-01-25,229.12,229.78,224.22,229.53,222.302,1.58%,33152095,,,-21914.57672499756,100.0,-22127.733516950593,101.0,-21914.57672499756,100.0
2021-01-26,231.86,234.18,230.08,232.33,225.014,1.22%,49169601,,,-21925.01223772375,100.0,-22138.270532911047,101.0,-21925.01223772375,100.0
2021-01-27,238.0,240.44,230.14,232.9,225.566,0.25%,69870638,,,-21935.452719741712,100.0,-22148.81256649815,101.0,-21935.452719741712,100.0
2021-01-28,235.61,242.64,235.09,238.93,231.406,2.59%,49111159,,,-21945.89817341778,100.0,-22159.359620101244,101.0,-21945.89817341778,100.0
2021-01-29,235.99,238.02,231.35,231.96,224.656,-2.92%,42503138,,,-21956.348601119407,100.0,-22169.911696110816,101.0,-21956.348601119407,100.0
2021-02-01,235.06,242.5,232.43,239.65,232.104,3.32%,33314193,,,-21966.804005215177,100.0,-22180.46879691849,101.0,-21966.804005215177,100.0
2021-02-02,241.3,242.31,238.69,239.51,231.968,-0.06%,25678356,,,-21977.264388074804,100.0,-22191.03092491702,101.0,-21977.264388074804,100.0
2021-02-03,239.57,245.09,239.26,243.0,235.348,1.46%,27158104,,,-21987.729752069125,100.0,-22201.598082500313,101.0,-21987.729752069125,100.0
2021-02-04,242.66,243.24,240.37,242.01,234.389,-0.41%,25296100,,,-21998.20009957011,100.0,-22212.17027206341,101.0,-21998.20009957011,100.0
2021-02-05,242.23,243.28,240.42,242.2,234.573,0.08%,18054752,,,-22008.67543295086,100.0,-22222.74749600249,101.0,-22008.67543295086,100.0
2021-02-08,243.15,243.68,240.81,242.47,234.835,0.11%,22211929,,,-22019.155754585598,100.0,-22233.32975671487,101.0,-22019.155754585598,100.0
2021-02-09,241.87,244.76,241.38,243.77,236.094,0.54%,23471475,,,-22029.641066849686,100.0,-22243.91705659902,101.0,-22029.641066849686,100.0
2021-02-10,245.0,245.92,240.89,242.82,235.174,-0.39%,22117240,,,-22040.131372119617,100.0,-22254.509398054543,101.0,-22040.131372119617,100.0
2021-02-11,244.78,245.15,242.15,244.49,236.791,0.69%,15751059,,,-22050.626672773007,100.0,-22265.106783482188,101.0,-22050.626672773007,100.0
2021-02-12,243.933,245.3,242.73,244.99,237.276,0.20%,16561079,,,-22061.126971188613,100.0,-22275.709215283845,101.0,-22061.126971188613,100.0
2021-02-16,245.03,246.13,242.92,243.7,236.026,-0.53%,26728487,,,-22071.632269746322,100.0,-22286.31669586255,101.0,-22071.632269746322,100.0
