Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-01-03,100.59,102.0,100.31,101.92,96.733,-0.27%,4541796,,,-10192.0,100,-10192.0,100,-10192.0,100.0
2020-01-06,100.95,101.84,100.87,101.83,96.647,-0.09%,4610102,,,-10196.853333333333,100,-10196.853333333333,100,-10192.0,100.0
2020-01-07,101.81,102.74,100.81,101.78,96.6,-0.05%,6813836,,,-10201.708977777776,100,-10201.708977777776,100,-10192.0,100.0
2020-01-08,101.31,102.14,100.85,101.55,96.382,-0.23%,4942150,,,-10206.56693443386,100,-10206.56693443386,100,-10192.0,100.0
2020-01-09,101.94,102.41,101.39,101.48,96.315,-0.07%,5007426,,,-10211.427204402638,100,-10211.427204402638,100,-10192.0,100.0
2020-01-10,101.89,101.93,100.76,100.9,95.765,-0.57%,5135298,,,-10216.289788785687,100,-10216.289788785687,100,-10192.0,100.0
2020-01-13,101.0,102.34,100.82,102.16,96.961,1.25%,6722353,,,-10221.154688685108,100,-10221.154688685108,100,-10192.0,100.0
2020-01-14,102.45,103.89,102.35,102.92,97.682,0.74%,5088477,,,-10226.02190520353,100,-10226.02190520353,100,-10192.0,100.0
2020-01-15,103.25,103.7,102.48,102.79,97.559,-0.13%,4207559,,,-10230.891439444104,100,-10333.681439444104,101,-10192.0,100.0
2020-01-16,102.88,103.57,102.85,103.37,98.109,0.56%,6570620,,,-10235.763292510506,100,-10338.602240129554,101,-10192.0,100.0
2020-01-17,103.43,104.55,103.34,104.53,99.21,1.12%,6271163,,,-10240.63746550694,100,-10343.525384053426,101,-10192.0,100.0
2020-01-21,104.25,104.69,103.81,104.58,99.258,0.05%,4854667,,,-10245.513959538133,100,-10348.450872331547,101,-10192.0,100.0
2020-01-22,105.0,105.62,104.42,104.49,99.172,-0.09%,5031361,,,-10250.392775709342,100,-10353.378706080275,101,-10192.0,100.0
2020-01-23,104.03,104.37,102.62,103.02,97.777,-1.41%,7102866,,,-10255.273915126347,100,-10358.308886416504,101,-10192.0,100.0
2020-01-24,103.59,103.89,101.66,102.03,96.837,-0.96%,3837837,,,-10260.157378895454,100,-10363.241414457654,101,-10192.0,100.0
2020-01-27,98.21,100.71,98.01,100.24,95.138,-1.75%,9840568,,,-10265.043168123499,100,-10368.17629132168,101,-10192.0,100.0
2020-01-28,100.34,101.05,99.52,100.41,95.3,0.17%,5668104,,,-10269.931283917844,100,-10373.113518127073,101,-10192.0,100.0
2020-01-29,101.07,101.3,99.17,99.84,94.759,-0.57%,4503675,,,-10274.821727386376,100,-10378.053095992847,101,-10192.0,100.0
2020-01-30,99.02,99.75,97.37,98.19,93.193,-1.65%,7064615,,,-10279.714499637512,100,-10382.995026038558,101,-10192.0,100.0
2020-01-31,98.11,98.45,95.92,96.3,91.399,-1.92%,8778250,,,-10284.609601780196,100,-10387.93930938429,101,-10192.0,100.0
2020-02-03,99.0,100.92,98.57,99.27,94.218,3.08%,9726519,,,-10289.507034923901,100,-10392.885947150664,101,-10192.0,100.0
2020-02-04,101.91,102.78,101.26,101.38,96.22,2.13%,6556110,,,-10294.406800178627,100,-10397.834940458832,101,-10192.0,100.0
2020-02-05,101.76,101.97,99.53,100.54,95.423,-0.83%,6101682,,,-10299.308898654903,100,-10402.786290430478,101,-10192.0,100.0
2020-02-06,100.9,101.53,100.16,100.27,95.167,-0.27%,5640694,,,-10304.213331463787,100,-10407.739998187826,101,-10192.0,100.0
2020-02-07,99.81,100.4,98.97,99.44,94.379,-0.83%,4121781,,,-10309.120099716865,100,-10412.69606485363,101,-10192.0,100.0
2020-02-10,99.22,100.51,99.0,100.02,94.93,0.58%,4212827,,,-10314.029204526254,100,-10417.654491551179,101,-10192.0,100.0
2020-02-11,100.07,100.35,99.44,100.02,94.93,,4871689,,,-10318.9406470046,100,-10422.615279404297,101,-10192.0,100.0
2020-02-12,100.74,103.08,100.44,103.0,97.758,2.98%,8072781,,,-10323.854428265078,100,-10427.578429537347,101,-10192.0,100.0
2020-02-13,102.51,103.74,101.68,103.37,98.109,0.36%,5386763,,,-10328.770549421395,100,-10432.543943075221,101,-10192.0,100.0
2020-02-14,103.53,103.89,102.45,103.54,98.27,0.16%,4305313,,,-10333.689011587787,100,-10437.511821143353,101,-10192.0,100.0
2020-02-18,103.0,103.38,101.61,102.0,96.809,-1.49%,4916186,,,-10338.60981587902,100,-10442.482064867707,101,-10192.0,100.0
2020-02-19,102.66,103.39,102.43,102.46,97.245,0.45%,6160571,,,-10343.532963410391,100,-10447.454675374787,101,-10192.0,100.0
2020-02-20,102.46,102.63,100.55,102.53,97.312,0.07%,6427565,,,-10348.458455297729,100,-10452.429653791633,101,-10192.0,100.0
2020-02-21,102.0,102.08,99.63,100.25,95.148,-2.22%,5750286,,,-10353.386292657395,100,-10457.40700124582,101,-10192.0,100.0
2020-02-24,95.54,97.07,95.25,95.91,91.029,-4.33%,8362565,,,-10358.31647660628,100,-10462.38671886546,101,-10192.0,100.0
2020-02-25,96.35,96.76,92.62,92.9,88.172,-3.14%,9597930,,,-10363.249008261806,100,-10467.368807779207,101,-10192.0,100.0
2020-02-26,93.08,94.65,91.99,92.0,87.318,-0.97%,9308425,,,-10368.18388874193,100,-10472.353269116244,101,-10192.0,100.0
2020-02-27,90.0,93.06,88.5,88.55,84.043,-3.75%,12822254,,,-10373.121119165142,100,-10477.340104006298,101,-10192.0,100.0
2020-02-28,86.03,89.47,85.15,89.38,85.064,0.94%,16552344,,,-10378.060700650458,100,-10482.329313579634,101,-10192.0,100.0
2020-03-02,89.6,93.14,87.91,92.68,88.204,3.69%,14100706,,,-10383.002634317434,100,-10487.320898967053,101,-10192.0,100.0
2020-03-03,92.74,94.98,90.57,90.93,86.539,-1.89%,14766999,,,-10387.946921286157,100,-10492.314861299894,101,-10192.0,100.0
2020-03-04,92.08,93.82,90.84,93.79,89.261,3.15%,6904339,,,-10392.893562677245,100,-10497.311201710037,101,-10192.0,100.0
2020-03-05,91.26,91.68,89.94,90.58,86.206,-3.42%,8850162,,,-10397.842559611854,100,-10502.3099213299,101,-10192.0,100.0
2020-03-06,88.36,89.39,85.88,88.36,84.093,-2.45%,12326407,,,-10402.79391321167,100,-10507.311021292437,101,-10192.0,100.0
2020-03-09,81.89,86.74,80.92,84.11,80.048,-4.81%,13269449,,,-10407.747624598913,100,-10512.314502731148,101,-10192.0,100.0
2020-03-10,86.69,88.4,82.88,88.3,84.036,4.98%,12754287,,,-10412.703694896341,100,-10517.320366780066,101,-10192.0,100.0
2020-03-11,84.0,84.63,82.07,84.0,79.943,-4.87%,16191478,,,-10417.662125227245,100,-10522.328614573771,101,-10192.0,100.0
2020-03-12,78.23,78.49,73.0,74.2,70.617,-11.67%,21460030,,,-10422.622916715449,100,-10527.339247247377,101,-10192.0,100.0
2020-03-13,78.2,78.2,71.76,75.58,71.93,1.86%,21857606,,,-10427.586070485313,100,-10532.352265936543,101,-10192.0,100.0
2020-03-16,65.28,72.97,63.37,66.79,63.565,-11.63%,17966424,,,-10432.551587661734,100,-10537.367671777465,101,-10192.0,100.0
2020-03-17,67.51,73.33,62.4,69.84,66.467,4.57%,17120002,,,-10437.519469370143,100,-10542.385465906884,101,-10192.0,100.0
2020-03-18,64.79,68.33,60.0,68.04,64.754,-2.58%,19472735,,,-10442.48971673651,100,-10547.405649462078,101,-10192.0,100.0
2020-03-19,67.04,72.71,64.15,70.34,66.943,3.38%,16175620,,,-10447.462330887338,100,-10552.42822358087,101,-10192.0,100.0
2020-03-20,71.51,74.06,67.2,67.45,64.193,-4.11%,15759618,,,-10452.437312949665,100,-10557.453189401622,101,-10192.0,100.0
2020-03-23,65.0,66.88,60.58,62.8,59.767,-6.89%,17670430,,,-10457.41466405107,100,-10562.480548063242,101,-10192.0,100.0
2020-03-24,65.7,72.66,64.0,72.33,68.837,15.18%,18684475,,,-10462.394385319665,100,-10567.510300705177,101,-10192.0,100.0
2020-03-25,80.11,83.49,76.2,79.01,75.194,9.24%,27047182,,,-10467.376477884103,100,-10572.542448467417,101,-10192.0,100.0
2020-03-26,80.17,86.86,80.01,84.3,80.229,6.70%,17200679,,,-10472.360942873573,100,-10577.576992490496,101,-10192.0,100.0
2020-03-27,81.7,85.74,79.51,83.23,79.211,-1.27%,14181623,,,-10477.347781417799,100,-10582.613933915492,101,-10192.0,100.0
2020-03-30,84.0,85.96,81.5,85.38,81.257,2.58%,10958195,,,-10482.336994647045,100,-10587.653273884023,101,-10192.0,100.0
2020-03-31,85.13,85.73,82.4,82.74,78.744,-3.09%,9608986,,,-10487.328583692115,100,-10592.695013538254,101,-10192.0,100.0
2020-04-01,79.49,81.18,78.53,79.23,75.404,-4.24%,9770330,,,-10492.32254968435,100,-10597.739154020892,101,-10192.0,100.0
2020-04-02,79.0,81.6,77.16,80.14,76.27,1.15%,12731211,,,-10497.318893755628,100,-10602.785696475188,101,-10192.0,100.0
2020-04-03,79.36,79.79,77.91,78.86,75.052,-1.60%,8473430,,,-10502.317617038369,100,-10607.834642044938,101,-10192.0,100.0
2020-04-06,81.91,85.04,81.21,84.63,80.543,7.32%,11264058,,,-10507.31872066553,100,-10612.885991874484,101,-10192.0,100.0
2020-04-07,88.7,88.87,84.03,84.16,80.096,-0.56%,10464412,,,-10512.322205770608,100,-10617.93974710871,101,-10192.0,100.0
2020-04-08,84.7,85.77,83.61,85.3,81.181,1.35%,6640218,,,-10517.32807348764,100,-10622.995908893048,101,-10192.0,100.0
2020-04-09,86.69,87.39,85.16,86.79,82.599,1.75%,7771955,,,-10522.336324951206,100,-10628.054478373473,101,-10192.0,100.0
2020-04-13,85.8,85.99,84.14,84.46,80.381,-2.68%,5057776,,,-10527.34696129642,100,-10633.115456696509,101,-10192.0,100.0
2020-04-14,85.95,87.77,85.48,87.47,83.246,3.56%,6396001,,,-10532.359983658942,100,-10638.17884500922,101,-10192.0,100.0
2020-04-15,84.87,85.88,83.71,85.04,80.933,-2.78%,8052597,,,-10537.37539317497,100,-10728.284644459227,102,-10192.0,100.0
2020-04-16,85.43,86.53,84.55,86.3,82.132,1.48%,9360698,,,-10542.393190981244,100,-10733.393351432778,102,-10192.0,100.0
2020-04-17,89.0,90.25,88.36,89.91,85.568,4.18%,8110373,,,-10547.413378215044,100,-10738.504491123937,102,-10192.0,100.0
2020-04-20,88.43,89.44,87.52,87.9,83.655,-2.24%,7243609,,,-10552.435956014195,100,-10743.618064691138,102,-10192.0,100.0
2020-04-21,85.99,86.9,85.09,85.2,81.086,-3.07%,6596184,,,-10557.460925517058,100,-10748.734073293372,102,-10192.0,100.0
2020-04-22,86.98,89.44,86.42,88.77,84.483,4.19%,6462742,,,-10562.488287862543,100,-10753.852518090178,102,-10192.0,100.0
2020-04-23,88.94,89.53,87.26,87.35,83.132,-1.60%,5342728,,,-10567.518044190097,100,-10758.97340024165,102,-10192.0,100.0
2020-04-24,88.89,89.12,87.65,88.37,84.102,1.17%,4450120,,,-10572.550195639711,100,-10764.096720908432,102,-10192.0,100.0
2020-04-27,88.38,89.87,87.31,89.37,85.054,1.13%,6874799,,,-10577.584743351921,100,-10769.222481251722,102,-10192.0,100.0
2020-04-28,90.55,90.71,88.63,88.8,84.512,-0.64%,5143754,,,-10582.621688467803,100,-10774.35068243327,102,-10192.0,100.0
2020-04-29,90.0,91.39,87.83,88.07,83.817,-0.82%,9454567,,,-10587.661032128979,100,-10779.481325615381,102,-10192.0,100.0
2020-04-30,87.0,88.0,86.51,87.18,82.97,-1.01%,9365193,,,-10592.702775477612,100,-10784.614411960913,102,-10192.0,100.0
2020-05-01,85.67,86.11,84.81,85.54,81.409,-1.88%,6150007,,,-10597.74691965641,100,-10789.749942633274,102,-10192.0,100.0
2020-05-04,84.68,85.8,84.31,85.75,81.609,0.25%,6348843,,,-10602.793465808629,100,-10794.887918796432,102,-10192.0,100.0
2020-05-05,86.54,88.53,86.03,87.2,82.989,1.69%,6319726,,,-10607.842415078061,100,-10800.028341614907,102,-10192.0,100.0
2020-05-06,88.05,88.69,87.43,88.44,84.169,1.42%,7341551,,,-10612.89376860905,100,-10805.171212253772,102,-10192.0,100.0
2020-05-07,89.4,90.24,88.38,88.56,84.283,0.14%,4565120,,,-10617.947527546483,100,-10810.316531878654,102,-10192.0,100.0
2020-05-08,90.11,90.64,89.59,90.46,86.092,2.15%,5487739,,,-10623.003693035791,100,-10815.464301655738,102,-10192.0,100.0
2020-05-11,89.45,91.42,89.14,90.93,86.539,0.52%,4936231,,,-10628.06226622295,100,-10820.614522751765,102,-10192.0,100.0
2020-05-12,91.53,91.67,88.15,88.26,83.998,-2.94%,5619792,,,-10633.123248254486,100,-10825.767196334027,102,-10192.0,100.0
2020-05-13,87.38,87.74,85.2,86.02,81.866,-2.54%,6736101,,,-10638.186640277463,100,-10830.922323570378,102,-10192.0,100.0
2020-05-14,85.0,86.58,84.11,86.55,82.37,0.62%,7424871,,,-10643.2524434395,100,-10836.07990562922,102,-10192.0,100.0
2020-05-15,85.25,87.23,84.88,86.99,82.789,0.51%,9163621,,,-10648.320658888757,100,-10928.22994367952,103,-10192.0,100.0
2020-05-18,90.49,91.6,89.88,91.04,86.643,4.66%,8516887,,,-10653.391287773942,100,-10933.43386270032,103,-10192.0,100.0
2020-05-19,90.85,93.82,90.82,91.51,87.091,0.52%,6509799,,,-10658.464331244311,100,-10938.640259777796,103,-10192.0,100.0
2020-05-20,93.2,93.86,92.7,92.95,88.461,1.57%,6345880,,,-10663.539790449666,100,-10943.849136091976,103,-10192.0,100.0
2020-05-21,92.88,94.38,92.37,94.26,89.708,1.41%,7503676,,,-10668.617666540356,100,-10949.060492823448,103,-10192.0,100.0
2020-05-22,94.42,94.65,93.35,93.75,89.223,-0.54%,4049486,,,-10673.697960667281,100,-10954.274331153363,103,-10192.0,100.0
2020-05-26,95.98,97.43,95.28,96.62,91.954,3.06%,7184603,,,-10678.780673981884,100,-10959.490652263436,103,-10192.0,100.0
2020-05-27,98.12,99.99,97.62,99.87,95.047,3.36%,7908914,,,-10683.86580763616,100,-10964.709457335943,103,-10192.0,100.0
2020-05-28,100.09,100.69,98.25,98.46,93.705,-1.41%,7260047,,,-10688.953362782655,100,-10969.930747553723,103,-10192.0,100.0
2020-05-29,98.19,99.25,96.93,98.58,94.053,0.12%,10332493,,,-10694.043340574457,100,-10975.154524100177,103,-10192.0,100.0
2020-06-01,98.4,99.78,97.89,99.54,94.968,0.97%,4295217,,,-10699.135742165206,100,-10980.380788159273,103,-10192.0,100.0
2020-06-02,99.42,100.88,98.82,100.74,96.113,1.21%,10797382,,,-10704.230568709094,100,-10985.609540915539,103,-10192.0,100.0
2020-06-03,101.26,104.55,101.12,104.11,99.329,3.35%,5864808,,,-10709.327821360861,100,-10990.84078355407,103,-10192.0,100.0
2020-06-04,103.66,103.9,100.47,101.28,96.629,-2.72%,8774482,,,-10714.427501275795,100,-10996.074517260524,103,-10192.0,100.0
2020-06-05,104.0,104.69,102.13,102.71,97.993,1.41%,8362547,,,-10719.529609609735,100,-11001.310743221124,103,-10192.0,100.0
2020-06-08,103.05,104.3,102.71,104.29,99.5,1.54%,6163061,,,-10724.634147519073,100,-11006.549462622657,103,-10192.0,100.0
2020-06-09,102.82,103.77,102.43,102.63,97.917,-1.59%,5385263,,,-10729.741116160749,100,-11011.790676652477,103,-10192.0,100.0
2020-06-10,103.0,103.15,101.71,102.12,97.43,-0.50%,5188347,,,-10734.850516692253,100,-11017.034386498502,103,-10192.0,100.0
2020-06-11,98.38,98.99,94.88,95.17,90.799,-6.81%,10969987,,,-10739.962350271631,100,-11022.280593349216,103,-10192.0,100.0
2020-06-12,97.8,97.8,94.74,96.43,92.001,1.32%,7415604,,,-10745.076618057476,100,-11027.529298393669,103,-10192.0,100.0
2020-06-15,93.9,98.08,93.44,97.84,93.347,1.46%,8644485,,,-10750.193321208932,100,-11130.620502821475,104,-10192.0,100.0
2020-06-16,101.25,101.34,97.72,99.04,94.491,1.23%,6054195,,,-10755.312460885698,100,-11135.92079829901,104,-10192.0,100.0
2020-06-17,99.0,100.24,98.89,99.21,94.654,0.17%,3404611,,,-10760.434038248024,100,-11141.223617726771,104,-10192.0,100.0
2020-06-18,98.69,99.42,97.85,98.45,93.929,-0.77%,4390708,,,-10765.558054456713,100,-11146.528962306642,104,-10192.0,100.0
2020-06-19,99.97,99.98,95.78,95.78,91.381,-2.71%,10303934,,,-10770.684510673122,100,-11151.836833241074,104,-10192.0,100.0
2020-06-22,96.85,99.54,96.02,99.51,94.94,3.89%,6901256,,,-10775.813408059157,100,-11157.147231733094,104,-10192.0,100.0
2020-06-23,101.15,102.22,100.71,101.92,97.239,2.42%,6491104,,,-10780.944747777281,100,-11162.4601589863,104,-10192.0,100.0
2020-06-24,100.94,101.85,98.09,100.08,95.484,-1.81%,8561988,,,-10786.078530990508,100,-11167.775616204864,104,-10192.0,100.0
2020-06-25,99.23,101.68,98.8,101.4,96.743,1.32%,11373727,,,-10791.214758862408,100,-11173.093604593534,104,-10192.0,100.0
2020-06-26,98.5,98.78,93.57,93.67,89.368,-7.62%,24909494,,,-10796.353432557105,100,-11178.414125357625,104,-10192.0,100.0
2020-06-29,93.7,96.0,93.7,95.87,91.467,2.35%,9624172,,,-10801.494553239276,100,-11183.737179703034,104,-10192.0,100.0
2020-06-30,96.0,98.3,95.64,98.05,93.547,2.27%,9063964,,,-10806.638122074151,100,-11189.062768836226,104,-10192.0,100.0
2020-07-01,98.5,98.72,97.11,97.4,92.927,-0.66%,5732023,,,-10811.78414022752,100,-11194.390893964242,104,-10192.0,100.0
2020-07-02,98.78,99.66,98.02,98.43,93.909,1.06%,5354872,,,-10816.932608865724,100,-11199.721556294702,104,-10192.0,100.0
2020-07-06,99.62,100.03,99.04,99.95,95.36,1.54%,4990557,,,-10822.08352915566,100,-11205.054757035796,104,-10192.0,100.0
2020-07-07,99.22,99.55,96.92,97.07,92.612,-2.88%,6348786,,,-10827.236902264782,100,-11210.390497396289,104,-10192.0,100.0
2020-07-08,97.5,98.98,96.96,98.84,94.301,1.82%,5633914,,,-10832.392729361098,100,-11215.728778585526,104,-10192.0,100.0
2020-07-09,98.55,98.91,96.37,96.99,92.536,-1.87%,6279290,,,-10837.551011613174,100,-11221.069601813424,104,-10192.0,100.0
2020-07-10,97.0,98.05,95.72,97.99,93.49,1.03%,3966978,,,-10842.711750190132,100,-11226.412968290479,104,-10192.0,100.0
2020-07-13,98.25,98.94,96.26,96.46,92.03,-1.56%,4844772,,,-10847.87494626165,100,-11231.75887922776,104,-10192.0,100.0
2020-07-14,96.33,97.25,95.51,96.76,92.316,0.31%,4847046,,,-10853.040600997965,100,-11237.107335836916,104,-10192.0,100.0
2020-07-15,98.41,99.04,97.31,98.54,94.014,1.84%,5329580,,,-10858.208715569868,100,-11340.998339330172,105,-10192.0,100.0
2020-07-16,97.5,98.23,97.04,97.26,92.793,-1.30%,3594657,,,-10863.37929114871,100,-11346.398814729853,105,-10192.0,100.0
2020-07-17,96.95,97.23,96.04,96.28,91.858,-1.01%,7405701,,,-10868.5523289064,100,-11351.801861784486,105,-10192.0,100.0
2020-07-20,95.5,96.35,95.11,95.65,91.257,-0.65%,5819012,,,-10873.727830015403,100,-11357.20748171867,105,-10192.0,100.0
2020-07-21,96.92,99.0,96.1,98.36,93.843,2.83%,5855558,,,-10878.905795648743,100,-11362.615675757583,105,-10192.0,100.0
2020-07-22,98.16,98.99,97.91,98.91,94.367,0.56%,4097303,,,-10884.086226980004,100,-11368.02644512699,105,-10192.0,100.0
2020-07-23,98.35,100.18,97.72,98.3,93.785,-0.62%,4530464,,,-10889.269125183328,100,-11373.43979105324,105,-10192.0,100.0
2020-07-24,98.14,99.36,97.701,98.43,93.909,0.13%,5638435,,,-10894.454491433415,100,-11378.855714763265,105,-10192.0,100.0
2020-07-27,96.96,98.4,96.89,97.21,92.745,-1.24%,4273442,,,-10899.642326905527,100,-11384.27421748458,105,-10192.0,100.0
2020-07-28,96.95,97.47,96.16,96.27,91.849,-0.97%,3822584,,,-10904.832632775482,100,-11389.695300445288,105,-10192.0,100.0
2020-07-29,96.43,97.55,96.295,96.97,92.516,0.73%,6872745,,,-10910.025410219661,100,-11395.118964874071,105,-10192.0,100.0
2020-07-30,96.47,97.23,95.797,96.82,92.373,-0.15%,4018367,,,-10915.220660415003,100,-11400.545212000201,105,-10192.0,100.0
2020-07-31,96.89,97.65,96.3,97.61,93.127,0.82%,5510394,,,-10920.41838453901,100,-11405.974043053535,105,-10192.0,100.0
2020-08-03,98.03,99.29,97.82,98.33,93.814,0.74%,5474074,,,-10925.618583769743,100,-11411.405459264513,105,-10192.0,100.0
2020-08-04,97.79,97.95,96.55,97.33,92.86,-1.02%,7539319,,,-10930.821259285824,100,-11416.839461864163,105,-10192.0,100.0
2020-08-05,97.12,101.25,97.08,100.94,96.304,3.71%,7227111,,,-10936.026412266436,100,-11422.276052084098,105,-10192.0,100.0
2020-08-06,100.64,101.18,100.03,100.45,95.837,-0.49%,4061160,,,-10941.234043891325,100,-11427.715231156519,105,-10192.0,100.0
2020-08-07,101.0,101.91,99.89,101.86,97.182,1.40%,5545605,,,-10946.444155340798,100,-11433.157000314211,105,-10192.0,100.0
2020-08-10,102.47,106.83,102.4,105.41,100.569,3.49%,12677962,,,-10951.656747795721,100,-11438.601360790552,105,-10192.0,100.0
2020-08-11,106.85,107.33,104.86,105.12,100.292,-0.0028,5400716,,,-10956.87182243753,100,-11444.0483138195,105,-10192.0,100.0
2020-08-12,105.72,105.89,103.38,105.22,100.388,0.001,4715042,,,-10962.089380448215,100,-11449.497860635604,105,-10192.0,100.0
2020-08-13,105.3,106.99,105.2,106.52,101.628,0.0124,4281727,,,-10967.309423010332,100,-11454.950002474001,105,-10192.0,100.0
2020-08-14,106.12,106.78,105.46,106.43,101.542,-0.0008,2985847,,,-10972.531951307004,100,-11460.404740570417,105,-10192.0,100.0
2020-08-17,106.5,106.5,105.115,105.66,100.807,-0.0072,3004736,,,-10977.756966521913,100,-11465.862076161166,105,-10192.0,100.0
2020-08-18,106.46,107.0,105.47,106.97,102.057,0.0124,5023006,,,-10982.984469839304,100,-11471.322010483147,105,-10192.0,100.0
2020-08-19,107.69,109.69,107.35,108.39,103.412,0.0133,9508077,,,-10988.21446244399,100,-11476.784544773853,105,-10192.0,100.0
2020-08-20,107.56,108.74,107.35,108.01,103.049,-0.0035,4304290,,,-10993.446945521344,100,-11482.249680271365,105,-10192.0,100.0
