Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-01-03,5.877,5.946,5.853,5.902,5.877,-1.60%,205772320,,,-590.2,100,-590.2,100,-590.2,100.0
2020-01-06,5.808,5.932,5.782,5.927,5.902,0.42%,262912480,,,-590.4810476190477,100,-590.4810476190477,100,-590.2,100.0
2020-01-07,5.955,6.044,5.91,5.998,5.973,1.20%,319205760,,,-590.7622290702949,100,-590.7622290702949,100,-590.2,100.0
2020-01-08,5.994,6.051,5.954,6.01,5.985,0.20%,277240680,,,-591.0435444174713,100,-591.0435444174713,100,-590.2,100.0
2020-01-09,6.096,6.148,6.022,6.076,6.05,1.10%,255442120,,,-591.3249937243368,100,-591.3249937243368,100,-590.2,100.0
2020-01-10,6.183,6.214,6.094,6.108,6.083,0.53%,316462400,,,-591.6065770546817,100,-591.6065770546817,100,-590.2,100.0
2020-01-13,6.192,6.325,6.169,6.3,6.273,3.14%,309566720,,,-591.8882944723267,100,-591.8882944723267,100,-590.2,100.0
2020-01-14,6.257,6.282,6.169,6.182,6.156,-1.87%,359579320,,,-592.1701460411231,100,-592.1701460411231,100,-590.2,100.0
2020-01-15,6.195,6.217,6.113,6.139,6.114,-0.70%,263105440,,,-592.4521318249522,100,-598.5911318249522,101,-590.2,100.0
2020-01-16,6.193,6.229,6.17,6.223,6.198,1.37%,284191640,,,-592.7342518877259,100,-598.8761752210593,101,-590.2,100.0
2020-01-17,6.243,6.25,6.184,6.232,6.206,0.14%,253790560,,,-593.0165062933868,100,-599.161354352117,101,-590.2,100.0
2020-01-21,6.195,6.232,6.164,6.199,6.173,-0.53%,212850400,,,-593.2988951059075,100,-599.4466692827608,101,-590.2,100.0
2020-01-22,6.244,6.34,6.225,6.253,6.227,0.87%,239238680,,,-593.5814183892912,100,-599.7321200776573,101,-590.2,100.0
2020-01-23,6.293,6.33,6.204,6.322,6.295,1.10%,244514440,,,-593.8640762075719,100,-600.0177068015038,101,-590.2,100.0
2020-01-24,6.438,6.488,6.208,6.262,6.236,-0.95%,373513560,,,-594.1468686248136,100,-600.3034295190283,101,-590.2,100.0
2020-01-27,5.956,6.056,5.806,6.005,5.98,-4.10%,470534160,,,-594.4297957051111,100,-600.5892882949897,101,-590.2,100.0
2020-01-28,6.071,6.232,6.018,6.199,6.174,3.23%,310976040,,,-594.7128575125897,100,-600.8752831941778,101,-590.2,100.0
2020-01-29,6.185,6.221,6.099,6.139,6.113,-0.97%,259451160,,,-594.9960541114052,100,-601.161414281413,101,-590.2,100.0
2020-01-30,6.04,6.159,5.985,6.145,6.12,0.10%,290503600,,,-595.279385565744,100,-601.4476816215471,101,-590.2,100.0
2020-01-31,6.099,6.111,5.869,5.911,5.886,-3.81%,370419720,,,-595.5628519398228,100,-601.7340852794621,101,-590.2,100.0
2020-02-03,5.893,6.028,5.886,6.008,5.983,1.64%,255928200,,,-595.8464532978894,100,-602.0206253200713,101,-590.2,100.0
2020-02-04,6.151,6.198,6.101,6.178,6.153,2.83%,271543560,,,-596.1301897042217,100,-602.3073018083189,101,-590.2,100.0
2020-02-05,6.3,6.31,6.185,6.269,6.243,1.47%,208220080,,,-596.4140612231284,100,-602.59411480918,101,-590.2,100.0
2020-02-06,6.304,6.356,6.222,6.356,6.33,1.39%,218282040,,,-596.6980679189489,100,-602.8810643876606,101,-590.2,100.0
2020-02-07,6.316,6.338,6.264,6.29,6.264,-1.04%,189752120,,,-596.9822098560531,100,-603.1681506087975,101,-590.2,100.0
2020-02-10,6.313,6.575,6.308,6.574,6.547,4.52%,529607760,,,-597.2664870988417,100,-603.4553735376588,101,-590.2,100.0
2020-02-11,6.683,6.813,6.621,6.697,6.67,1.87%,638556880,,,-597.550899711746,100,-603.7427332393435,101,-590.2,100.0
2020-02-12,6.75,6.82,6.711,6.814,6.785,1.75%,374644720,,,-597.8354477592277,100,-604.0302297789813,101,-590.2,100.0
2020-02-13,6.755,6.837,6.728,6.769,6.742,-0.66%,528015360,,,-598.1201313057798,100,-604.3178632217332,101,-590.2,100.0
2020-02-14,7.182,7.374,7.15,7.245,7.215,7.03%,1041923720,,,-598.4049504159253,100,-604.6056336327912,101,-590.2,100.0
2020-02-18,7.141,7.433,7.122,7.414,7.384,2.33%,621881000,,,-598.6899051542186,100,-604.8935410773782,101,-590.2,100.0
2020-02-19,7.537,7.885,7.537,7.868,7.835,6.12%,694331240,,,-598.9749955852444,100,-605.1815856207485,101,-590.2,100.0
2020-02-20,7.819,7.908,7.409,7.717,7.686,-1.92%,810050360,,,-599.2602217736184,100,-605.4697673281869,101,-590.2,100.0
2020-02-21,7.605,7.63,7.267,7.352,7.321,-4.73%,769293240,,,-599.5455837839868,100,-605.7580862650099,101,-590.2,100.0
2020-02-24,6.755,7.047,6.7,6.832,6.804,-7.07%,856914920,,,-599.8310816810268,100,-606.0465424965646,101,-590.2,100.0
2020-02-25,6.908,6.97,6.449,6.551,6.524,-4.11%,1055497680,,,-600.1167155294464,100,-606.3351360882297,101,-590.2,100.0
2020-02-26,6.552,6.886,6.55,6.691,6.664,2.14%,749661440,,,-600.4024853939843,100,-606.6238671054145,101,-590.2,100.0
2020-02-27,6.373,6.675,6.222,6.315,6.293,-5.62%,906414920,,,-600.68839133941,100,-606.91273561356,101,-590.2,100.0
2020-02-28,6.062,6.812,6.045,6.752,6.728,6.92%,1134675280,,,-600.9744334305241,100,-607.2017416781379,101,-590.2,100.0
2020-03-02,6.922,6.94,6.525,6.911,6.887,2.35%,890745560,,,-601.2606117321576,100,-607.4908853646513,101,-590.2,100.0
2020-03-03,6.967,7.027,6.562,6.647,6.624,-3.82%,652793120,,,-601.5469263091729,100,-607.7801667386344,101,-590.2,100.0
2020-03-04,6.755,7.122,6.68,7.113,7.088,7.01%,597407360,,,-601.833377226463,100,-608.0695858656528,101,-590.2,100.0
2020-03-05,6.913,7.08,6.788,6.832,6.808,-3.95%,540327480,,,-602.1199645489518,100,-608.3591428113032,101,-590.2,100.0
2020-03-06,6.652,6.71,6.45,6.651,6.628,-2.65%,515412280,,,-602.4066883415941,100,-608.6488376412133,101,-590.2,100.0
2020-03-09,5.998,6.485,5.955,6.136,6.115,-7.74%,614158400,,,-602.6935486693758,100,-608.9386704210424,101,-590.2,100.0
2020-03-10,6.414,6.527,6.15,6.527,6.504,6.37%,580648720,,,-602.9805455973136,100,-609.2286412164809,101,-590.2,100.0
2020-03-11,6.387,6.415,6.064,6.162,6.14,-5.59%,502067720,,,-603.2676791904552,100,-609.5187500932507,101,-590.2,100.0
2020-03-12,5.637,5.903,5.395,5.408,5.389,-12.24%,816541400,,,-603.5549495138793,100,-609.8089971171046,101,-590.2,100.0
2020-03-13,5.763,6.026,5.49,6.021,6.0,11.34%,634837720,,,-603.8423566326953,100,-610.099382353827,101,-590.2,100.0
2020-03-16,5.31,5.653,4.85,4.91,4.893,-18.45%,726972120,,,-604.1299006120443,100,-610.3899058692335,101,-590.2,100.0
2020-03-17,5.023,5.522,4.775,5.432,5.413,10.63%,833631960,,,-604.4175815170976,100,-610.6805677291712,101,-590.2,100.0
2020-03-18,5.002,5.249,4.517,5.071,5.053,-6.65%,869095400,,,-604.7053994130581,100,-610.9713679995184,101,-590.2,100.0
2020-03-19,5.049,5.418,4.835,5.324,5.306,4.99%,765513880,,,-604.9933543651596,100,-611.2623067461849,101,-590.2,100.0
2020-03-20,5.475,5.758,5.128,5.144,5.126,-3.38%,804634160,,,-605.2814464386668,100,-611.5533840351117,101,-590.2,100.0
2020-03-23,5.143,5.412,4.963,5.317,5.299,3.36%,643874640,,,-605.5696756988757,100,-611.8445999322712,101,-590.2,100.0
2020-03-24,5.725,6.317,5.701,6.23,6.208,17.17%,1101643800,,,-605.8580422111132,100,-612.1359545036676,101,-590.2,100.0
2020-03-25,6.345,6.546,6.092,6.141,6.119,-1.43%,793430680,,,-606.1465460407376,100,-612.427447815336,101,-590.2,100.0
2020-03-26,6.349,6.556,6.25,6.431,6.409,4.72%,697587680,,,-606.4351872531379,100,-612.7190799333433,101,-590.2,100.0
