Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024-03-22,48.88000,51.00000,45.34000,46.00000,46.00000,-8.80%,15983139
2024-03-25,47.09000,61.94000,46.08000,59.80000,59.80000,30.00%,24398838
2024-03-26,67.71000,74.90000,63.21000,65.11000,65.11000,8.88%,35330978
2024-03-27,63.76000,63.76000,55.62000,57.75000,57.75000,-11.30%,18758308
2024-03-28,54.52000,55.30000,49.10000,49.32000,49.32000,-14.60%,12694482
2024-04-01,48.95000,49.28000,44.39500,45.97000,45.97000,-6.79%,12937465
2024-04-02,45.05500,51.35000,44.00000,50.45000,50.45000,9.75%,9006107
2024-04-03,49.70000,51.24000,46.55000,46.99000,46.99000,-6.86%,4773518
2024-04-04,46.70000,48.43000,45.10000,45.78000,45.78000,-2.58%,4588812
2024-04-05,45.68000,48.29000,44.68000,47.56000,47.56000,3.89%,2910465
2024-04-08,47.86000,49.18000,45.04000,46.15000,46.15000,-2.96%,2644017
2024-04-09,46.40000,47.49000,44.90000,45.00000,45.00000,-2.49%,2261160
2024-04-10,44.00000,44.59800,41.72000,42.09000,42.09000,-6.47%,4350147
2024-04-11,42.05000,46.35000,42.01000,44.53000,44.53000,5.80%,4263001
2024-04-12,43.47000,43.86000,42.16000,42.27000,42.27000,-5.08%,2021261
2024-04-15,41.94000,42.10000,39.68000,40.00000,40.00000,-5.37%,3448536
2024-04-16,40.50000,42.14000,39.32000,41.14000,41.14000,2.85%,1699046
2024-04-17,40.40000,40.60500,38.70000,39.17000,39.17000,-4.79%,2153817
2024-04-18,38.80000,42.13000,37.35000,41.72000,41.72000,6.51%,2284138
2024-04-19,40.57000,43.83000,40.17000,40.88000,40.88000,-2.01%,2540622
2024-04-22,40.88000,42.57000,40.51000,42.04000,42.04000,2.84%,1486416
2024-04-23,42.07000,44.06000,41.82200,42.82000,42.82000,1.86%,1956480
2024-04-24,42.66000,43.97000,42.45000,43.15000,43.15000,0.77%,1384024
2024-04-25,41.64000,42.64000,40.85000,42.45000,42.45000,-1.62%,1485825
2024-04-26,42.98000,46.19900,42.65000,45.43000,45.43000,7.02%,2764203
2024-04-29,46.05000,48.88000,45.85000,46.28000,46.28000,1.87%,2683917
2024-04-30,45.47000,46.75500,44.15000,44.44000,44.44000,-3.98%,1752875
2024-05-01,44.87000,47.70000,44.60000,45.88000,45.88000,3.24%,1598960
2024-05-02,46.61000,49.63900,45.72000,47.70000,47.70000,3.97%,2364999
2024-05-03,48.44000,48.70000,46.24000,46.64000,46.64000,-2.22%,1188304
2024-05-06,46.99000,49.87000,46.75000,48.27000,48.27000,3.49%,2116653
2024-05-07,47.73000,50.33000,47.40000,49.40000,49.40000,2.34%,6241675
2024-05-08,55.00000,55.16000,49.70000,51.40000,51.40000,4.05%,13509264
2024-05-09,51.24000,51.25000,48.25000,50.11000,50.11000,-2.51%,3909140
2024-05-10,50.64000,54.75000,50.38000,53.53000,53.53000,6.82%,4450785
2024-05-13,56.49000,61.21000,55.59000,58.19000,58.19000,8.71%,8179370
2024-05-14,62.57000,64.50000,59.50000,62.34000,62.34000,7.13%,7674013
2024-05-15,60.23000,60.93000,56.25000,59.63000,59.63000,-4.35%,4897634
2024-05-16,59.50000,60.46000,56.29000,56.38000,56.38000,-5.45%,3219432
2024-05-17,61.20000,66.15000,60.62000,62.04000,62.04000,10.04%,15131435
2024-05-20,61.90000,62.00000,57.27000,61.22000,61.22000,-1.32%,5975244
2024-05-21,60.74000,62.46000,58.84000,59.31000,59.31000,-3.12%,2694029
2024-05-22,59.00000,60.45000,55.86000,56.69000,56.69000,-4.42%,3272328
2024-05-23,56.88000,57.26000,53.11000,54.16000,54.16000,-4.46%,3289560
2024-05-24,53.96000,56.00000,53.21000,54.72000,54.72000,1.03%,2019797
2024-05-28,55.12000,59.27500,53.86300,58.49000,58.49000,6.89%,3536946
2024-05-29,57.45000,58.63000,56.80100,57.64000,57.64000,-1.45%,1319960
2024-05-30,57.00000,59.49000,55.76000,56.30000,56.30000,-2.32%,1860520
2024-05-31,56.21000,57.52000,53.45000,54.24000,54.24000,-3.66%,2036766
2024-06-03,57.55000,58.64000,54.15000,55.80000,55.80000,2.88%,2573080
2024-06-04,55.20000,55.40000,53.95500,54.50000,54.50000,-2.33%,1291039
2024-06-05,54.79000,60.24000,54.57100,60.07000,60.07000,10.22%,3030031
2024-06-06,58.99000,63.57000,58.38000,63.46000,63.46000,5.64%,3375228
2024-06-07,61.63000,63.80000,59.21000,59.80000,59.80000,-5.77%,3414026
2024-06-10,60.01000,61.38000,58.26000,59.63000,59.63000,-0.28%,1459111
2024-06-11,60.12000,62.04900,58.49500,61.55000,61.55000,3.22%,2024061
2024-06-12,62.87500,69.59000,61.85000,65.93000,65.93000,7.12%,6825736
2024-06-13,66.83000,69.04200,63.64000,63.96000,63.96000,-2.99%,2874509
2024-06-14,63.54000,64.94000,60.11000,60.94000,60.94000,-4.72%,2454885
2024-06-17,61.00000,61.13000,58.10000,60.35000,60.35000,-0.97%,2097146
2024-06-18,61.11000,61.63900,57.50000,60.21000,60.21000,-0.23%,2213121
2024-06-20,60.00000,60.10000,55.47000,57.42000,57.42000,-4.63%,3372050
2024-06-21,56.40000,57.65000,54.45000,57.30000,57.30000,-0.21%,4441047
2024-06-24,57.32000,58.89000,55.95000,56.48000,56.48000,-1.43%,1789202
2024-06-25,56.56000,61.57000,56.42000,61.38000,61.38000,8.68%,2828497
2024-06-26,60.50000,63.88000,60.33000,63.61000,63.61000,3.63%,3828425
2024-06-27,62.83400,64.70000,62.03000,63.58000,63.58000,-0.05%,1704769
2024-06-28,64.07000,65.82000,62.67000,63.89000,63.89000,0.49%,1921903
2024-07-01,64.20000,66.69000,62.20000,66.59000,66.59000,4.23%,3609070
2024-07-02,65.99000,73.52000,65.65000,73.51000,73.51000,10.39%,6089633
2024-07-03,71.93000,73.97200,70.18000,73.62000,73.62000,0.15%,2718149
2024-07-05,73.78000,76.20000,71.58000,72.97000,72.97000,-0.88%,2587222
2024-07-08,72.76000,74.11600,70.90000,72.81000,72.81000,-0.22%,2191086
2024-07-09,73.48000,76.74000,69.20000,70.59000,70.59000,-3.05%,2889761
2024-07-10,71.23000,72.28000,67.62000,69.40000,69.40000,-1.69%,2156086
2024-07-11,70.50000,71.89100,68.32800,70.29000,70.29000,1.28%,2170320
2024-07-12,70.75000,76.73000,69.40000,73.85000,73.85000,5.06%,3512646
2024-07-15,74.69000,78.08000,72.53100,72.98000,72.98000,-1.18%,2782760
2024-07-16,70.67000,70.69000,66.77000,70.44000,70.44000,-3.48%,4589263
2024-07-17,68.48000,69.79000,63.79000,65.21000,65.21000,-7.42%,3318987
2024-07-18,66.74000,66.74000,63.93800,65.92000,65.92000,1.09%,2064082
2024-07-19,65.75000,68.27000,64.50000,64.70000,64.70000,-1.85%,1997292
2024-07-22,66.93000,70.46000,65.54500,68.13000,68.13000,5.30%,3644792
2024-07-23,67.80000,71.41000,67.01000,67.84000,67.84000,-0.43%,2486464
2024-07-24,65.66500,66.30000,62.18100,62.95000,62.95000,-7.21%,2869117
2024-07-25,62.90000,64.36000,59.73000,62.06000,62.06000,-1.41%,2644529
2024-07-26,62.90000,64.32000,61.23000,62.36000,62.36000,0.48%,2044272
2024-07-29,62.97000,62.98000,58.72000,59.98000,59.98000,-3.82%,2202874
2024-07-30,60.06000,60.59000,57.36000,58.44000,58.44000,-2.57%,2211163
2024-07-31,59.38000,61.27000,59.31000,60.85000,60.85000,4.12%,1652089
2024-08-01,64.40000,64.64000,59.20000,59.38000,59.38000,-2.42%,2520441
2024-08-02,56.24000,57.81000,54.11000,57.58000,57.58000,-3.03%,3254160
2024-08-05,53.25000,59.13000,52.76000,56.81000,56.81000,-1.34%,3078910
2024-08-06,58.10000,58.50000,54.34000,54.36000,54.36000,-4.31%,6498267
2024-08-07,54.80000,55.24000,49.13000,50.69000,50.69000,-6.75%,7772162
2024-08-08,51.95000,57.74200,51.76000,54.94000,54.94000,8.38%,5653307
2024-08-09,53.97000,54.11000,51.50000,52.91000,52.91000,-3.69%,14509834
2024-08-12,52.50000,52.97000,50.80000,52.51000,52.51000,-0.76%,3397997
2024-08-13,53.05000,54.69000,52.54000,54.52000,54.52000,3.83%,3967761
2024-08-14,53.70000,55.03000,53.20000,54.95000,54.95000,0.79%,3874030
2024-08-15,55.25000,56.85000,54.18000,55.55000,55.55000,1.09%,4841780
2024-08-16,54.87000,55.14000,53.90000,54.92000,54.92000,-1.13%,3005713
2024-08-19,54.79000,54.90000,52.49000,54.36000,54.36000,-1.02%,4487378
2024-08-20,53.50000,55.06000,52.39000,55.02000,55.02000,1.21%,4206307
2024-08-21,54.88000,57.11000,54.27000,56.89000,56.89000,3.40%,4179385
2024-08-22,56.50000,57.45000,55.30000,56.43000,56.43000,-0.81%,3938958
2024-08-23,56.51000,59.68000,56.13000,59.21000,59.21000,4.93%,5286654
2024-08-26,59.29000,59.98000,57.51000,58.26000,58.26000,-1.60%,2555743
2024-08-27,57.72000,60.27000,56.54000,59.00000,59.00000,1.27%,3716275
2024-08-28,57.88000,57.93000,55.02000,56.14000,56.14000,-4.85%,4033137
2024-08-29,57.58500,60.29000,57.10000,58.75000,58.75000,4.65%,5040140
2024-08-30,59.00000,60.41000,58.47500,60.03000,60.03000,2.18%,4152512
2024-09-03,59.24500,60.07500,57.49000,57.53000,57.53000,-4.16%,3016014
2024-09-04,56.72000,58.81000,56.06000,57.00000,57.00000,-0.92%,2770877
2024-09-05,56.80000,59.56500,56.38000,58.71000,58.71000,3.00%,2699564
