Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2024-03-22,48.88,51.0,45.34,46.0,46.0,-8.80%,15983139,,,-4600.0,100.0,-4600.0,100.0,-4600.0,100.0
2024-03-25,47.09,61.94,46.08,59.8,59.8,30.00%,24398838,,,-4602.190476190476,100.0,-4602.190476190476,100.0,-4602.190476190476,100.0
2024-03-26,67.71,74.9,63.21,65.11,65.11,8.88%,35330978,,,-4604.3819954648525,100.0,-4604.3819954648525,100.0,-4604.3819954648525,100.0
2024-03-27,63.76,63.76,55.62,57.75,57.75,-11.30%,18758308,,,-4606.574558319836,100.0,-4606.574558319836,100.0,-4606.574558319836,100.0
2024-03-28,54.52,55.3,49.1,49.32,49.32,-14.60%,12694482,,,-4608.768165252369,100.0,-4608.768165252369,100.0,-4608.768165252369,100.0
2024-04-01,48.95,49.28,44.395,45.97,45.97,-6.79%,12937465,,,-4610.962816759632,100.0,-4610.962816759632,100.0,-4610.962816759632,100.0
2024-04-02,45.055,51.35,44.0,50.45,50.45,9.75%,9006107,,,-4613.158513339042,100.0,-4613.158513339042,100.0,-4613.158513339042,100.0
2024-04-03,49.7,51.24,46.55,46.99,46.99,-6.86%,4773518,,,-4615.355255488251,100.0,-4615.355255488251,100.0,-4615.355255488251,100.0
2024-04-04,46.7,48.43,45.1,45.78,45.78,-2.58%,4588812,,,-4617.55304370515,100.0,-4617.55304370515,100.0,-4617.55304370515,100.0
2024-04-05,45.68,48.29,44.68,47.56,47.56,3.89%,2910465,,,-4619.751878487867,100.0,-4619.751878487867,100.0,-4619.751878487867,100.0
2024-04-08,47.86,49.18,45.04,46.15,46.15,-2.96%,2644017,,,-4621.951760334766,100.0,-4621.951760334766,100.0,-4621.951760334766,100.0
2024-04-09,46.4,47.49,44.9,45.0,45.0,-2.49%,2261160,,,-4624.152689744449,100.0,-4624.152689744449,100.0,-4624.152689744449,100.0
2024-04-10,44.0,44.598,41.72,42.09,42.09,-6.47%,4350147,,,-4626.354667215756,100.0,-4626.354667215756,100.0,-4626.354667215756,100.0
2024-04-11,42.05,46.35,42.01,44.53,44.53,5.80%,4263001,,,-4628.557693247763,100.0,-4628.557693247763,100.0,-4628.557693247763,100.0
2024-04-12,43.47,43.86,42.16,42.27,42.27,-5.08%,2021261,,,-4630.761768339786,100.0,-4630.761768339786,100.0,-4630.761768339786,100.0
2024-04-15,41.94,42.1,39.68,40.0,40.0,-5.37%,3448536,,,-4632.966892991376,100.0,-4672.966892991376,101.0,-4632.966892991376,100.0
2024-04-16,40.5,42.14,39.32,41.14,41.14,2.85%,1699046,,,-4635.173067702324,100.0,-4675.192115321372,101.0,-4635.173067702324,100.0
2024-04-17,40.4,40.605,38.7,39.17,39.17,-4.79%,2153817,,,-4637.380292972659,100.0,-4677.418397281049,101.0,-4637.380292972659,100.0
2024-04-18,38.8,42.13,37.35,41.72,41.72,6.51%,2284138,,,-4639.588569302646,100.0,-4679.645739374992,101.0,-4639.588569302646,100.0
2024-04-19,40.57,43.83,40.17,40.88,40.88,-2.01%,2540622,,,-4641.79789719279,100.0,-4681.8741421080285,101.0,-4641.79789719279,100.0
2024-04-22,40.88,42.57,40.51,42.04,42.04,2.84%,1486416,,,-4644.008277143834,100.0,-4684.103605985223,101.0,-4644.008277143834,100.0
2024-04-23,42.07,44.06,41.822,42.82,42.82,1.86%,1956480,,,-4646.21970965676,100.0,-4686.334131511882,101.0,-4646.21970965676,100.0
2024-04-24,42.66,43.97,42.45,43.15,43.15,0.77%,1384024,,,-4648.432195232786,100.0,-4688.565719193554,101.0,-4648.432195232786,100.0
2024-04-25,41.64,42.64,40.85,42.45,42.45,-1.62%,1485825,,,-4650.645734373374,100.0,-4690.798369536027,101.0,-4650.645734373374,100.0
2024-04-26,42.98,46.199,42.65,45.43,45.43,7.02%,2764203,,,-4652.860327580218,100.0,-4693.03208304533,101.0,-4652.860327580218,100.0
2024-04-29,46.05,48.88,45.85,46.28,46.28,1.87%,2683917,,,-4655.075975355257,100.0,-4695.266860227733,101.0,-4655.075975355257,100.0
2024-04-30,45.47,46.755,44.15,44.44,44.44,-3.98%,1752875,,,-4657.292678200663,100.0,-4697.502701589746,101.0,-4657.292678200663,100.0
2024-05-01,44.87,47.7,44.6,45.88,45.88,3.24%,1598960,,,-4659.510436618854,100.0,-4699.739607638122,101.0,-4659.510436618854,100.0
2024-05-02,46.61,49.639,45.72,47.7,47.7,3.97%,2364999,,,-4661.729251112482,100.0,-4701.977578879854,101.0,-4661.729251112482,100.0
2024-05-03,48.44,48.7,46.24,46.64,46.64,-2.22%,1188304,,,-4663.949122184441,100.0,-4704.216615822178,101.0,-4663.949122184441,100.0
2024-05-06,46.99,49.87,46.75,48.27,48.27,3.49%,2116653,,,-4666.170050337862,100.0,-4706.456718972569,101.0,-4666.170050337862,100.0
2024-05-07,47.73,50.33,47.4,49.4,49.4,2.34%,6241675,,,-4668.3920360761185,100.0,-4708.697888838747,101.0,-4668.3920360761185,100.0
2024-05-08,55.0,55.16,49.7,51.4,51.4,4.05%,13509264,,,-4670.615079902822,100.0,-4710.94012592867,101.0,-4670.615079902822,100.0
2024-05-09,51.24,51.25,48.25,50.11,50.11,-2.51%,3909140,,,-4672.8391823218235,100.0,-4713.1834307505405,101.0,-4672.8391823218235,100.0
2024-05-10,50.64,54.75,50.38,53.53,53.53,6.82%,4450785,,,-4675.064343837214,100.0,-4715.427803812802,101.0,-4675.064343837214,100.0
2024-05-13,56.49,61.21,55.59,58.19,58.19,8.71%,8179370,,,-4677.290564953328,100.0,-4717.673245624142,101.0,-4677.290564953328,100.0
2024-05-14,62.57,64.5,59.5,62.34,62.34,7.13%,7674013,,,-4679.517846174734,100.0,-4719.919756693486,101.0,-4679.517846174734,100.0
2024-05-15,60.23,60.93,56.25,59.63,59.63,-4.35%,4897634,,,-4681.746188006246,100.0,-4781.797337530007,102.0,-4681.746188006246,100.0
2024-05-16,59.5,60.46,56.29,56.38,56.38,-5.45%,3219432,,,-4683.975590952915,100.0,-4784.074383881212,102.0,-4683.975590952915,100.0
2024-05-17,61.2,66.15,60.62,62.04,62.04,10.04%,15131435,,,-4686.206055520035,100.0,-4786.352514540204,102.0,-4686.206055520035,100.0
2024-05-20,61.9,62.0,57.27,61.22,61.22,-1.32%,5975244,,,-4688.43758221314,100.0,-4788.631730023318,102.0,-4688.43758221314,100.0
2024-05-21,60.74,62.46,58.84,59.31,59.31,-3.12%,2694029,,,-4690.670171538003,100.0,-4790.912030847138,102.0,-4690.670171538003,100.0
2024-05-22,59.0,60.45,55.86,56.69,56.69,-4.42%,3272328,,,-4692.90382400064,100.0,-4793.193417528494,102.0,-4692.90382400064,100.0
2024-05-23,56.88,57.26,53.11,54.16,54.16,-4.46%,3289560,,,-4695.138540107308,100.0,-4795.47589058446,102.0,-4695.138540107308,100.0
2024-05-24,53.96,56.0,53.21,54.72,54.72,1.03%,2019797,,,-4697.374320364502,100.0,-4797.759450532358,102.0,-4697.374320364502,100.0
2024-05-28,55.12,59.275,53.863,58.49,58.49,6.89%,3536946,,,-4699.611165278961,100.0,-4800.044097889754,102.0,-4699.611165278961,100.0
2024-05-29,57.45,58.63,56.801,57.64,57.64,-1.45%,1319960,,,-4701.849075357665,100.0,-4802.329833174464,102.0,-4701.849075357665,100.0
2024-05-30,57.0,59.49,55.76,56.3,56.3,-2.32%,1860520,,,-4704.088051107836,100.0,-4804.616656904546,102.0,-4704.088051107836,100.0
2024-05-31,56.21,57.52,53.45,54.24,54.24,-3.66%,2036766,,,-4706.328093036935,100.0,-4806.90456959831,102.0,-4706.328093036935,100.0
2024-06-03,57.55,58.64,54.15,55.8,55.8,2.88%,2573080,,,-4708.569201652666,100.0,-4809.19357177431,102.0,-4708.569201652666,100.0
2024-06-04,55.2,55.4,53.955,54.5,54.5,-2.33%,1291039,,,-4710.811377462977,100.0,-4811.483663951345,102.0,-4710.811377462977,100.0
2024-06-05,54.79,60.24,54.571,60.07,60.07,10.22%,3030031,,,-4713.054620976055,100.0,-4813.7748466484645,102.0,-4713.054620976055,100.0
2024-06-06,58.99,63.57,58.38,63.46,63.46,5.64%,3375228,,,-4715.29893270033,100.0,-4816.067120384963,102.0,-4715.29893270033,100.0
2024-06-07,61.63,63.8,59.21,59.8,59.8,-5.77%,3414026,,,-4717.544313144473,100.0,-4818.360485680385,102.0,-4717.544313144473,100.0
2024-06-10,60.01,61.38,58.26,59.63,59.63,-0.28%,1459111,,,-4719.790762817399,100.0,-4820.654943054518,102.0,-4719.790762817399,100.0
2024-06-11,60.12,62.049,58.495,61.55,61.55,3.22%,2024061,,,-4722.0382822282645,100.0,-4822.9504930274015,102.0,-4722.0382822282645,100.0
2024-06-12,62.875,69.59,61.85,65.93,65.93,7.12%,6825736,,,-4724.286871886468,100.0,-4825.247136119319,102.0,-4724.286871886468,100.0
2024-06-13,66.83,69.042,63.64,63.96,63.96,-2.99%,2874509,,,-4726.536532301652,100.0,-4827.5448728508045,102.0,-4726.536532301652,100.0
2024-06-14,63.54,64.94,60.11,60.94,60.94,-4.72%,2454885,,,-4728.7872639837005,100.0,-4829.843703742638,102.0,-4728.7872639837005,100.0
2024-06-17,61.0,61.13,58.1,60.35,60.35,-0.97%,2097146,,,-4731.039067442741,100.0,-4832.1436293158495,102.0,-4731.039067442741,100.0
2024-06-18,61.11,61.639,57.5,60.21,60.21,-0.23%,2213121,,,-4733.291943189142,100.0,-4834.444650091714,102.0,-4733.291943189142,100.0
2024-06-20,60.0,60.1,55.47,57.42,57.42,-4.63%,3372050,,,-4735.545891733518,100.0,-4836.7467665917575,102.0,-4735.545891733518,100.0
