Date,Open,High,Low,Close,Adj. Close,Change,Volume
1992-06-29,0.33984,0.36719,0.33203,0.35938,0.27543,6.98%,58732800
1992-06-30,0.36719,0.37109,0.34375,0.34766,0.26644,-3.26%,34777600
1992-07-01,0.35156,0.35938,0.33984,0.35547,0.27243,2.25%,18316800
1992-07-02,0.35938,0.35938,0.34766,0.35547,0.27243,,13996800
1992-07-06,0.35156,0.35547,0.34766,0.35547,0.27243,,5753600
1992-07-07,0.35547,0.35547,0.34766,0.35547,0.27243,,10662400
1992-07-08,0.35547,0.35547,0.34375,0.34766,0.26644,-2.20%,15500800
1992-07-09,0.35156,0.35938,0.34766,0.35938,0.27543,3.37%,3923200
1992-07-10,0.35938,0.36719,0.35156,0.36328,0.27842,1.09%,11040000
1992-07-13,0.36328,0.37109,0.35938,0.37109,0.28441,2.15%,5996800
1992-07-14,0.37109,0.38281,0.36719,0.37109,0.28441,,17062400
1992-07-15,0.37500,0.38281,0.37109,0.38281,0.29339,3.16%,4992000
1992-07-16,0.38281,0.41406,0.37891,0.40828,0.31291,6.65%,17062400
1992-07-17,0.41016,0.43750,0.39844,0.42969,0.32931,5.24%,15667200
1992-07-20,0.42781,0.43750,0.41797,0.43359,0.33231,0.91%,19744000
1992-07-21,0.43750,0.44531,0.42969,0.43750,0.33530,0.90%,7782400
1992-07-22,0.43359,0.43750,0.42188,0.43359,0.33231,-0.89%,10892800
1992-07-23,0.43359,0.44141,0.42578,0.44141,0.33829,1.80%,10387200
1992-07-24,0.43359,0.44922,0.42969,0.44531,0.34129,0.88%,7052800
1992-07-27,0.44922,0.46484,0.44531,0.45516,0.34883,2.21%,11430400
1992-07-28,0.46094,0.46484,0.42969,0.43750,0.33530,-3.88%,18009600
1992-07-29,0.43750,0.43750,0.40625,0.41594,0.31877,-4.93%,30848000
1992-07-30,0.41016,0.41797,0.40234,0.41406,0.31734,-0.45%,11737600
1992-07-31,0.41406,0.41797,0.40625,0.41594,0.31877,0.45%,6886400
1992-08-03,0.41016,0.42578,0.41016,0.41984,0.32177,0.94%,4832000
1992-08-04,0.42188,0.42969,0.41219,0.42781,0.32788,1.90%,6822400
1992-08-05,0.42578,0.42578,0.40234,0.41016,0.31434,-4.13%,9516800
1992-08-06,0.40625,0.41016,0.39844,0.41016,0.31434,,3673600
1992-08-07,0.41016,0.42578,0.39844,0.42578,0.32632,3.81%,8825600
1992-08-10,0.41797,0.43359,0.41406,0.42578,0.32632,,5888000
1992-08-11,0.43359,0.43359,0.42188,0.42969,0.32931,0.92%,4147200
1992-08-12,0.42188,0.42578,0.40234,0.41016,0.31434,-4.55%,12736000
1992-08-13,0.41016,0.41594,0.40234,0.41016,0.31434,,48320000
1992-08-14,0.40625,0.41406,0.38281,0.38672,0.29638,-5.71%,17849600
1992-08-17,0.39063,0.39453,0.38281,0.39453,0.30237,2.02%,2681600
1992-08-18,0.38281,0.39063,0.38281,0.39063,0.29938,-0.99%,2860800
1992-08-19,0.38281,0.39063,0.38281,0.39063,0.29938,,2380800
1992-08-20,0.39063,0.40031,0.37891,0.38672,0.29638,-1.00%,2489600
1992-08-21,0.38672,0.38672,0.37891,0.37891,0.29039,-2.02%,2048000
1992-08-24,0.38281,0.38672,0.37500,0.38281,0.29339,1.03%,6905600
1992-08-25,0.37500,0.38281,0.37500,0.37891,0.29039,-1.02%,4128000
1992-08-26,0.37500,0.38281,0.35938,0.37500,0.28740,-1.03%,19385600
1992-08-27,0.37891,0.38672,0.37500,0.38281,0.29339,2.08%,6169600
1992-08-28,0.38281,0.39063,0.37891,0.39063,0.29938,2.04%,3417600
1992-08-31,0.39063,0.39453,0.38281,0.38859,0.29782,-0.52%,4441600
1992-09-01,0.39063,0.40234,0.38672,0.39453,0.30237,1.53%,2387200
1992-09-02,0.40234,0.43359,0.39453,0.43156,0.33075,9.39%,11692800
1992-09-03,0.42969,0.45313,0.42969,0.44531,0.34129,3.19%,16480000
1992-09-04,0.44531,0.45313,0.44141,0.44922,0.34428,0.88%,4249600
1992-09-08,0.45313,0.49609,0.44531,0.48641,0.37278,8.28%,17139200
1992-09-09,0.46484,0.48828,0.45313,0.48047,0.36823,-1.22%,25299200
1992-09-10,0.47266,0.48047,0.46484,0.47656,0.36524,-0.81%,8889600
1992-09-11,0.47266,0.50000,0.47266,0.48828,0.37422,2.46%,13036800
1992-09-14,0.49609,0.51563,0.49219,0.51172,0.39218,4.80%,13068800
1992-09-15,0.50391,0.51359,0.48047,0.48047,0.36823,-6.11%,18099200
1992-09-16,0.46094,0.47656,0.45703,0.46484,0.35626,-3.25%,14963200
1992-09-17,0.46875,0.47266,0.43750,0.44531,0.34129,-4.20%,13459200
1992-09-18,0.43750,0.44531,0.41797,0.42578,0.32632,-4.39%,17260800
1992-09-21,0.42969,0.46875,0.41797,0.46094,0.35326,8.26%,24012800
1992-09-22,0.46094,0.48438,0.45313,0.48047,0.36823,4.24%,19206400
1992-09-23,0.48047,0.48047,0.45703,0.47656,0.36524,-0.81%,26912000
1992-09-24,0.48047,0.48438,0.46875,0.48047,0.36823,0.82%,5459200
1992-09-25,0.47656,0.48828,0.47266,0.47656,0.36524,-0.81%,12102400
1992-09-28,0.48047,0.50391,0.47656,0.50203,0.38476,5.34%,7532800
1992-09-29,0.49609,0.50391,0.48047,0.48234,0.36967,-3.92%,9593600
1992-09-30,0.48047,0.48828,0.47266,0.47266,0.36224,-2.01%,11123200
1992-10-01,0.48047,0.48047,0.45703,0.46094,0.35326,-2.48%,4556800
1992-10-02,0.45703,0.46094,0.43750,0.44922,0.34428,-2.54%,5926400
1992-10-05,0.42578,0.45313,0.42188,0.45313,0.34728,0.87%,12755200
1992-10-06,0.46094,0.46094,0.44531,0.45703,0.35027,0.86%,6022400
1992-10-07,0.45703,0.45703,0.44531,0.44531,0.34129,-2.56%,3692800
1992-10-08,0.44922,0.45703,0.44531,0.45703,0.35027,2.63%,2470400
1992-10-09,0.45703,0.45703,0.44531,0.44719,0.34272,-2.15%,2432000
