Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2021-01-04,50.44,50.7,48.099,49.59,49.59,-0.96%,18844890,,,-4959.0,100.0,-4959.0,100.0,-4959.0,100.0
2021-01-05,49.35,50.64,49.26,50.31,50.31,1.45%,8863435,,,-4961.361428571428,100.0,-4961.361428571428,100.0,-4961.361428571428,100.0
2021-01-06,49.11,51.08,48.47,49.82,49.82,-0.97%,15054123,,,-4963.723981632653,100.0,-4963.723981632653,100.0,-4963.723981632653,100.0
2021-01-07,50.35,53.82,50.35,52.44,52.44,5.26%,20559787,,,-4966.0876597191445,100.0,-4966.0876597191445,100.0,-4966.0876597191445,100.0
2021-01-08,53.43,53.68,52.18,52.73,52.73,0.55%,11944201,,,-4968.45246336663,100.0,-4968.45246336663,100.0,-4968.45246336663,100.0
2021-01-11,51.86,55.79,51.09,54.38,54.38,3.13%,17815978,,,-4970.81839311109,100.0,-4970.81839311109,100.0,-4970.81839311109,100.0
2021-01-12,55.22,56.65,54.25,56.45,56.45,3.81%,19162416,,,-4973.185449488762,100.0,-4973.185449488762,100.0,-4973.185449488762,100.0
2021-01-13,56.75,57.39,53.43,53.43,53.43,-5.35%,14848196,,,-4975.553633036137,100.0,-4975.553633036137,100.0,-4975.553633036137,100.0
2021-01-14,53.3,54.435,48.71,49.03,49.03,-8.24%,31962674,,,-4977.922944289964,100.0,-4977.922944289964,100.0,-4977.922944289964,100.0
2021-01-15,50.7,51.07,49.05,50.31,50.31,2.61%,22625728,,,-4980.293383787245,100.0,-5030.603383787246,101.0,-4980.293383787245,100.0
2021-01-19,51.34,51.49,49.12,50.39,50.39,0.16%,21063908,,,-4982.664952065239,100.0,-5032.998909208097,101.0,-4982.664952065239,100.0
2021-01-20,50.61,52.23,49.95,52.2,52.2,3.59%,15595052,,,-4985.037649661461,100.0,-5035.395575355339,101.0,-4985.037649661461,100.0
