Date,Open,High,Low,Close,Adj. Close,Change,Volume
2018-04-04,140.00000,148.93000,135.51000,144.22000,144.22000,-3.21%,11702875
2018-04-05,149.23000,152.41000,141.25000,143.99000,143.99000,-0.16%,7372840
2018-04-06,146.07000,148.73000,144.67000,147.92000,147.92000,2.73%,4228091
2018-04-09,149.50000,151.00000,148.59000,150.00000,150.00000,1.41%,2051432
2018-04-10,152.00000,156.74000,151.13300,154.90000,154.90000,3.27%,2979958
2018-04-11,154.00000,154.15000,147.50000,149.57000,149.57000,-3.44%,1873960
2018-04-12,150.25000,151.00000,148.65000,149.10000,149.10000,-0.31%,1373985
2018-04-13,149.80000,150.42000,148.05000,149.00000,149.00000,-0.07%,1608056
2018-04-16,150.00000,150.00000,142.74000,144.32000,144.32000,-3.14%,1454716
2018-04-17,146.02000,149.84000,146.00000,148.49000,148.49000,2.89%,1743529
2018-04-18,149.94000,155.99000,149.56000,154.91000,154.91000,4.32%,2235263
2018-04-19,154.40000,155.03000,152.01000,153.47000,153.47000,-0.93%,1057197
2018-04-20,152.35000,159.00000,151.23000,158.45000,158.45000,3.24%,2339028
2018-04-23,159.40000,160.68000,154.60600,158.04000,158.04000,-0.26%,2436489
2018-04-24,159.00000,159.26000,153.52000,155.07000,155.07000,-1.88%,1180356
2018-04-25,153.95000,154.60000,150.05900,153.33000,153.33000,-1.12%,1884547
2018-04-26,153.00000,157.80000,151.32000,156.60000,156.60000,2.13%,1277163
2018-04-27,157.37000,160.00000,157.00000,159.98000,159.98000,2.16%,1737785
2018-04-30,161.51000,162.88000,159.70000,161.67000,161.67000,1.06%,3638394
2018-05-01,162.12000,165.17000,161.21000,164.88000,164.88000,1.99%,2963882
2018-05-02,166.52000,171.23000,166.00000,170.00000,170.00000,3.11%,6942756
2018-05-03,154.12100,161.11000,151.11000,160.38000,160.38000,-5.66%,11094790
2018-05-04,161.11000,161.11000,152.56000,154.26000,154.26000,-3.82%,4292560
2018-05-07,154.50000,154.71000,148.06100,150.00000,150.00000,-2.76%,5623726
2018-05-08,151.02000,154.65000,150.26000,150.64000,150.64000,0.43%,2460300
2018-05-09,150.52000,150.97000,148.49000,150.07000,150.07000,-0.38%,1857367
2018-05-10,151.40000,159.95000,150.35000,158.13000,158.13000,5.37%,3606635
2018-05-11,158.00000,158.24000,155.28000,156.77000,156.77000,-0.86%,1601292
2018-05-14,159.48000,164.95000,156.77000,159.97000,159.97000,2.04%,4753257
2018-05-15,156.75000,160.99000,155.32400,158.71000,158.71000,-0.79%,2976152
2018-05-16,158.16000,163.00000,158.08000,161.39000,161.39000,1.69%,2077833
2018-05-17,159.17000,159.48000,156.75000,158.76000,158.76000,-1.63%,2470912
2018-05-18,160.00000,160.05000,150.78000,150.80000,150.80000,-5.01%,4157545
2018-05-21,153.36000,153.74000,149.98000,150.22000,150.22000,-0.38%,1948712
2018-05-22,150.63000,153.39000,150.05000,150.43000,150.43000,0.14%,1194378
2018-05-23,150.43000,154.56000,150.00000,154.37000,154.37000,2.62%,1202589
2018-05-24,154.32000,156.86500,153.34000,154.59000,154.59000,0.14%,1083312
2018-05-25,155.71000,157.75000,154.70000,156.60000,156.60000,1.30%,1288458
2018-05-29,156.10000,156.56000,152.63000,154.62000,154.62000,-1.26%,1314252
2018-05-30,156.60000,156.93000,153.71000,156.38000,156.38000,1.14%,1085629
