Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-01-03,29.367,30.267,29.128,29.534,29.534,2.96%,266920455,,,-2953.4,100,-2953.4,100,-2953.4,100.0
2020-01-06,29.365,30.104,29.333,30.103,30.103,1.93%,152362485,,,-2954.806380952381,100,-2954.806380952381,100,-2953.4,100.0
2020-01-07,30.76,31.442,30.224,31.271,31.271,3.88%,273137070,,,-2956.2134316099773,100,-2956.2134316099773,100,-2953.4,100.0
2020-01-08,31.58,33.233,31.215,32.809,32.809,4.92%,467990895,,,-2957.6211522916965,100,-2957.6211522916965,100,-2953.4,100.0
2020-01-09,33.14,33.253,31.525,32.089,32.089,-2.19%,426947790,,,-2959.0295433165975,100,-2959.0295433165975,100,-2953.4,100.0
2020-01-10,32.119,32.329,31.58,31.877,31.877,-0.66%,194652480,,,-2960.438605003891,100,-2960.438605003891,100,-2953.4,100.0
2020-01-13,32.9,35.042,32.8,34.991,34.991,9.77%,394611870,,,-2961.8483376729405,100,-2961.8483376729405,100,-2953.4,100.0
2020-01-14,36.284,36.494,34.993,35.861,35.861,2.49%,435920655,,,-2963.258741643261,100,-2963.258741643261,100,-2953.4,100.0
2020-01-15,35.317,35.856,34.453,34.567,34.567,-3.61%,260532465,,,-2964.66981723452,100,-2999.23681723452,101,-2953.4,100.0
2020-01-16,32.917,34.297,32.811,34.233,34.233,-0.97%,326049795,,,-2966.0815647665363,100,-3000.665025242727,101,-2953.4,100.0
2020-01-17,33.841,34.378,33.544,34.033,34.033,-0.58%,204436095,,,-2967.493984559282,100,-3002.0939133499855,101,-2953.4,100.0
2020-01-21,35.35,36.572,35.227,36.48,36.48,7.19%,261709050,,,-2968.907076932882,100,-3003.5234818801523,101,-2953.4,100.0
2020-01-22,38.126,39.633,37.273,37.971,37.971,4.09%,470535420,,,-2970.320842207612,100,-3004.953731157238,101,-2953.4,100.0
2020-01-23,37.617,38.8,37.04,38.147,38.147,0.46%,294765630,,,-2971.735280703901,100,-3006.384661505408,101,-2953.4,100.0
2020-01-24,38.042,38.257,36.951,37.655,37.655,-1.29%,215304000,,,-2973.1503927423314,100,-3007.8162732489823,101,-2953.4,100.0
2020-01-27,36.133,37.629,35.952,37.201,37.201,-1.21%,204121020,,,-2974.566178643637,100,-3009.2485667124342,101,-2953.4,100.0
2020-01-28,37.899,38.454,37.205,37.793,37.793,1.59%,176827395,,,-2975.9826387287058,100,-3010.6815422203927,101,-2953.4,100.0
2020-01-29,38.379,39.32,37.829,38.733,38.733,2.49%,273250080,,,-2977.3997733185765,100,-3012.1152000976404,101,-2953.4,100.0
2020-01-30,42.161,43.392,41.2,42.721,42.721,10.30%,435085140,,,-2978.8175827344426,100,-3013.5495406691152,101,-2953.4,100.0
2020-01-31,42.667,43.533,42.168,43.371,43.371,1.52%,235788990,,,-2980.2360672976492,100,-3014.9845642599103,101,-2953.4,100.0
2020-02-03,44.913,52.409,44.901,52.0,52.0,19.90%,708502425,,,-2981.6552273296957,100,-3016.420271195272,101,-2953.4,100.0
2020-02-04,58.864,64.599,55.592,59.137,59.137,13.73%,914081370,,,-2983.0750631522337,100,-3017.856661800603,101,-2953.4,100.0
2020-02-05,54.884,56.399,46.941,48.98,48.98,-17.18%,726357555,,,-2984.495575087068,100,-3019.2937364014606,101,-2953.4,100.0
2020-02-06,46.661,53.055,45.8,49.931,49.931,1.94%,598211280,,,-2985.9167634561572,100,-3020.7314953235564,101,-2953.4,100.0
2020-02-07,48.703,51.317,48.667,49.871,49.871,-0.12%,255952815,,,-2987.3386285816127,100,-3022.169938892758,101,-2953.4,100.0
2020-02-10,53.333,54.666,50.16,51.419,51.419,3.10%,370337445,,,-2988.761170785699,100,-3023.609067435088,101,-2953.4,100.0
2020-02-11,51.253,52.234,50.533,51.625,51.625,0.40%,175462095,,,-2990.1843903908352,100,-3025.048881276724,101,-2953.4,100.0
2020-02-12,51.858,52.65,50.891,51.153,51.153,-0.91%,180337050,,,-2991.6082877195927,100,-3026.4893807439985,101,-2953.4,100.0
2020-02-13,49.456,54.533,49.0,53.6,53.6,4.78%,394340220,,,-2993.0328630946974,100,-3027.9305661634003,101,-2953.4,100.0
2020-02-14,52.481,54.198,52.367,53.335,53.335,-0.49%,235405665,,,-2994.458116839028,100,-3029.3724378615734,101,-2953.4,100.0
2020-02-18,56.107,57.333,55.491,57.227,57.227,7.30%,250475535,,,-2995.884049275618,100,-3030.814996165317,101,-2953.4,100.0
2020-02-19,61.567,62.985,60.068,61.161,61.161,6.87%,381344370,,,-2997.310660727654,100,-3032.2582414015865,101,-2953.4,100.0
2020-02-20,60.797,60.8,57.329,59.961,59.961,-1.96%,264523395,,,-2998.7379515184766,100,-3033.702173897492,101,-2953.4,100.0
2020-02-21,60.465,60.871,58.697,60.067,60.067,0.18%,215091690,,,-3000.1659219715807,100,-3035.1467939803,101,-2953.4,100.0
2020-02-24,55.933,57.567,54.813,55.586,55.586,-7.46%,227882445,,,-3001.594572410615,100,-3036.5921019774337,101,-2953.4,100.0
2020-02-25,56.6,57.107,52.467,53.327,53.327,-4.06%,259357215,,,-3003.023903159382,100,-3038.0380982164706,101,-2953.4,100.0
2020-02-26,52.167,54.221,51.741,51.92,51.92,-2.64%,212307645,,,-3004.453914541839,100,-3039.484783025145,101,-2953.4,100.0
2020-02-27,48.667,49.318,44.6,45.267,45.267,-12.81%,364157400,,,-3005.8846068820967,100,-3040.9321567313477,101,-2953.4,100.0
2020-02-28,41.98,46.035,40.768,44.533,44.533,-1.62%,368462565,,,-3007.3159805044215,100,-3042.3802196631245,101,-2953.4,100.0
2020-03-02,47.417,49.579,45.778,49.575,49.575,11.32%,302924865,,,-3008.7480357332333,100,-3043.8289721486785,101,-2953.4,100.0
2020-03-03,53.667,53.799,47.741,49.701,49.701,0.25%,386760045,,,-3010.180772893106,100,-3045.2784145163682,101,-2953.4,100.0
2020-03-04,50.931,51.101,48.315,49.967,49.967,0.54%,225734655,,,-3011.61419230877,100,-3046.7285470947095,101,-2953.4,100.0
2020-03-05,48.251,49.717,47.871,48.303,48.303,-3.33%,162789855,,,-3013.0482943051074,100,-3048.1793702123737,101,-2953.4,100.0
2020-03-06,46.0,47.133,45.618,46.899,46.899,-2.91%,189943770,,,-3014.4830792071575,100,-3049.630884198189,101,-2953.4,100.0
2020-03-09,40.359,44.2,40.333,40.533,40.533,-13.57%,256106100,,,-3015.9185473401135,100,-3051.083089381141,101,-2953.4,100.0
2020-03-10,43.962,44.533,40.533,43.022,43.022,6.14%,233916645,,,-3017.354699029323,100,-3052.53598609037,101,-2953.4,100.0
2020-03-11,42.68,43.572,40.867,42.282,42.282,-1.72%,201203805,,,-3018.791534600289,100,-3053.989574655175,101,-2953.4,100.0
2020-03-12,38.726,39.633,36.417,37.37,37.37,-11.62%,283635780,,,-3020.2290543786703,100,-3055.443855405011,101,-2953.4,100.0
2020-03-13,39.667,40.505,33.467,36.441,36.441,-2.49%,339603810,,,-3021.667258690279,100,-3056.89882866949,101,-2953.4,100.0
2020-03-16,31.3,32.991,29.478,29.671,29.671,-18.58%,307341960,,,-3023.106147861084,100,-3058.3544947783803,101,-2953.4,100.0
2020-03-17,29.334,31.457,26.4,28.68,28.68,-3.34%,359918700,,,-3024.5457222172085,100,-3059.810854061608,101,-2953.4,100.0
2020-03-18,25.933,26.991,23.367,24.081,24.081,-16.04%,354375075,,,-3025.985982084931,100,-3061.2679068492566,101,-2953.4,100.0
2020-03-19,24.98,30.133,23.897,28.509,28.509,18.39%,452931900,,,-3027.4269277906856,100,-3062.7256534715657,101,-2953.4,100.0
2020-03-20,29.213,31.8,28.386,28.502,28.502,-0.02%,424282530,,,-3028.868559661062,100,-3064.1840942589333,101,-2953.4,100.0
2020-03-23,28.907,29.467,27.367,28.953,28.953,1.58%,246818235,,,-3030.3108780228054,100,-3065.6432295419136,101,-2953.4,100.0
2020-03-24,31.82,34.246,31.6,33.667,33.667,16.28%,343427550,,,-3031.7538832028163,100,-3067.103059651219,101,-2953.4,100.0
2020-03-25,36.35,37.133,34.074,35.95,35.95,6.78%,318341175,,,-3033.197575528151,100,-3068.5635849177197,101,-2953.4,100.0
2020-03-26,36.493,37.333,34.15,35.211,35.211,-2.06%,261331230,,,-3034.6419553260216,100,-3070.0248056724427,101,-2953.4,100.0
2020-03-27,33.667,35.053,32.935,34.291,34.291,-2.61%,215661120,,,-3036.0870229237958,100,-3071.4867222465723,101,-2953.4,100.0
2020-03-30,34.017,34.443,32.749,33.475,33.475,-2.38%,179971005,,,-3037.5327786489975,100,-3072.9493349714517,101,-2953.4,100.0
2020-03-31,33.417,36.197,33.133,34.933,34.933,4.36%,266572275,,,-3038.9792228293063,100,-3074.412644178581,101,-2953.4,100.0
2020-04-01,33.6,34.263,31.673,32.104,32.104,-8.10%,200297700,,,-3040.4263557925583,100,-3075.8766501996183,101,-2953.4,100.0
2020-04-02,32.069,32.951,29.76,30.298,30.298,-5.63%,297876405,,,-3041.8741778667454,100,-3077.34135336638,101,-2953.4,100.0
2020-04-03,33.967,34.366,31.226,32.001,32.001,5.62%,338431140,,,-3043.322689380015,100,-3078.8067540108405,101,-2953.4,100.0
2020-04-06,34.08,34.733,33.197,34.416,34.416,7.55%,223527540,,,-3044.7718906606724,100,-3080.272852465131,101,-2953.4,100.0
2020-04-07,36.333,37.667,35.489,36.363,36.363,5.66%,268796760,,,-3046.2217820371775,100,-3081.739649061543,101,-2953.4,100.0
2020-04-08,36.947,37.147,35.555,36.589,36.589,0.62%,189840360,,,-3047.6723638381477,100,-3083.2071441325247,101,-2953.4,100.0
2020-04-09,37.473,38.345,37.141,38.2,38.2,4.40%,204750000,,,-3049.1236363923563,100,-3084.675338010683,101,-2953.4,100.0
2020-04-13,39.344,43.467,38.702,43.397,43.397,13.60%,337131315,,,-3050.575600028734,100,-3086.1442310287835,101,-2953.4,100.0
2020-04-14,46.598,49.459,46.162,47.326,47.326,9.05%,458647665,,,-3052.0282550763663,100,-3087.6138235197495,101,-2953.4,100.0
2020-04-15,49.467,50.209,47.333,48.655,48.655,2.81%,353655015,,,-3053.481601864498,100,-3137.739115816664,102,-2953.4,100.0
2020-04-16,47.796,50.63,47.115,49.681,49.681,2.11%,309867930,,,-3054.9356407225287,100,-3139.233277300386,102,-2953.4,100.0
2020-04-17,51.485,51.663,49.844,50.259,50.259,1.16%,196923555,,,-3056.3903719800155,100,-3140.7281502895767,102,-2953.4,100.0
2020-04-20,48.847,51.038,47.481,49.757,49.757,-1.00%,221198655,,,-3057.8457959666725,100,-3142.223735123048,102,-2953.4,100.0
2020-04-21,48.675,50.222,44.919,45.781,45.781,-7.99%,303136395,,,-3059.3019130123707,100,-3143.720032139773,102,-2953.4,100.0
2020-04-22,46.932,48.933,45.914,48.807,48.807,6.61%,213372465,,,-3060.7587234471384,100,-3145.217041678887,102,-2953.4,100.0
2020-04-23,48.507,48.933,46.875,47.042,47.042,-3.62%,198550455,,,-3062.216227601161,100,-3146.7147640796866,102,-2953.4,100.0
2020-04-24,47.387,48.715,46.545,48.343,48.343,2.77%,198564180,,,-3063.6744258047806,100,-3148.2131996816292,102,-2953.4,100.0
2020-04-27,49.174,53.299,49.0,53.25,53.25,10.15%,310221630,,,-3065.133318388497,100,-3149.7123488243346,102,-2953.4,100.0
2020-04-28,53.043,53.667,50.446,51.275,51.275,-3.71%,228329460,,,-3066.5929056829677,100,-3151.2122118475845,102,-2953.4,100.0
2020-04-29,52.678,53.547,52.211,53.367,53.367,4.08%,243239730,,,-3068.0531880190074,100,-3152.7127890913216,102,-2953.4,100.0
2020-04-30,57.013,57.988,50.9,52.125,52.125,-2.33%,427077810,,,-3069.514165727588,100,-3154.214080895651,102,-2953.4,100.0
