Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-07-06,92.5,93.945,92.468,93.463,91.07,2.68%,118983744,,,-4953.539,53.0,-4953.539,53.0,-4953.539,53.0
2020-07-07,93.853,94.655,93.058,93.173,90.787,-0.31%,112827996,,,-4955.897828095238,53.0,-4955.897828095238,53.0,-4955.897828095238,53.0
2020-07-08,94.18,95.375,94.09,95.343,92.902,2.33%,117097916,,,-4958.257779441949,53.0,-4958.257779441949,53.0,-4958.257779441949,53.0
2020-07-09,96.263,96.318,94.673,95.753,93.301,0.43%,125681428,,,-4960.618854575017,53.0,-4960.618854575017,53.0,-4960.618854575017,53.0
2020-07-10,95.335,95.98,94.705,95.92,93.465,0.17%,90257320,,,-4962.981054029577,53.0,-4962.981054029577,53.0,-4962.981054029577,53.0
2020-07-13,97.265,99.955,95.258,95.478,93.033,-0.46%,191652316,,,-4965.344378341019,53.0,-4965.344378341019,53.0,-4965.344378341019,53.0
2020-07-14,94.84,97.255,93.878,97.058,94.573,1.65%,170992476,,,-4967.708828044992,53.0,-4967.708828044992,53.0,-4967.708828044992,53.0
2020-07-15,98.99,99.248,96.49,97.725,95.223,0.69%,153227496,,,-4970.074403677394,53.0,-5067.799403677394,54.0,-4970.074403677394,53.0
2020-07-16,96.563,97.405,95.905,96.523,94.052,-1.23%,110583708,,,-4972.441105774384,53.0,-5070.21264148867,54.0,-4972.441105774384,53.0
2020-07-17,96.988,97.148,95.84,96.328,93.862,-0.20%,92187020,,,-4974.8089348723715,53.0,-5072.627028460807,54.0,-4974.8089348723715,53.0
2020-07-20,96.418,98.5,96.063,98.358,95.84,2.11%,89588832,,,-4977.177891508025,53.0,-5075.042565141027,54.0,-4977.177891508025,53.0
2020-07-21,99.173,99.25,96.743,97.0,94.517,-1.38%,102509388,,,-4979.547976218267,53.0,-5077.459252076808,54.0,-4979.547976218267,53.0
2020-07-22,96.693,97.975,96.603,97.273,94.782,0.28%,89001652,,,-4981.9191895402755,53.0,-5079.877089815893,54.0,-4981.9191895402755,53.0
2020-07-23,96.998,97.078,92.01,92.845,90.468,-4.55%,197004432,,,-4984.291532011485,53.0,-5082.296078906281,54.0,-4984.291532011485,53.0
2020-07-24,90.988,92.97,89.145,92.615,90.244,-0.25%,185438864,,,-4986.665004169586,53.0,-5084.716219896236,54.0,-4986.665004169586,53.0
2020-07-27,93.71,94.905,93.48,94.81,92.383,2.37%,121214192,,,-4989.039606552524,53.0,-5087.137513334282,54.0,-4989.039606552524,53.0
2020-07-28,94.368,94.55,93.248,93.253,90.865,-1.64%,103625500,,,-4991.415339698501,53.0,-5089.559959769203,54.0,-4991.415339698501,53.0
2020-07-29,93.75,95.23,93.713,95.04,92.607,1.92%,90329256,,,-4993.792204145977,53.0,-5091.983559750045,54.0,-4993.792204145977,53.0
2020-07-30,94.188,96.298,93.768,96.19,93.728,1.21%,158130020,,,-4996.170200433666,53.0,-5094.408313826117,54.0,-4996.170200433666,53.0
2020-07-31,102.884,106.415,100.825,106.26,103.54,10.47%,374295468,,,-4998.549329100539,53.0,-5096.834222546986,54.0,-4998.549329100539,53.0
2020-08-03,108.2,111.636,107.893,108.938,106.149,2.52%,308151388,,,-5000.929590685824,53.0,-5099.261286462484,54.0,-5000.929590685824,53.0
2020-08-04,109.133,110.79,108.388,109.665,106.858,0.67%,172792368,,,-5003.310985729008,53.0,-5101.689506122704,54.0,-5003.310985729008,53.0
2020-08-05,109.378,110.393,108.898,110.063,107.245,0.36%,121991952,,,-5005.693514769831,53.0,-5104.118882078001,54.0,-5005.693514769831,53.0
2020-08-06,110.405,114.413,109.798,113.903,110.987,3.49%,202428900,,,-5008.077178348293,53.0,-5106.54941487899,54.0,-5008.077178348293,53.0
2020-08-07,113.205,113.675,110.293,111.113,108.468,-2.45%,198045612,,,-5010.461977004649,53.0,-5108.981105076552,54.0,-5010.461977004649,53.0
2020-08-10,112.6,113.775,110.0,112.728,110.045,1.45%,212403424,,,-5012.847911279413,53.0,-5111.413953221827,54.0,-5012.847911279413,53.0
2020-08-11,111.969,112.483,109.107,109.375,106.772,-2.97%,187902376,,,-5015.234981713355,53.0,-5113.847959866218,54.0,-5015.234981713355,53.0
2020-08-12,110.498,113.275,110.298,113.01,110.32,0.0332,165944820,,,-5017.623188847505,53.0,-5116.283125561392,54.0,-5017.623188847505,53.0
2020-08-13,114.43,116.043,113.928,115.01,112.273,0.0177,210082064,,,-5020.012533223146,53.0,-5118.719450859278,54.0,-5020.012533223146,53.0
2020-08-14,114.829,115.0,113.045,114.908,112.173,-0.0009,165565208,,,-5022.403015381824,53.0,-5121.156936312069,54.0,-5022.403015381824,53.0
2020-08-17,116.063,116.088,113.963,114.608,111.88,-0.0026,117725656,,,-5024.794635865339,53.0,-5123.595582472218,54.0,-5024.794635865339,53.0
2020-08-18,114.353,116.0,114.008,115.563,112.812,0.0083,105633540,,,-5027.187395215751,53.0,-5126.035389892442,54.0,-5027.187395215751,53.0
2020-08-19,115.983,117.163,115.61,115.708,112.954,0.0013,145538008,,,-5029.581293975378,53.0,-5128.476359125724,54.0,-5029.581293975378,53.0
2020-08-20,115.75,118.392,115.733,118.275,115.46,0.0222,126907188,,,-5031.976332686794,53.0,-5130.9184907253075,54.0,-5031.976332686794,53.0
2020-08-21,119.263,124.868,119.25,124.37,121.41,0.0515,338054640,,,-5034.372511892836,53.0,-5133.3617852447005,54.0,-5034.372511892836,53.0
2020-08-24,128.698,128.785,123.936,125.858,122.862,0.012,345937768,,,-5036.769832136594,53.0,-5135.806243237675,54.0,-5036.769832136594,53.0
2020-08-25,124.698,125.179,123.053,124.825,121.854,-0.0082,211495788,,,-5039.168293961421,53.0,-5138.251865258264,54.0,-5039.168293961421,53.0
2020-08-26,126.179,126.993,125.083,126.523,123.511,0.0136,163022268,,,-5041.567897910926,53.0,-5140.698651860768,54.0,-5041.567897910926,53.0
2020-08-27,127.143,127.485,123.833,125.01,122.035,-0.012,155552384,,,-5043.968644528979,53.0,-5143.146603599749,54.0,-5043.968644528979,53.0
2020-08-28,126.013,126.443,124.578,124.808,121.837,-0.0016,187629916,,,-5046.370534359707,53.0,-5145.595721030035,54.0,-5046.370534359707,53.0
2020-08-31,127.58,131.0,126.0,129.04,125.969,0.0339,223505733,,,-5048.773567947497,53.0,-5148.046004706715,54.0,-5048.773567947497,53.0
2020-09-01,132.76,134.8,130.53,134.18,130.986,0.0398,152470142,,,-5051.177745836996,53.0,-5150.497455185147,54.0,-5051.177745836996,53.0
2020-09-02,137.59,137.98,127.0,131.4,128.273,-0.0207,200118991,,,-5053.583068573109,53.0,-5152.95007302095,54.0,-5053.583068573109,53.0
2020-09-03,126.91,128.84,120.5,120.88,118.003,-0.0801,257599640,,,-5055.989536701001,53.0,-5155.403858770008,54.0,-5055.989536701001,53.0
2020-09-04,120.07,123.7,110.89,120.96,118.081,0.0007,332607163,,,-5058.397150766097,53.0,-5157.85881298847,54.0,-5058.397150766097,53.0
2020-09-08,113.95,118.99,112.68,112.82,110.135,-0.0673,231366563,,,-5060.805911314081,53.0,-5160.31493623275,54.0,-5060.805911314081,53.0
2020-09-09,117.26,119.14,115.26,117.32,114.528,0.0399,176940455,,,-5063.215818890897,53.0,-5162.7722290595275,54.0,-5063.215818890897,53.0
2020-09-10,120.36,120.5,112.5,113.49,110.789,-0.0326,182274391,,,-5065.6268740427495,53.0,-5165.230692025746,54.0,-5065.6268740427495,53.0
2020-09-11,114.57,115.23,110.0,112.0,109.334,-0.0131,180860325,,,-5068.039077316103,53.0,-5167.690325688615,54.0,-5068.039077316103,53.0
2020-09-14,114.72,115.93,112.8,115.355,112.609,0.03,140150087,,,-5070.4524292576825,53.0,-5170.15113060561,54.0,-5070.4524292576825,53.0
2020-09-15,118.33,118.829,113.61,115.54,112.79,0.0016,184642039,,,-5072.866930414472,53.0,-5288.1531073344695,55.0,-5072.866930414472,53.0
2020-09-16,115.23,116.0,112.04,112.13,109.461,-0.0295,155026675,,,-5075.282581333718,53.0,-5290.6712754808195,55.0,-5075.282581333718,53.0
2020-09-17,109.72,112.2,108.71,110.34,107.714,-0.016,178010968,,,-5077.699382562924,53.0,-5293.190642754858,55.0,-5077.699382562924,53.0
2020-09-18,110.4,110.88,106.09,106.84,104.297,-0.0317,287104882,,,-5080.117334649859,53.0,-5295.7112097275985,55.0,-5080.117334649859,53.0
2020-09-21,104.54,110.19,103.1,110.08,107.46,0.0303,195713815,,,-5082.53643814255,53.0,-5298.232976970326,55.0,-5082.53643814255,53.0
2020-09-22,112.68,112.86,109.16,111.81,109.149,0.0157,183055373,,,-5084.956693589284,53.0,-5300.755945054597,55.0,-5084.956693589284,53.0
2020-09-23,111.62,112.11,106.77,107.12,104.57,-0.0419,150718671,,,-5087.378101538613,53.0,-5303.280114552242,55.0,-5087.378101538613,53.0
2020-09-24,105.17,110.25,105.0,108.22,105.644,0.0103,167743349,,,-5089.8006625393455,53.0,-5305.805486035361,55.0,-5089.8006625393455,53.0
2020-09-25,108.43,112.44,107.67,112.28,109.608,0.0375,149981441,,,-5092.224377140555,53.0,-5308.332060076331,55.0,-5092.224377140555,53.0
2020-09-28,115.01,115.32,112.78,114.96,112.224,0.0239,137672403,,,-5094.649245891574,53.0,-5310.859837247795,55.0,-5094.649245891574,53.0
2020-09-29,114.55,115.31,113.57,114.09,111.375,-0.0076,100060526,,,-5097.075269341998,53.0,-5313.388818122676,55.0,-5097.075269341998,53.0
2020-09-30,113.79,117.26,113.62,115.81,113.054,0.0151,142675184,,,-5099.502448041685,53.0,-5315.919003274163,55.0,-5099.502448041685,53.0
2020-10-01,117.64,117.72,115.83,116.79,114.01,0.0085,116120440,,,-5101.930782540752,53.0,-5318.450393275722,55.0,-5101.930782540752,53.0
2020-10-02,112.89,115.37,112.22,113.02,110.33,-0.0323,144711986,,,-5104.360273389581,53.0,-5320.982988701091,55.0,-5104.360273389581,53.0
2020-10-05,113.91,116.65,113.55,116.5,113.727,0.0308,106243839,,,-5106.790921138814,53.0,-5323.516790124282,55.0,-5106.790921138814,53.0
2020-10-06,115.7,116.12,112.25,113.16,110.467,-0.0287,161498212,,,-5109.222726339356,53.0,-5326.051798119579,55.0,-5109.222726339356,53.0
