Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-12-11,146.55,151.5,135.1,139.25,139.25,-3.77%,26980830,,,-4873.75,35.0,-4873.75,35.0,-4873.75,35.0
2020-12-14,135.0,135.3,125.16,130.0,130.0,-6.64%,16966089,,,-4876.070833333333,35.0,-4876.070833333333,35.0,-4876.070833333333,35.0
2020-12-15,126.69,127.6,121.5,124.8,124.8,-4.00%,10914432,,,-4878.392771825396,35.0,-5003.192771825396,36.0,-4878.392771825396,35.0
2020-12-16,125.83,142.0,124.91,137.99,137.99,10.57%,20409551,,,-4880.7158160024555,35.0,-5005.575244573884,36.0,-4880.7158160024555,35.0
2020-12-17,143.0,152.45,142.67,147.05,147.05,6.57%,15054725,,,-4883.039966391028,35.0,-5007.958851833206,36.0,-4883.039966391028,35.0
2020-12-18,150.45,159.0,150.3,157.3,157.3,6.97%,15954235,,,-4885.3652235178815,35.0,-5010.343594143603,36.0,-4885.3652235178815,35.0
2020-12-21,155.31,172.0,145.11,163.02,163.02,3.64%,17788120,,,-4887.6915879100325,35.0,-5012.729472045576,36.0,-4887.6915879100325,35.0
2020-12-22,170.0,174.97,161.05,163.19,163.19,0.10%,9886633,,,-4890.019060094752,35.0,-5015.1164860798835,36.0,-4890.019060094752,35.0
2020-12-23,162.814,168.25,155.5,158.01,158.01,-3.17%,5852486,,,-4892.347640599559,35.0,-5017.50463678754,36.0,-4892.347640599559,35.0
2020-12-24,159.16,162.79,154.112,154.84,154.84,-2.01%,3621360,,,-4894.677329952226,35.0,-5019.89392470982,36.0,-4894.677329952226,35.0
2020-12-28,158.6,163.64,147.52,149.0,149.0,-3.77%,6205197,,,-4897.0081286807745,35.0,-5022.284350388253,36.0,-4897.0081286807745,35.0
2020-12-29,150.0,151.651,143.12,150.0,150.0,0.67%,5402266,,,-4899.34003731348,35.0,-5024.675914364629,36.0,-4899.34003731348,35.0
2020-12-30,151.34,152.813,145.6,148.43,148.43,-1.05%,3462445,,,-4901.673056378868,35.0,-5027.068617180993,36.0,-4901.673056378868,35.0
2020-12-31,146.9,147.89,144.51,146.8,146.8,-1.10%,2795813,,,-4904.0071864057145,35.0,-5029.462459379651,36.0,-4904.0071864057145,35.0
2021-01-04,150.99,151.005,137.0,139.15,139.15,-5.21%,6409884,,,-4906.34242792305,35.0,-5031.857441503164,36.0,-4906.34242792305,35.0
2021-01-05,138.28,149.0,137.25,148.3,148.3,6.58%,5974246,,,-4908.678781460157,35.0,-5034.253564094356,36.0,-4908.678781460157,35.0
