Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2019-01-03,18.42,18.68,16.94,17.05,17.05,-9.45%,117277563,,,-4995.650000000001,293.0,-4995.650000000001,293.0,-4995.650000000001,293.0
2019-01-04,17.55,19.07,17.43,19.0,19.0,11.44%,111878582,,,-4998.028880952382,293.0,-4998.028880952382,293.0,-4998.028880952382,293.0
2019-01-07,19.44,20.68,19.0,20.57,20.57,8.26%,107157014,,,-5000.408894705216,293.0,-5000.408894705216,293.0,-5000.408894705216,293.0
2019-01-08,21.19,21.2,19.68,20.75,20.75,0.88%,121270986,,,-5002.790041797933,293.0,-5002.790041797933,293.0,-5002.790041797933,293.0
2019-01-09,20.89,21.44,20.07,20.19,20.19,-2.70%,163944073,,,-5005.172322770218,293.0,-5005.172322770218,293.0,-5005.172322770218,293.0
2019-01-10,19.76,19.83,18.9,19.74,19.74,-2.23%,115629372,,,-5007.555738162013,293.0,-5007.555738162013,293.0,-5007.555738162013,293.0
2019-01-11,19.47,20.35,19.19,20.27,20.27,2.68%,85110766,,,-5009.940288513519,293.0,-5009.940288513519,293.0,-5009.940288513519,293.0
2019-01-14,19.96,20.62,19.75,20.23,20.23,-0.20%,71350248,,,-5012.3259743651915,293.0,-5012.3259743651915,293.0,-5012.3259743651915,293.0
2019-01-15,20.44,20.68,20.26,20.38,20.38,0.74%,62785800,,,-5014.712796257746,293.0,-5035.092796257746,294.0,-5014.712796257746,293.0
2019-01-16,20.4,20.54,19.71,19.73,19.73,-3.19%,70849266,,,-5017.100754732154,293.0,-5037.490459494059,294.0,-5017.100754732154,293.0
2019-01-17,19.49,20.51,19.02,20.25,20.25,2.64%,85018421,,,-5019.489850329645,293.0,-5039.88926447477,294.0,-5019.489850329645,293.0
2019-01-18,20.37,21.05,20.02,20.77,20.77,2.57%,88130950,,,-5021.880083591707,293.0,-5042.289211743568,294.0,-5021.880083591707,293.0
2019-01-22,20.48,20.92,19.7,19.76,19.76,-4.86%,78513667,,,-5024.271455060084,293.0,-5044.690301844398,294.0,-5024.271455060084,293.0
2019-01-23,20.03,20.48,19.55,19.8,19.8,0.20%,77811255,,,-5026.663965276779,293.0,-5047.092535321467,294.0,-5026.663965276779,293.0
2019-01-24,20.06,21.01,20.04,20.85,20.85,5.30%,97433423,,,-5029.057614784054,293.0,-5049.495912719239,294.0,-5029.057614784054,293.0
2019-01-25,20.99,22.03,20.79,21.93,21.93,5.18%,110555157,,,-5031.452404124428,293.0,-5051.900434582439,294.0,-5031.452404124428,293.0
2019-01-28,20.32,21.01,20.02,20.18,20.18,-7.98%,135164064,,,-5033.848333840678,293.0,-5054.306101456049,294.0,-5033.848333840678,293.0
2019-01-29,20.26,20.39,19.05,19.25,19.25,-4.61%,131202535,,,-5036.24540447584,293.0,-5056.712913885313,294.0,-5036.24540447584,293.0
2019-01-30,21.49,23.13,21.37,23.09,23.09,19.95%,211421150,,,-5038.643616573209,293.0,-5059.120872415735,294.0,-5038.643616573209,293.0
2019-01-31,23.02,25.14,22.83,24.41,24.41,5.72%,182575629,,,-5041.04297067634,293.0,-5061.529977593076,294.0,-5041.04297067634,293.0
2019-02-01,24.61,24.84,24.07,24.51,24.51,0.41%,105356175,,,-5043.4434673290425,293.0,-5063.940229963358,294.0,-5043.4434673290425,293.0
2019-02-04,24.43,24.66,24.07,24.13,24.13,-1.55%,70843958,,,-5045.84510707539,293.0,-5066.351630072865,294.0,-5045.84510707539,293.0
2019-02-05,23.42,23.86,22.98,23.31,23.31,-3.40%,122226034,,,-5048.247890459712,293.0,-5068.764178468138,294.0,-5048.247890459712,293.0
2019-02-06,23.63,24.14,23.22,23.26,23.26,-0.21%,78684325,,,-5050.6518180265975,293.0,-5071.17787569598,294.0,-5050.6518180265975,293.0
2019-02-07,22.99,23.22,22.32,22.67,22.67,-2.54%,86723886,,,-5053.056890320896,293.0,-5073.592722303454,294.0,-5053.056890320896,293.0
2019-02-08,22.33,23.28,22.27,23.05,23.05,1.68%,78129280,,,-5055.4631078877155,293.0,-5076.008718837885,294.0,-5055.4631078877155,293.0
2019-02-11,23.05,23.28,22.66,22.96,22.96,-0.39%,60578705,,,-5057.870471272424,293.0,-5078.425865846855,294.0,-5057.870471272424,293.0
2019-02-12,23.43,23.56,22.75,22.82,22.82,-0.61%,67595405,,,-5060.278981020649,293.0,-5080.844163878211,294.0,-5060.278981020649,293.0
2019-02-13,22.98,23.24,22.71,22.85,22.85,0.13%,57544167,,,-5062.688637678278,293.0,-5083.263613480058,294.0,-5062.688637678278,293.0
2019-02-14,22.74,23.37,22.59,23.13,23.13,1.23%,64441243,,,-5065.099441791458,293.0,-5085.684215200763,294.0,-5065.099441791458,293.0
2019-02-15,23.58,24.05,23.2,23.68,23.68,2.38%,78644109,,,-5067.511393906597,293.0,-5111.785969588954,295.0,-5067.511393906597,293.0
2019-02-19,23.63,24.41,23.61,23.95,23.95,1.14%,57517907,,,-5069.924494570362,293.0,-5114.220153383996,295.0,-5069.924494570362,293.0
2019-02-20,24.14,24.37,23.9,23.95,23.95,,57091617,,,-5072.3387443296815,293.0,-5116.655496314179,295.0,-5072.3387443296815,293.0
2019-02-21,24.04,24.33,23.85,23.92,23.92,-0.13%,49608176,,,-5074.754143731743,293.0,-5119.091998931472,295.0,-5074.754143731743,293.0
2019-02-22,24.05,24.36,23.88,24.36,24.36,1.84%,52650728,,,-5077.170693323997,293.0,-5121.529661788106,295.0,-5077.170693323997,293.0
2019-02-25,25.01,25.52,24.68,24.71,24.71,1.44%,63221028,,,-5079.588393654151,293.0,-5123.968485436576,295.0,-5079.588393654151,293.0
2019-02-26,24.65,24.72,24.15,24.21,24.21,-2.02%,48470089,,,-5082.007245270177,293.0,-5126.408470429641,295.0,-5082.007245270177,293.0
2019-02-27,24.11,24.23,23.21,23.48,23.48,-3.02%,62649329,,,-5084.427248720305,293.0,-5128.849617320322,295.0,-5084.427248720305,293.0
2019-02-28,23.21,23.67,23.11,23.53,23.53,0.21%,39384901,,,-5086.8484045530295,293.0,-5131.291926661903,295.0,-5086.8484045530295,293.0
2019-03-01,23.97,24.19,23.45,23.68,23.68,0.64%,48083975,,,-5089.2707133171025,293.0,-5133.735399007933,295.0,-5089.2707133171025,293.0
2019-03-04,23.89,24.13,23.01,23.37,23.37,-1.31%,48147714,,,-5091.694175561539,293.0,-5136.180034912222,295.0,-5091.694175561539,293.0
2019-03-05,23.34,23.68,23.01,23.5,23.5,0.56%,35462587,,,-5094.118791835615,293.0,-5138.625834928847,295.0,-5094.118791835615,293.0
2019-03-06,23.47,23.53,22.4,22.41,22.41,-4.64%,60479430,,,-5096.54456268887,293.0,-5141.072799612147,295.0,-5096.54456268887,293.0
2019-03-07,22.33,22.41,21.73,22.08,22.08,-1.47%,52186289,,,-5098.9714886711035,293.0,-5143.520929516724,295.0,-5098.9714886711035,293.0
2019-03-08,21.35,22.09,21.04,22.01,22.01,-0.32%,49967725,,,-5101.399570332375,293.0,-5145.970225197447,295.0,-5101.399570332375,293.0
2019-03-11,22.15,23.08,21.98,22.96,22.96,4.32%,54420188,,,-5103.82880822301,293.0,-5148.4206872094455,295.0,-5103.82880822301,293.0
2019-03-12,23.1,23.8,22.78,23.49,23.49,2.31%,56410616,,,-5106.259202893592,293.0,-5150.872316108117,295.0,-5106.259202893592,293.0
2019-03-13,23.66,24.15,23.35,23.38,23.38,-0.47%,56705777,,,-5108.69075489497,293.0,-5153.325112449121,295.0,-5108.69075489497,293.0
2019-03-14,23.37,23.49,22.8,22.82,22.82,-2.40%,42818582,,,-5111.123464778254,293.0,-5155.779076788383,295.0,-5111.123464778254,293.0
2019-03-15,23.1,23.65,23.01,23.29,23.29,2.06%,46519912,,,-5113.557333094815,293.0,-5181.524209682091,296.0,-5113.557333094815,293.0
2019-03-18,23.3,23.62,23.04,23.25,23.25,-0.17%,34731839,,,-5115.992360396288,293.0,-5183.991602162892,296.0,-5115.992360396288,293.0
2019-03-19,23.6,26.08,23.59,26.0,26.0,11.83%,156052222,,,-5118.428547234572,293.0,-5186.460169592494,296.0,-5118.428547234572,293.0
2019-03-20,26.49,26.88,25.31,25.7,25.7,-1.15%,151292138,,,-5120.865894161826,293.0,-5188.929912530395,296.0,-5120.865894161826,293.0
2019-03-21,25.78,28.11,25.71,27.89,27.89,8.52%,129610272,,,-5123.304401730475,293.0,-5191.400831536362,296.0,-5123.304401730475,293.0
2019-03-22,27.54,27.75,26.33,26.37,26.37,-5.45%,115323257,,,-5125.744070493203,293.0,-5193.872927170427,296.0,-5125.744070493203,293.0
2019-03-25,26.29,26.99,25.54,25.97,25.97,-1.52%,78438159,,,-5128.184901002962,293.0,-5196.346199992889,296.0,-5128.184901002962,293.0
2019-03-26,26.69,26.98,25.46,25.69,25.69,-1.08%,75754079,,,-5130.626893812963,293.0,-5198.820650564314,296.0,-5130.626893812963,293.0
2019-03-27,25.7,25.88,24.55,24.89,24.89,-3.11%,88585265,,,-5133.070049476683,293.0,-5201.296279445535,296.0,-5133.070049476683,293.0
2019-03-28,25.1,25.56,24.65,25.06,25.06,0.68%,64667453,,,-5135.514368547862,293.0,-5203.773087197652,296.0,-5135.514368547862,293.0
2019-03-29,25.58,25.73,25.25,25.52,25.52,1.84%,53502807,,,-5137.959851580505,293.0,-5206.251074382032,296.0,-5137.959851580505,293.0
2019-04-01,26.42,26.56,25.83,26.36,26.36,3.29%,63000322,,,-5140.406499128876,293.0,-5208.730241560309,296.0,-5140.406499128876,293.0
2019-04-02,26.51,26.8,26.09,26.75,26.75,1.48%,53358772,,,-5142.854311747509,293.0,-5211.2105892943855,296.0,-5142.854311747509,293.0
2019-04-03,28.02,29.95,27.88,29.02,29.02,8.49%,197650478,,,-5145.303289991199,293.0,-5213.69211814643,296.0,-5145.303289991199,293.0
2019-04-04,28.88,29.39,28.61,29.09,29.09,0.24%,82191092,,,-5147.7534344150035,293.0,-5216.174828678881,296.0,-5147.7534344150035,293.0
2019-04-05,29.64,29.69,28.8,28.98,28.98,-0.38%,65662738,,,-5150.204745574249,293.0,-5218.6587214544425,296.0,-5150.204745574249,293.0
2019-04-08,28.69,28.95,28.18,28.53,28.53,-1.55%,58002493,,,-5152.657224024522,293.0,-5221.143797036088,296.0,-5152.657224024522,293.0
