Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,105.88,105.95,103.5,104.04,100.381,-0.0122,2406267,,,-4993.92,48.0,-4993.92,48.0,-4993.92,48.0
2018-07-05,104.7,105.6,104.43,105.34,101.635,0.0125,6202815,,,-4996.298057142857,48.0,-4996.298057142857,48.0,-4996.298057142857,48.0
2018-07-06,104.5,105.04,104.04,104.78,101.905,-0.0053,4134897,,,-4998.677246693877,48.0,-4998.677246693877,48.0,-4998.677246693877,48.0
2018-07-09,105.01,106.07,104.75,106.02,103.111,0.0118,4725229,,,-5001.057569192303,48.0,-5001.057569192303,48.0,-5001.057569192303,48.0
2018-07-10,106.25,106.57,104.83,106.03,103.121,0.0001,4213638,,,-5003.439025177633,48.0,-5003.439025177633,48.0,-5003.439025177633,48.0
2018-07-11,105.32,109.34,105.32,108.04,105.076,0.019,11753824,,,-5005.821615189622,48.0,-5005.821615189622,48.0,-5005.821615189622,48.0
2018-07-12,108.05,109.2,107.82,108.25,105.28,0.0019,5931413,,,-5008.205339768284,48.0,-5008.205339768284,48.0,-5008.205339768284,48.0
2018-07-13,108.0,110.24,107.66,110.0,106.982,0.0162,8188898,,,-5010.590199453888,48.0,-5010.590199453888,48.0,-5010.590199453888,48.0
2018-07-16,109.82,110.45,108.77,110.2,107.177,0.0018,8245935,,,-5012.976194786961,48.0,-5012.976194786961,48.0,-5012.976194786961,48.0
2018-07-17,110.26,112.62,110.09,110.3,107.274,0.0009,9075939,,,-5015.363326308288,48.0,-5015.363326308288,48.0,-5015.363326308288,48.0
2018-07-18,110.31,111.06,109.65,110.69,107.653,0.0035,6414101,,,-5017.751594558911,48.0,-5017.751594558911,48.0,-5017.751594558911,48.0
2018-07-19,111.54,114.68,111.3,112.13,109.054,0.013,17796796,,,-5020.14100008013,48.0,-5020.14100008013,48.0,-5020.14100008013,48.0
2018-07-20,112.15,112.2,110.83,111.48,108.422,-0.0058,11805204,,,-5022.531543413501,48.0,-5022.531543413501,48.0,-5022.531543413501,48.0
2018-07-23,111.05,111.21,110.34,111.09,108.042,-0.0035,5447781,,,-5024.923225100841,48.0,-5024.923225100841,48.0,-5024.923225100841,48.0
2018-07-24,111.84,111.89,110.54,110.7,107.663,-0.0035,5649108,,,-5027.316045684222,48.0,-5027.316045684222,48.0,-5027.316045684222,48.0
2018-07-25,110.64,111.42,109.63,111.18,108.13,0.0043,6750450,,,-5029.710005705977,48.0,-5029.710005705977,48.0,-5029.710005705977,48.0
2018-07-26,112.15,114.56,111.68,113.51,110.396,0.021,9466376,,,-5032.105105708694,48.0,-5032.105105708694,48.0,-5032.105105708694,48.0
2018-07-27,114.0,114.05,111.92,112.62,109.53,-0.0078,5717232,,,-5034.501346235223,48.0,-5034.501346235223,48.0,-5034.501346235223,48.0
2018-07-30,112.2,113.34,112.05,112.63,109.54,0.0001,5199310,,,-5036.898727828668,48.0,-5036.898727828668,48.0,-5036.898727828668,48.0
2018-07-31,112.55,114.05,112.36,113.56,110.445,0.0083,8421188,,,-5039.297251032395,48.0,-5039.297251032395,48.0,-5039.297251032395,48.0
2018-08-01,113.68,113.83,112.59,112.97,109.871,-0.0052,6466570,,,-5041.696916390029,48.0,-5041.696916390029,48.0,-5041.696916390029,48.0
2018-08-02,112.5,113.32,111.68,112.75,109.657,-0.0019,4027577,,,-5044.097724445453,48.0,-5044.097724445453,48.0,-5044.097724445453,48.0
2018-08-03,113.2,114.1,112.4,114.09,110.96,0.0119,4747467,,,-5046.499675742808,48.0,-5046.499675742808,48.0,-5046.499675742808,48.0
2018-08-06,114.66,116.84,114.16,115.94,112.759,0.0162,12715611,,,-5048.902770826495,48.0,-5048.902770826495,48.0,-5048.902770826495,48.0
2018-08-07,116.57,117.9,116.24,116.56,113.362,0.0053,15466928,,,-5051.307010241174,48.0,-5051.307010241174,48.0,-5051.307010241174,48.0
2018-08-08,115.9,116.41,113.9,113.98,110.853,-0.0221,11727147,,,-5053.712394531765,48.0,-5053.712394531765,48.0,-5053.712394531765,48.0
2018-08-09,114.05,114.8,112.81,114.16,111.028,0.0016,7042038,,,-5056.1189242434475,48.0,-5056.1189242434475,48.0,-5056.1189242434475,48.0
2018-08-10,113.58,113.8,112.4,112.68,109.589,-0.013,5740222,,,-5058.526599921659,48.0,-5058.526599921659,48.0,-5058.526599921659,48.0
2018-08-13,112.66,112.84,111.72,112.12,109.044,-0.005,6082324,,,-5060.9354221120975,48.0,-5060.9354221120975,48.0,-5060.9354221120975,48.0
2018-08-14,112.38,113.185,111.945,112.75,109.657,0.0056,4326595,,,-5063.345391360723,48.0,-5063.345391360723,48.0,-5063.345391360723,48.0
2018-08-15,112.18,113.12,111.47,112.85,109.754,0.0009,5183545,,,-5065.756508213752,48.0,-5178.606508213752,49.0,-5065.756508213752,48.0
2018-08-16,113.3,113.33,112.4,112.48,109.394,-0.0033,5082522,,,-5068.168773217663,48.0,-5181.072511312901,49.0,-5068.168773217663,48.0
2018-08-17,112.51,112.86,111.89,112.48,109.394,,4764732,,,-5070.582186919196,48.0,-5183.53968869924,49.0,-5070.582186919196,48.0
2018-08-20,112.93,113.0,111.91,111.99,108.918,-0.0044,5167649,,,-5072.996749865348,48.0,-5186.008040931954,49.0,-5072.996749865348,48.0
2018-08-21,112.25,113.0,112.0,112.39,109.307,0.0036,4770448,,,-5075.412462603379,48.0,-5188.4775685704935,49.0,-5075.412462603379,48.0
2018-08-22,112.44,112.75,111.94,111.94,108.869,-0.004,3212988,,,-5077.829325680809,48.0,-5190.948272174574,49.0,-5077.829325680809,48.0
2018-08-23,111.94,112.14,111.53,112.0,108.927,0.0005,4257386,,,-5080.247339645419,48.0,-5193.420152304181,49.0,-5080.247339645419,48.0
2018-08-24,111.63,112.7,111.44,111.93,108.859,-0.0006,5049352,,,-5082.66650504525,48.0,-5195.893209519564,49.0,-5082.66650504525,48.0
2018-08-27,112.49,112.89,112.07,112.33,109.248,0.0036,4768104,,,-5085.086822428605,48.0,-5198.36744438124,49.0,-5085.086822428605,48.0
2018-08-28,112.57,112.79,112.2,112.58,109.491,0.0022,3131842,,,-5087.508292344047,48.0,-5200.842857449993,49.0,-5087.508292344047,48.0
2018-08-29,112.58,112.72,112.02,112.45,109.365,-0.0012,4001492,,,-5089.930915340401,48.0,-5203.319449286874,49.0,-5089.930915340401,48.0
2018-08-30,112.07,112.42,111.59,111.92,108.85,-0.0047,3481754,,,-5092.354691966753,48.0,-5205.797220453202,49.0,-5092.354691966753,48.0
2018-08-31,111.9,112.28,111.56,112.02,108.947,0.0009,4642826,,,-5094.779622772452,48.0,-5208.27617151056,49.0,-5094.779622772452,48.0
2018-09-04,111.8,112.0,110.65,110.85,107.809,-0.0104,6391228,,,-5097.205708307106,48.0,-5210.756303020803,49.0,-5097.205708307106,48.0
2018-09-05,110.58,110.82,109.7,109.87,106.856,-0.0088,6388627,,,-5099.632949120585,48.0,-5213.237615546051,49.0,-5099.632949120585,48.0
