Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2021-07-29,137.0,139.0,132.0,134.44,134.44,-3.29%,693874,,,-4974.28,37.0,-4974.28,37.0,-4974.28,37.0
2021-07-30,135.18,141.4,128.5,140.25,140.25,4.32%,617792,,,-4976.648704761905,37.0,-4976.648704761905,37.0,-4976.648704761905,37.0
2021-08-02,140.0,147.25,134.72,143.8,143.8,2.53%,586661,,,-4979.018537478458,37.0,-4979.018537478458,37.0,-4979.018537478458,37.0
2021-08-03,143.16,146.99,138.01,139.86,139.86,-2.74%,740097,,,-4981.389498686781,37.0,-4981.389498686781,37.0,-4981.389498686781,37.0
2021-08-04,136.47,142.345,135.9,141.5,141.5,1.17%,475890,,,-4983.761588924251,37.0,-4983.761588924251,37.0,-4983.761588924251,37.0
2021-08-05,139.01,152.84,137.01,146.0,146.0,3.18%,724944,,,-4986.1348087285005,37.0,-4986.1348087285005,37.0,-4986.1348087285005,37.0
2021-08-06,140.1,141.86,132.4,134.38,134.38,-7.96%,425188,,,-4988.509158637419,37.0,-4988.509158637419,37.0,-4988.509158637419,37.0
2021-08-09,135.0,138.53,135.0,138.25,138.25,2.88%,353739,,,-4990.884639189151,37.0,-4990.884639189151,37.0,-4990.884639189151,37.0
2021-08-10,138.6,141.5,138.6,140.0,140.0,1.27%,233674,,,-4993.261250922098,37.0,-4993.261250922098,37.0,-4993.261250922098,37.0
2021-08-11,140.5,142.97,135.4,135.96,135.96,-2.89%,324805,,,-4995.638994374918,37.0,-4995.638994374918,37.0,-4995.638994374918,37.0
2021-08-12,135.5,137.21,130.16,133.8,133.8,-1.59%,365432,,,-4998.017870086525,37.0,-4998.017870086525,37.0,-4998.017870086525,37.0
2021-08-13,134.0,137.789,131.74,136.63,136.63,2.12%,156183,,,-5000.397878596091,37.0,-5000.397878596091,37.0,-5000.397878596091,37.0
2021-08-16,137.11,137.99,133.365,135.0,135.0,-1.19%,171438,,,-5002.779020443041,37.0,-5002.779020443041,37.0,-5002.779020443041,37.0
2021-08-17,135.39,136.13,132.2,133.48,133.48,-1.13%,245279,,,-5005.161296167062,37.0,-5005.161296167062,37.0,-5005.161296167062,37.0
2021-08-18,133.4,133.97,129.14,131.5,131.5,-1.48%,341757,,,-5007.544706308094,37.0,-5007.544706308094,37.0,-5007.544706308094,37.0
2021-08-19,130.78,131.0,125.1,126.16,126.16,-4.06%,303141,,,-5009.929251406335,37.0,-5009.929251406335,37.0,-5009.929251406335,37.0
2021-08-20,126.5,127.4,125.01,126.03,126.03,-0.10%,132046,,,-5012.314932002243,37.0,-5012.314932002243,37.0,-5012.314932002243,37.0
2021-08-23,125.26,126.0,123.0,124.01,124.01,-1.60%,151922,,,-5014.701748636529,37.0,-5014.701748636529,37.0,-5014.701748636529,37.0
2021-08-24,123.69,130.62,123.69,127.16,127.16,2.54%,226091,,,-5017.0897018501655,37.0,-5017.0897018501655,37.0,-5017.0897018501655,37.0
2021-08-25,127.28,130.58,126.29,127.33,127.33,0.13%,113375,,,-5019.47879218438,37.0,-5019.47879218438,37.0,-5019.47879218438,37.0
2021-08-26,127.43,128.0,119.68,120.0,120.0,-5.76%,250818,,,-5021.8690201806585,37.0,-5021.8690201806585,37.0,-5021.8690201806585,37.0
2021-08-27,119.8,120.775,118.545,120.1,120.1,0.08%,188407,,,-5024.260386380744,37.0,-5024.260386380744,37.0,-5024.260386380744,37.0
2021-08-30,121.04,128.8,119.4,128.7,128.7,7.16%,221748,,,-5026.65289132664,37.0,-5026.65289132664,37.0,-5026.65289132664,37.0
2021-08-31,127.16,130.81,125.4,129.56,129.56,0.67%,209065,,,-5029.046535560606,37.0,-5029.046535560606,37.0,-5029.046535560606,37.0
2021-09-01,130.0,137.72,128.94,137.48,137.48,6.11%,139226,,,-5031.441319625158,37.0,-5031.441319625158,37.0,-5031.441319625158,37.0
2021-09-02,138.17,152.77,136.601,152.09,152.09,10.63%,400190,,,-5033.837244063075,37.0,-5033.837244063075,37.0,-5033.837244063075,37.0
