Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,56.791,56.791,55.001,55.145,55.009,-2.18%,13580680,,,-4963.05,90.0,-4963.05,90.0,-4963.05,90.0
2018-07-05,55.527,56.375,55.424,56.213,56.075,1.94%,21333700,,,-4965.413357142857,90.0,-4965.413357142857,90.0,-4965.413357142857,90.0
2018-07-06,56.179,57.047,56.037,57.009,56.868,1.42%,19921580,,,-4967.7778396938775,90.0,-4967.7778396938775,90.0,-4967.7778396938775,90.0
2018-07-09,57.424,57.734,57.171,57.703,57.56,1.22%,18179380,,,-4970.14344818897,90.0,-4970.14344818897,90.0,-4970.14344818897,90.0
2018-07-10,57.849,57.979,57.479,57.642,57.5,-0.11%,15968240,,,-4972.510183164298,90.0,-4972.510183164298,90.0,-4972.510183164298,90.0
2018-07-11,57.229,58.215,57.05,57.695,57.553,0.09%,22399860,,,-4974.878045156281,90.0,-4974.878045156281,90.0,-4974.878045156281,90.0
2018-07-12,57.995,59.221,57.797,59.174,59.028,2.56%,25037680,,,-4977.247034701593,90.0,-4977.247034701593,90.0,-4977.247034701593,90.0
2018-07-13,59.25,59.771,59.0,59.441,59.294,0.45%,24441440,,,-4979.617152337166,90.0,-4979.617152337166,90.0,-4979.617152337166,90.0
2018-07-16,59.47,59.55,58.964,59.193,59.047,-0.42%,21113240,,,-4981.988398600183,90.0,-4981.988398600183,90.0,-4981.988398600183,90.0
2018-07-17,58.611,60.152,58.53,59.94,59.792,1.26%,32207060,,,-4984.360774028088,90.0,-4984.360774028088,90.0,-4984.360774028088,90.0
2018-07-18,59.828,60.225,59.517,59.794,59.647,-0.24%,27872120,,,-4986.734279158577,90.0,-4986.734279158577,90.0,-4986.734279158577,90.0
