Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-07-06,58.72,59.62,58.6,59.54,53.073,0.0069,20578419,,,-4941.82,83.0,-4941.82,83.0,-4941.82,83.0
2020-07-07,59.07,59.57,58.14,58.31,51.976,-0.0207,15996534,,,-4944.173247619047,83.0,-4944.173247619047,83.0,-4944.173247619047,83.0
2020-07-08,58.45,58.7,57.93,58.61,52.244,0.0051,13278853,,,-4946.527615832199,83.0,-4946.527615832199,83.0,-4946.527615832199,83.0
2020-07-09,58.2,58.75,57.7,58.42,52.074,-0.0032,20683813,,,-4948.883105173072,83.0,-4948.883105173072,83.0,-4948.883105173072,83.0
2020-07-10,57.95,59.69,57.83,59.53,53.064,0.019,17744340,,,-4951.239716175535,83.0,-4951.239716175535,83.0,-4951.239716175535,83.0
2020-07-13,59.84,60.62,58.39,58.58,52.217,-0.016,19089143,,,-4953.597449373714,83.0,-4953.597449373714,83.0,-4953.597449373714,83.0
2020-07-14,57.87,59.25,57.35,58.98,52.574,0.0068,24225866,,,-4955.956305301987,83.0,-4955.956305301987,83.0,-4955.956305301987,83.0
2020-07-15,59.03,59.34,58.42,59.03,52.618,0.0008,20031070,,,-4958.316284494988,83.0,-5017.346284494988,84.0,-4958.316284494988,83.0
2020-07-16,58.54,59.36,58.4,59.14,52.716,0.0019,12425916,,,-4960.677387487605,83.0,-5019.735497011415,84.0,-4960.677387487605,83.0
2020-07-17,59.42,60.46,59.28,60.0,53.483,0.0145,16322529,,,-4963.03961481498,83.0,-5022.125847248087,84.0,-4963.03961481498,83.0
2020-07-20,60.08,61.38,59.34,61.15,54.508,0.0192,16809200,,,-4965.402967012511,83.0,-5024.517335746777,84.0,-4965.402967012511,83.0
2020-07-21,61.52,61.93,60.44,60.7,54.107,-0.0074,18964718,,,-4967.76744461585,83.0,-5026.909963049513,84.0,-4967.76744461585,83.0
2020-07-22,61.31,61.765,60.62,61.05,54.419,0.0058,18959921,,,-4970.133048160905,83.0,-5029.303729698584,84.0,-4970.133048160905,83.0
2020-07-23,61.255,61.74,59.98,60.4,53.839,-0.0106,43518551,,,-4972.499778183838,83.0,-5031.698636236536,84.0,-4972.499778183838,83.0
2020-07-24,52.15,52.18,49.5,50.59,45.095,-0.1624,182269902,,,-4974.867635221069,83.0,-5034.094683206173,84.0,-4974.867635221069,83.0
2020-07-27,51.03,51.14,49.465,49.57,44.186,-0.0202,107526547,,,-4977.2366198092695,83.0,-5036.491871150557,84.0,-4977.2366198092695,83.0
2020-07-28,49.48,50.23,49.14,49.24,43.892,-0.0067,62362611,,,-4979.606732485369,83.0,-5038.890200613009,84.0,-4979.606732485369,83.0
2020-07-29,49.49,49.5,47.9,48.07,42.849,-0.0238,60500806,,,-4981.977973786553,83.0,-5041.289672137111,84.0,-4981.977973786553,83.0
2020-07-30,47.83,48.5,47.59,47.99,42.777,-0.0017,39735185,,,-4984.350344250261,83.0,-5043.6902862667,84.0,-4984.350344250261,83.0
2020-07-31,48.13,48.322,46.97,47.73,42.546,-0.0054,46569883,,,-4986.723844414189,83.0,-5046.092043545875,84.0,-4986.723844414189,83.0
2020-08-03,48.27,48.627,47.74,48.3,43.054,0.0119,31767139,,,-4989.098474816292,83.0,-5048.494944518991,84.0,-4989.098474816292,83.0
2020-08-04,48.6,49.14,48.5,49.13,43.794,0.0172,29045836,,,-4991.474235994776,83.0,-5050.898989730667,84.0,-4991.474235994776,83.0
2020-08-05,49.72,49.72,48.66,48.92,43.606,-0.0043,29471066,,,-4993.851128488107,83.0,-5053.304179725777,84.0,-4993.851128488107,83.0
2020-08-06,48.79,48.82,48.1,48.57,43.589,-0.0072,23795529,,,-4996.229152835006,83.0,-5055.710515049456,84.0,-4996.229152835006,83.0
2020-08-07,48.53,48.65,47.7,48.03,43.104,-0.0111,36765228,,,-4998.608309574452,83.0,-5058.117996247099,84.0,-4998.608309574452,83.0
2020-08-10,48.2,49.39,48.06,49.22,44.172,0.0248,37442609,,,-5000.9885992456775,83.0,-5060.526623864359,84.0,-5000.9885992456775,83.0
2020-08-11,49.63,49.73,48.06,48.19,43.247,-0.0209,35348092,,,-5003.370022388175,83.0,-5062.936398447151,84.0,-5003.370022388175,83.0
2020-08-12,48.67,49.26,48.24,49.19,44.145,0.0208,30687169,,,-5005.752579541693,83.0,-5065.347320541649,84.0,-5005.752579541693,83.0
2020-08-13,49.26,49.33,48.385,48.56,43.58,-0.0128,24774512,,,-5008.136271246237,83.0,-5067.759390694288,84.0,-5008.136271246237,83.0
2020-08-14,48.73,49.21,48.65,48.89,43.876,0.0068,22321168,,,-5010.521098042069,83.0,-5070.172609451762,84.0,-5010.521098042069,83.0
2020-08-17,49.11,49.305,48.73,48.93,43.912,0.0008,19954578,,,-5012.907060469708,83.0,-5072.586977361025,84.0,-5012.907060469708,83.0
2020-08-18,49.26,49.57,48.62,48.65,43.66,-0.0057,19251395,,,-5015.294159069932,83.0,-5075.002494969292,84.0,-5015.294159069932,83.0
2020-08-19,48.785,48.98,48.25,48.33,43.373,-0.0066,27774975,,,-5017.682394383774,83.0,-5077.419162824039,84.0,-5017.682394383774,83.0
2020-08-20,49.81,50.2,49.0,49.17,44.127,0.0174,55081342,,,-5020.071766952528,83.0,-5079.836981473002,84.0,-5020.071766952528,83.0
2020-08-21,49.02,49.31,48.65,49.28,44.226,0.0022,34316470,,,-5022.462277317743,83.0,-5082.25595146418,84.0,-5022.462277317743,83.0
2020-08-24,49.26,49.4,48.82,49.14,44.1,-0.0028,36295307,,,-5024.853926021228,83.0,-5084.6760733458295,84.0,-5024.853926021228,83.0
2020-08-25,49.35,49.88,49.21,49.43,44.36,0.0059,38384329,,,-5027.246713605048,83.0,-5087.09734766647,84.0,-5027.246713605048,83.0
2020-08-26,49.39,49.67,49.23,49.55,44.468,0.0024,28616620,,,-5029.640640611527,83.0,-5089.519774974883,84.0,-5029.640640611527,83.0
2020-08-27,49.79,49.93,49.17,49.4,44.333,-0.003,24420613,,,-5032.035707583246,83.0,-5091.943355820109,84.0,-5032.035707583246,83.0
2020-08-28,49.57,50.8,49.46,50.43,45.258,0.0209,35384684,,,-5034.431915063048,83.0,-5094.368090751452,84.0,-5034.431915063048,83.0
2020-08-31,51.0,51.5,50.32,50.95,45.724,0.0103,46114133,,,-5036.829263594031,83.0,-5096.793980318476,84.0,-5036.829263594031,83.0
2020-09-01,50.91,51.0,50.22,50.79,45.581,-0.0031,30522707,,,-5039.227753719551,83.0,-5099.221025071009,84.0,-5039.227753719551,83.0
2020-09-02,51.21,52.68,51.09,52.25,46.891,0.0287,53000730,,,-5041.627385983227,83.0,-5101.649225559137,84.0,-5041.627385983227,83.0
2020-09-03,52.5,52.62,50.135,50.39,45.222,-0.0356,47394340,,,-5044.028160928933,83.0,-5104.0785823332135,84.0,-5044.028160928933,83.0
2020-09-04,50.53,51.23,49.49,50.08,44.944,-0.0062,43318369,,,-5046.4300791008045,83.0,-5106.5090959438485,84.0,-5046.4300791008045,83.0
2020-09-08,49.26,49.9,48.85,48.91,43.894,-0.0234,39752694,,,-5048.833141043234,83.0,-5108.940766941917,84.0,-5048.833141043234,83.0
2020-09-09,49.53,49.968,49.04,49.62,44.531,0.0145,33437273,,,-5051.237347300874,83.0,-5111.373595878556,84.0,-5051.237347300874,83.0
2020-09-10,50.0,50.09,48.71,48.96,43.939,-0.0133,32649149,,,-5053.642698418636,83.0,-5113.807583305165,84.0,-5053.642698418636,83.0
2020-09-11,49.264,50.05,48.95,49.28,44.226,0.0065,29333570,,,-5056.049194941693,83.0,-5116.242729773406,84.0,-5056.049194941693,83.0
