Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2022-07-05,322.44,327.43,318.93,327.18,319.992,0.0076,2109663,,,-4907.7,15.0,-4907.7,15.0,-4907.7,15.0
2022-07-06,328.0,332.74,326.75,330.15,322.896,0.0091,2252491,,,-4910.037,15.0,-4910.037,15.0,-4910.037,15.0
2022-07-07,327.25,330.5,326.24,327.95,320.745,-0.0067,2395046,,,-4912.375112857143,15.0,-4912.375112857143,15.0,-4912.375112857143,15.0
2022-07-08,326.55,334.52,326.16,330.47,323.209,0.0077,1898294,,,-4914.714339101361,15.0,-4914.714339101361,15.0,-4914.714339101361,15.0
2022-07-11,330.61,332.68,329.428,331.07,323.796,0.0018,1342949,,,-4917.054679262837,15.0,-4917.054679262837,15.0,-4917.054679262837,15.0
2022-07-12,330.0,331.99,323.36,323.59,316.481,-0.0226,2058398,,,-4919.39613387201,15.0,-4919.39613387201,15.0,-4919.39613387201,15.0
2022-07-13,322.01,324.68,320.83,322.46,315.375,-0.0035,2564310,,,-4921.738703459569,15.0,-4921.738703459569,15.0,-4921.738703459569,15.0
2022-07-14,317.54,327.76,315.51,326.89,319.708,0.0137,2615713,,,-4924.082388556454,15.0,-4924.082388556454,15.0,-4924.082388556454,15.0
2022-07-15,331.97,335.33,328.17,331.6,324.315,0.0144,3340336,,,-4926.427189693862,15.0,-5258.027189693862,16.0,-4926.427189693862,15.0
2022-07-18,330.12,331.97,319.71,321.77,314.701,-0.0296,2116414,,,-4928.77310740324,15.0,-5260.531012165145,16.0,-4928.77310740324,15.0
2022-07-19,324.09,327.38,321.84,326.2,319.033,0.0138,1628234,,,-4931.120142216289,15.0,-5263.036026932842,16.0,-4931.120142216289,15.0
2022-07-20,327.09,327.82,320.31,322.03,314.955,-0.0128,2051072,,,-4933.468294664964,15.0,-5265.542234564715,16.0,-4933.468294664964,15.0
2022-07-21,321.45,328.05,319.71,326.92,319.737,0.0152,1692104,,,-4935.817565281471,15.0,-5268.049635628793,16.0,-4935.817565281471,15.0
2022-07-22,326.95,329.22,325.83,328.75,321.527,0.0056,1850862,,,-4938.1679545982715,15.0,-5270.558230693378,16.0,-4938.1679545982715,15.0
2022-07-25,328.75,332.27,328.06,331.55,324.266,0.0085,1741726,,,-4940.51946314808,15.0,-5273.068020327042,16.0,-4940.51946314808,15.0
2022-07-26,330.99,332.57,328.61,331.56,324.275,,1812283,,,-4942.872091463864,15.0,-5275.579005098626,16.0,-4942.872091463864,15.0
2022-07-27,328.98,330.87,325.19,328.94,321.713,-0.0079,1643193,,,-4945.225840078847,15.0,-5278.091185577245,16.0,-4945.225840078847,15.0
2022-07-28,330.24,333.59,321.74,330.8,323.532,0.0057,2351047,,,-4947.580709526504,15.0,-5280.604562332282,16.0,-4947.580709526504,15.0
2022-07-29,331.06,331.06,326.82,329.69,322.447,-0.0034,3399855,,,-4949.936700340564,15.0,-5283.1191359333925,16.0,-4949.936700340564,15.0
2022-08-01,327.51,330.43,323.46,324.15,317.028,-0.0168,2464276,,,-4952.293813055012,15.0,-5285.634906950504,16.0,-4952.293813055012,15.0
2022-08-02,327.19,328.98,319.36,320.2,313.165,-0.0122,3405692,,,-4954.652048204086,15.0,-5288.151875953814,16.0,-4954.652048204086,15.0
2022-08-03,320.63,320.98,310.22,313.83,306.935,-0.0199,5152196,,,-4957.011406322278,15.0,-5290.670043513792,16.0,-4957.011406322278,15.0
2022-08-04,310.2,310.25,302.24,305.79,299.072,-0.0256,4696250,,,-4959.371887944337,15.0,-5293.189410201179,16.0,-4959.371887944337,15.0
2022-08-05,302.48,305.32,300.31,301.32,294.7,-0.0146,2814275,,,-4961.733493605263,15.0,-5295.70997658699,16.0,-4961.733493605263,15.0
2022-08-08,300.65,306.12,296.53,302.5,295.854,0.0039,3219472,,,-4964.0962238403135,15.0,-5298.231743242507,16.0,-4964.0962238403135,15.0
2022-08-09,305.09,306.697,301.3,303.02,296.363,0.0017,2123056,,,-4966.460079185,15.0,-5300.754710739289,16.0,-4966.460079185,15.0
2022-08-10,304.5,307.13,302.59,304.61,297.918,0.0052,2351049,,,-4968.825060175088,15.0,-5303.278879649165,16.0,-4968.825060175088,15.0
2022-08-11,301.03,305.42,299.63,301.17,294.553,-0.0113,2198999,,,-4971.1911673466,15.0,-5305.804250544236,16.0,-4971.1911673466,15.0
2022-08-12,302.92,308.49,301.3,308.08,302.27,0.0229,2305105,,,-4973.558401235813,15.0,-5308.3308239968765,16.0,-4973.558401235813,15.0
2022-08-15,309.21,314.61,307.31,313.94,308.019,0.019,2795795,,,-4975.926762379258,15.0,-5624.798600579732,17.0,-4975.926762379258,15.0
2022-08-16,313.93,314.365,309.63,310.31,304.458,-0.0116,2247979,,,-4978.2962513137245,15.0,-5627.477076103818,17.0,-4978.2962513137245,15.0
2022-08-17,310.01,320.6,310.01,316.82,310.845,0.021,2747228,,,-4980.666868576255,15.0,-5630.156827092439,17.0,-4980.666868576255,15.0
