Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,194.55,195.4,192.52,192.73,192.153,-2.35%,13489514,,,-4818.25,25.0,-4818.25,25.0,-4818.25,25.0
2018-07-05,194.74,198.65,194.03,198.45,197.856,2.97%,19684193,,,-4820.544404761905,25.0,-4820.544404761905,25.0,-4820.544404761905,25.0
2018-07-06,198.45,203.64,197.7,203.23,202.622,2.41%,19740131,,,-4822.839902097506,25.0,-4822.839902097506,25.0,-4822.839902097506,25.0
2018-07-09,204.93,205.8,202.12,204.74,204.127,0.74%,18149437,,,-4825.136492527076,25.0,-4825.136492527076,25.0,-4825.136492527076,25.0
2018-07-10,204.5,204.91,202.26,203.54,202.931,-0.59%,13190067,,,-4827.434176571137,25.0,-4827.434176571137,25.0,-4827.434176571137,25.0
2018-07-11,202.22,204.5,201.75,202.54,201.934,-0.49%,12927377,,,-4829.732954750457,25.0,-4829.732954750457,25.0,-4829.732954750457,25.0
2018-07-12,203.43,207.08,203.19,206.92,206.301,2.16%,15454706,,,-4832.032827586052,25.0,-4832.032827586052,25.0,-4832.032827586052,25.0
2018-07-13,207.81,208.43,206.45,207.32,206.7,0.19%,11503401,,,-4834.333795599188,25.0,-4834.333795599188,25.0,-4834.333795599188,25.0
2018-07-16,207.5,208.72,206.84,207.23,206.61,-0.04%,11078209,,,-4836.635859311378,25.0,-4836.635859311378,25.0,-4836.635859311378,25.0
2018-07-17,204.9,210.46,204.84,209.99,209.362,1.33%,15349892,,,-4838.939019244383,25.0,-4838.939019244383,25.0,-4838.939019244383,25.0
2018-07-18,209.82,210.99,208.44,209.36,208.734,-0.30%,15334907,,,-4841.243275920214,25.0,-4841.243275920214,25.0,-4841.243275920214,25.0
2018-07-19,208.77,209.99,207.76,208.09,207.467,-0.61%,11350429,,,-4843.548629861129,25.0,-4843.548629861129,25.0,-4843.548629861129,25.0
2018-07-20,208.85,211.5,208.5,209.94,209.312,0.89%,16241508,,,-4845.855081589634,25.0,-4845.855081589634,25.0,-4845.855081589634,25.0
2018-07-23,210.58,211.62,208.8,210.91,210.279,0.46%,16731969,,,-4848.162631628486,25.0,-4848.162631628486,25.0,-4848.162631628486,25.0
2018-07-24,215.11,216.2,212.6,214.67,214.028,1.78%,28468681,,,-4850.47128050069,25.0,-4850.47128050069,25.0,-4850.47128050069,25.0
2018-07-25,215.72,218.62,214.27,217.5,216.849,1.32%,64592585,,,-4852.7810287295,25.0,-4852.7810287295,25.0,-4852.7810287295,25.0
2018-07-26,174.89,180.13,173.75,176.26,175.733,-18.96%,169803668,,,-4855.091876838418,25.0,-4855.091876838418,25.0,-4855.091876838418,25.0
2018-07-27,179.87,179.93,173.0,174.89,174.367,-0.78%,60073749,,,-4857.403825351198,25.0,-4857.403825351198,25.0,-4857.403825351198,25.0
2018-07-30,175.3,175.3,166.56,171.06,170.548,-2.19%,65280787,,,-4859.716874791841,25.0,-4859.716874791841,25.0,-4859.716874791841,25.0
2018-07-31,170.67,174.24,170.0,172.58,172.064,0.89%,40356471,,,-4862.0310256846,25.0,-4862.0310256846,25.0,-4862.0310256846,25.0
2018-08-01,173.93,175.08,170.9,171.65,171.136,-0.54%,34042109,,,-4864.346278553973,25.0,-4864.346278553973,25.0,-4864.346278553973,25.0
2018-08-02,170.68,176.79,170.27,176.37,175.842,2.75%,32399954,,,-4866.662633924713,25.0,-4866.662633924713,25.0,-4866.662633924713,25.0
2018-08-03,177.69,178.85,176.15,177.78,177.248,0.80%,24763434,,,-4868.98009232182,25.0,-4868.98009232182,25.0,-4868.98009232182,25.0
2018-08-06,178.97,185.79,178.38,185.69,185.134,4.45%,49716192,,,-4871.298654270545,25.0,-4871.298654270545,25.0,-4871.298654270545,25.0
2018-08-07,186.5,188.3,183.72,183.81,183.26,-1.01%,33398562,,,-4873.6183202963875,25.0,-4873.6183202963875,25.0,-4873.6183202963875,25.0
2018-08-08,184.75,186.85,183.76,185.18,184.626,0.75%,22205230,,,-4875.9390909251,25.0,-4875.9390909251,25.0,-4875.9390909251,25.0
2018-08-09,185.85,186.57,182.48,183.09,182.542,-1.13%,19732120,,,-4878.260966682683,25.0,-4878.260966682683,25.0,-4878.260966682683,25.0
2018-08-10,182.04,182.1,179.42,180.26,179.721,-1.55%,21500410,,,-4880.583948095389,25.0,-4880.583948095389,25.0,-4880.583948095389,25.0
2018-08-13,180.1,182.61,178.9,180.05,179.511,-0.12%,17423264,,,-4882.90803568972,25.0,-4882.90803568972,25.0,-4882.90803568972,25.0
2018-08-14,180.71,181.99,178.62,181.11,180.568,0.59%,19101995,,,-4885.233229992429,25.0,-4885.233229992429,25.0,-4885.233229992429,25.0
2018-08-15,179.34,180.87,174.78,179.53,178.993,-0.87%,33020231,,,-4887.559531530521,25.0,-5067.089531530521,26.0,-4887.559531530521,25.0
2018-08-16,180.42,180.5,174.01,174.7,174.177,-2.69%,31351784,,,-4889.886940831249,25.0,-5069.50243130744,26.0,-4889.886940831249,25.0
2018-08-17,174.5,176.22,172.04,173.8,173.28,-0.52%,24893176,,,-4892.215458422122,25.0,-5071.916480084253,26.0,-4892.215458422122,25.0
2018-08-20,174.04,174.57,170.91,172.5,171.984,-0.75%,21518006,,,-4894.545084830894,25.0,-5074.331678408103,26.0,-4894.545084830894,25.0
2018-08-21,172.81,174.17,171.39,172.62,172.104,0.07%,19578514,,,-4896.875820585575,25.0,-5076.748026826393,26.0,-4896.875820585575,25.0
2018-08-22,172.21,174.24,172.13,173.64,173.121,0.59%,16894083,,,-4899.207666214425,25.0,-5079.165525886786,26.0,-4899.207666214425,25.0
2018-08-23,173.09,175.55,172.83,172.9,172.383,-0.43%,18053567,,,-4901.540622245956,25.0,-5081.5841761372085,26.0,-4901.540622245956,25.0
2018-08-24,173.7,174.82,172.92,174.65,174.128,1.01%,14631556,,,-4903.87468920893,25.0,-5084.003978125846,26.0,-4903.87468920893,25.0
2018-08-27,175.99,178.67,175.79,177.46,176.929,1.61%,17921935,,,-4906.209867632363,25.0,-5086.424932401143,26.0,-4906.209867632363,25.0
2018-08-28,178.1,178.24,175.83,176.26,175.733,-0.68%,15910675,,,-4908.546158045521,25.0,-5088.847039511811,26.0,-4908.546158045521,25.0
2018-08-29,176.3,176.79,174.75,175.9,175.374,-0.20%,18678301,,,-4910.8835609779235,25.0,-5091.270300006817,26.0,-4910.8835609779235,25.0
2018-08-30,175.9,179.79,175.7,177.64,177.109,0.99%,24216532,,,-4913.222076959341,25.0,-5093.694714435392,26.0,-4913.222076959341,25.0
2018-08-31,177.15,177.62,174.98,175.73,175.204,-1.08%,18065159,,,-4915.5617065197985,25.0,-5096.120283347028,26.0,-4915.5617065197985,25.0
2018-09-04,173.5,173.89,168.8,171.16,170.648,-2.60%,29808971,,,-4917.90245018957,25.0,-5098.547007291479,26.0,-4917.90245018957,25.0
2018-09-05,169.49,171.13,166.67,167.18,166.68,-2.33%,31226744,,,-4920.244308499185,25.0,-5100.97488681876,26.0,-4920.244308499185,25.0
2018-09-06,166.98,166.98,160.0,162.53,162.044,-2.78%,41514834,,,-4922.587281979422,25.0,-5103.4039224791495,26.0,-4922.587281979422,25.0
2018-09-07,160.31,164.63,160.16,163.04,162.552,0.31%,24300600,,,-4924.931371161317,25.0,-5105.8341148231875,26.0,-4924.931371161317,25.0
2018-09-10,163.51,165.01,162.16,164.18,163.689,0.70%,20197680,,,-4927.276576576155,25.0,-5108.265464401675,26.0,-4927.276576576155,25.0
2018-09-11,163.94,167.19,163.72,165.94,165.444,1.07%,20457088,,,-4929.622898755477,25.0,-5110.697971765676,26.0,-4929.622898755477,25.0
2018-09-12,163.25,164.49,161.8,162.0,161.515,-2.37%,24078118,,,-4931.9703382310745,25.0,-5113.131637466517,26.0,-4931.9703382310745,25.0
2018-09-13,162.0,163.32,160.86,161.36,160.877,-0.40%,25453775,,,-4934.318895534994,25.0,-5115.566462055786,26.0,-4934.318895534994,25.0
2018-09-14,161.72,162.84,160.34,162.32,161.834,0.59%,21770405,,,-4936.668571199535,25.0,-5118.0024460853365,26.0,-4936.668571199535,25.0
2018-09-17,161.92,162.06,159.77,160.58,160.1,-1.07%,21005321,,,-4939.019365757249,25.0,-5120.439590107282,26.0,-4939.019365757249,25.0
2018-09-18,159.39,161.76,158.87,160.3,159.82,-0.17%,22465236,,,-4941.371279740943,25.0,-5122.877894673999,26.0,-4941.371279740943,25.0
2018-09-19,160.08,163.44,159.48,163.06,162.572,1.72%,19628996,,,-4943.724313683676,25.0,-5125.31736033813,26.0,-4943.724313683676,25.0
2018-09-20,164.5,166.45,164.47,166.02,165.523,1.82%,18936038,,,-4946.078468118763,25.0,-5127.757987652577,26.0,-4946.078468118763,25.0
2018-09-21,166.64,167.25,162.81,162.93,162.443,-1.86%,45994800,,,-4948.433743579772,25.0,-5130.199777170506,26.0,-4948.433743579772,25.0
2018-09-24,161.03,165.7,160.88,165.41,164.915,1.52%,19222775,,,-4950.790140600525,25.0,-5132.64272944535,26.0,-4950.790140600525,25.0
2018-09-25,161.99,165.59,161.15,164.91,164.417,-0.30%,27622806,,,-4953.147659715097,25.0,-5135.0868450308,26.0,-4953.147659715097,25.0
2018-09-26,164.3,169.3,164.21,166.95,166.451,1.24%,25252231,,,-4955.506301457818,25.0,-5137.532124480815,26.0,-4955.506301457818,25.0
2018-09-27,167.55,171.77,167.21,168.84,168.335,1.13%,27266856,,,-4957.8660663632745,25.0,-5139.978568349615,26.0,-4957.8660663632745,25.0
2018-09-28,168.33,168.79,162.56,164.46,163.968,-2.59%,34265638,,,-4960.226954966304,25.0,-5142.426177191686,26.0,-4960.226954966304,25.0
2018-10-01,163.03,165.88,161.26,162.44,161.954,-1.23%,26407677,,,-4962.588967802002,25.0,-5144.874951561777,26.0,-4962.588967802002,25.0
2018-10-02,161.58,162.28,158.67,159.33,158.853,-1.91%,36030977,,,-4964.952105405718,25.0,-5147.324892014902,26.0,-4964.952105405718,25.0
2018-10-03,160.0,163.66,159.53,162.43,161.944,1.95%,23109456,,,-4967.316368313053,25.0,-5149.775999106338,26.0,-4967.316368313053,25.0
2018-10-04,161.46,161.46,157.35,158.85,158.375,-2.20%,25739635,,,-4969.681757059869,25.0,-5152.228273391626,26.0,-4969.681757059869,25.0
2018-10-05,159.21,160.9,156.2,157.33,156.859,-0.96%,25744047,,,-4972.048272182278,25.0,-5154.681715426575,26.0,-4972.048272182278,25.0
2018-10-08,155.54,158.34,154.39,157.25,156.78,-0.05%,24045968,,,-4974.415914216651,25.0,-5157.136325767254,26.0,-4974.415914216651,25.0
2018-10-09,157.69,160.59,157.42,157.9,157.428,0.41%,18844425,,,-4976.784683699611,25.0,-5159.59210497,26.0,-4976.784683699611,25.0
2018-10-10,156.82,157.69,151.31,151.38,150.927,-4.13%,30609970,,,-4979.15458116804,25.0,-5162.049053591414,26.0,-4979.15458116804,25.0
2018-10-11,150.13,154.81,149.16,153.35,152.891,1.30%,35338901,,,-4981.525607159072,25.0,-5164.507172188362,26.0,-4981.525607159072,25.0
2018-10-12,156.73,156.89,151.3,153.74,153.28,0.25%,25293492,,,-4983.8977622101,25.0,-5166.966461317976,26.0,-4983.8977622101,25.0
2018-10-15,153.32,155.57,152.55,153.52,153.061,-0.14%,15433521,,,-4986.271046858772,25.0,-5322.946921537651,27.0,-4986.271046858772,25.0
2018-10-16,155.4,159.46,155.01,158.78,158.305,3.43%,19180095,,,-4988.64546164299,25.0,-5325.481658166955,27.0,-4988.64546164299,25.0
2018-10-17,159.56,160.49,157.95,159.42,158.943,0.40%,17592003,,,-4991.021007100915,25.0,-5328.017601813701,27.0,-4991.021007100915,25.0
2018-10-18,158.51,158.66,153.28,154.92,154.457,-2.82%,21675084,,,-4993.397683770963,25.0,-5330.55475305266,27.0,-4993.397683770963,25.0
2018-10-19,155.86,157.35,153.55,154.05,153.589,-0.56%,19761347,,,-4995.775492191807,25.0,-5333.093112458876,27.0,-4995.775492191807,25.0
2018-10-22,154.76,157.34,154.46,154.78,154.317,0.47%,15424658,,,-4998.1544329023745,25.0,-5335.632680607666,27.0,-4998.1544329023745,25.0
2018-10-23,151.22,154.77,150.85,154.39,153.928,-0.25%,19095032,,,-5000.534506441852,25.0,-5338.1734580746215,27.0,-5000.534506441852,25.0
2018-10-24,154.28,154.65,145.6,146.04,145.603,-5.41%,27744597,,,-5002.915713349681,25.0,-5340.71544543561,27.0,-5002.915713349681,25.0
2018-10-25,147.73,152.21,147.0,150.95,150.498,3.36%,22105696,,,-5005.298054165562,25.0,-5343.2586432667695,27.0,-5005.298054165562,25.0
2018-10-26,145.82,149.0,143.8,145.37,144.935,-3.70%,31303341,,,-5007.68152942945,25.0,-5345.803052144515,27.0,-5007.68152942945,25.0
2018-10-29,148.5,148.83,139.03,142.09,141.665,-2.26%,31336784,,,-5010.066139681559,25.0,-5348.348672645537,27.0,-5010.066139681559,25.0
2018-10-30,139.94,146.64,139.74,146.22,145.783,2.91%,50528278,,,-5012.45188546236,25.0,-5350.895505346796,27.0,-5012.45188546236,25.0
2018-10-31,155.0,156.4,148.96,151.79,151.336,3.81%,60101251,,,-5014.838767312581,25.0,-5353.443550825533,27.0,-5014.838767312581,25.0
2018-11-01,151.52,152.75,149.35,151.75,151.296,-0.03%,25640786,,,-5017.226785773206,25.0,-5355.992809659259,27.0,-5017.226785773206,25.0
2018-11-02,151.8,154.13,148.96,150.35,149.9,-0.92%,24708695,,,-5019.615941385478,25.0,-5358.543282425764,27.0,-5019.615941385478,25.0
2018-11-05,150.1,150.19,147.44,148.68,148.235,-1.11%,15969849,,,-5022.0062346909,25.0,-5361.09496970311,27.0,-5022.0062346909,25.0
2018-11-06,149.31,150.97,148.0,149.94,149.491,0.85%,16667124,,,-5024.397666231229,25.0,-5363.647872069635,27.0,-5024.397666231229,25.0
2018-11-07,151.57,153.01,149.83,151.53,151.077,1.06%,21877372,,,-5026.7902365484815,25.0,-5366.201990103954,27.0,-5026.7902365484815,25.0
2018-11-08,150.49,150.94,146.74,147.87,147.428,-2.42%,24145814,,,-5029.183946184933,25.0,-5368.757324384956,27.0,-5029.183946184933,25.0
2018-11-09,146.75,147.76,144.07,144.96,144.526,-1.97%,17326898,,,-5031.578795683116,25.0,-5371.313875491805,27.0,-5031.578795683116,25.0
2018-11-12,144.48,145.04,140.49,141.55,141.127,-2.35%,18542123,,,-5033.974785585822,25.0,-5373.871644003944,27.0,-5033.974785585822,25.0
2018-11-13,142.0,144.88,141.62,142.16,141.735,0.43%,15141710,,,-5036.371916436101,25.0,-5376.430630501089,27.0,-5036.371916436101,25.0
2018-11-14,143.7,145.58,141.55,144.22,143.789,1.45%,22068384,,,-5038.770188777261,25.0,-5378.990835563232,27.0,-5038.770188777261,25.0
2018-11-15,142.33,144.84,140.83,143.85,143.42,-0.26%,30320280,,,-5041.169603152869,25.0,-5525.4022597706435,28.0,-5041.169603152869,25.0
2018-11-16,141.07,141.77,137.77,139.53,139.113,-3.00%,37250560,,,-5043.570160106751,25.0,-5528.033403703867,28.0,-5043.570160106751,25.0
2018-11-19,137.61,137.75,131.21,131.55,131.156,-5.72%,44362729,,,-5045.971860182993,25.0,-5530.665800562774,28.0,-5045.971860182993,25.0
2018-11-20,127.03,134.16,126.85,132.43,132.034,0.67%,41939475,,,-5048.374703925937,25.0,-5533.299450943994,28.0,-5048.374703925937,25.0
2018-11-21,134.4,137.19,134.13,134.82,134.417,1.80%,25469735,,,-5050.778691880188,25.0,-5535.934355444444,28.0,-5050.778691880188,25.0
2018-11-23,133.65,134.5,131.255,131.73,131.336,-2.29%,11886128,,,-5053.1838245906065,25.0,-5538.570514661323,28.0,-5053.1838245906065,25.0
2018-11-26,133.0,137.0,132.78,136.38,135.972,3.53%,24263640,,,-5055.590102602317,25.0,-5541.207929192114,28.0,-5055.590102602317,25.0
2018-11-27,135.75,136.61,133.71,135.0,134.596,-1.01%,20750318,,,-5057.997526460698,25.0,-5543.846599634586,28.0,-5057.997526460698,25.0
2018-11-28,136.28,136.79,131.85,136.76,136.351,1.30%,29847505,,,-5060.406096711394,25.0,-5546.486526586793,28.0,-5060.406096711394,25.0
2018-11-29,135.92,139.99,135.66,138.68,138.265,1.40%,24238713,,,-5062.8158139003035,25.0,-5549.1277106470725,28.0,-5062.8158139003035,25.0
2018-11-30,138.26,140.97,137.36,140.61,140.189,1.39%,25732577,,,-5065.226678573589,25.0,-5551.7701524140475,28.0,-5065.226678573589,25.0
2018-12-03,143.0,143.68,140.76,141.09,140.668,0.34%,24819226,,,-5067.638691277672,25.0,-5554.413852486626,28.0,-5067.638691277672,25.0
2018-12-04,140.73,143.39,137.16,137.93,137.517,-2.24%,30307400,,,-5070.051852559232,25.0,-5557.058811464,28.0,-5070.051852559232,25.0
2018-12-06,133.82,139.7,133.67,139.63,139.212,1.23%,28218145,,,-5072.466162965213,25.0,-5559.70502994565,28.0,-5072.466162965213,25.0
2018-12-07,139.25,140.87,136.66,137.42,137.009,-1.58%,21195460,,,-5074.881623042816,25.0,-5562.352508531338,28.0,-5074.881623042816,25.0
2018-12-10,139.6,143.05,139.01,141.85,141.426,3.22%,26422173,,,-5077.298233339503,25.0,-5565.001247821115,28.0,-5077.298233339503,25.0
2018-12-11,143.88,143.88,141.1,142.08,141.655,0.16%,20300349,,,-5079.715994402998,25.0,-5567.651248415315,28.0,-5079.715994402998,25.0
2018-12-12,143.08,147.19,142.51,144.5,144.068,1.70%,23696936,,,-5082.134906781285,25.0,-5570.302510914561,28.0,-5082.134906781285,25.0
2018-12-13,145.57,145.85,143.19,145.01,144.576,0.35%,18148610,,,-5084.55497102261,25.0,-5572.955035919758,28.0,-5084.55497102261,25.0
2018-12-14,143.34,146.01,142.51,144.06,143.629,-0.66%,21785820,,,-5086.976187675477,25.0,-5575.608824032101,28.0,-5086.976187675477,25.0
2018-12-17,143.08,144.92,138.42,140.19,139.771,-2.69%,24333959,,,-5089.398557288656,25.0,-5578.263875853069,28.0,-5089.398557288656,25.0
2018-12-18,141.08,145.93,139.83,143.66,143.23,2.48%,24709084,,,-5091.822080411174,25.0,-5580.920191984428,28.0,-5091.822080411174,25.0
2018-12-19,141.21,144.91,132.5,133.24,132.841,-7.25%,57404894,,,-5094.246757592323,25.0,-5583.57777302823,28.0,-5094.246757592323,25.0
2018-12-20,130.7,135.57,130.0,133.4,133.001,0.12%,40297944,,,-5096.672589381653,25.0,-5586.236619586814,28.0,-5096.672589381653,25.0
2018-12-21,133.39,134.9,123.42,124.95,124.576,-6.33%,56901491,,,-5099.0995763289775,25.0,-5588.896732262808,28.0,-5099.0995763289775,25.0
2018-12-24,123.1,129.74,123.02,124.06,123.689,-0.71%,22066002,,,-5101.527718984372,25.0,-5591.558111659123,28.0,-5101.527718984372,25.0
2018-12-26,126.0,134.24,125.89,134.18,133.779,8.16%,39723370,,,-5103.957017898174,25.0,-5594.22075837896,28.0,-5103.957017898174,25.0
2018-12-27,132.44,134.99,129.67,134.52,134.118,0.25%,31202509,,,-5106.387473620983,25.0,-5596.884673025807,28.0,-5106.387473620983,25.0
2018-12-28,135.34,135.92,132.2,133.2,132.802,-0.98%,22627569,,,-5108.819086703659,25.0,-5599.549856203439,28.0,-5108.819086703659,25.0
