Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,3.576,3.576,3.576,3.576,3.068,,0,,,-4999.2480000000005,1398.0,-4999.2480000000005,1398.0,-4999.2480000000005,1398.0
2018-07-05,3.576,3.576,3.576,3.576,3.068,,0,,,-5001.628594285715,1398.0,-5001.628594285715,1398.0,-5001.628594285715,1398.0
2018-07-06,3.576,3.576,3.576,3.576,3.068,,520,,,-5004.010322187755,1398.0,-5004.010322187755,1398.0,-5004.010322187755,1398.0
2018-07-09,3.576,3.576,3.576,3.576,3.068,,0,,,-5006.39318424594,1398.0,-5006.39318424594,1398.0,-5006.39318424594,1398.0
2018-07-10,3.576,3.576,3.576,3.576,3.068,,0,,,-5008.777181000342,1398.0,-5008.777181000342,1398.0,-5008.777181000342,1398.0
2018-07-11,3.576,3.576,3.576,3.576,3.068,,0,,,-5011.162312991295,1398.0,-5011.162312991295,1398.0,-5011.162312991295,1398.0
2018-07-12,3.576,3.576,3.576,3.576,3.068,,0,,,-5013.548580759386,1398.0,-5013.548580759386,1398.0,-5013.548580759386,1398.0
2018-07-13,3.576,3.576,3.576,3.576,3.068,,500,,,-5015.9359848454615,1398.0,-5015.9359848454615,1398.0,-5015.9359848454615,1398.0
2018-07-16,3.576,3.576,3.576,3.576,3.068,,0,,,-5018.324525790626,1398.0,-5018.324525790626,1398.0,-5018.324525790626,1398.0
2018-07-17,3.576,3.576,3.576,3.576,3.068,,0,,,-5020.71420413624,1398.0,-5020.71420413624,1398.0,-5020.71420413624,1398.0
2018-07-18,3.683,3.683,3.683,3.683,3.16,2.99%,1000,,,-5023.1050204239245,1398.0,-5023.1050204239245,1398.0,-5023.1050204239245,1398.0
2018-07-19,3.677,3.677,3.677,3.677,3.155,-0.16%,1000,,,-5025.496975195555,1398.0,-5025.496975195555,1398.0,-5025.496975195555,1398.0
2018-07-20,3.677,3.677,3.677,3.677,3.155,,550,,,-5027.890068993267,1398.0,-5027.890068993267,1398.0,-5027.890068993267,1398.0
2018-07-23,3.684,3.684,3.684,3.684,3.161,0.19%,5000,,,-5030.284302359454,1398.0,-5030.284302359454,1398.0,-5030.284302359454,1398.0
2018-07-24,3.684,3.684,3.684,3.684,3.161,,0,,,-5032.679675836768,1398.0,-5032.679675836768,1398.0,-5032.679675836768,1398.0
2018-07-25,3.727,3.727,3.727,3.727,3.198,1.17%,5000,,,-5035.076189968119,1398.0,-5035.076189968119,1398.0,-5035.076189968119,1398.0
2018-07-26,3.727,3.727,3.727,3.727,3.198,,0,,,-5037.473845296676,1398.0,-5037.473845296676,1398.0,-5037.473845296676,1398.0
2018-07-27,3.727,3.727,3.727,3.727,3.198,,0,,,-5039.8726423658645,1398.0,-5039.8726423658645,1398.0,-5039.8726423658645,1398.0
2018-07-30,3.727,3.727,3.727,3.727,3.198,,100,,,-5042.272581719372,1398.0,-5042.272581719372,1398.0,-5042.272581719372,1398.0
2018-07-31,3.727,3.727,3.727,3.727,3.198,,0,,,-5044.673663901143,1398.0,-5044.673663901143,1398.0,-5044.673663901143,1398.0
2018-08-01,3.727,3.727,3.727,3.727,3.198,,0,,,-5047.075889455382,1398.0,-5047.075889455382,1398.0,-5047.075889455382,1398.0
2018-08-02,3.727,3.727,3.727,3.727,3.198,,100,,,-5049.479258926551,1398.0,-5049.479258926551,1398.0,-5049.479258926551,1398.0
2018-08-03,3.727,3.727,3.727,3.727,3.198,,0,,,-5051.883772859373,1398.0,-5051.883772859373,1398.0,-5051.883772859373,1398.0
2018-08-06,3.7,3.7,3.7,3.7,3.175,-0.72%,2000,,,-5054.289431798829,1398.0,-5054.289431798829,1398.0,-5054.289431798829,1398.0
2018-08-07,3.78,3.78,3.769,3.769,3.234,1.86%,3000,,,-5056.696236290162,1398.0,-5056.696236290162,1398.0,-5056.696236290162,1398.0
2018-08-08,3.836,3.836,3.836,3.836,3.291,1.78%,2000,,,-5059.104186878872,1398.0,-5059.104186878872,1398.0,-5059.104186878872,1398.0
2018-08-09,3.836,3.836,3.836,3.836,3.291,,0,,,-5061.513284110719,1398.0,-5061.513284110719,1398.0,-5061.513284110719,1398.0
2018-08-10,3.836,3.836,3.836,3.836,3.291,,0,,,-5063.923528531724,1398.0,-5063.923528531724,1398.0,-5063.923528531724,1398.0
2018-08-13,3.836,3.836,3.836,3.836,3.291,,0,,,-5066.334920688168,1398.0,-5066.334920688168,1398.0,-5066.334920688168,1398.0
2018-08-14,3.836,3.836,3.836,3.836,3.291,,0,,,-5068.747461126591,1398.0,-5068.747461126591,1398.0,-5068.747461126591,1398.0
2018-08-15,3.836,3.836,3.836,3.836,3.291,,0,,,-5071.161150393794,1398.0,-5074.997150393794,1399.0,-5071.161150393794,1398.0
2018-08-16,3.836,3.836,3.836,3.836,3.291,,0,,,-5073.575989036838,1398.0,-5077.413815703505,1399.0,-5073.575989036838,1398.0
2018-08-17,3.836,3.836,3.836,3.836,3.291,,0,,,-5075.9919776030465,1398.0,-5079.831631806221,1399.0,-5075.9919776030465,1398.0
2018-08-20,3.836,3.836,3.836,3.836,3.291,,500,,,-5078.40911664,1398.0,-5082.250599249938,1399.0,-5078.40911664,1398.0
2018-08-21,3.836,3.836,3.836,3.836,3.291,,0,,,-5080.827406695543,1398.0,-5084.670718582915,1399.0,-5080.827406695543,1398.0
2018-08-22,3.836,3.836,3.836,3.836,3.291,,400,,,-5083.246848317779,1398.0,-5087.091990353669,1399.0,-5083.246848317779,1398.0
2018-08-23,3.836,3.836,3.836,3.836,3.291,,0,,,-5085.6674420550735,1398.0,-5089.51441511098,1399.0,-5085.6674420550735,1398.0
2018-08-24,3.836,3.836,3.836,3.836,3.291,,0,,,-5088.089188456052,1398.0,-5091.93799340389,1399.0,-5088.089188456052,1398.0
2018-08-27,3.836,3.836,3.836,3.836,3.291,,150,,,-5090.512088069603,1398.0,-5094.362725781702,1399.0,-5090.512088069603,1398.0
2018-08-28,3.836,3.836,3.836,3.836,3.291,,0,,,-5092.936141444874,1398.0,-5096.788612793978,1399.0,-5092.936141444874,1398.0
2018-08-29,3.836,3.836,3.836,3.836,3.291,,0,,,-5095.361349131276,1398.0,-5099.215654990547,1399.0,-5095.361349131276,1398.0
2018-08-30,3.755,3.774,3.755,3.774,3.238,-1.62%,3000,,,-5097.787711678481,1398.0,-5101.643852921495,1399.0,-5097.787711678481,1398.0
2018-08-31,3.774,3.774,3.774,3.774,3.238,,0,,,-5100.215229636423,1398.0,-5104.073207137171,1399.0,-5100.215229636423,1398.0
2018-09-04,3.774,3.774,3.774,3.774,3.238,,530,,,-5102.643903555298,1398.0,-5106.503718188189,1399.0,-5102.643903555298,1398.0
2018-09-05,3.774,3.774,3.774,3.774,3.238,,0,,,-5105.073733985562,1398.0,-5108.935386625421,1399.0,-5105.073733985562,1398.0
2018-09-06,3.774,3.774,3.774,3.774,3.238,,0,,,-5107.504721477936,1398.0,-5111.368213000005,1399.0,-5107.504721477936,1398.0
2018-09-07,3.774,3.774,3.774,3.774,3.238,,0,,,-5109.936866583402,1398.0,-5113.802197863339,1399.0,-5109.936866583402,1398.0
2018-09-10,3.774,3.774,3.774,3.774,3.238,,0,,,-5112.370169853203,1398.0,-5116.237341767083,1399.0,-5112.370169853203,1398.0
2018-09-11,3.63,3.63,3.607,3.607,3.095,-4.43%,2000,,,-5114.804631838848,1398.0,-5118.673645263163,1399.0,-5114.804631838848,1398.0
2018-09-12,3.607,3.607,3.607,3.607,3.095,,0,,,-5117.2402530921045,1398.0,-5121.111108903765,1399.0,-5117.2402530921045,1398.0
2018-09-13,3.607,3.607,3.607,3.607,3.095,,0,,,-5119.677034165005,1398.0,-5123.549733241338,1399.0,-5119.677034165005,1398.0
2018-09-14,3.607,3.607,3.607,3.607,3.095,,0,,,-5122.114975609846,1398.0,-5125.9895188285955,1399.0,-5122.114975609846,1398.0
2018-09-17,3.607,3.607,3.607,3.607,3.095,,0,,,-5124.554077979184,1398.0,-5128.430466218514,1399.0,-5124.554077979184,1398.0
2018-09-18,3.607,3.607,3.607,3.607,3.095,,0,,,-5126.99434182584,1398.0,-5130.872575964332,1399.0,-5126.99434182584,1398.0
