Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,100.48,100.63,98.94,99.05,92.765,-0.96%,14670275,,,-4952.5,50.0,-4952.5,50.0,-4952.5,50.0
2018-07-05,99.5,99.92,99.03,99.76,93.429,0.72%,18977402,,,-4954.858333333334,50.0,-4954.858333333334,50.0,-4954.858333333334,50.0
2018-07-06,99.89,101.43,99.67,101.16,94.741,1.40%,19234627,,,-4957.21778968254,50.0,-4957.21778968254,50.0,-4957.21778968254,50.0
2018-07-09,101.65,102.25,101.25,101.85,95.387,0.68%,18211980,,,-4959.578369582388,50.0,-4959.578369582388,50.0,-4959.578369582388,50.0
2018-07-10,102.0,102.51,101.86,102.12,95.64,0.27%,19293140,,,-4961.940073567904,50.0,-4961.940073567904,50.0,-4961.940073567904,50.0
2018-07-11,101.15,102.34,101.1,101.98,95.509,-0.14%,19644648,,,-4964.302902174365,50.0,-4964.302902174365,50.0,-4964.302902174365,50.0
2018-07-12,102.77,104.41,102.73,104.19,97.578,2.17%,24335929,,,-4966.666855937306,50.0,-4966.666855937306,50.0,-4966.666855937306,50.0
2018-07-13,104.37,105.6,104.09,105.43,98.74,1.19%,24653500,,,-4969.031935392514,50.0,-4969.031935392514,50.0,-4969.031935392514,50.0
2018-07-16,105.4,105.82,104.52,104.91,98.253,-0.49%,21786912,,,-4971.398141076034,50.0,-4971.398141076034,50.0,-4971.398141076034,50.0
2018-07-17,104.61,106.5,104.32,105.95,99.227,0.99%,25901726,,,-4973.765473524166,50.0,-4973.765473524166,50.0,-4973.765473524166,50.0
2018-07-18,105.94,106.05,104.72,105.12,98.449,-0.78%,29493927,,,-4976.133933273463,50.0,-4976.133933273463,50.0,-4976.133933273463,50.0
2018-07-19,104.93,105.31,103.89,104.4,97.775,-0.68%,40171646,,,-4978.503520860736,50.0,-4978.503520860736,50.0,-4978.503520860736,50.0
2018-07-20,108.08,108.2,106.08,106.27,99.526,1.79%,56038827,,,-4980.8742368230505,50.0,-4980.8742368230505,50.0,-4980.8742368230505,50.0
2018-07-23,106.3,108.14,106.13,107.97,101.118,1.60%,29706955,,,-4983.246081697728,50.0,-4983.246081697728,50.0,-4983.246081697728,50.0
