Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-07-06,480.77,499.5,479.8,493.81,493.81,3.55%,7838990,,,-4938.1,10.0,-4938.1,10.0,-4938.1,10.0
2020-07-07,497.31,504.82,490.83,493.16,493.16,-0.13%,5670204,,,-4940.451476190477,10.0,-4940.451476190477,10.0,-4940.451476190477,10.0
2020-07-08,498.58,505.1,493.81,502.78,502.78,1.95%,5691852,,,-4942.804072131519,10.0,-4942.804072131519,10.0,-4942.804072131519,10.0
2020-07-09,508.4,510.0,495.78,507.76,507.76,0.99%,5840561,,,-4945.157788356344,10.0,-4945.157788356344,10.0,-4945.157788356344,10.0
2020-07-10,519.73,555.88,511.28,548.73,548.73,8.07%,21605587,,,-4947.512625398418,10.0,-4947.512625398418,10.0,-4947.512625398418,10.0
2020-07-13,567.98,575.37,520.96,525.5,525.5,-4.23%,18401757,,,-4949.8685837914645,10.0,-4949.8685837914645,10.0,-4949.8685837914645,10.0
2020-07-14,517.08,525.5,490.49,524.88,524.88,-0.12%,15083326,,,-4952.22566406946,10.0,-4952.22566406946,10.0,-4952.22566406946,10.0
2020-07-15,516.3,529.0,510.18,523.26,523.26,-0.31%,10066652,,,-4954.583866766637,10.0,-5477.843866766637,11.0,-4954.583866766637,10.0
2020-07-16,526.48,535.54,504.36,527.39,527.39,0.79%,24499009,,,-4956.943192417478,10.0,-5480.45236384605,11.0,-4956.943192417478,10.0
2020-07-17,494.87,503.59,484.14,492.99,492.99,-6.52%,24991528,,,-4959.303641556724,10.0,-5483.062103066929,11.0,-4959.303641556724,10.0
2020-07-20,489.14,504.5,484.2,502.41,502.41,1.91%,11859644,,,-4961.66521471937,10.0,-5485.6730850207705,11.0,-4961.66521471937,10.0
2020-07-21,506.0,506.22,488.61,490.1,490.1,-2.45%,9072982,,,-4964.027912440665,10.0,-5488.285310299352,11.0,-4964.027912440665,10.0
2020-07-22,492.19,497.2,487.2,489.82,489.82,-0.06%,6954078,,,-4966.391735256113,10.0,-5490.8987794947325,11.0,-4966.391735256113,10.0
2020-07-23,491.13,491.9,472.02,477.58,477.58,-2.50%,7722034,,,-4968.756683701473,10.0,-5493.513493199253,11.0,-4968.756683701473,10.0
2020-07-24,468.77,487.17,467.54,480.45,480.45,0.60%,7746247,,,-4971.122758312759,10.0,-5496.129452005539,11.0,-4971.122758312759,10.0
2020-07-27,484.51,496.92,482.31,495.65,495.65,3.16%,7863069,,,-4973.489959626241,10.0,-5498.746656506494,11.0,-4973.489959626241,10.0
2020-07-28,496.02,497.793,487.76,488.51,488.51,-1.44%,5986727,,,-4975.858288178444,10.0,-5501.365107295307,11.0,-4975.858288178444,10.0
2020-07-29,492.25,494.92,484.13,484.48,484.48,-0.82%,6611769,,,-4978.227744506148,10.0,-5503.984804965447,11.0,-4978.227744506148,10.0
2020-07-30,480.707,488.35,477.51,485.8,485.8,0.27%,6608569,,,-4980.598329146389,10.0,-5506.605750110669,11.0,-4980.598329146389,10.0
2020-07-31,488.29,494.8,484.5,488.88,488.88,0.63%,5924310,,,-4982.970042636459,10.0,-5509.227943325007,11.0,-4982.970042636459,10.0
2020-08-03,490.86,503.09,490.23,498.62,498.62,1.99%,5876190,,,-4985.342885513905,10.0,-5511.851385202781,11.0,-4985.342885513905,10.0
2020-08-04,498.65,510.444,498.65,509.64,509.64,2.21%,5607968,,,-4987.71685831653,10.0,-5514.476076338592,11.0,-4987.71685831653,10.0
2020-08-05,508.68,510.102,501.2,502.11,502.11,-1.48%,4313526,,,-4990.091961582395,10.0,-5517.102017327325,11.0,-4990.091961582395,10.0
2020-08-06,504.11,510.82,498.7,509.08,509.08,1.39%,3725861,,,-4992.468195849815,10.0,-5519.729208764147,11.0,-4992.468195849815,10.0
2020-08-07,505.45,508.29,486.68,494.73,494.73,-2.82%,5910348,,,-4994.845561657363,10.0,-5522.357651244511,11.0,-4994.845561657363,10.0
2020-08-10,493.35,497.458,478.627,483.38,483.38,-2.29%,4691185,,,-4997.224059543866,10.0,-5524.987345364151,11.0,-4997.224059543866,10.0
2020-08-11,479.75,480.92,466.55,466.93,466.93,-3.40%,7329226,,,-4999.6036900484105,10.0,-5527.618291719086,11.0,-4999.6036900484105,10.0
2020-08-12,471.34,482.49,470.18,475.47,475.47,1.83%,5441243,,,-5001.984453710338,10.0,-5530.250490905619,11.0,-5001.984453710338,10.0
2020-08-13,478.4,484.45,476.45,481.33,481.33,1.23%,3008933,,,-5004.366351069248,10.0,-5532.883943520335,11.0,-5004.366351069248,10.0
2020-08-14,482.82,488.325,480.21,482.68,482.68,0.28%,2943487,,,-5006.749382664995,10.0,-5535.5186501601065,11.0,-5006.749382664995,10.0
2020-08-17,484.19,486.24,479.1,482.35,482.35,-0.07%,2409957,,,-5009.133549037693,10.0,-5538.154611422087,11.0,-5009.133549037693,10.0
2020-08-18,484.35,495.3,482.8,491.87,491.87,1.97%,3505518,,,-5011.518850727711,10.0,-5540.791827903717,11.0,-5011.518850727711,10.0
2020-08-19,493.93,494.499,483.5,484.53,484.53,-1.49%,3156218,,,-5013.905288275676,10.0,-5543.430300202718,11.0,-5013.905288275676,10.0
2020-08-20,484.69,498.94,483.89,497.9,497.9,2.76%,5132480,,,-5016.292862222474,10.0,-5546.0700289171,11.0,-5016.292862222474,10.0
2020-08-21,496.46,498.13,490.0,492.31,492.31,-1.12%,3921293,,,-5018.6815731092465,10.0,-5548.711014645156,11.0,-5018.6815731092465,10.0
2020-08-24,495.438,501.0,483.16,488.81,488.81,-0.71%,4762183,,,-5021.071421477393,10.0,-5551.353257985463,11.0,-5021.071421477393,10.0
2020-08-25,488.19,492.47,485.09,490.58,490.58,0.36%,5727721,,,-5023.462407868573,10.0,-5553.996759536884,11.0,-5023.462407868573,10.0
2020-08-26,492.5,549.04,492.075,547.53,547.53,11.61%,20373681,,,-5025.854532824701,10.0,-5556.641519898569,11.0,-5025.854532824701,10.0
2020-08-27,537.775,541.0,521.247,526.27,526.27,-3.88%,9062912,,,-5028.247796887951,10.0,-5559.287539669949,11.0,-5028.247796887951,10.0
2020-08-28,532.0,539.0,522.0,523.89,523.89,-0.45%,4417517,,,-5030.642200600755,10.0,-5561.934819450745,11.0,-5030.642200600755,10.0
2020-08-31,521.16,531.99,517.58,529.56,529.56,1.08%,4941409,,,-5033.037744505803,10.0,-5564.583359840959,11.0,-5033.037744505803,10.0
2020-09-01,532.6,557.39,532.45,556.55,556.55,5.10%,9581907,,,-5035.434429146044,10.0,-5567.233161440883,11.0,-5035.434429146044,10.0
2020-09-02,553.78,556.5,537.369,552.84,552.84,-0.67%,5886930,,,-5037.832255064684,10.0,-5569.884224851093,11.0,-5037.832255064684,10.0
2020-09-03,545.0,554.0,521.32,525.75,525.75,-4.90%,9071089,,,-5040.2312228051915,10.0,-5572.53655067245,11.0,-5040.2312228051915,10.0
2020-09-04,520.18,527.36,485.98,516.05,516.05,-1.84%,8270118,,,-5042.631332911289,10.0,-5575.190139506104,11.0,-5042.631332911289,10.0
2020-09-08,498.4,522.0,495.0,507.02,507.02,-1.75%,5572684,,,-5045.0325859269615,10.0,-5577.844991953488,11.0,-5045.0325859269615,10.0
2020-09-09,519.21,520.0,492.574,500.19,500.19,-1.35%,6848127,,,-5047.43498239645,10.0,-5580.501108616323,11.0,-5047.43498239645,10.0
2020-09-10,503.35,506.29,478.84,480.67,480.67,-3.90%,6240181,,,-5049.838522864258,10.0,-5583.158490096616,11.0,-5049.838522864258,10.0
2020-09-11,486.485,493.73,476.81,482.03,482.03,0.28%,5035200,,,-5052.243207875146,10.0,-5585.817136996662,11.0,-5052.243207875146,10.0
2020-09-14,480.62,488.99,471.3,476.26,476.26,-1.20%,7359126,,,-5054.649037974134,10.0,-5588.477049919042,11.0,-5054.649037974134,10.0
2020-09-15,484.0,497.47,481.63,495.99,495.99,4.14%,5336992,,,-5057.056013706503,10.0,-6087.128229466622,12.0,-5057.056013706503,10.0
2020-09-16,499.99,504.66,483.31,483.86,483.86,-2.45%,4401412,,,-5059.464135617792,10.0,-6090.026861956844,12.0,-5059.464135617792,10.0
2020-09-17,475.16,478.4,463.27,470.2,470.2,-2.82%,5379301,,,-5061.8734042538,10.0,-6092.926874748252,12.0,-5061.8734042538,10.0
2020-09-18,472.51,479.4,458.6,469.96,469.96,-0.05%,6717711,,,-5064.283820160587,10.0,-6095.828268498132,12.0,-5064.283820160587,10.0
2020-09-21,467.692,487.775,466.32,487.35,487.35,3.70%,5457539,,,-5066.695383884473,10.0,-6098.731043864083,12.0,-5066.695383884473,10.0
2020-09-22,489.01,491.82,479.26,491.17,491.17,0.78%,3482324,,,-5069.108095972037,10.0,-6101.635201504018,12.0,-5069.108095972037,10.0
2020-09-23,491.04,491.04,469.0,470.61,470.61,-4.19%,3726423,,,-5071.5219569701185,10.0,-6104.540742076163,12.0,-5071.5219569701185,10.0
2020-09-24,470.53,477.0,467.82,473.08,473.08,0.52%,3727201,,,-5073.936967425819,10.0,-6107.447666239056,12.0,-5073.936967425819,10.0
2020-09-25,474.39,484.87,468.026,482.88,482.88,2.07%,3769436,,,-5076.3531278864975,10.0,-6110.355974651551,12.0,-5076.3531278864975,10.0
2020-09-28,489.109,492.0,477.88,490.65,490.65,1.61%,4773497,,,-5078.770438899777,10.0,-6113.265667972813,12.0,-5078.770438899777,10.0
2020-09-29,489.5,496.287,486.53,493.48,493.48,0.58%,3543193,,,-5081.188901013539,10.0,-6116.176746862324,12.0,-5081.188901013539,10.0
2020-09-30,492.57,504.63,489.27,500.03,500.03,1.33%,4634111,,,-5083.608514775927,10.0,-6119.089211979877,12.0,-5083.608514775927,10.0
