Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2021-01-04,142.85,142.97,138.32,140.1,134.226,-0.0097,6178517,,,-14010.0,100.0,-14010.0,100.0,-14010.0,100.0
2021-01-05,138.6,141.66,138.6,141.23,135.308,0.0081,4163149,,,-14016.671428571428,100.0,-14016.671428571428,100.0,-14016.671428571428,100.0
2021-01-06,141.25,143.57,139.53,142.35,136.381,0.0079,6072939,,,-14023.346034013604,100.0,-14023.346034013604,100.0,-14023.346034013604,100.0
2021-01-07,143.2,145.64,143.0,144.95,138.872,0.0183,5256940,,,-14030.023817839325,100.0,-14030.023817839325,100.0,-14030.023817839325,100.0
2021-01-08,145.55,146.82,144.9,146.35,140.214,0.0097,3950741,,,-14036.704781562104,100.0,-14036.704781562104,100.0,-14036.704781562104,100.0
2021-01-11,146.0,147.1,144.801,147.05,140.884,0.0048,4254143,,,-14043.388926696181,100.0,-14043.388926696181,100.0,-14043.388926696181,100.0
2021-01-12,146.5,146.85,144.38,145.05,138.968,-0.0136,3616202,,,-14050.076254756514,100.0,-14050.076254756514,100.0,-14050.076254756514,100.0
2021-01-13,144.83,145.127,142.43,143.04,137.043,-0.0139,3330127,,,-14056.76676725878,100.0,-14056.76676725878,100.0,-14056.76676725878,100.0
2021-01-14,143.66,144.9,140.93,141.3,135.376,-0.0122,4104024,,,-14063.46046571938,100.0,-14063.46046571938,100.0,-14063.46046571938,100.0
2021-01-15,140.56,142.38,139.88,140.72,134.82,-0.0041,6412351,,,-14070.157351655436,100.0,-14210.877351655436,101.0,-14070.157351655436,100.0
2021-01-19,140.99,141.217,138.41,139.27,133.431,-0.0103,6537800,,,-14076.857426584796,100.0,-14217.644436108605,101.0,-14076.857426584796,100.0
2021-01-20,140.38,143.21,140.01,142.8,136.813,0.0253,4654404,,,-14083.560692026027,100.0,-14224.414742982943,101.0,-14083.560692026027,100.0
2021-01-21,142.41,143.813,141.125,141.61,135.673,-0.0083,4013667,,,-14090.26714949842,100.0,-14231.188273812935,101.0,-14090.26714949842,100.0
2021-01-22,141.09,141.88,139.31,139.35,133.507,-0.016,4150453,,,-14096.976800521992,100.0,-14237.965030133799,101.0,-14096.976800521992,100.0
2021-01-25,138.99,139.18,134.74,137.55,131.783,-0.0129,5998739,,,-14103.689646617479,100.0,-14244.74501348148,101.0,-14103.689646617479,100.0
2021-01-26,137.76,137.845,134.714,135.1,129.435,-0.0178,5312341,,,-14110.405689306344,100.0,-14251.528225392662,101.0,-14110.405689306344,100.0
2021-01-27,132.22,132.86,130.267,131.02,125.527,-0.0302,7815862,,,-14117.124930110776,100.0,-14258.314667404753,101.0,-14117.124930110776,100.0
2021-01-28,132.36,136.37,131.5,134.72,129.071,0.0282,6244598,,,-14123.847370553687,100.0,-14265.104341055898,101.0,-14123.847370553687,100.0
2021-01-29,133.95,135.025,132.15,133.59,127.989,-0.0084,7166051,,,-14130.573012158713,100.0,-14271.897247884972,101.0,-14130.573012158713,100.0
2021-02-01,135.37,136.05,133.3,135.71,130.02,0.0159,4366833,,,-14137.301856450216,100.0,-14278.693389431584,101.0,-14137.301856450216,100.0
2021-02-02,137.06,139.86,136.75,139.59,133.737,0.0286,7046325,,,-14144.033904953289,100.0,-14285.492767236075,101.0,-14144.033904953289,100.0
2021-02-03,139.7,140.06,138.01,138.63,132.817,-0.0069,4678553,,,-14150.769159193742,100.0,-14292.295382839522,101.0,-14150.769159193742,100.0
2021-02-04,139.55,141.05,138.92,140.63,134.734,0.0144,4533707,,,-14157.50762069812,100.0,-14299.10123778373,101.0,-14157.50762069812,100.0
2021-02-05,141.34,145.572,141.29,145.11,139.026,0.0319,6151478,,,-14164.24929099369,100.0,-14305.910333611246,101.0,-14164.24929099369,100.0
2021-02-08,145.15,145.88,142.8,143.41,137.397,-0.0117,6304300,,,-14170.994171608449,100.0,-14312.722671865346,101.0,-14170.994171608449,100.0
2021-02-09,143.6,144.22,141.7,141.79,135.845,-0.0113,3423750,,,-14177.74226407112,100.0,-14319.538254090043,101.0,-14177.74226407112,100.0
2021-02-10,142.45,142.6,140.9,142.46,136.487,0.0047,4114230,,,-14184.493569911154,100.0,-14326.357081830085,101.0,-14184.493569911154,100.0
2021-02-11,143.0,144.35,142.41,143.54,137.522,0.0076,3828731,,,-14191.24809065873,100.0,-14333.179156630957,101.0,-14191.24809065873,100.0
2021-02-12,143.11,143.45,141.4,142.12,136.161,-0.0099,3636966,,,-14198.005827844758,100.0,-14340.004480038877,101.0,-14198.005827844758,100.0
2021-02-16,143.37,143.37,141.03,141.71,135.768,-0.0029,4873364,,,-14204.766783000874,100.0,-14346.8330536008,101.0,-14204.766783000874,100.0
2021-02-17,141.3,144.56,140.21,143.99,137.953,0.0161,6184638,,,-14211.530957659446,100.0,-14353.66487886442,101.0,-14211.530957659446,100.0
2021-02-18,142.98,145.39,141.21,145.09,139.007,0.0076,4487139,,,-14218.29835335357,100.0,-14360.499957378164,101.0,-14218.29835335357,100.0
2021-02-19,145.43,145.5,141.5,142.02,136.065,-0.0212,7485950,,,-14225.068971617071,100.0,-14367.338290691201,101.0,-14225.068971617071,100.0
2021-02-22,141.54,142.46,136.26,136.67,130.94,-0.0377,8968622,,,-14231.842813984507,100.0,-14374.179880353435,101.0,-14231.842813984507,100.0
2021-02-23,136.03,136.83,131.58,136.13,130.422,-0.004,10364140,,,-14238.619881991166,100.0,-14381.024727915508,101.0,-14238.619881991166,100.0
2021-02-24,135.06,135.96,133.95,135.65,129.962,-0.0035,6360911,,,-14245.400177173067,100.0,-14387.872834928801,101.0,-14245.400177173067,100.0
2021-02-25,137.6,139.18,134.53,135.54,129.857,-0.0008,5631364,,,-14252.183701066959,100.0,-14394.724202945434,101.0,-14252.183701066959,100.0
2021-02-26,135.9,136.85,133.36,134.78,129.392,-0.0056,6545148,,,-14258.970455210325,100.0,-14401.578833518264,101.0,-14258.970455210325,100.0
2021-03-01,135.64,139.15,135.5,137.65,132.148,0.0213,5717793,,,-14265.760441141378,100.0,-14408.436728200892,101.0,-14265.760441141378,100.0
2021-03-02,137.56,138.255,135.61,137.02,131.543,-0.0046,5292900,,,-14272.553660399064,100.0,-14415.297888547653,101.0,-14272.553660399064,100.0
2021-03-03,137.09,137.41,134.15,134.26,128.893,-0.0201,4888379,,,-14279.350114523064,100.0,-14422.162316113629,101.0,-14279.350114523064,100.0
2021-03-04,134.0,135.13,130.18,132.04,126.762,-0.0165,7181486,,,-14286.149805053788,100.0,-14429.030012454636,101.0,-14286.149805053788,100.0
2021-03-05,133.54,133.68,129.188,133.35,128.02,0.0099,5957148,,,-14292.952733532386,100.0,-14435.900979127233,101.0,-14292.952733532386,100.0
2021-03-08,133.64,135.63,132.37,134.56,129.181,0.0091,4983035,,,-14299.758901500734,100.0,-14442.775217688722,101.0,-14299.758901500734,100.0
