Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,6.091,6.097,5.913,5.921,5.864,-2.23%,222733000,,,-4997.3240000000005,844.0,-4997.3240000000005,844.0,-4997.3240000000005,844.0
2018-07-05,5.977,6.073,5.938,6.068,6.01,2.48%,306217920,,,-4999.7036780952385,844.0,-4999.7036780952385,844.0,-4999.7036780952385,844.0
2018-07-06,6.044,6.192,6.022,6.183,6.124,1.90%,296352880,,,-5002.084489370522,844.0,-5002.084489370522,844.0,-5002.084489370522,844.0
2018-07-09,6.258,6.268,6.152,6.231,6.172,0.78%,303880880,,,-5004.46643436546,844.0,-5004.46643436546,844.0,-5004.46643436546,844.0
2018-07-10,6.244,6.353,6.203,6.331,6.271,1.60%,360015600,,,-5006.84951361992,844.0,-5006.84951361992,844.0,-5006.84951361992,844.0
2018-07-11,6.238,6.273,6.178,6.188,6.129,-2.26%,367506400,,,-5009.2337276740245,844.0,-5009.2337276740245,844.0,-5009.2337276740245,844.0
2018-07-12,6.234,6.329,6.224,6.281,6.221,1.50%,345506920,,,-5011.619077068155,844.0,-5011.619077068155,844.0,-5011.619077068155,844.0
2018-07-13,6.3,6.3,6.191,6.233,6.173,-0.76%,247163120,,,-5014.00556234295,844.0,-5014.00556234295,844.0,-5014.00556234295,844.0
2018-07-16,6.205,6.259,6.193,6.205,6.146,-0.45%,197037040,,,-5016.393184039303,844.0,-5016.393184039303,844.0,-5016.393184039303,844.0
2018-07-17,6.155,6.358,6.13,6.342,6.282,2.21%,362135800,,,-5018.78194269837,844.0,-5018.78194269837,844.0,-5018.78194269837,844.0
2018-07-18,6.335,6.349,6.241,6.292,6.232,-0.79%,277641640,,,-5021.171838861559,844.0,-5021.171838861559,844.0,-5021.171838861559,844.0
2018-07-19,6.274,6.335,6.258,6.301,6.241,0.14%,235751320,,,-5023.562873070541,844.0,-5023.562873070541,844.0,-5023.562873070541,844.0
2018-07-20,6.298,6.338,6.261,6.272,6.212,-0.46%,222486440,,,-5025.955045867241,844.0,-5025.955045867241,844.0,-5025.955045867241,844.0
2018-07-23,6.246,6.247,6.082,6.235,6.176,-0.59%,301584840,,,-5028.348357793844,844.0,-5028.348357793844,844.0,-5028.348357793844,844.0
2018-07-24,6.284,6.371,6.2,6.218,6.158,-0.27%,354621800,,,-5030.742809392794,844.0,-5030.742809392794,844.0,-5030.742809392794,844.0
2018-07-25,6.227,6.31,6.169,6.297,6.237,1.27%,320182040,,,-5033.13840120679,844.0,-5033.13840120679,844.0,-5033.13840120679,844.0
2018-07-26,6.277,6.408,6.26,6.371,6.31,1.18%,325125120,,,-5035.535133778793,844.0,-5035.535133778793,844.0,-5035.535133778793,844.0
2018-07-27,6.408,6.415,6.246,6.301,6.24,-1.10%,295421400,,,-5037.933007652021,844.0,-5037.933007652021,844.0,-5037.933007652021,844.0
2018-07-30,6.315,6.321,6.068,6.103,6.045,-3.14%,340341560,,,-5040.332023369951,844.0,-5040.332023369951,844.0,-5040.332023369951,844.0
2018-07-31,6.093,6.197,6.054,6.122,6.063,0.31%,283987840,,,-5042.732181476317,844.0,-5042.732181476317,844.0,-5042.732181476317,844.0
2018-08-01,6.153,6.209,6.097,6.162,6.103,0.65%,283555560,,,-5045.133482515115,844.0,-5045.133482515115,844.0,-5045.133482515115,844.0
2018-08-02,6.09,6.27,6.03,6.266,6.206,1.69%,269667560,,,-5047.535927030599,844.0,-5047.535927030599,844.0,-5047.535927030599,844.0
2018-08-03,6.29,6.327,6.273,6.303,6.242,0.59%,214288080,,,-5049.93951556728,844.0,-5049.93951556728,844.0,-5049.93951556728,844.0
2018-08-06,6.29,6.354,6.243,6.351,6.29,0.76%,207506600,,,-5052.344248669931,844.0,-5052.344248669931,844.0,-5052.344248669931,844.0
2018-08-07,6.4,6.443,6.373,6.424,6.362,1.15%,258130400,,,-5054.750126883584,844.0,-5054.750126883584,844.0,-5054.750126883584,844.0
2018-08-08,6.425,6.506,6.39,6.461,6.399,0.58%,262098480,,,-5057.157150753528,844.0,-5057.157150753528,844.0,-5057.157150753528,844.0
2018-08-09,6.478,6.481,6.404,6.411,6.35,-0.77%,204278480,,,-5059.565320825315,844.0,-5059.565320825315,844.0,-5059.565320825315,844.0
2018-08-10,6.329,6.403,6.318,6.37,6.309,-0.64%,256626720,,,-5061.974637644756,844.0,-5061.974637644756,844.0,-5061.974637644756,844.0
2018-08-13,6.379,6.525,6.377,6.403,6.342,0.52%,375206320,,,-5064.38510175792,844.0,-5064.38510175792,844.0,-5064.38510175792,844.0
2018-08-14,6.51,6.55,6.425,6.536,6.473,2.08%,466219440,,,-5066.796713711138,844.0,-5066.796713711138,844.0,-5066.796713711138,844.0
2018-08-15,6.557,6.591,6.398,6.477,6.415,-0.90%,591135760,,,-5069.209474051001,844.0,-5075.686474051001,845.0,-5069.209474051001,844.0
2018-08-16,6.547,6.55,6.375,6.436,6.374,-0.63%,801259040,,,-5071.623383324359,844.0,-5078.103467610073,845.0,-5071.623383324359,844.0
2018-08-17,6.324,6.324,6.093,6.121,6.062,-4.89%,1143187760,,,-5074.038442078323,844.0,-5080.5216121184585,845.0,-5074.038442078323,844.0
2018-08-20,6.08,6.33,5.968,6.196,6.137,1.23%,854386200,,,-5076.454650860265,844.0,-5082.940908124229,845.0,-5076.454650860265,844.0
2018-08-21,6.213,6.338,6.193,6.333,6.272,2.21%,673988400,,,-5078.872010217818,844.0,-5085.361356175717,845.0,-5078.872010217818,844.0
2018-08-22,6.3,6.576,6.297,6.571,6.508,3.76%,749856880,,,-5081.2905206988735,844.0,-5087.782956821516,845.0,-5081.2905206988735,844.0
2018-08-23,6.531,6.737,6.518,6.671,6.607,1.52%,720684560,,,-5083.710182851587,844.0,-5090.2057106104785,845.0,-5083.710182851587,844.0
2018-08-24,6.68,6.82,6.675,6.806,6.74,2.02%,531510480,,,-5086.1309972243735,844.0,-5092.629618091722,845.0,-5086.1309972243735,844.0
2018-08-27,6.836,6.972,6.804,6.897,6.832,1.34%,505777480,,,-5088.552964365909,844.0,-5095.054679814622,845.0,-5088.552964365909,844.0
2018-08-28,6.892,6.914,6.738,6.86,6.794,-0.54%,475383800,,,-5090.976084825131,844.0,-5097.48089632882,845.0,-5090.976084825131,844.0
2018-08-29,6.848,6.988,6.827,6.962,6.899,1.49%,420109640,,,-5093.400359151238,844.0,-5099.908268184215,845.0,-5093.400359151238,844.0
2018-08-30,6.931,7.043,6.908,6.945,6.883,-0.24%,346609200,,,-5095.825787893691,844.0,-5102.336795930969,845.0,-5095.825787893691,844.0
2018-08-31,6.925,7.03,6.915,7.017,6.954,1.04%,306590000,,,-5098.2523716022115,844.0,-5104.766480119508,845.0,-5098.2523716022115,844.0
2018-09-04,7.004,7.131,6.975,7.092,7.028,1.07%,391721080,,,-5100.680110826784,844.0,-5107.197321300517,845.0,-5100.680110826784,844.0
2018-09-05,7.075,7.111,6.879,6.961,6.898,-1.85%,393156760,,,-5103.109006117654,844.0,-5109.629320024946,845.0,-5103.109006117654,844.0
2018-09-06,6.944,6.947,6.785,6.818,6.756,-2.05%,322795560,,,-5105.539058025329,844.0,-5112.062476844005,845.0,-5105.539058025329,844.0
2018-09-07,6.725,6.923,6.68,6.797,6.735,-0.31%,295418720,,,-5107.970267100579,844.0,-5114.496792309169,845.0,-5107.970267100579,844.0
2018-09-10,6.819,6.898,6.775,6.868,6.806,1.04%,220138280,,,-5110.402633894436,844.0,-5116.932266972173,845.0,-5110.402633894436,844.0
2018-09-11,6.822,6.91,6.8,6.82,6.758,-0.70%,243112720,,,-5112.8361589581955,844.0,-5119.368901385017,845.0,-5112.8361589581955,844.0
2018-09-12,6.78,6.8,6.548,6.705,6.644,-1.69%,419090360,,,-5115.270842843413,844.0,-5121.806696099962,845.0,-5115.270842843413,844.0
2018-09-13,6.772,6.875,6.754,6.783,6.722,1.16%,305535480,,,-5117.70668610191,844.0,-5124.245651669534,845.0,-5117.70668610191,844.0
2018-09-14,6.875,6.978,6.838,6.911,6.848,1.89%,386935200,,,-5120.143689285768,844.0,-5126.685768646519,845.0,-5120.143689285768,844.0
2018-09-17,6.885,6.935,6.829,6.848,6.786,-0.91%,205527560,,,-5122.581852947333,844.0,-5129.12704758397,845.0,-5122.581852947333,844.0
2018-09-18,6.852,6.956,6.769,6.775,6.714,-1.07%,299520920,,,-5125.0211776392125,844.0,-5131.569489035201,845.0,-5125.0211776392125,844.0
2018-09-19,6.757,6.818,6.706,6.8,6.738,0.37%,224858600,,,-5127.461663914279,844.0,-5134.013093553789,845.0,-5127.461663914279,844.0
2018-09-20,6.676,6.719,6.603,6.657,6.597,-2.10%,430582760,,,-5129.903312325667,844.0,-5136.457861693577,845.0,-5129.903312325667,844.0
2018-09-21,6.669,6.715,6.553,6.586,6.527,-1.07%,435126280,,,-5132.346123426774,844.0,-5138.903794008669,845.0,-5132.346123426774,844.0
2018-09-24,6.555,6.646,6.467,6.643,6.583,0.87%,293913040,,,-5134.790097771263,844.0,-5141.350891053436,845.0,-5134.790097771263,844.0
2018-09-25,6.709,6.736,6.623,6.71,6.65,1.01%,280389840,,,-5137.235235913059,844.0,-5143.799153382509,845.0,-5137.235235913059,844.0
2018-09-26,6.715,6.756,6.657,6.673,6.613,-0.55%,268547520,,,-5139.681538406351,844.0,-5146.248581550786,845.0,-5139.681538406351,844.0
2018-09-27,6.708,6.73,6.653,6.685,6.625,0.18%,214428680,,,-5142.129005805592,844.0,-5148.6991761134295,845.0,-5142.129005805592,844.0
2018-09-28,6.818,7.048,6.79,7.025,6.962,5.09%,709396560,,,-5144.5776386655,844.0,-5151.150937625865,845.0,-5144.5776386655,844.0
2018-10-01,7.104,7.302,7.065,7.234,7.169,2.98%,622058120,,,-5147.0274375410545,844.0,-5153.603866643782,845.0,-5147.0274375410545,844.0
2018-10-02,7.206,7.319,7.14,7.162,7.097,-1.00%,383964720,,,-5149.478402987503,844.0,-5156.057963723136,845.0,-5149.478402987503,844.0
2018-10-03,7.233,7.241,7.063,7.168,7.104,0.08%,320550760,,,-5151.930535560354,844.0,-5158.513229420147,845.0,-5151.930535560354,844.0
2018-10-04,7.132,7.156,6.905,6.982,6.919,-2.59%,391219560,,,-5154.383835815383,844.0,-5160.9696642912995,845.0,-5154.383835815383,844.0
2018-10-05,6.957,7.02,6.689,6.747,6.686,-3.37%,426634440,,,-5156.838304308628,844.0,-5163.427268893343,845.0,-5156.838304308628,844.0
2018-10-08,6.663,6.779,6.502,6.644,6.584,-1.53%,408610600,,,-5159.293941596394,844.0,-5165.886043783293,845.0,-5159.293941596394,844.0
2018-10-09,6.624,6.719,6.57,6.639,6.579,-0.08%,273499720,,,-5161.750748235249,844.0,-5168.345989518428,845.0,-5161.750748235249,844.0
2018-10-10,6.531,6.578,6.14,6.142,6.087,-7.49%,684938160,,,-5164.208724782028,844.0,-5170.807106656293,845.0,-5164.208724782028,844.0
2018-10-11,6.054,6.189,5.857,5.878,5.825,-4.30%,725437160,,,-5166.667871793829,844.0,-5173.269395754701,845.0,-5166.667871793829,844.0
2018-10-12,6.138,6.239,5.991,6.164,6.108,4.87%,608236680,,,-5169.128189828017,844.0,-5175.732857371727,845.0,-5169.128189828017,844.0
2018-10-15,6.15,6.15,5.884,5.885,5.831,-4.53%,449761280,,,-5171.589679442221,844.0,-5184.082492065713,846.0,-5171.589679442221,844.0
2018-10-16,5.998,6.157,5.949,6.146,6.09,4.44%,408711800,,,-5174.052341194336,844.0,-5186.55110277622,846.0,-5174.052341194336,844.0
2018-10-17,6.209,6.247,6.027,6.077,6.022,-1.12%,329668040,,,-5176.516175642524,844.0,-5189.020889015637,846.0,-5176.516175642524,844.0
2018-10-18,6.147,6.185,5.927,5.988,5.934,-1.46%,524021920,,,-5178.981183345211,844.0,-5191.49185134374,846.0,-5178.981183345211,844.0
2018-10-19,6.044,6.064,5.693,5.729,5.678,-4.33%,613609960,,,-5181.44736486109,844.0,-5193.96399032057,846.0,-5181.44736486109,844.0
2018-10-22,5.782,5.883,5.677,5.781,5.728,0.91%,368843640,,,-5183.91472074912,844.0,-5196.4373065064365,846.0,-5183.91472074912,844.0
2018-10-23,5.511,5.605,5.418,5.527,5.477,-4.39%,626437800,,,-5186.3832515685235,844.0,-5198.911800461916,846.0,-5186.3832515685235,844.0
2018-10-24,5.488,5.535,4.971,4.985,4.94,-9.81%,884287960,,,-5188.852957878794,844.0,-5201.38747274785,846.0,-5188.852957878794,844.0
2018-10-25,4.887,5.244,4.842,5.196,5.149,4.23%,951721600,,,-5191.323840239688,844.0,-5203.864323925349,846.0,-5191.323840239688,844.0
2018-10-26,4.958,5.121,4.828,4.957,4.913,-4.60%,664785120,,,-5193.795899211231,844.0,-5206.34235455579,846.0,-5193.795899211231,844.0
2018-10-29,5.1,5.103,4.4,4.641,4.599,-6.37%,758017640,,,-5196.269135353712,844.0,-5208.821565200817,846.0,-5196.269135353712,844.0
2018-10-30,4.664,5.085,4.641,5.075,5.029,9.35%,807190720,,,-5198.74354922769,844.0,-5211.3019564223405,846.0,-5198.74354922769,844.0
2018-10-31,5.241,5.315,5.1,5.271,5.223,3.86%,745772160,,,-5201.219141393989,844.0,-5213.783528782542,846.0,-5201.219141393989,844.0
2018-11-01,5.308,5.462,5.18,5.453,5.404,3.45%,566528320,,,-5203.6959124137,844.0,-5216.266282843867,846.0,-5203.6959124137,844.0
2018-11-02,5.443,5.55,5.255,5.373,5.325,-1.47%,452960080,,,-5206.173862848183,844.0,-5218.750219169031,846.0,-5206.173862848183,844.0
2018-11-05,5.36,5.383,5.132,5.294,5.246,-1.47%,379330400,,,-5208.652993259063,844.0,-5221.235338321017,846.0,-5208.652993259063,844.0
2018-11-06,5.286,5.371,5.239,5.277,5.229,-0.32%,299010360,,,-5211.133304208234,844.0,-5223.721640863074,846.0,-5211.133304208234,844.0
2018-11-07,5.344,5.435,5.28,5.345,5.297,1.29%,483812040,,,-5213.614796257857,844.0,-5226.209127358723,846.0,-5213.614796257857,844.0
2018-11-08,5.285,5.286,5.096,5.15,5.103,-3.65%,511352920,,,-5216.097469970361,844.0,-5228.697798371751,846.0,-5216.097469970361,844.0
2018-11-09,5.06,5.233,5.026,5.142,5.095,-0.16%,413241960,,,-5218.5813259084425,844.0,-5231.187654466214,846.0,-5218.5813259084425,844.0
2018-11-12,5.05,5.072,4.717,4.739,4.696,-7.84%,617117880,,,-5221.066364635066,844.0,-5233.678696206435,846.0,-5221.066364635066,844.0
2018-11-13,4.837,5.105,4.831,4.983,4.938,5.15%,644711000,,,-5223.552586713464,844.0,-5236.17092415701,846.0,-5223.552586713464,844.0
2018-11-14,5.158,5.172,4.821,4.93,4.885,-1.06%,526578840,,,-5226.039992707137,844.0,-5238.664338882799,846.0,-5226.039992707137,844.0
2018-11-15,4.924,5.133,4.888,5.06,5.014,2.64%,840708640,,,-5228.528583179855,844.0,-5246.218940948934,847.0,-5228.528583179855,844.0
2018-11-16,4.083,4.267,4.04,4.111,4.074,-18.75%,1963519080,,,-5231.018358695655,844.0,-5248.7171404446235,847.0,-5231.018358695655,844.0
2018-11-19,4.045,4.046,3.616,3.617,3.585,-12.02%,1697820200,,,-5233.509319818843,844.0,-5251.216529559121,847.0,-5233.509319818843,844.0
2018-11-20,3.352,3.856,3.333,3.727,3.693,3.04%,1692033120,,,-5236.001467113995,844.0,-5253.717108858911,847.0,-5236.001467113995,844.0
2018-11-21,3.866,3.883,3.59,3.618,3.585,-2.92%,1025494000,,,-5238.494801145955,844.0,-5256.218878910749,847.0,-5238.494801145955,844.0
2018-11-23,3.583,3.74,3.57,3.625,3.592,0.19%,411968440,,,-5240.989322479833,844.0,-5258.721840281659,847.0,-5240.989322479833,844.0
2018-11-26,3.747,3.837,3.664,3.826,3.792,5.54%,814832240,,,-5243.485031681014,844.0,-5261.225993538936,847.0,-5243.485031681014,844.0
2018-11-27,3.8,3.925,3.764,3.843,3.809,0.44%,738060240,,,-5245.981929315149,844.0,-5263.731339250145,847.0,-5245.981929315149,844.0
2018-11-28,3.962,4.007,3.828,4.002,3.966,4.14%,804525480,,,-5248.480015948156,844.0,-5266.237877983121,847.0,-5248.480015948156,844.0
2018-11-29,4.0,4.038,3.903,3.934,3.902,-1.70%,549173600,,,-5250.979292146226,844.0,-5268.745610305969,847.0,-5250.979292146226,844.0
2018-11-30,3.944,4.097,3.893,4.086,4.053,3.86%,729564560,,,-5253.479758475819,844.0,-5271.254536787067,847.0,-5253.479758475819,844.0
2018-12-03,4.315,4.367,4.184,4.251,4.217,4.04%,890804360,,,-5255.981415503665,844.0,-5273.764657995061,847.0,-5255.981415503665,844.0
2018-12-04,4.206,4.211,3.913,3.928,3.896,-7.60%,812111480,,,-5258.484263796761,844.0,-5276.275974498868,847.0,-5258.484263796761,844.0
2018-12-06,3.786,3.962,3.77,3.957,3.926,0.74%,692309640,,,-5260.988303922379,844.0,-5278.788486867677,847.0,-5260.988303922379,844.0
2018-12-07,3.962,3.972,3.641,3.69,3.661,-6.75%,681677960,,,-5263.493536448056,844.0,-5281.302195670948,847.0,-5263.493536448056,844.0
2018-12-10,3.645,3.822,3.641,3.797,3.766,2.90%,629473400,,,-5265.999961941603,844.0,-5283.81710147841,847.0,-5265.999961941603,844.0
2018-12-11,3.889,3.897,3.625,3.705,3.675,-2.42%,671913280,,,-5268.507580971099,844.0,-5286.333204860067,847.0,-5268.507580971099,844.0
2018-12-12,3.71,3.82,3.621,3.723,3.693,0.49%,654135920,,,-5271.016394104895,844.0,-5288.85050638619,847.0,-5271.016394104895,844.0
2018-12-13,3.77,3.835,3.686,3.722,3.692,-0.03%,471384960,,,-5273.526401911611,844.0,-5291.369006627327,847.0,-5273.526401911611,844.0
