Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2024-03-22,48.88,51.0,45.34,46.0,46.0,-8.80%,15983139,,,-4968.0,108.0,-4968.0,108.0,-4968.0,108.0
2024-03-25,47.09,61.94,46.08,59.8,59.8,30.00%,24398838,,,-4970.365714285715,108.0,-4970.365714285715,108.0,-4970.365714285715,108.0
2024-03-26,67.71,74.9,63.21,65.11,65.11,8.88%,35330978,,,-4972.732555102041,108.0,-4972.732555102041,108.0,-4972.732555102041,108.0
2024-03-27,63.76,63.76,55.62,57.75,57.75,-11.30%,18758308,,,-4975.100522985424,108.0,-4975.100522985424,108.0,-4975.100522985424,108.0
2024-03-28,54.52,55.3,49.1,49.32,49.32,-14.60%,12694482,,,-4977.46961847256,108.0,-4977.46961847256,108.0,-4977.46961847256,108.0
2024-04-01,48.95,49.28,44.395,45.97,45.97,-6.79%,12937465,,,-4979.839842100404,108.0,-4979.839842100404,108.0,-4979.839842100404,108.0
2024-04-02,45.055,51.35,44.0,50.45,50.45,9.75%,9006107,,,-4982.211194406166,108.0,-4982.211194406166,108.0,-4982.211194406166,108.0
2024-04-03,49.7,51.24,46.55,46.99,46.99,-6.86%,4773518,,,-4984.583675927312,108.0,-4984.583675927312,108.0,-4984.583675927312,108.0
2024-04-04,46.7,48.43,45.1,45.78,45.78,-2.58%,4588812,,,-4986.957287201562,108.0,-4986.957287201562,108.0,-4986.957287201562,108.0
2024-04-05,45.68,48.29,44.68,47.56,47.56,3.89%,2910465,,,-4989.332028766897,108.0,-4989.332028766897,108.0,-4989.332028766897,108.0
2024-04-08,47.86,49.18,45.04,46.15,46.15,-2.96%,2644017,,,-4991.707901161548,108.0,-4991.707901161548,108.0,-4991.707901161548,108.0
2024-04-09,46.4,47.49,44.9,45.0,45.0,-2.49%,2261160,,,-4994.084904924006,108.0,-4994.084904924006,108.0,-4994.084904924006,108.0
2024-04-10,44.0,44.598,41.72,42.09,42.09,-6.47%,4350147,,,-4996.4630405930175,108.0,-4996.4630405930175,108.0,-4996.4630405930175,108.0
2024-04-11,42.05,46.35,42.01,44.53,44.53,5.80%,4263001,,,-4998.842308707585,108.0,-4998.842308707585,108.0,-4998.842308707585,108.0
2024-04-12,43.47,43.86,42.16,42.27,42.27,-5.08%,2021261,,,-5001.22270980697,108.0,-5001.22270980697,108.0,-5001.22270980697,108.0
