Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,49.15,49.3,48.76,48.77,42.507,-0.59%,7517541,,,-4974.54,102.0,-4974.54,102.0,-4974.54,102.0
2018-07-05,48.92,49.03,48.4,48.61,42.368,-0.33%,9630476,,,-4976.908828571429,102.0,-4976.908828571429,102.0,-4976.908828571429,102.0
2018-07-06,48.9,49.19,48.58,48.98,42.69,0.76%,10711984,,,-4979.278785156463,102.0,-4979.278785156463,102.0,-4979.278785156463,102.0
2018-07-09,49.21,50.05,49.21,49.9,43.492,1.88%,12811694,,,-4981.649870292252,102.0,-4981.649870292252,102.0,-4981.649870292252,102.0
2018-07-10,50.08,50.51,49.96,50.42,43.945,1.04%,9038021,,,-4984.0220845162,102.0,-4984.0220845162,102.0,-4984.0220845162,102.0
2018-07-11,50.22,50.48,50.02,50.14,43.701,-0.56%,9542401,,,-4986.39542836597,102.0,-4986.39542836597,102.0,-4986.39542836597,102.0
2018-07-12,50.36,50.66,50.2,50.25,43.797,0.22%,9339200,,,-4988.769902379478,102.0,-4988.769902379478,102.0,-4988.769902379478,102.0
2018-07-13,50.26,51.65,50.26,51.62,44.991,2.73%,21720110,,,-4991.145507094896,102.0,-4991.145507094896,102.0,-4991.145507094896,102.0
2018-07-16,51.55,51.55,50.69,50.94,44.399,-1.32%,16974920,,,-4993.522243050656,102.0,-4993.522243050656,102.0,-4993.522243050656,102.0
2018-07-17,50.66,51.3,50.6,51.28,44.695,0.67%,11421330,,,-4995.900110785442,102.0,-4995.900110785442,102.0,-4995.900110785442,102.0
2018-07-18,51.34,51.62,51.0,51.15,44.582,-0.25%,13549524,,,-4998.279110838197,102.0,-4998.279110838197,102.0,-4998.279110838197,102.0
2018-07-19,51.11,51.49,51.0,51.34,44.747,0.37%,11415630,,,-5000.65924374812,102.0,-5000.65924374812,102.0,-5000.65924374812,102.0
2018-07-20,51.06,51.24,50.75,50.91,44.372,-0.84%,11033405,,,-5003.040510054667,102.0,-5003.040510054667,102.0,-5003.040510054667,102.0
2018-07-23,50.76,51.27,50.76,51.19,44.616,0.55%,8406801,,,-5005.42291029755,102.0,-5005.42291029755,102.0,-5005.42291029755,102.0
2018-07-24,51.3,51.72,51.06,51.17,44.599,-0.04%,9921586,,,-5007.8064450167385,102.0,-5007.8064450167385,102.0,-5007.8064450167385,102.0
2018-07-25,51.01,51.72,51.01,51.62,44.991,0.88%,11370019,,,-5010.191114752461,102.0,-5010.191114752461,102.0,-5010.191114752461,102.0
2018-07-26,51.68,51.84,51.34,51.45,44.843,-0.33%,11114792,,,-5012.5769200452,102.0,-5012.5769200452,102.0,-5012.5769200452,102.0
2018-07-27,51.5,52.6,50.21,52.15,45.453,1.36%,15770270,,,-5014.963861435697,102.0,-5014.963861435697,102.0,-5014.963861435697,102.0
2018-07-30,52.2,52.85,51.76,51.9,45.235,-0.48%,14448359,,,-5017.351939464952,102.0,-5017.351939464952,102.0,-5017.351939464952,102.0
2018-07-31,52.03,52.69,51.85,52.39,45.662,0.94%,9228240,,,-5019.741154674221,102.0,-5019.741154674221,102.0,-5019.741154674221,102.0
2018-08-01,52.24,52.24,51.25,51.93,45.261,-0.88%,11952400,,,-5022.131507605019,102.0,-5022.131507605019,102.0,-5022.131507605019,102.0
2018-08-02,52.1,52.35,51.43,51.68,45.043,-0.48%,13636439,,,-5024.522998799116,102.0,-5024.522998799116,102.0,-5024.522998799116,102.0
2018-08-03,51.7,52.45,51.58,52.23,45.523,1.06%,8246476,,,-5026.915628798544,102.0,-5026.915628798544,102.0,-5026.915628798544,102.0
2018-08-06,52.1,52.27,51.8,52.07,45.383,-0.31%,6505777,,,-5029.309398145591,102.0,-5029.309398145591,102.0,-5029.309398145591,102.0
2018-08-07,52.08,52.21,51.8,52.07,45.383,,5869803,,,-5031.704307382804,102.0,-5031.704307382804,102.0,-5031.704307382804,102.0
2018-08-08,51.83,51.93,51.36,51.55,45.244,-1.00%,7258334,,,-5034.100357052986,102.0,-5034.100357052986,102.0,-5034.100357052986,102.0
2018-08-09,51.53,52.02,51.32,51.92,45.569,0.72%,7175435,,,-5036.497547699201,102.0,-5036.497547699201,102.0,-5036.497547699201,102.0
2018-08-10,51.59,51.63,51.2,51.51,45.209,-0.79%,10539692,,,-5038.895879864773,102.0,-5038.895879864773,102.0,-5038.895879864773,102.0
2018-08-13,51.62,51.96,51.47,51.81,45.472,0.58%,7911311,,,-5041.2953540932795,102.0,-5041.2953540932795,102.0,-5041.2953540932795,102.0
2018-08-14,51.85,52.74,51.79,52.59,46.157,1.51%,9385434,,,-5043.695970928562,102.0,-5043.695970928562,102.0,-5043.695970928562,102.0
2018-08-15,52.31,52.94,52.3,52.75,46.297,0.30%,9566235,,,-5046.097730914718,102.0,-5098.847730914718,103.0,-5046.097730914718,102.0
2018-08-16,52.98,53.36,52.92,53.04,46.552,0.55%,8721212,,,-5048.5006345961065,102.0,-5101.275753643726,103.0,-5048.5006345961065,102.0
2018-08-17,52.95,53.61,52.95,53.56,47.008,0.98%,8166981,,,-5050.904682517343,102.0,-5103.704932574033,103.0,-5050.904682517343,102.0
2018-08-20,53.71,54.16,53.7,53.92,47.324,0.67%,9791538,,,-5053.309875223304,102.0,-5106.135268256211,103.0,-5053.309875223304,102.0
2018-08-21,54.17,54.44,53.95,54.0,47.394,0.15%,7990040,,,-5055.716213259124,102.0,-5108.566761241095,103.0,-5055.716213259124,102.0
2018-08-22,53.55,53.64,52.66,52.82,46.359,-2.19%,10369620,,,-5058.123697170199,102.0,-5110.999412079782,103.0,-5058.123697170199,102.0
2018-08-23,52.76,53.19,52.56,52.66,46.218,-0.30%,8567574,,,-5060.532327502185,102.0,-5113.433221323629,103.0,-5060.532327502185,102.0
2018-08-24,52.82,52.92,52.42,52.75,46.297,0.17%,9850039,,,-5062.942104800995,102.0,-5115.86818952426,103.0,-5062.942104800995,102.0
2018-08-27,52.99,53.18,52.81,52.97,46.49,0.42%,6443156,,,-5065.353029612806,102.0,-5118.304317233557,103.0,-5065.353029612806,102.0
2018-08-28,53.02,53.47,52.98,53.05,46.56,0.15%,7171873,,,-5067.76510248405,102.0,-5120.741605003669,103.0,-5067.76510248405,102.0
2018-08-29,53.07,53.44,52.72,53.25,46.736,0.38%,6604919,,,-5070.178323961423,102.0,-5123.180053387005,103.0,-5070.178323961423,102.0
2018-08-30,53.12,53.41,52.97,53.1,46.604,-0.28%,5576425,,,-5072.592694591881,102.0,-5125.619662936237,103.0,-5072.592694591881,102.0
2018-08-31,52.46,53.71,52.45,53.45,46.912,0.66%,10892775,,,-5075.008214922639,102.0,-5128.060434204302,103.0,-5075.008214922639,102.0
2018-09-04,53.44,53.69,53.21,53.53,46.982,0.15%,8235166,,,-5077.424885501174,102.0,-5130.502367744399,103.0,-5077.424885501174,102.0
2018-09-05,53.47,53.98,53.29,53.79,47.21,0.49%,7966579,,,-5079.842706875222,102.0,-5132.945464109991,103.0,-5079.842706875222,102.0
2018-09-06,53.66,54.35,53.65,54.21,47.579,0.78%,7803422,,,-5082.261679592782,102.0,-5135.389723854805,103.0,-5082.261679592782,102.0
2018-09-07,54.2,54.96,54.16,54.86,48.149,1.20%,10231692,,,-5084.681804202111,102.0,-5137.835147532831,103.0,-5084.681804202111,102.0
2018-09-10,54.94,55.11,54.57,54.97,48.246,0.20%,8621174,,,-5087.103081251731,102.0,-5140.281735698322,103.0,-5087.103081251731,102.0
2018-09-11,54.83,55.4,54.77,55.12,48.377,0.27%,7873859,,,-5089.525511290422,102.0,-5142.729488905798,103.0,-5089.525511290422,102.0
2018-09-12,55.2,55.2,54.33,54.97,48.246,-0.27%,7297268,,,-5091.949094867227,102.0,-5145.178407710038,103.0,-5091.949094867227,102.0
2018-09-13,55.12,55.57,54.74,54.89,48.175,-0.15%,8566607,,,-5094.37383253145,102.0,-5147.628492666091,103.0,-5094.37383253145,102.0
2018-09-14,55.0,55.0,54.61,54.75,48.052,-0.26%,6827670,,,-5096.799724832656,102.0,-5150.079744329265,103.0,-5096.799724832656,102.0
2018-09-17,54.7,54.86,54.28,54.57,47.895,-0.33%,9277192,,,-5099.226772320671,102.0,-5152.532163255136,103.0,-5099.226772320671,102.0
2018-09-18,54.48,55.28,54.1,55.07,48.333,0.92%,7569586,,,-5101.654975545586,102.0,-5154.985749999543,103.0,-5101.654975545586,102.0
2018-09-19,55.22,55.79,54.9,55.43,48.649,0.65%,7451644,,,-5104.084335057751,102.0,-5157.44050511859,103.0,-5104.084335057751,102.0
2018-09-20,55.6,56.73,55.6,56.43,49.527,1.80%,10582603,,,-5106.514851407778,102.0,-5159.896429168647,103.0,-5106.514851407778,102.0
2018-09-21,56.55,57.57,56.52,57.45,50.422,1.81%,25800450,,,-5108.9465251465435,102.0,-5162.353522706347,103.0,-5108.9465251465435,102.0
2018-09-24,56.94,57.36,56.58,56.69,49.755,-1.32%,10616004,,,-5111.379356825185,102.0,-5164.811786288587,103.0,-5111.379356825185,102.0
2018-09-25,56.98,57.29,56.83,56.9,49.939,0.37%,9445481,,,-5113.813346995102,102.0,-5167.271220472534,103.0,-5113.813346995102,102.0
2018-09-26,56.77,57.84,56.75,57.27,50.264,0.65%,7757332,,,-5116.248496207956,102.0,-5169.7318258156165,103.0,-5116.248496207956,102.0
2018-09-27,57.1,57.79,57.1,57.34,50.326,0.12%,6606185,,,-5118.684805015674,102.0,-5172.193602875529,103.0,-5118.684805015674,102.0
2018-09-28,57.39,57.39,56.78,56.84,49.887,-0.87%,8975955,,,-5121.1222739704435,102.0,-5174.656552210232,103.0,-5121.1222739704435,102.0
2018-10-01,56.91,56.95,55.53,55.58,48.781,-2.22%,12727584,,,-5123.560903624715,102.0,-5177.120674377951,103.0,-5123.560903624715,102.0
2018-10-02,55.55,56.01,55.29,55.59,48.79,0.02%,12680838,,,-5126.000694531203,102.0,-5179.585969937179,103.0,-5126.000694531203,102.0
2018-10-03,55.8,56.11,55.46,55.47,48.684,-0.22%,7383546,,,-5128.441647242885,102.0,-5182.052439446673,103.0,-5128.441647242885,102.0
2018-10-04,55.78,56.08,55.5,55.89,49.053,0.76%,9722043,,,-5130.883762313,102.0,-5184.520083465457,103.0,-5130.883762313,102.0
2018-10-05,55.95,55.95,55.31,55.76,48.939,-0.23%,9734042,,,-5133.327040295054,102.0,-5186.988902552822,103.0,-5133.327040295054,102.0
2018-10-08,55.82,56.75,55.45,56.54,49.624,1.40%,9624260,,,-5135.771481742813,102.0,-5189.458897268323,103.0,-5135.771481742813,102.0
2018-10-09,56.83,59.7,56.81,57.71,50.65,2.07%,24855700,,,-5138.21708721031,102.0,-5191.930068171784,103.0,-5138.21708721031,102.0
2018-10-10,57.67,57.87,55.94,56.01,49.158,-2.95%,14190452,,,-5140.663857251839,102.0,-5194.402415823294,103.0,-5140.663857251839,102.0
2018-10-11,55.7,56.27,54.71,54.86,48.149,-2.05%,15316853,,,-5143.111792421959,102.0,-5196.87594078321,103.0,-5143.111792421959,102.0
2018-10-12,55.71,56.78,55.28,56.45,49.545,2.90%,13980461,,,-5145.560893275493,102.0,-5199.350643612155,103.0,-5145.560893275493,102.0
2018-10-15,56.37,57.19,56.31,56.75,49.808,0.53%,10175142,,,-5148.011160367529,102.0,-5258.576524871018,104.0,-5148.011160367529,102.0
2018-10-16,56.94,58.01,56.77,57.81,50.738,1.87%,11731398,,,-5150.462594253418,102.0,-5261.08060893048,104.0,-5150.462594253418,102.0
2018-10-17,57.9,59.4,57.78,59.1,51.87,2.23%,14631015,,,-5152.915195488777,102.0,-5263.585885410923,104.0,-5152.915195488777,102.0
2018-10-18,59.0,59.53,58.15,58.64,51.467,-0.78%,12184673,,,-5155.368964629485,102.0,-5266.092354880167,104.0,-5155.368964629485,102.0
2018-10-19,58.39,59.07,58.39,58.66,51.484,0.03%,10180500,,,-5157.823902231689,102.0,-5268.6000179063,104.0,-5157.823902231689,102.0
2018-10-22,58.93,59.36,58.58,58.9,51.695,0.41%,8680150,,,-5160.2800088518,102.0,-5271.108875057685,104.0,-5160.2800088518,102.0
2018-10-23,58.36,59.3,58.21,58.81,51.616,-0.15%,12834169,,,-5162.737285046491,102.0,-5273.61892690295,104.0,-5162.737285046491,102.0
2018-10-24,58.57,59.28,57.95,58.06,50.958,-1.28%,12189685,,,-5165.195731372703,102.0,-5276.130174010999,104.0,-5165.195731372703,102.0
2018-10-25,58.29,59.47,57.7,58.96,51.747,1.55%,9569597,,,-5167.655348387643,102.0,-5278.642616951004,104.0,-5167.655348387643,102.0
2018-10-26,58.04,58.36,57.39,58.07,50.966,-1.51%,13367726,,,-5170.11613664878,102.0,-5281.156256292409,104.0,-5170.11613664878,102.0
2018-10-29,58.68,59.68,57.7,58.37,51.23,0.52%,14412820,,,-5172.578096713852,102.0,-5283.671092604929,104.0,-5172.578096713852,102.0
