Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2019-01-03,5.67,5.87,5.63,5.68,5.68,-1.90%,16429216,,,-4998.4,880.0,-4998.4,880.0,-4998.4,880.0
2019-01-04,5.67,5.99,5.63,5.95,5.95,4.75%,18200350,,,-5000.78019047619,880.0,-5000.78019047619,880.0,-5000.78019047619,880.0
2019-01-07,6.0,6.21,5.92,6.21,6.21,4.37%,14726239,,,-5003.161514376417,880.0,-5003.161514376417,880.0,-5003.161514376417,880.0
2019-01-08,6.3,6.45,6.21,6.4,6.4,3.06%,16035381,,,-5005.543972240405,880.0,-5005.543972240405,880.0,-5005.543972240405,880.0
2019-01-09,6.2,6.31,5.84,6.28,6.28,-1.88%,30170276,,,-5007.927564608139,880.0,-5007.927564608139,880.0,-5007.927564608139,880.0
2019-01-10,6.37,6.4,6.11,6.22,6.22,-0.96%,15413432,,,-5010.312292019857,880.0,-5010.312292019857,880.0,-5010.312292019857,880.0
2019-01-11,6.21,6.415,6.2,6.28,6.28,0.96%,11728613,,,-5012.698155016056,880.0,-5012.698155016056,880.0,-5012.698155016056,880.0
2019-01-14,6.46,6.5,6.24,6.31,6.31,0.48%,10735556,,,-5015.085154137492,880.0,-5015.085154137492,880.0,-5015.085154137492,880.0
2019-01-15,6.47,6.57,6.376,6.54,6.54,3.65%,15133286,,,-5017.473289925177,880.0,-5024.013289925177,881.0,-5017.473289925177,880.0
2019-01-16,5.73,5.94,5.63,5.64,5.64,-13.76%,65799505,,,-5019.862562920379,880.0,-5026.405677206093,881.0,-5019.862562920379,880.0
2019-01-17,5.72,5.84,5.65,5.74,5.74,1.77%,27651550,,,-5022.252973664627,880.0,-5028.799203719048,881.0,-5022.252973664627,880.0
2019-01-18,5.83,6.19,5.74,6.18,6.18,7.67%,37966966,,,-5024.644522699705,880.0,-5031.193870006533,881.0,-5024.644522699705,880.0
2019-01-22,6.07,6.24,5.88,5.93,5.93,-4.05%,20962448,,,-5027.037210567657,880.0,-5033.589676611298,881.0,-5027.037210567657,880.0
2019-01-23,6.01,6.1,5.87,5.99,5.99,1.01%,13145140,,,-5029.431037810785,880.0,-5035.986624076351,881.0,-5029.431037810785,880.0
2019-01-24,5.94,6.2,5.91,6.17,6.17,3.01%,15691832,,,-5031.826004971647,880.0,-5038.384712944959,881.0,-5031.826004971647,880.0
2019-01-25,6.24,6.44,6.2,6.4,6.4,3.73%,19936589,,,-5034.222112593063,880.0,-5040.783943760647,881.0,-5034.222112593063,880.0
2019-01-28,6.27,6.395,6.2,6.34,6.34,-0.94%,12143089,,,-5036.619361218107,880.0,-5043.1843170672,881.0,-5036.619361218107,880.0
2019-01-29,6.42,6.5,6.29,6.43,6.43,1.42%,14387117,,,-5039.017751390115,880.0,-5045.585833408661,881.0,-5039.017751390115,880.0
2019-01-30,6.47,6.6,6.31,6.57,6.57,2.18%,16419275,,,-5041.417283652682,880.0,-5047.9884933293315,881.0,-5041.417283652682,880.0
2019-01-31,6.68,6.81,6.65,6.68,6.68,1.67%,19115160,,,-5043.81795854966,880.0,-5050.392297373774,881.0,-5043.81795854966,880.0
2019-02-01,6.78,7.15,6.73,6.91,6.91,3.44%,22653019,,,-5046.21977662516,880.0,-5052.7972460868095,881.0,-5046.21977662516,880.0
2019-02-04,6.925,6.98,6.7,6.93,6.93,0.29%,37550651,,,-5048.6227384235535,880.0,-5055.203340013518,881.0,-5048.6227384235535,880.0
2019-02-05,7.02,7.05,6.8,7.04,7.04,1.59%,58790957,,,-5051.026844489469,880.0,-5057.610579699239,881.0,-5051.026844489469,880.0
2019-02-06,8.61,9.09,8.35,8.59,8.59,22.02%,148568030,,,-5053.432095367797,880.0,-5060.018965689572,881.0,-5053.432095367797,880.0
2019-02-07,8.36,8.69,8.04,8.57,8.57,-0.23%,53561876,,,-5055.838491603687,880.0,-5062.428498530377,881.0,-5055.838491603687,880.0
2019-02-08,8.37,9.19,8.3,9.1,9.1,6.18%,55131767,,,-5058.2460337425455,880.0,-5064.839178767772,881.0,-5058.2460337425455,880.0
2019-02-11,9.03,9.195,8.85,8.99,8.99,-1.21%,38495665,,,-5060.654722330042,880.0,-5067.251006948138,881.0,-5060.654722330042,880.0
2019-02-12,9.02,9.17,8.77,8.8,8.8,-2.11%,39187054,,,-5063.064557912104,880.0,-5069.663983618113,881.0,-5063.064557912104,880.0
2019-02-13,8.75,9.23,8.67,9.07,9.07,3.07%,37645682,,,-5065.475541034919,880.0,-5072.078109324598,881.0,-5065.475541034919,880.0
2019-02-14,9.05,9.32,9.01,9.19,9.19,1.32%,32451037,,,-5067.887672244936,880.0,-5074.493384614752,881.0,-5067.887672244936,880.0
2019-02-15,9.2,9.23,9.04,9.12,9.12,-0.76%,19959810,,,-5070.300952088862,880.0,-5086.029810035998,882.0,-5070.300952088862,880.0
2019-02-19,9.05,9.34,9.05,9.28,9.28,1.75%,22961347,,,-5072.715381113666,880.0,-5088.451728993158,882.0,-5072.715381113666,880.0
2019-02-20,9.25,9.33,9.14,9.24,9.24,-0.43%,21677196,,,-5075.1309598665775,880.0,-5090.87480124506,882.0,-5075.1309598665775,880.0
2019-02-21,9.14,9.4,9.13,9.39,9.39,1.62%,20051621,,,-5077.547688895085,880.0,-5093.2990273408905,882.0,-5077.547688895085,880.0
